##NAMES=Opal
##RRUFFID=X070003
##IDEAL CHEMISTRY=SiO_2_&#183;<i>n</i>H_2_O
##LOCALITY=Synthetic
##OWNER=Taka Yamanaka
##SOURCE=Taka Yamanaka
##DESCRIPTION=Black polished cab, with Raman spectra that match Libyan desert glass
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/X070003
348.7761, 13.75513
349.2582, 8.328735
349.7403, 1.936157
350.2225, 4.201050
350.7046, 8.187744
351.1867, 10.21619
351.6688, 11.40820
352.1509, 12.48718
352.6331, 13.47485
353.1152, 14.48877
353.5973, 16.29065
354.0794, 16.39331
354.5615, 9.010010
355.0436, 2.667358
355.5258, 8.922852
356.0079, 1.707031
356.4900, 16.68628
356.9721, 24.58289
357.4542, 21.91614
357.9363, 18.04834
358.4185, 18.93884
358.9006, 22.16064
359.3827, 23.39453
359.8648, 19.27319
360.3469, 14.02063
360.8290, 8.757935
361.3112, 3.048584
361.7933, 1.053223
362.2754, 6.973999
362.7575, 16.60498
363.2396, 25.18896
363.7217, 31.67651
364.2039, 36.31079
364.6860, 39.07483
365.1681, 39.97461
365.6502, 39.24500
366.1323, 33.92065
366.6144, 28.79163
367.0966, 27.17688
367.5787, 31.43494
368.0608, 35.73535
368.5429, 40.22339
369.0250, 44.37683
369.5071, 48.50586
369.9893, 54.29846
370.4714, 58.10974
370.9535, 57.63062
371.4356, 49.70544
371.9177, 44.78613
372.3998, 43.92969
372.8820, 45.67737
373.3641, 46.30847
373.8462, 44.05322
374.3283, 44.48474
374.8104, 51.75745
375.2925, 66.60913
375.7747, 75.34631
376.2568, 77.26404
376.7389, 74.63416
377.2210, 69.91797
377.7031, 63.02856
378.1852, 54.96082
378.6674, 44.00476
379.1495, 32.19470
379.6316, 28.43372
380.1137, 33.16052
380.5958, 42.22595
381.0779, 54.60107
381.5601, 69.03406
382.0422, 78.35913
382.5243, 80.20227
383.0064, 77.33948
383.4885, 72.92908
383.9706, 67.45813
384.4528, 63.88086
384.9349, 66.64734
385.4170, 71.70740
385.8991, 71.09033
386.3812, 61.56360
386.8633, 53.28052
387.3455, 59.32263
387.8276, 73.94971
388.3097, 84.20129
388.7918, 79.99060
389.2739, 70.93335
389.7560, 64.30127
390.2382, 60.66467
390.7203, 59.35071
391.2024, 61.95654
391.6845, 65.86499
392.1666, 68.30750
392.6487, 65.33447
393.1309, 63.76965
393.6130, 67.74780
394.0951, 76.65112
394.5772, 83.22327
395.0593, 82.32117
395.5414, 80.56116
396.0236, 82.12903
396.5057, 93.91638
396.9878, 101.6351
397.4699, 102.7515
397.9520, 98.60571
398.4341, 93.47559
398.9163, 83.26514
399.3984, 75.84338
399.8805, 74.84277
400.3626, 82.43384
400.8447, 90.74280
401.3268, 102.0149
401.8090, 112.3319
402.2911, 114.7383
402.7732, 104.2205
403.2553, 99.26990
403.7374, 107.8732
404.2195, 128.4475
404.7017, 135.7585
405.1838, 126.3495
405.6659, 114.1538
406.1480, 113.3065
406.6301, 124.0627
407.1122, 130.7373
407.5944, 129.1213
408.0765, 123.0645
408.5586, 123.0793
409.0407, 129.0192
409.5228, 133.4534
410.0049, 129.3127
410.4871, 119.8180
410.9692, 113.8408
411.4513, 112.4027
411.9334, 113.9706
412.4155, 118.1422
412.8976, 124.0754
413.3798, 129.2085
413.8619, 134.6636
414.3440, 137.7971
414.8261, 132.9341
415.3082, 120.0796
415.7903, 111.9229
416.2725, 122.0386
416.7546, 139.3788
417.2367, 151.5719
417.7188, 150.4945
418.2009, 147.9048
418.6830, 148.5065
419.1652, 151.8212
419.6473, 156.1364
420.1294, 162.4198
420.6115, 168.4280
421.0937, 173.2650
421.5758, 177.6089
422.0579, 178.8757
422.5400, 172.8870
423.0221, 164.4175
423.5042, 161.1902
423.9864, 167.4100
424.4685, 174.4683
424.9506, 180.5878
425.4327, 185.5992
425.9148, 191.4382
426.3969, 199.7849
426.8791, 207.0417
427.3612, 209.1603
427.8433, 203.5015
428.3254, 201.4352
428.8075, 206.4209
429.2896, 215.3402
429.7718, 215.8983
430.2539, 206.1538
430.7360, 198.3121
431.2181, 202.6462
431.7002, 217.8811
432.1823, 223.7572
432.6645, 217.3293
433.1466, 207.9995
433.6287, 210.7483
434.1108, 222.9968
434.5929, 231.6840
435.0750, 225.4526
435.5572, 214.8499
436.0393, 222.6173
436.5214, 247.7756
437.0035, 269.6060
437.4856, 268.5712
437.9677, 254.9932
438.4499, 242.6820
438.9320, 234.1206
439.4141, 229.3875
439.8962, 230.0121
440.3783, 234.6754
440.8604, 239.9124
441.3426, 243.9988
441.8247, 248.3469
442.3068, 254.3942
442.7889, 263.1096
443.2710, 269.5671
443.7531, 272.3099
444.2353, 272.1722
444.7174, 270.0776
445.1995, 260.6976
445.6816, 255.4152
446.1637, 259.1915
446.6458, 270.7120
447.1280, 275.4161
447.6101, 266.3813
448.0922, 258.1520
448.5743, 259.5549
449.0564, 275.6088
449.5385, 288.3704
450.0207, 298.3221
450.5028, 303.9292
450.9849, 299.7502
451.4670, 283.2150
451.9491, 270.2819
452.4312, 267.9557
452.9134, 275.0001
453.3955, 283.0563
453.8776, 292.7400
454.3597, 299.0321
454.8418, 292.2994
455.3239, 276.6117
455.8061, 270.1605
456.2882, 280.1029
456.7703, 296.1388
457.2524, 303.8713
457.7345, 304.8354
458.2166, 305.3658
458.6988, 313.1329
459.1809, 320.4612
459.6630, 315.9520
460.1451, 296.2407
460.6272, 280.7396
461.1093, 286.8704
461.5915, 302.8250
462.0736, 313.9025
462.5557, 314.1285
463.0378, 309.7584
463.5199, 298.9697
464.0020, 283.5204
464.4842, 275.5524
464.9663, 287.8076
465.4484, 300.7413
465.9305, 303.4091
466.4126, 285.9632
466.8947, 275.3695
467.3769, 275.5260
467.8590, 280.7864
468.3411, 281.6747
468.8232, 275.3190
469.3053, 270.9456
469.7874, 270.6030
470.2696, 273.9620
470.7517, 281.6116
471.2338, 295.3439
471.7159, 307.3007
472.1980, 308.0730
472.6801, 298.2062
473.1623, 295.6031
473.6444, 304.1665
474.1265, 318.3016
474.6086, 329.6145
475.0907, 338.2465
475.5728, 345.0836
476.0550, 349.7346
476.5371, 353.3392
477.0192, 358.1060
477.5013, 363.9204
477.9834, 368.0682
478.4655, 365.0786
478.9477, 360.2905
479.4298, 360.9967
479.9119, 373.6106
480.3940, 387.6783
480.8761, 398.7354
481.3582, 406.9984
481.8404, 413.1077
482.3225, 411.9822
482.8046, 412.6274
483.2867, 420.4896
483.7688, 439.6492
484.2509, 454.9043
484.7331, 465.0743
485.2152, 470.1759
485.6973, 469.7782
486.1794, 457.1597
486.6615, 451.4227
487.1436, 459.1299
487.6258, 476.1269
488.1079, 480.4832
488.5900, 467.6100
489.0721, 453.7836
489.5542, 448.7100
490.0363, 452.5145
490.5185, 457.5248
491.0006, 464.6332
491.4827, 469.2898
491.9648, 465.2623
492.4470, 453.4322
492.9291, 437.6439
493.4112, 415.5438
493.8933, 393.3827
494.3754, 385.2628
494.8575, 388.7548
495.3397, 388.9232
495.8218, 372.4027
496.3039, 349.0233
496.7860, 329.5908
497.2681, 315.8028
497.7502, 303.5457
498.2324, 288.9099
498.7145, 275.0434
499.1966, 265.7545
499.6787, 268.8687
500.1608, 269.8109
500.6429, 262.0750
501.1251, 246.4334
501.6072, 235.4324
502.0893, 233.5898
502.5714, 233.2178
503.0535, 231.2585
503.5356, 229.6321
504.0178, 220.7497
504.4999, 201.1927
504.9820, 177.7274
505.4641, 160.4058
505.9462, 150.3054
506.4283, 141.3386
506.9105, 131.5581
507.3926, 121.6263
507.8747, 115.0513
508.3568, 111.9665
508.8389, 109.1309
509.3210, 102.9764
509.8032, 95.05408
510.2853, 89.99591
510.7674, 88.91565
511.2495, 88.53986
511.7316, 87.08875
512.2137, 83.76233
512.6959, 77.04895
513.1780, 60.52655
513.6601, 45.11609
514.1422, 39.14569
514.6243, 41.48151
515.1064, 43.86108
515.5886, 43.99036
516.0707, 42.49341
516.5528, 39.74896
517.0349, 35.65863
517.5170, 30.50378
517.9991, 22.22931
518.4813, 13.72424
518.9634, 9.003937
519.4455, 10.90247
519.9276, 11.82404
520.4097, 10.10327
520.8918, 6.117950
521.3740, 1.390350
521.8561, 4.672607
522.3382, 9.442535
522.8203, 10.46042
523.3024, 7.980621
523.7845, 7.051758
524.2667, 8.207611
524.7488, 9.932434
525.2309, 9.778168
525.7130, 8.615204
526.1951, 9.534821
526.6772, 15.73691
527.1594, 22.58813
527.6415, 24.67108
528.1236, 22.56537
528.6057, 18.88184
529.0878, 12.92941
529.5699, 7.377075
530.0521, 4.440948
530.5342, 4.819336
531.0163, 5.891418
531.4984, 7.217651
531.9805, 8.680420
532.4626, 10.17300
532.9448, 11.33945
533.4269, 13.00607
533.9090, 16.32010
534.3911, 20.31985
534.8732, 20.85330
535.3553, 16.67477
535.8375, 11.35114
536.3196, 5.639099
536.8017, 0.6918330
537.2838, 2.951782
537.7659, 0.3660280
538.2480, 3.758270
538.7302, 6.626709
539.2123, 8.187103
539.6944, 7.313629
540.1765, 2.736542
540.6586, 2.487427
541.1407, 3.059021
541.6229, 0.3299870
542.1050, 0.8738710
542.5871, 3.729828
543.0692, 9.909851
543.5513, 14.69022
544.0334, 17.85577
544.5156, 18.11826
544.9977, 10.84903
545.4798, 2.735413
545.9619, 0.7026060
546.4440, 5.241119
546.9261, 10.41528
547.4083, 13.21231
547.8904, 14.42664
548.3725, 15.55984
548.8546, 17.29196
549.3367, 17.69235
549.8188, 15.34100
550.3010, 10.73642
550.7831, 10.29980
551.2652, 15.10031
551.7473, 20.50806
552.2294, 23.50742
552.7115, 24.21326
553.1937, 23.02039
553.6758, 19.41202
554.1579, 16.18369
554.6400, 18.19687
555.1221, 23.54779
555.6042, 26.64676
556.0864, 23.14703
556.5685, 18.92874
557.0506, 20.69400
557.5327, 26.86993
558.0148, 31.62109
558.4969, 31.43515
558.9791, 29.44211
559.4612, 26.62762
559.9433, 22.28931
560.4254, 21.48538
560.9075, 28.46649
561.3896, 37.53525
561.8718, 43.87448
562.3539, 47.87796
562.8360, 48.15173
563.3181, 42.76706
563.8002, 34.48108
564.2823, 29.92862
564.7645, 29.73160
565.2466, 30.71118
565.7287, 31.65186
566.2108, 32.75601
566.6929, 35.39545
567.1750, 39.62769
567.6572, 43.94812
568.1393, 47.28430
568.6214, 49.68781
569.1035, 50.93816
569.5856, 50.76514
570.0677, 50.44496
570.5499, 51.13809
571.0320, 52.34422
571.5141, 53.24895
571.9962, 53.39445
572.4783, 53.34193
572.9604, 52.94443
573.4426, 52.41449
573.9247, 52.77034
574.4068, 53.24838
574.8889, 55.60132
