##NAMES=Parasibirskite
##RRUFFID=R110009
##IDEAL CHEMISTRY=CaHBO_3_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=Jin-Xiao Mi
##DESCRIPTION=Loose aggregate of colorless tabular crystals, mixed with CaLiBO3 crystals (R110010)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110009
246.8112, 37.97253
247.2933, 38.96631
247.7754, 40.20270
248.2575, 41.83905
248.7396, 43.30887
249.2217, 44.42319
249.7039, 45.14462
250.1860, 45.48621
250.6681, 45.22415
251.1502, 44.56082
251.6323, 44.22046
252.1144, 44.46780
252.5966, 44.63550
253.0787, 44.34030
253.5608, 43.69495
254.0429, 42.88965
254.5250, 41.72165
255.0071, 40.44574
255.4893, 40.17447
255.9714, 41.64728
256.4535, 42.99329
256.9356, 43.39417
257.4177, 43.12726
257.8998, 42.63010
258.3820, 42.12744
258.8641, 41.61813
259.3462, 41.05209
259.8283, 40.60339
260.3104, 39.72583
260.7925, 38.17221
261.2747, 36.18884
261.7568, 34.11224
262.2389, 32.12405
262.7210, 30.13171
263.2031, 27.75317
263.6852, 24.36911
264.1674, 21.63397
264.6495, 20.19342
265.1316, 19.39810
265.6137, 18.63123
266.0958, 17.70163
266.5779, 16.57645
267.0601, 14.83600
267.5422, 11.40982
268.0243, 9.485382
268.5064, 10.49219
268.9885, 12.39835
269.4706, 13.46466
269.9528, 13.04782
270.4349, 11.64841
270.9170, 10.06113
271.3991, 7.916718
271.8812, 6.423981
272.3633, 5.885010
272.8455, 5.769257
273.3276, 5.731476
273.8097, 5.662720
274.2918, 5.605103
274.7739, 5.629822
275.2560, 5.751923
275.7382, 5.893372
276.2202, 5.964325
276.7024, 6.129730
277.1845, 6.542664
277.6666, 7.209412
278.1487, 7.997131
278.6308, 8.790009
279.1129, 9.727203
279.5951, 10.14758
280.0772, 9.671936
280.5593, 9.046143
281.0414, 8.726746
281.5235, 8.717010
282.0056, 8.664490
282.4878, 8.184418
282.9699, 7.172028
283.4520, 6.491302
283.9341, 6.202637
284.4162, 6.134857
284.8983, 6.524414
285.3805, 7.121063
285.8626, 7.262695
286.3447, 6.393768
286.8268, 4.552734
287.3089, 3.661224
287.7910, 4.369293
288.2732, 5.241913
288.7553, 6.105255
289.2374, 6.826385
289.7195, 7.149109
290.2016, 6.872528
290.6837, 6.186890
291.1659, 6.130402
291.6480, 7.592499
292.1301, 8.580322
292.6122, 8.628815
293.0943, 8.008453
293.5764, 6.859192
294.0586, 5.190063
294.5407, 3.505554
295.0228, 3.219666
295.5049, 6.426422
295.9870, 8.675262
296.4691, 9.417236
296.9513, 9.297668
297.4334, 8.983307
297.9155, 8.693024
298.3976, 8.215088
298.8797, 7.128052
299.3618, 4.535278
299.8440, 3.106720
300.3261, 3.822083
300.8082, 5.068024
301.2903, 5.494476
301.7724, 4.873840
302.2545, 3.919220
302.7367, 3.416504
303.2188, 3.400848
303.7009, 3.880859
304.1830, 5.792114
304.6651, 7.402100
305.1472, 7.199493
305.6294, 5.427795
306.1115, 3.804016
306.5936, 3.933258
307.0757, 5.967926
307.5578, 6.644745
308.0399, 4.633148
308.5221, 2.836395
309.0042, 2.902069
309.4863, 4.269928
309.9684, 5.268707
310.4505, 4.756775
310.9326, 3.024506
311.4148, 2.113861
311.8969, 2.654968
312.3790, 3.149414
312.8611, 3.157410
313.3432, 2.903748
313.8253, 2.862122
314.3075, 3.278717
314.7896, 3.816925
315.2717, 3.575348
315.7538, 1.473297
316.2359, 0.1602780
316.7180, 0.3002620
317.2001, 1.131195
317.6823, 1.970795
318.1644, 2.603149
318.6465, 2.918365
319.1286, 2.713989
319.6107, 1.649597
320.0928, 0.8520810
320.5750, 0.1047360
321.0571, 0.2484130
321.5392, 0.2625430
322.0213, 1.580231
322.5034, 3.089111
322.9855, 4.251770
323.4677, 5.116791
323.9498, 5.018250
324.4319, 3.194824
324.9140, 1.268799
325.3961, 0.1737370
325.8782, 1.049042
326.3604, 1.334015
326.8425, 0.9504090
327.3246, 3.8176998E-02
327.8067, 0.9154970
328.2888, 1.977600
328.7709, 2.629486
329.2531, 2.509766
329.7352, 1.915955
330.2173, 1.300507
330.6994, 0.8742980
331.1815, 0.5928040
331.6636, 0.3334660
332.1458, 1.6602000E-02
332.6279, 0.1671450
333.1100, 2.6860000E-03
333.5921, 0.2023930
334.0742, 2.8717000E-02
334.5563, 0.6066280
335.0385, 1.359131
335.5206, 1.723450
336.0027, 1.539795
336.4848, 1.343811
336.9669, 1.385132
337.4490, 1.224487
337.9312, 0.4374390
338.4133, 0.9049680
338.8954, 2.348969
339.3775, 3.534241
339.8596, 4.499054
340.3417, 4.707733
340.8239, 3.653442
341.3060, 2.481171
341.7881, 1.200348
342.2702, 0.1228030
342.7523, 5.9356999E-02
343.2344, 1.175415
343.7166, 3.386810
344.1987, 4.412842
344.6808, 2.585205
345.1629, 1.413544
345.6450, 1.864655
346.1271, 2.876038
346.6093, 3.249603
347.0914, 2.548096
347.5735, 1.203766
348.0556, 3.4479999E-03
348.5377, 1.120728
349.0198, 1.944153
349.5020, 2.483673
349.9841, 2.760284
350.4662, 2.789581
350.9483, 2.570160
351.4304, 2.062378
351.9125, 1.168121
352.3947, 0.1914670
352.8768, 1.307068
353.3589, 2.494171
353.8410, 3.153137
354.3231, 2.412750
354.8052, 0.9829410
355.2874, 0.4429930
355.7695, 2.063721
356.2516, 5.248077
356.7337, 6.530426
357.2158, 3.872131
357.6979, 2.003845
358.1800, 2.351471
358.6621, 3.664185
359.1443, 4.453766
359.6264, 4.160919
360.1085, 3.505920
360.5906, 3.965759
361.0727, 6.278473
361.5548, 7.789429
362.0370, 7.978302
362.5191, 7.538055
363.0012, 6.615387
363.4833, 5.362549
363.9654, 4.213135
364.4475, 3.681335
364.9297, 3.813690
365.4118, 3.804779
365.8939, 3.014801
366.3760, 2.811340
366.8581, 4.263184
367.3402, 6.694855
367.8224, 8.714050
368.3045, 9.507172
368.7866, 9.312622
369.2687, 8.712524
369.7508, 7.335388
370.2329, 6.464386
370.7151, 7.062866
371.1972, 8.075592
371.6793, 8.304718
372.1614, 7.306244
372.6435, 6.276520
373.1256, 7.027069
373.6078, 9.710999
374.0899, 11.52438
374.5720, 11.70035
375.0541, 11.01257
375.5362, 9.683441
376.0183, 7.843109
376.5005, 6.362030
376.9826, 6.026703
377.4647, 6.519775
377.9468, 6.679901
378.4289, 6.276581
378.9110, 5.864929
379.3932, 5.673981
379.8753, 5.794617
380.3574, 6.546844
380.8395, 8.861572
381.3216, 11.05582
381.8037, 10.47723
382.2859, 7.052124
382.7680, 4.323822
383.2501, 3.941101
383.7322, 5.124359
384.2143, 6.641724
384.6964, 8.737976
385.1786, 10.42075
385.6607, 10.62250
386.1428, 9.892609
386.6249, 9.950592
387.1070, 11.52063
387.5891, 13.00339
388.0713, 11.94760
388.5534, 8.627106
389.0355, 6.288025
389.5176, 5.811798
389.9997, 6.463745
390.4818, 7.971680
390.9640, 10.23447
391.4461, 12.14188
391.9282, 12.96582
392.4103, 12.70639
392.8924, 11.85959
393.3745, 9.321686
393.8567, 7.522858
394.3388, 7.850555
394.8209, 9.513947
395.3030, 11.06940
395.7851, 12.04178
396.2672, 12.66220
396.7494, 13.34048
397.2315, 14.30438
397.7136, 14.66229
398.1957, 13.66986
398.6778, 12.53101
399.1599, 12.31204
399.6420, 13.05203
400.1241, 14.06873
400.6063, 14.80469
401.0884, 15.29675
401.5705, 15.67865
402.0526, 15.97784
402.5347, 16.15744
403.0168, 16.00781
403.4990, 15.77682
403.9811, 15.89224
404.4632, 16.56372
404.9453, 17.56363
405.4274, 18.35989
405.9095, 19.04129
406.3917, 19.22592
406.8738, 18.81891
407.3559, 18.07776
407.8380, 17.00299
408.3201, 15.72202
408.8022, 14.59616
409.2844, 13.89758
409.7665, 13.62338
410.2486, 14.31216
410.7307, 17.50269
411.2128, 19.81396
411.6949, 19.41855
412.1771, 17.65878
412.6592, 16.81522
413.1413, 18.12836
413.6234, 20.55811
414.1055, 21.80936
414.5876, 21.47333
415.0698, 21.21954
415.5519, 21.52805
416.0340, 21.99921
416.5161, 22.44449
416.9982, 22.82428
417.4803, 23.03760
417.9625, 22.97769
418.4446, 22.66830
418.9267, 22.24887
