##NAMES=Armalcolite
##RRUFFID=R070260
##IDEAL CHEMISTRY=(Mg,Fe^2+^)Ti^4+^_2_O_5_
##LOCALITY=Chelyabinsk Oblast', Urals Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Gray semimetallic, elongated tabular crystals on coal
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070260
277.5535, 2.350296
278.0356, 1.830147
278.5177, 1.790184
278.9998, 1.597786
279.4819, 1.022987
279.9641, 0.2143940
280.4462, 4.8186999E-02
280.9283, 0.3580090
281.4104, 0.7756810
281.8925, 0.4923780
282.3746, 0.5080260
282.8568, 0.9744950
283.3389, 0.5334850
283.8210, 0.4391780
284.3031, 0.9152450
284.7852, 0.8688050
285.2673, 0.5708620
285.7495, 0.1525040
286.2316, 0.3767700
286.7137, 0.9323350
287.1958, 1.560722
287.6779, 2.128227
288.1600, 2.303337
288.6422, 2.080727
289.1243, 1.792679
289.6064, 1.656052
290.0885, 1.638916
290.5706, 1.588806
291.0527, 1.504128
291.5349, 1.350281
292.0170, 1.031876
292.4991, 0.5661320
292.9812, 0.1012730
293.4633, 0.3350680
293.9454, 0.7107540
294.4276, 0.8972550
294.9097, 0.8697280
295.3918, 0.7338330
295.8739, 0.5624620
296.3560, 0.3776550
296.8381, 0.2684940
297.3203, 0.3644180
297.8024, 0.5539170
298.2845, 0.5821230
298.7666, 0.4323730
299.2487, 0.2485350
299.7308, 0.1680760
300.2130, 0.1649780
300.6951, 0.1640780
301.1772, 7.1419001E-02
301.6593, 0.2239910
302.1414, 0.3599400
302.6235, 1.661125
303.1057, 2.879356
303.5878, 3.221161
304.0699, 3.018913
304.5520, 2.862030
305.0341, 2.867264
305.5162, 3.069397
305.9984, 3.714241
306.4805, 4.708252
306.9626, 5.443298
307.4447, 5.206833
307.9268, 4.552048
308.4089, 4.238258
308.8911, 4.698029
309.3732, 5.180595
309.8553, 4.891151
310.3374, 4.070564
310.8195, 3.523758
311.3016, 3.889023
311.7838, 4.646797
312.2659, 5.373634
312.7480, 6.041367
313.2301, 6.543213
313.7122, 6.706978
314.1943, 6.662491
314.6765, 6.681625
315.1586, 6.935471
315.6407, 7.256874
316.1228, 7.479965
316.6049, 7.503342
317.0870, 7.789688
317.5692, 9.022354
318.0513, 10.53698
318.5334, 11.39641
319.0155, 10.67501
319.4976, 9.787025
319.9797, 9.185074
320.4619, 8.884995
320.9440, 9.108032
321.4261, 10.76987
321.9082, 12.61812
322.3903, 13.45782
322.8724, 11.84554
323.3546, 10.39901
323.8367, 9.965019
324.3188, 10.51186
324.8009, 10.75462
325.2830, 10.26411
325.7651, 9.550255
326.2473, 8.968376
326.7294, 8.176720
327.2115, 7.862099
327.6936, 8.464394
328.1757, 9.753899
328.6578, 10.59499
329.1400, 10.79728
329.6221, 10.71893
330.1042, 10.47771
330.5863, 9.869759
331.0684, 9.471657
331.5505, 9.443741
332.0327, 9.583389
332.5148, 9.442612
332.9969, 8.727379
333.4790, 8.138077
333.9611, 7.987000
334.4432, 8.497528
334.9254, 8.472626
335.4075, 7.577614
335.8896, 6.429359
336.3717, 5.946281
336.8538, 6.411720
337.3359, 6.872498
337.8180, 7.021820
338.3001, 6.863167
338.7823, 7.048981
339.2644, 7.760742
339.7465, 8.425888
340.2286, 8.386993
340.7107, 7.558662
341.1928, 6.722389
341.6750, 6.038177
342.1571, 5.436905
342.6392, 4.795189
343.1213, 4.059319
343.6034, 3.506126
344.0855, 3.465973
344.5677, 3.905106
345.0498, 3.959297
345.5319, 3.406364
346.0140, 2.656158
346.4961, 2.641403
346.9782, 3.329712
347.4604, 3.788666
347.9425, 3.175369
348.4246, 1.851715
348.9067, 1.215126
349.3888, 1.421974
349.8709, 1.936661
350.3531, 2.168793
350.8352, 2.171501
351.3173, 2.137215
351.7994, 2.095901
352.2815, 2.065002
352.7636, 2.077377
353.2458, 2.129456
353.7279, 2.219475
354.2100, 2.448654
354.6921, 2.700172
355.1742, 2.774384
355.6563, 2.559052
356.1385, 2.190613
356.6206, 1.667114
357.1027, 1.043098
357.5848, 0.6198730
358.0669, 0.6029590
358.5490, 0.8568270
359.0312, 1.333504
359.5133, 2.286476
359.9954, 2.932388
360.4775, 2.488052
360.9596, 1.366280
361.4417, 0.4953000
361.9239, 0.3282240
362.4060, 0.4460300
362.8881, 0.6700130
363.3702, 1.008423
363.8523, 1.309898
364.3344, 1.573868
364.8166, 1.756241
365.2987, 1.810509
365.7808, 1.481850
366.2629, 1.265221
366.7450, 1.423950
367.2271, 1.953812
367.7093, 2.187210
368.1914, 1.597603
368.6735, 0.9643940
369.1556, 0.7988050
369.6377, 1.599785
370.1198, 2.275856
370.6020, 2.832161
371.0841, 3.239311
371.5662, 3.388443
372.0483, 3.225304
372.5304, 2.866173
373.0125, 2.282272
373.4947, 1.240585
373.9768, 0.7011570
374.4589, 0.9298860
374.9410, 1.441307
375.4231, 1.393867
375.9052, 0.5373310
376.3874, 0.1736220
376.8695, 0.4327010
377.3516, 0.2498780
377.8337, 2.7496001E-02
378.3158, 0.4528500
378.7979, 0.8410490
379.2801, 1.000488
379.7622, 0.9265750
380.2443, 0.7433170
380.7264, 0.4088900
381.2085, 3.2683998E-02
381.6906, 1.4664000E-02
382.1728, 0.2743760
382.6549, 0.4882740
383.1370, 0.1036220
383.6191, 0.6436160
384.1012, 0.6553730
384.5833, 0.3547670
385.0655, 1.505928
385.5476, 1.475426
386.0297, 0.5393450
386.5118, 0.2958300
386.9939, 0.4388430
387.4760, 0.2413020
387.9582, 0.2331470
388.4403, 0.4272690
388.9224, 0.5801540
389.4045, 0.4603580
389.8866, 0.1828690
390.3687, 0.1019290
390.8509, 0.4593120
391.3330, 0.6831130
391.8151, 0.5063100
392.2972, 3.1714998E-02
392.7793, 0.3266140
393.2614, 0.2891240
393.7436, 0.1054080
394.2257, 5.9296001E-02
394.7078, 0.1880190
395.1899, 0.2627870
395.6720, 0.1952360
396.1541, 8.2771003E-02
396.6363, 8.2298003E-02
397.1184, 0.2238540
397.6005, 0.4895940
398.0826, 0.9792020
398.5647, 1.756516
399.0468, 2.222168
399.5290, 2.131447
400.0111, 1.809990
400.4932, 1.511810
400.9753, 1.061066
401.4574, 0.8747100
401.9395, 1.112061
402.4217, 1.672935
402.9038, 2.073418
403.3859, 2.281120
403.8680, 2.370720
404.3501, 2.377541
404.8322, 2.303970
405.3144, 2.098007
405.7965, 1.602806
406.2786, 1.152504
406.7607, 1.447029
407.2428, 2.674652
407.7249, 3.635460
408.2071, 3.844223
408.6892, 3.423347
409.1713, 3.105042
409.6534, 2.883469
410.1355, 2.792274
410.6176, 2.971619
411.0998, 3.354309
411.5819, 3.495827
412.0640, 3.199097
412.5461, 2.811623
413.0282, 2.965668
413.5103, 3.582458
413.9925, 4.195030
414.4746, 4.573441
414.9567, 4.764160
415.4388, 4.796196
415.9209, 4.657829
416.4030, 4.513245
416.8852, 4.576660
417.3673, 4.714050
417.8494, 4.703247
418.3315, 4.274048
418.8136, 3.821121
419.2957, 3.700623
419.7779, 3.845284
420.2600, 3.775566
420.7421, 3.043045
421.2242, 2.154350
421.7063, 1.479019
422.1884, 1.060074
422.6706, 0.8748550
423.1527, 1.062454
423.6348, 1.460854
424.1169, 1.764923
424.5990, 1.819160
425.0811, 1.883751
425.5633, 2.093987
426.0454, 2.506897
426.5275, 2.649780
427.0096, 2.309776
427.4917, 1.872047
427.9738, 1.647415
428.4560, 1.719162
428.9381, 1.829895
429.4202, 1.963837
429.9023, 2.113297
430.3844, 2.257759
430.8665, 2.394478
431.3487, 2.531738
431.8308, 2.693092
432.3129, 2.887749
432.7950, 2.988159
433.2771, 2.987602
433.7592, 2.901161
434.2414, 2.761925
434.7235, 2.561798
435.2056, 2.210426
435.6877, 1.506760
436.1698, 0.7414700
436.6519, 0.7178650
437.1341, 1.390923
437.6162, 1.956390
438.0983, 1.467712
438.5804, 0.5541760
439.0625, 0.4183270
439.5446, 1.452675
440.0268, 2.625839
440.5089, 2.961967
440.9910, 2.754333
441.4731, 2.579636
441.9552, 3.090965
442.4373, 3.499214
442.9195, 2.987877
443.4016, 1.573578
443.8837, 0.6064380
444.3658, 0.9219280
444.8479, 1.740341
445.3300, 2.454277
445.8122, 2.710495
446.2943, 3.135254
446.7764, 4.347847
447.2585, 5.841354
447.7406, 6.286964
448.2227, 4.139381
448.7049, 2.374199
449.1870, 2.063515
449.6691, 3.601624
450.1512, 4.174713
450.6333, 3.170723
451.1154, 1.857697
451.5976, 1.471153
452.0797, 2.276604
452.5618, 3.143272
453.0439, 3.981834
453.5260, 4.727440
454.0081, 5.190445
454.4903, 5.343979
454.9724, 5.398560
455.4545, 5.503197
455.9366, 5.628296
456.4187, 5.490150
456.9008, 5.029541
457.3830, 4.587631
457.8651, 4.720192
458.3472, 5.233063
458.8293, 5.459595
459.3114, 4.890747
459.7935, 4.231361
460.2757, 4.564781
460.7578, 5.695442
461.2399, 6.639595
461.7220, 6.614395
462.2041, 6.211479
462.6862, 5.981560
463.1684, 6.055397
463.6505, 6.165321
464.1326, 6.325119
464.6147, 6.458328
465.0968, 6.464661
465.5789, 6.039574
466.0611, 5.756302
466.5432, 5.982201
467.0253, 6.641541
467.5074, 6.868309
467.9895, 6.060669
468.4716, 5.203590
468.9538, 4.744781
469.4359, 4.724190
469.9180, 5.064064
470.4001, 6.098480
470.8822, 7.264267
471.3643, 7.649071
471.8465, 6.966202
472.3286, 6.314415
472.8107, 5.898239
473.2928, 5.745132
473.7749, 6.192215
474.2570, 7.337845
474.7392, 8.395332
475.2213, 8.637245
475.7034, 8.111168
476.1855, 7.677727
476.6676, 7.472595
477.1497, 7.474335
477.6319, 7.830559
478.1140, 8.405609
478.5961, 8.748322
479.0782, 8.424683
479.5603, 7.936295
480.0424, 7.891602
480.5246, 8.221733
481.0067, 8.596962
481.4888, 8.874680
481.9709, 9.028839
482.4530, 9.131523
482.9352, 9.272728
483.4173, 9.162125
483.8994, 8.239067
484.3815, 7.080116
484.8636, 6.579033
485.3457, 7.693581
485.8279, 8.711578
486.3100, 9.198029
486.7921, 9.154739
487.2742, 8.934990
487.7563, 8.181870
488.2384, 7.559746
488.7206, 7.561302
489.2027, 8.664894
489.6848, 9.082932
490.1669, 8.564415
490.6490, 7.610069
491.1311, 7.001579
491.6133, 6.775734
492.0954, 6.644180
492.5775, 6.566360
493.0596, 6.476479
493.5417, 6.153221
494.0238, 5.595039
494.5060, 5.134422
494.9881, 5.121826
495.4702, 5.390511
495.9523, 5.517723
496.4344, 5.444122
496.9165, 5.351280
497.3987, 5.290661
497.8808, 5.209435
498.3629, 5.165989
498.8450, 5.289703
499.3271, 5.356552
499.8092, 5.181519
500.2914, 4.800247
500.7735, 4.430626
501.2556, 4.122971
501.7377, 3.878811
502.2198, 3.696995
502.7019, 3.563263
503.1841, 3.464600
503.6662, 3.405308
504.1483, 3.380684
504.6304, 3.386135
505.1125, 3.424019
505.5946, 3.485744
506.0768, 3.613430
506.5589, 3.767502
507.0410, 3.712418
507.5231, 3.354290
508.0052, 3.049236
508.4873, 2.969006
508.9695, 3.115940
509.4516, 3.505684
509.9337, 4.225765
510.4158, 4.818867
510.8979, 4.665649
511.3800, 3.909912
511.8622, 3.112026
512.3443, 2.209843
512.8264, 1.534313
513.3085, 1.599964
513.7906, 2.264168
514.2728, 3.015282
514.7549, 3.855000
515.2370, 4.461201
515.7191, 4.376957
516.2012, 3.527233
516.6833, 2.917736
517.1655, 3.257561
517.6476, 3.909416
518.1297, 4.334045
518.6118, 4.703300
519.0939, 4.486485
519.5760, 2.944973
520.0582, 0.7965740
520.5403, 0.2701300
521.0224, 0.5716400
521.5045, 1.345890
521.9866, 1.386421
522.4688, 0.6957630
522.9509, 0.8097420
523.4330, 2.074306
523.9151, 3.337765
524.3972, 3.588093
524.8793, 2.797218
525.3615, 2.273594
525.8436, 2.170479
526.3257, 2.249313
526.8078, 2.070374
527.2899, 1.725346
527.7720, 1.685364
528.2542, 2.493103
528.7363, 3.425468
529.2184, 3.509701
529.7005, 2.827862
530.1826, 1.831337
530.6647, 0.3568840
531.1469, 1.041355
531.6290, 1.963943
532.1111, 2.374046
532.5932, 2.166027
533.0753, 0.7232670
533.5574, 1.111637
534.0396, 2.440968
534.5217, 3.076130
535.0038, 3.249954
535.4859, 2.844730
535.9680, 2.000069
536.4501, 1.094357
536.9323, 8.2484998E-02
537.4144, 0.9652400
537.8965, 1.339020
538.3786, 1.200665
538.8607, 0.6493570
539.3428, 0.4754330
539.8250, 1.504108
540.3071, 1.611931
540.7892, 0.9199640
541.2713, 0.6839070
541.7534, 1.226810
542.2355, 1.907734
542.7177, 1.748116
543.1998, 0.9604450
543.6819, 0.2247540
544.1640, 0.2223320
544.6461, 0.4134830
545.1282, 0.3131370
545.6104, 4.8992001E-02
546.0925, 0.4853670
546.5746, 1.240799
547.0567, 1.796932
547.5388, 1.702953
548.0209, 0.6382290
548.5031, 0.1973650
548.9852, 0.5290180
549.4673, 0.5295370
549.9494, 0.3704830
550.4315, 0.1398700
550.9136, 0.4973340
551.3958, 0.6148570
551.8779, 0.5543820
552.3600, 0.5190730
552.8421, 0.5519140
553.3242, 0.4444200
553.8063, 7.2136000E-02
554.2885, 0.8733560
554.7706, 0.8239780
555.2527, 0.1443630
555.7348, 1.240623
556.2169, 1.868874
556.6990, 2.085526
557.1812, 2.002762
557.6633, 1.587624
558.1454, 1.076939
558.6275, 0.4818040
559.1096, 1.5686000E-02
559.5917, 0.1069720
560.0739, 0.9247670
560.5560, 1.835682
561.0381, 1.779671
561.5202, 0.9999280
562.0023, 0.5821460
562.4844, 1.227940
562.9666, 1.926987
563.4487, 2.212711
563.9308, 1.995552
564.4129, 1.776814
564.8950, 1.509159
565.3771, 1.290661
565.8593, 1.230392
566.3414, 1.390060
566.8235, 1.449009
567.3056, 1.388031
567.7877, 1.194813
568.2698, 0.6589130
568.7520, 0.1794360
569.2341, 0.5280570
569.7162, 0.2937280
570.1983, 1.532234
570.6804, 1.677883
571.1625, 0.8696250
571.6447, 8.1744999E-02
572.1268, 2.2072000E-02
572.6089, 0.1862910
573.0910, 0.3322300
573.5731, 0.3486330
574.0552, 0.5094260
574.5374, 1.182018
575.0195, 1.939117
575.5016, 2.383667
575.9837, 2.216103
576.4658, 2.002880
576.9479, 1.597725
577.4301, 1.221752
577.9122, 1.365849
578.3943, 2.371529
578.8764, 3.183056
579.3585, 3.402508
579.8406, 3.126133
580.3228, 3.079052
580.8049, 3.301594
581.2870, 3.517223
581.7691, 3.465828
582.2512, 3.239025
582.7333, 3.248917
583.2155, 3.542118
583.6975, 3.853207
584.1796, 3.840633
584.6617, 3.702873
585.1439, 3.810257
585.6260, 4.481022
586.1081, 5.025978
586.5902, 4.808884
587.0723, 4.189762
587.5544, 3.866524
588.0366, 4.426182
588.5187, 4.907600
589.0008, 4.908432
589.4829, 4.455021
589.9650, 3.928658
590.4471, 3.086494
590.9293, 2.653610
591.4114, 2.996410
591.8935, 4.182014
592.3756, 5.247597
592.8577, 6.291485
593.3398, 6.950191
593.8220, 6.458752
594.3041, 5.037842
594.7862, 4.549732
595.2683, 5.556496
595.7504, 6.925179
596.2325, 7.125244
596.7147, 6.535057
597.1968, 6.088196
597.6789, 6.158138
598.1610, 6.445999
598.6431, 6.874310
599.1252, 7.380226
599.6074, 7.688072
600.0895, 7.454132
600.5716, 7.206524
601.0537, 7.253933
601.5358, 7.728374
602.0179, 7.900913
602.5001, 7.463070
602.9822, 7.063126
603.4643, 7.245644
603.9464, 8.203552
604.4285, 8.872334
604.9106, 9.081467
605.3928, 9.183105
605.8749, 9.859940
606.3570, 11.03018
606.8391, 11.84436
607.3212, 11.96708
607.8033, 11.75422
608.2855, 11.65824
608.7676, 11.65578
609.2497, 11.75306
609.7318, 11.98951
610.2139, 12.30054
610.6960, 12.72100
611.1782, 13.23676
611.6603, 13.51183
612.1424, 13.18922
612.6245, 12.76086
613.1066, 12.52474
613.5887, 12.37131
614.0709, 12.55134
614.5530, 13.22915
615.0351, 14.09676
615.5172, 14.83784
615.9993, 15.42256
616.4814, 16.06571
616.9636, 16.84639
617.4457, 17.61530
617.9278, 18.02786
618.4099, 18.11172
618.8920, 18.30047
619.3741, 18.92916
619.8563, 19.65276
620.3384, 19.72285
620.8205, 19.32079
621.3026, 19.37128
621.7847, 20.80076
622.2668, 22.60741
622.7490, 24.09491
623.2311, 25.20135
623.7132, 26.03449
624.1953, 26.44487
624.6774, 26.71290
625.1595, 27.02378
625.6417, 27.31116
626.1238, 27.78764
626.6059, 28.47716
627.0880, 29.29312
627.5701, 30.22993
628.0522, 31.27873
628.5344, 32.22647
629.0165, 33.05622
629.4986, 33.71705
629.9807, 33.98817
630.4628, 33.95542
630.9449, 34.05275
631.4271, 34.47284
631.9092, 35.14601
632.3913, 36.19617
632.8734, 37.52645
633.3555, 38.53434
633.8376, 38.66913
634.3198, 38.73066
634.8019, 39.00521
635.2840, 39.39959
635.7661, 39.77967
636.2482, 40.04796
636.7303, 40.52504
637.2125, 41.41094
637.6946, 42.90369
638.1767, 43.97309
638.6588, 44.58637
639.1409, 44.78080
639.6230, 44.41679
640.1052, 43.54452
640.5873, 42.92995
641.0694, 42.83453
641.5515, 42.97881
642.0336, 43.02364
642.5157, 42.96991
642.9979, 42.81795
643.4800, 42.56411
643.9621, 42.21513
644.4442, 41.72954
644.9263, 41.14967
645.4084, 40.64857
645.8906, 40.37213
646.3727, 40.00119
646.8548, 39.28864
647.3369, 38.15587
647.8190, 37.32510
648.3011, 36.87046
648.7833, 36.61749
649.2654, 36.61805
649.7475, 36.94704
650.2296, 36.40983
650.7117, 34.78412
651.1938, 32.90097
651.6760, 31.89864
652.1581, 31.54985
652.6402, 31.05646
653.1223, 30.15944
653.6044, 29.10283
654.0865, 27.74955
654.5687, 26.43244
655.0508, 25.64388
655.5329, 26.16230
656.0150, 26.53175
656.4971, 26.20943
656.9792, 25.30160
657.4614, 24.36734
657.9435, 23.30881
658.4256, 22.33214
658.9077, 21.51561
659.3898, 20.89337
659.8719, 20.30916
660.3541, 19.76093
660.8362, 19.26190
661.3183, 18.81209
661.8004, 18.41776
662.2825, 18.10416
662.7646, 17.88772
663.2468, 17.67151
663.7289, 17.32384
664.2110, 16.91835
664.6931, 16.57921
665.1752, 16.38436
665.6573, 16.07942
666.1395, 15.52673
666.6216, 14.80375
667.1037, 13.96762
667.5858, 12.62350
668.0679, 11.69750
668.5500, 11.40275
669.0322, 11.50785
669.5143, 11.55939
669.9964, 11.62197
670.4785, 11.55644
670.9606, 11.26826
671.4427, 10.78293
671.9249, 10.14653
672.4070, 9.392178
672.8891, 8.717697
673.3712, 8.591011
673.8533, 8.460800
674.3354, 7.185360
674.8176, 4.950951
675.2997, 3.567196
675.7818, 4.656059
676.2639, 6.340908
676.7460, 7.593140
677.2281, 8.315254
677.7103, 8.382820
678.1924, 7.412716
678.6745, 6.195942
679.1566, 5.214096
679.6387, 4.424751
680.1208, 4.324337
680.6030, 5.100563
681.0851, 6.016857
681.5672, 6.142239
682.0493, 5.635349
682.5314, 5.148590
683.0135, 4.830280
683.4957, 4.611935
683.9778, 4.392467
684.4599, 4.228012
684.9420, 4.230572
685.4241, 4.861000
685.9063, 5.220093
686.3884, 4.615551
686.8705, 3.422142
687.3526, 2.968098
687.8347, 3.909222
688.3168, 4.728893
688.7990, 5.033791
689.2811, 4.878864
689.7632, 4.690945
690.2453, 4.549194
690.7274, 3.854881
691.2095, 1.445255
691.6917, 1.720112
692.1738, 2.319004
692.6559, 0.4209180
693.1380, 1.396008
693.6201, 0.7645610
694.1022, 0.5803600
694.5844, 0.8279840
695.0665, 0.4522630
695.5486, 1.480705
696.0307, 1.472530
696.5128, 1.079746
696.9949, 0.8052560
697.4771, 0.6568410
697.9592, 0.6520350
698.4413, 0.8355520
698.9234, 1.107178
699.4055, 1.376423
699.8876, 1.645802
700.3698, 1.853054
700.8519, 2.032509
701.3340, 2.024353
701.8161, 1.279072
702.2982, 0.1627160
702.7803, 0.3818050
703.2625, 0.4341160
703.7446, 1.399250
704.2267, 1.713112
704.7088, 1.576649
705.1909, 1.424934
705.6730, 1.393616
706.1552, 1.331821
706.6373, 1.191593
707.1194, 0.9893040
707.6015, 0.8213230
708.0836, 0.7335280
708.5657, 0.5185360
709.0479, 8.4572002E-02
709.5300, 0.8667070
710.0121, 0.6760830
710.4942, 0.4386410
710.9763, 1.273129
711.4584, 0.6111680
711.9406, 0.5733180
712.4227, 0.9830630
712.9048, 0.5729940
713.3869, 0.2329940
713.8690, 0.5801390
714.3511, 1.008060
714.8333, 1.140358
715.3154, 0.9058340
715.7975, 0.3965030
716.2796, 0.6756210
716.7617, 1.676640
717.2438, 2.079147
717.7260, 1.828720
718.2081, 1.538116
718.6902, 1.242947
719.1723, 0.9204750
719.6544, 0.5008850
720.1365, 3.8394999E-02
720.6187, 0.3299480
721.1008, 0.5730970
721.5829, 0.7314450
722.0650, 0.9322810
722.5471, 1.037758
723.0292, 0.8642460
723.5114, 5.0689999E-02
723.9935, 0.6639560
724.4756, 1.217918
724.9577, 1.591316
725.4398, 1.767662
725.9219, 1.781548
726.4041, 1.419769
726.8862, 0.4538500
727.3683, 0.7219240
727.8504, 1.073338
728.3325, 0.6927720
728.8146, 0.1714520
729.2968, 0.4744800
729.7789, 0.9081040
730.2610, 0.4270780
730.7431, 0.6480940
731.2252, 1.255005
731.7073, 0.3798260
732.1895, 0.5219650
732.6716, 0.7423360
733.1537, 0.3155630
733.6358, 0.1319270
734.1179, 0.2564740
734.6000, 0.5312500
735.0822, 1.042709
735.5643, 1.711151
736.0464, 1.521107
736.5285, 0.4269070
737.0106, 0.6065750
737.4927, 0.9381680
737.9749, 0.7369230
738.4570, 0.1770210
738.9391, 0.7137450
739.4212, 1.608925
739.9033, 2.460461
740.3854, 3.138977
740.8676, 3.507538
741.3497, 3.459202
741.8318, 3.483963
742.3139, 3.820019
742.7960, 4.011776
743.2781, 3.594963
743.7603, 2.380985
744.2424, 2.027889
744.7245, 2.737129
745.2066, 3.648415
745.6887, 3.816242
746.1708, 3.487595
746.6530, 3.298283
747.1351, 3.367908
747.6172, 3.522408
748.0993, 3.656628
748.5814, 3.796837
749.0635, 3.967812
749.5457, 4.013016
750.0278, 4.098099
750.5099, 4.400249
750.9920, 4.822460
751.4741, 5.326340
751.9562, 5.940464
752.4384, 6.162743
752.9205, 5.897686
753.4026, 5.459381
753.8847, 5.547710
754.3668, 6.002434
754.8489, 6.138588
755.3311, 5.526825
755.8132, 4.941010
756.2953, 5.185871
756.7774, 5.911747
757.2595, 6.503193
757.7416, 6.674538
758.2238, 6.809200
758.7059, 7.005726
759.1880, 7.227791
759.6701, 7.375305
760.1522, 7.371155
760.6343, 7.481869
761.1165, 7.920650
761.5986, 8.496368
762.0807, 8.806904
762.5628, 8.893700
763.0449, 8.992458
763.5270, 9.080730
764.0092, 9.345333
764.4913, 10.25217
764.9734, 11.52058
765.4555, 12.29424
765.9376, 11.65613
766.4197, 11.09926
766.9019, 11.21629
767.3840, 11.82045
767.8661, 12.20683
768.3482, 12.33702
768.8303, 12.49079
769.3124, 12.80872
769.7946, 13.18816
770.2767, 13.53235
770.7588, 13.88808
771.2409, 14.20808
771.7230, 14.40324
772.2051, 14.51642
772.6873, 14.56270
773.1694, 14.58941
773.6515, 14.76253
774.1336, 15.17162
774.6157, 15.68401
775.0978, 16.32501
775.5800, 17.08282
776.0621, 17.64921
776.5442, 18.02690
777.0263, 18.20406
777.5084, 18.05939
777.9905, 17.68560
778.4727, 17.50421
