##NAMES=Stringhamite
##RRUFFID=R060934
##IDEAL CHEMISTRY=CaCu^2+^SiO_4_&#183;H_2_O
##LOCALITY=Santos mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Azure blue crust, there is no diffraction from this material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060934
237.7181, 305.1271
238.2003, 317.5297
238.6824, 326.7041
239.1645, 339.0089
239.6466, 367.5493
240.1287, 412.0603
240.6108, 437.8137
241.0930, 423.0865
241.5751, 394.8752
242.0572, 379.8553
242.5393, 380.2144
243.0214, 384.9669
243.5035, 391.2557
243.9857, 397.2817
244.4678, 390.9033
244.9499, 364.6570
245.4320, 330.8494
245.9141, 300.1519
246.3962, 272.5388
246.8784, 250.7559
247.3605, 240.0488
247.8426, 236.4553
248.3247, 229.4612
248.8068, 217.4868
249.2889, 201.4641
249.7710, 177.5251
250.2532, 147.5991
250.7353, 127.3501
251.2174, 129.0430
251.6995, 141.5105
252.1816, 146.7634
252.6637, 142.4099
253.1459, 133.4631
253.6280, 121.4788
254.1101, 107.5615
254.5922, 97.63989
255.0743, 94.93018
255.5564, 95.48267
256.0386, 95.94946
256.5207, 96.13501
257.0028, 95.72241
257.4849, 93.82227
257.9670, 89.77734
258.4492, 88.04639
258.9313, 91.66309
259.4134, 97.22583
259.8955, 102.8813
260.3776, 108.4158
260.8597, 114.0298
261.3419, 120.8708
261.8240, 128.0149
262.3061, 132.6204
262.7882, 132.1733
263.2703, 132.7361
263.7524, 138.9185
264.2346, 147.1370
264.7167, 150.0386
265.1988, 144.2522
265.6809, 133.0479
266.1630, 125.4475
266.6451, 121.3530
267.1272, 117.0447
267.6093, 112.1458
268.0915, 107.8647
268.5736, 105.4736
269.0557, 105.3960
269.5378, 106.6665
270.0199, 107.5681
270.5020, 105.7742
270.9842, 108.7256
271.4663, 122.0090
271.9484, 136.7195
272.4305, 145.6521
272.9126, 147.5298
273.3947, 144.9243
273.8769, 140.2451
274.3590, 132.2239
274.8411, 127.3369
275.3232, 134.3425
275.8053, 136.4612
276.2874, 119.8469
276.7696, 88.47510
277.2517, 58.42896
277.7338, 43.43530
278.2159, 43.80420
278.6980, 43.89087
279.1801, 47.85815
279.6623, 47.14868
280.1444, 35.00708
280.6265, 16.82935
281.1086, 2.005615
281.5907, 3.937988
282.0728, 2.208252
282.5550, 2.222900
283.0371, 14.24390
283.5192, 22.05005
284.0013, 22.86450
284.4834, 19.21509
284.9655, 13.19336
285.4477, 5.560547
285.9298, 2.427734
286.4119, 7.915283
286.8940, 8.840576
287.3761, 12.54614
287.8582, 24.59277
288.3404, 36.54810
288.8225, 41.94482
289.3046, 39.82764
289.7867, 34.92432
290.2688, 33.32349
290.7509, 35.72681
291.2331, 32.83057
291.7152, 19.39941
292.1973, 4.093506
292.6794, 10.02148
293.1615, 22.11523
293.6436, 30.29419
294.1258, 31.50610
294.6079, 27.25806
295.0900, 24.53101
295.5721, 24.54932
296.0542, 24.05054
296.5363, 17.48218
297.0185, 8.830322
297.5006, 7.047363
297.9827, 17.26587
298.4648, 35.13477
298.9469, 56.76514
299.4290, 82.90967
299.9112, 105.3501
300.3933, 119.2300
300.8754, 126.1675
301.3575, 128.8665
301.8396, 122.3999
302.3217, 119.4561
302.8039, 135.9766
303.2860, 166.5769
303.7681, 184.0132
304.2502, 175.2488
304.7323, 151.8989
305.2144, 134.1082
305.6966, 120.3928
306.1787, 114.7310
306.6608, 126.7097
307.1429, 145.0847
307.6250, 152.5818
308.1071, 144.8359
308.5893, 128.8467
309.0714, 111.1917
309.5535, 89.72705
310.0356, 77.84497
310.5177, 85.03979
310.9998, 95.33472
311.4820, 97.97192
311.9641, 92.15259
312.4462, 81.61865
312.9283, 69.10498
313.4104, 54.65698
313.8925, 37.49341
314.3747, 5.253662
314.8568, 16.10669
315.3389, 10.22803
315.8210, 11.46313
316.3031, 27.34766
316.7852, 25.42310
317.2674, 12.60889
317.7495, 12.56177
318.2316, 47.36523
318.7137, 63.05542
319.1958, 39.66187
319.6779, 5.136963
320.1601, 16.64575
320.6422, 18.82568
321.1243, 8.640869
321.6064, 7.434082
322.0885, 35.39380
322.5706, 47.59668
323.0528, 21.48438
323.5349, 3.286377
324.0170, 5.529785
324.4991, 12.49341
324.9812, 34.21094
325.4633, 48.73682
325.9455, 56.12939
326.4276, 55.78760
326.9097, 41.71191
327.3918, 29.68384
327.8739, 26.38354
328.3560, 30.01758
328.8382, 38.66528
329.3203, 54.83521
329.8024, 71.90356
330.2845, 80.14722
330.7666, 79.08032
331.2487, 74.56470
331.7309, 67.65601
332.2130, 59.18823
332.6951, 49.61499
333.1772, 37.47827
333.6593, 28.88086
334.1414, 28.37671
334.6236, 34.35645
335.1057, 43.68628
335.5878, 57.52637
336.0699, 69.33691
336.5520, 67.07471
337.0341, 49.24536
337.5162, 40.33105
337.9984, 53.28589
338.4805, 71.51733
338.9626, 78.31934
339.4447, 72.65894
339.9268, 64.88696
340.4089, 63.30176
340.8911, 67.58276
341.3732, 67.62256
341.8553, 57.94629
342.3374, 50.55249
342.8195, 48.73560
343.3016, 52.38379
343.7838, 63.59863
344.2659, 84.31055
344.7480, 106.6536
345.2301, 107.8201
345.7122, 59.64307
346.1943, 31.32153
346.6765, 40.69165
347.1586, 60.53198
347.6407, 69.91724
348.1228, 64.59961
348.6049, 53.23438
349.0870, 45.41943
349.5692, 41.95483
350.0513, 41.70288
350.5334, 43.68652
351.0155, 49.14136
351.4976, 62.35278
351.9797, 79.48535
352.4619, 92.49780
352.9440, 95.99805
353.4261, 92.59839
353.9082, 88.46069
354.3903, 83.02539
354.8724, 78.52051
355.3546, 73.85840
355.8367, 71.80615
356.3188, 77.22754
356.8009, 93.80518
357.2830, 108.2458
357.7651, 106.4778
358.2473, 91.79785
358.7294, 80.98389
359.2115, 78.39526
359.6936, 80.86206
360.1757, 85.08984
360.6578, 90.90186
361.1400, 98.54077
361.6221, 111.9453
362.1042, 125.0359
362.5863, 129.6270
363.0684, 125.6768
363.5505, 121.4453
364.0327, 122.9763
364.5148, 130.0750
364.9969, 138.1272
365.4790, 149.0146
365.9611, 158.5959
366.4432, 163.8772
366.9254, 167.2397
367.4075, 173.4497
367.8896, 184.4907
368.3717, 196.9541
368.8538, 203.1562
369.3359, 194.7207
369.8181, 194.6052
370.3002, 210.3291
370.7823, 227.5869
371.2644, 239.0327
371.7465, 242.9270
372.2286, 238.5869
372.7108, 222.0859
373.1929, 195.8606
373.6750, 183.1934
374.1571, 192.3293
374.6392, 201.7903
375.1213, 204.1812
375.6035, 201.8801
376.0856, 198.2837
376.5677, 194.1411
377.0498, 189.3645
377.5319, 183.3718
378.0140, 175.4722
378.4962, 166.6184
378.9783, 157.7639
379.4604, 149.4587
379.9425, 140.5837
380.4246, 129.1833
380.9067, 120.1306
381.3889, 114.9316
381.8710, 113.7549
382.3531, 118.5249
382.8352, 129.2437
383.3173, 136.7397
383.7994, 131.4778
384.2816, 114.3735
384.7637, 107.9795
385.2458, 120.9460
385.7279, 136.4978
386.2100, 146.7764
386.6921, 151.7527
387.1743, 153.4873
387.6564, 152.9058
388.1385, 153.3030
388.6206, 162.4956
389.1027, 192.9800
389.5848, 212.7209
390.0670, 213.6924
390.5491, 210.7192
391.0312, 213.1418
391.5133, 222.3125
391.9954, 235.4563
392.4775, 250.6086
392.9597, 266.8640
393.4418, 285.9634
393.9239, 313.4202
394.4060, 336.1101
394.8881, 352.7886
395.3702, 361.7368
395.8524, 358.1182
396.3345, 336.5879
396.8166, 313.2400
397.2987, 314.3779
397.7808, 340.1826
398.2629, 355.0312
398.7451, 345.4434
399.2272, 324.7842
399.7093, 309.5420
400.1914, 299.5867
400.6735, 284.9871
401.1556, 256.8423
401.6378, 225.2793
402.1199, 203.8948
402.6020, 192.8630
403.0841, 182.1021
403.5662, 163.5178
404.0483, 138.7466
404.5305, 120.6238
405.0126, 113.6211
405.4947, 106.9341
405.9768, 98.86499
406.4589, 88.88354
406.9410, 74.33398
407.4231, 54.70874
407.9052, 36.21460
408.3874, 29.00317
408.8695, 38.34009
409.3516, 43.48291
409.8337, 39.89136
410.3158, 36.70776
410.7979, 37.48804
411.2801, 42.14868
411.7622, 49.61450
412.2443, 60.00732
412.7264, 71.81128
413.2085, 82.75195
413.6906, 96.65381
414.1728, 97.92700
414.6549, 63.58691
415.1370, 23.67139
415.6191, 6.289551
416.1012, 16.39502
416.5833, 32.62646
417.0655, 41.17529
417.5476, 44.72778
418.0297, 52.23242
418.5118, 66.70361
418.9939, 75.82593
419.4760, 65.12256
419.9582, 36.51050
420.4403, 18.63794
420.9224, 18.69604
421.4045, 23.44946
421.8866, 26.47363
422.3687, 28.88623
422.8509, 34.57861
423.3330, 45.46704
423.8151, 57.79761
424.2972, 64.60254
424.7793, 64.80298
425.2614, 60.71338
425.7436, 45.58325
426.2257, 32.11255
426.7078, 31.60254
427.1899, 40.82178
427.6720, 46.22241
428.1541, 35.18286
428.6363, 13.43481
429.1184, 8.808594
429.6005, 30.29834
430.0826, 49.48340
430.5647, 55.16479
431.0468, 55.15869
431.5290, 55.79004
432.0111, 58.09106
432.4932, 62.16846
432.9753, 72.97144
433.4574, 85.94092
433.9395, 84.90186
434.4217, 65.18872
434.9038, 39.83374
435.3859, 17.77246
435.8680, 0.4733890
436.3501, 12.70874
436.8322, 20.84912
437.3144, 20.99146
437.7965, 3.438477
438.2786, 23.10864
438.7607, 38.62573
439.2428, 34.33496
439.7249, 21.42969
440.2071, 21.89355
440.6892, 49.14062
441.1713, 60.45020
441.6534, 47.25293
442.1355, 28.05713
442.6176, 7.012939
443.0998, 11.45874
443.5819, 18.67822
444.0640, 6.106445
444.5461, 18.96899
445.0282, 32.35596
445.5103, 29.12671
445.9925, 28.29053
446.4746, 42.03613
446.9567, 57.18237
447.4388, 62.04419
447.9209, 55.06665
448.4030, 42.74512
448.8852, 22.88940
449.3673, 1.858154
449.8494, 5.653564
450.3315, 2.716553
450.8136, 15.04688
451.2957, 23.77881
451.7779, 28.92578
452.2600, 31.30420
452.7421, 32.63501
453.2242, 29.64038
453.7063, 17.88184
454.1884, 2.417236
454.6706, 10.70459
455.1527, 19.47900
455.6348, 23.79272
456.1169, 22.84863
456.5990, 15.37720
457.0811, 9.061279
457.5633, 2.472900
458.0454, 1.318115
458.5275, 3.372559
459.0096, 10.85425
459.4917, 10.40747
459.9738, 4.325684
460.4560, 23.95557
460.9381, 35.24072
461.4202, 37.92993
461.9023, 37.56958
462.3844, 34.36328
462.8665, 29.79150
463.3487, 23.72852
463.8308, 16.50464
464.3129, 14.40942
464.7950, 24.29272
465.2771, 36.35425
465.7592, 41.13306
466.2414, 39.55713
466.7235, 37.37939
467.2056, 37.52246
467.6877, 38.97656
468.1698, 39.19067
468.6519, 36.83862
469.1341, 35.14160
469.6162, 33.50049
470.0983, 32.90283
470.5804, 35.16650
471.0625, 39.49780
471.5446, 42.59326
472.0268, 41.66162
472.5089, 37.78857
472.9910, 35.72266
473.4731, 35.85522
473.9552, 36.12036
474.4373, 36.88892
474.9195, 38.30615
475.4016, 41.49170
475.8837, 47.07812
476.3658, 49.72559
476.8479, 44.60449
477.3300, 35.47949
477.8121, 28.33936
478.2943, 23.49951
478.7764, 23.42334
479.2585, 31.98340
479.7406, 47.71680
480.2227, 58.50098
480.7048, 68.49121
481.1870, 69.35107
481.6691, 45.00391
482.1512, 17.94873
482.6333, 18.10693
483.1154, 48.73291
483.5975, 82.89648
484.0797, 90.37256
484.5618, 70.37988
485.0439, 65.40918
485.5260, 88.27881
486.0081, 107.5264
486.4902, 113.8926
486.9724, 110.6665
487.4545, 99.36523
487.9366, 78.07812
488.4187, 60.55371
488.9008, 61.02637
489.3829, 75.69727
489.8651, 92.12842
490.3472, 109.1631
490.8293, 122.9224
491.3114, 128.7046
491.7935, 127.1201
492.2756, 130.3945
492.7578, 144.5381
493.2399, 156.3105
493.7220, 157.2539
494.2041, 153.1777
494.6862, 156.2637
495.1683, 169.8242
495.6505, 182.9326
496.1326, 177.4331
496.6147, 149.0903
497.0968, 129.3843
497.5789, 121.7271
498.0610, 119.6162
498.5432, 121.2710
499.0253, 126.7007
499.5074, 137.3003
499.9895, 154.7876
500.4716, 172.2378
500.9537, 182.5981
501.4359, 186.4897
501.9180, 184.9238
502.4001, 175.5210
502.8822, 166.7915
503.3643, 167.8008
503.8464, 178.3833
504.3286, 187.2217
504.8107, 193.6611
505.2928, 198.6621
505.7749, 205.6079
506.2570, 210.4502
506.7391, 204.0840
507.2213, 184.1196
507.7034, 161.2422
508.1855, 151.3110
508.6676, 155.8384
509.1497, 162.4019
509.6318, 180.1045
510.1140, 188.8232
510.5961, 171.5391
511.0782, 143.6704
511.5603, 129.9141
512.0424, 140.0073
512.5245, 158.6709
513.0067, 179.2598
513.4888, 197.9492
513.9709, 192.5361
514.4530, 153.8721
514.9351, 114.8472
515.4172, 109.1030
515.8994, 135.4180
516.3815, 143.6289
516.8636, 111.9531
517.3457, 87.28418
517.8278, 93.85742
518.3099, 115.4312
518.7921, 130.5913
519.2742, 133.0273
519.7563, 129.6021
520.2384, 128.7437
520.7205, 130.8320
521.2026, 128.6470
521.6848, 118.7798
522.1669, 109.5137
522.6490, 104.8501
523.1311, 102.3276
523.6132, 98.72168
524.0953, 93.29199
524.5775, 86.56055
525.0596, 76.32227
525.5417, 65.43652
526.0238, 62.54492
526.5059, 69.42773
526.9880, 75.42871
527.4702, 70.81934
527.9523, 57.27100
528.4344, 52.89014
528.9165, 77.76807
529.3986, 85.24023
529.8807, 43.44336
530.3629, 6.341309
530.8450, 14.72559
531.3271, 21.29395
531.8092, 58.62402
532.2913, 53.20947
532.7734, 13.06738
533.2556, 7.072754
533.7377, 0.4653320
534.2198, 7.676758
534.7019, 4.8827998E-02
535.1840, 11.72412
535.6661, 15.20264
536.1483, 8.510742
536.6304, 0.3159180
537.1125, 9.176758
537.5946, 17.27490
538.0767, 23.78320
538.5588, 28.54395
539.0410, 29.43457
539.5231, 23.48730
540.0052, 16.02783
540.4873, 25.44385
540.9694, 78.36670
541.4515, 105.2051
541.9337, 80.46143
542.4158, 53.23730
542.8979, 61.10010
543.3800, 94.86572
543.8621, 113.8711
544.3442, 85.96191
544.8264, 38.62256
545.3085, 25.80566
545.7906, 47.81494
546.2727, 62.21094
546.7548, 52.12451
547.2369, 37.13037
547.7191, 46.66797
548.2012, 82.06641
548.6833, 99.64795
549.1654, 75.29834
549.6475, 50.91797
550.1296, 53.91650
550.6118, 73.86914
551.0939, 88.54199
551.5760, 89.41943
552.0581, 84.38574
552.5402, 84.48096
553.0223, 89.70850
553.5045, 100.0889
553.9866, 119.8916
554.4687, 139.4053
554.9508, 156.8667
555.4329, 170.6440
555.9150, 176.3071
556.3972, 169.5483
556.8793, 166.9189
557.3614, 189.5356
557.8435, 224.1211
558.3256, 237.0767
558.8077, 223.8872
559.2899, 215.8960
559.7720, 241.2373
560.2541, 293.4517
560.7362, 323.1230
561.2183, 302.6543
561.7004, 294.4731
562.1826, 311.9048
562.6647, 337.4912
563.1468, 358.1387
563.6289, 372.2383
564.1110, 384.1680
564.5931, 396.5620
565.0753, 409.3633
565.5574, 423.1274
566.0395, 438.0273
566.5216, 451.5757
567.0037, 464.0835
567.4858, 473.0825
567.9680, 471.6035
568.4501, 457.8750
568.9322, 454.6118
569.4143, 477.1030
569.8964, 499.0601
570.3785, 500.0400
570.8607, 489.0820
571.3428, 488.8667
571.8249, 508.4956
572.3070, 529.9414
572.7891, 525.8633
573.2712, 494.2368
573.7534, 450.5249
574.2355, 373.4102
574.7176, 316.6094
575.1997, 329.0967
575.6818, 372.0581
576.1639, 380.6685
576.6461, 331.7480
577.1282, 279.6641
577.6103, 254.2031
578.0924, 245.5010
578.5745, 241.0723
579.0566, 238.4961
579.5388, 235.8237
580.0209, 231.7837
580.5030, 226.2700
580.9851, 218.4946
581.4672, 204.1592
581.9493, 194.9487
582.4314, 203.3652
582.9135, 207.0454
583.3956, 182.8760
583.8777, 138.4634
584.3599, 106.4365
584.8420, 110.3374
585.3241, 128.3047
585.8062, 131.9185
586.2883, 123.0615
586.7704, 113.2627
587.2526, 105.8276
587.7347, 98.29395
588.2168, 87.11865
588.6989, 71.52734
589.1810, 59.87402
589.6631, 51.83154
590.1453, 46.53223
590.6274, 40.15625
591.1095, 37.71729
591.5916, 51.61035
592.0737, 81.78467
592.5558, 105.7017
593.0380, 95.29004
593.5201, 60.04688
