##NAMES=Westerveldite
##RRUFFID=R060507
##IDEAL CHEMISTRY=FeAs
##LOCALITY=Kvanefjeld, Ilimaussaq, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic silver massive, associated with elongated dark-green diopside.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060507
262.8631, 42.11130
263.3452, 44.24411
263.8273, 45.07593
264.3094, 46.50247
264.7916, 48.63763
265.2737, 51.22433
265.7558, 54.11722
266.2379, 57.40527
266.7200, 60.67886
267.2021, 63.94620
267.6843, 67.16895
268.1664, 70.58926
268.6485, 75.25543
269.1306, 77.99103
269.6127, 75.46909
270.0948, 66.57013
270.5770, 57.36102
271.0591, 48.43466
271.5412, 40.03824
272.0233, 32.96658
272.5054, 27.38669
272.9875, 23.02826
273.4697, 19.96185
273.9518, 18.31628
274.4339, 16.65118
274.9160, 14.72736
275.3981, 12.82538
275.8802, 11.93860
276.3624, 12.31952
276.8445, 12.80685
277.3266, 12.71924
277.8087, 12.03943
278.2908, 11.00165
278.7729, 9.495239
279.2551, 7.799194
279.7372, 6.554138
280.2193, 5.772980
280.7014, 5.349213
281.1835, 5.243256
281.6656, 5.454437
282.1478, 5.985291
282.6299, 6.958313
283.1120, 8.005432
283.5941, 8.521545
284.0762, 8.493164
284.5583, 8.167236
285.0405, 7.394836
285.5226, 6.279449
286.0047, 5.895172
286.4868, 6.380005
286.9689, 7.151703
287.4510, 7.506256
287.9332, 7.448700
288.4153, 7.086060
288.8974, 6.134277
289.3795, 4.895050
289.8616, 4.677917
290.3438, 5.569336
290.8259, 6.878387
291.3080, 8.085083
291.7901, 9.133392
292.2722, 9.741852
292.7543, 9.808105
293.2365, 9.376648
293.7186, 8.094086
294.2007, 5.950531
294.6828, 4.423492
295.1649, 5.614471
295.6470, 8.646088
296.1292, 10.58685
296.6113, 10.31342
297.0934, 8.959198
297.5755, 8.280762
298.0576, 8.217865
298.5397, 8.167542
299.0219, 7.450195
299.5040, 6.432861
299.9861, 5.966766
300.4682, 6.351746
300.9503, 7.063019
301.4324, 7.751801
301.9146, 8.320465
302.3967, 8.363831
302.8788, 7.167633
303.3609, 5.432312
303.8430, 4.196228
304.3251, 3.647247
304.8073, 3.423553
305.2894, 3.200958
305.7715, 3.036713
306.2536, 3.057404
306.7357, 3.173401
307.2178, 3.584686
307.7000, 4.982086
308.1821, 7.609314
308.6642, 9.256836
309.1463, 7.335266
309.6284, 3.521851
310.1105, 0.3950200
310.5927, 0.9664310
311.0748, 1.198792
311.5569, 0.2473450
312.0390, 1.852478
312.5211, 3.452911
313.0032, 3.087830
313.4854, 1.955963
313.9675, 1.339966
314.4496, 2.007324
314.9317, 2.989471
315.4138, 4.122650
315.8959, 5.308807
316.3781, 5.966400
316.8602, 4.979034
317.3423, 3.867523
317.8244, 3.852692
318.3065, 6.499908
318.7886, 8.421906
319.2708, 7.715363
319.7529, 5.316315
320.2350, 3.854218
320.7171, 5.145935
321.1992, 6.799042
321.6813, 7.653137
322.1635, 7.370728
322.6456, 6.704926
323.1277, 5.280701
323.6098, 3.635132
324.0919, 2.662628
324.5740, 2.886322
325.0562, 3.467194
325.5383, 4.258514
326.0204, 5.365967
326.5025, 6.212189
326.9846, 6.962738
327.4667, 7.355896
327.9489, 7.110718
328.4310, 5.124481
328.9131, 3.753876
329.3952, 3.725037
329.8773, 5.095032
330.3594, 5.504578
330.8416, 3.496674
331.3237, 1.619202
331.8058, 2.072601
332.2879, 7.623047
332.7700, 10.88184
333.2521, 10.19852
333.7343, 6.599304
334.2164, 5.317078
334.6985, 8.029358
335.1806, 10.47015
335.6627, 9.894928
