##NAMES=Ferro-katophorite
##RRUFFID=R050633
##IDEAL CHEMISTRY=NaNaCa[Fe^2+^_4_Al](Si_7_Al)O_22_(OH)_2_
##LOCALITY=Taguchi mine, Shidara, Kitashidara-Gun, Aichi Prefecture, Japan
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Dark green fragment associated with yoshimuraite, R050266.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R050633
239.5530, 7.770264
240.0351, 7.148499
240.5172, 6.457153
240.9993, 8.120514
241.4815, 5.443512
241.9636, 7.068512
242.4457, 6.975555
242.9278, 7.668213
243.4099, 6.658325
243.8920, 6.173706
244.3742, 7.391022
244.8563, 7.665283
245.3384, 6.457336
245.8205, 7.196960
246.3026, 4.455566
246.7847, 4.767822
247.2668, 6.397247
247.7490, 5.272125
248.2311, 6.040161
248.7132, 6.086365
249.1953, 2.854767
249.6774, 5.322144
250.1595, 5.324036
250.6417, 2.794373
251.1238, 5.064789
251.6059, 2.882813
252.0880, 3.552368
252.5701, 3.379639
253.0522, 2.730011
253.5344, 1.181549
254.0165, 1.3062000E-02
254.4986, 0.1691890
254.9807, 8.3678998E-02
255.4628, 0.1870420
255.9449, 0.1127010
256.4271, 0.6833190
256.9092, 1.279297
257.3913, 2.099396
257.8734, 2.522430
258.3555, 2.203308
258.8376, 1.616730
259.3198, 1.190643
259.8019, 1.092590
260.2840, 1.210602
260.7661, 0.5232218
261.2482, 0.9706420
261.7303, 0.2179570
262.2125, 0.5873410
262.6946, 2.313110
263.1767, 0.9947200
263.6588, 1.369598
264.1409, 1.815643
264.6230, 9.1247998E-02
265.1052, 2.342621
265.5873, 0.4764400
266.0694, 0.3291020
266.5515, 0.6029660
267.0336, 0.1678770
267.5157, 0.4138790
267.9979, 1.040985
268.4800, 1.552368
268.9621, 0.5813900
269.4442, 1.557587
269.9263, 0.9474790
270.4084, 0.3756710
270.8906, 1.506683
271.3727, 0.6160280
271.8548, 1.617859
272.3369, 1.897980
272.8190, 1.454895
273.3011, 2.113037
273.7833, 0.8767090
274.2654, 1.901703
274.7475, 1.605499
275.2296, 0.1576230
275.7117, 1.215973
276.1938, 1.237274
276.6760, 0.3986820
277.1581, 1.539612
277.6402, 2.326996
278.1223, 2.631134
278.6044, 1.988800
279.0865, 0.7123110
279.5686, 0.2864690
280.0508, 0.2521970
280.5329, 0.8340150
281.0150, 1.955872
281.4971, 3.255707
281.9792, 4.441101
282.4613, 5.591431
282.9435, 6.550781
283.4256, 6.902130
283.9077, 6.285858
284.3898, 4.866882
284.8719, 4.199036
285.3540, 4.782471
285.8362, 5.415497
286.3183, 5.817535
286.8004, 6.049042
287.2825, 6.222900
287.7646, 6.385376
288.2467, 6.564880
288.7289, 6.869202
289.2110, 7.567627
289.6931, 8.054901
290.1752, 8.047943
290.6573, 7.825104
291.1394, 7.828491
291.6216, 8.243591
292.1037, 8.810577
292.5858, 8.967438
293.0679, 8.395050
293.5500, 8.035126
294.0321, 8.163544
294.5143, 8.471405
294.9964, 8.698608
295.4785, 8.772522
295.9606, 8.550262
296.4427, 7.662628
296.9248, 5.502228
297.4070, 4.694489
297.8891, 6.741943
298.3712, 9.335876
298.8533, 10.34970
299.3354, 9.496338
299.8175, 7.945831
300.2997, 6.785217
300.7818, 6.077118
301.2639, 5.595551
301.7460, 5.017029
302.2281, 4.906769
302.7102, 6.176819
303.1924, 8.584473
303.6745, 10.43991
304.1566, 10.29672
304.6387, 8.250763
305.1208, 6.979340
305.6029, 6.736267
306.0851, 6.918274
306.5672, 7.574982
307.0493, 8.471283
307.5314, 8.903046
308.0135, 8.369720
308.4956, 7.123444
308.9778, 6.328705
309.4599, 6.172089
309.9420, 6.120239
310.4241, 5.927612
310.9062, 5.719452
311.3883, 5.808624
311.8705, 6.355682
312.3526, 7.102753
312.8347, 7.435760
313.3168, 7.176727
313.7989, 6.953949
314.2810, 7.086334
314.7632, 7.235474
315.2453, 6.862122
315.7274, 5.833099
316.2095, 4.604950
316.6916, 3.709991
317.1737, 3.156433
317.6559, 2.870331
318.1380, 3.071503
318.6201, 3.279907
319.1022, 3.451141
319.5843, 3.480377
320.0664, 3.280243
320.5485, 2.571075
321.0306, 1.574249
321.5128, 0.8145750
321.9949, 0.3385010
322.4770, 0.1840210
322.9591, 9.5427997E-02
323.4412, 0.2935790
323.9233, 0.4394230
324.4055, 0.3281250
324.8876, 6.4090001E-03
325.3697, 0.3729550
325.8518, 2.836334
326.3339, 4.468262
326.8160, 3.377045
327.2982, 0.6830440
327.7803, 1.255585
328.2624, 1.086578
328.7445, 0.4633790
329.2266, 1.324097
329.7087, 1.107178
330.1909, 1.055237
330.6730, 1.656067
331.1551, 2.458038
331.6372, 2.787445
332.1193, 2.460205
332.6014, 1.898895
333.0836, 1.705139
333.5657, 2.008087
334.0478, 2.162292
334.5299, 2.088043
335.0120, 1.972656
335.4941, 1.993378
335.9763, 2.183746
336.4584, 2.547333
336.9405, 3.132599
337.4226, 3.938263
337.9047, 4.462921
338.3868, 4.691559
338.8690, 4.738098
339.3511, 4.539459
339.8332, 4.199738
340.3153, 3.988068
340.7974, 4.080811
341.2795, 4.442596
341.7617, 4.862976
342.2438, 5.539825
342.7259, 6.037842
343.2080, 6.005951
343.6901, 5.797180
344.1722, 6.049591
344.6544, 7.040955
345.1365, 8.310120
345.6186, 8.881012
346.1007, 7.911285
346.5828, 7.513489
347.0649, 8.036469
347.5471, 8.942108
348.0292, 9.798584
348.5113, 10.50577
348.9934, 11.19852
349.4755, 12.05579
349.9576, 13.19388
350.4398, 13.98688
350.9219, 14.12634
351.4040, 14.25433
351.8861, 14.80377
352.3682, 15.65863
352.8503, 16.31699
353.3325, 16.31104
353.8146, 15.73538
354.2967, 16.16336
354.7788, 19.06519
355.2609, 21.28278
355.7430, 21.75208
356.2252, 21.23694
356.7073, 20.81485
357.1894, 20.99570
357.6715, 21.57822
358.1536, 22.05127
358.6357, 22.21298
359.1179, 22.58768
359.5999, 23.14496
360.0821, 23.93527
360.5642, 25.16113
361.0463, 26.78583
361.5284, 28.38531
362.0105, 29.48044
362.4926, 30.09555
362.9748, 30.07538
363.4569, 28.47409
363.9390, 27.16367
364.4211, 27.10071
364.9032, 28.05084
365.3853, 29.26987
365.8675, 30.28329
366.3496, 31.05411
366.8317, 31.17047
367.3138, 29.59262
367.7959, 28.69586
368.2780, 29.44675
368.7602, 30.97388
369.2423, 32.21487
369.7244, 32.70566
370.2065, 32.74420
370.6886, 32.91809
371.1707, 33.32962
371.6529, 33.60989
372.1350, 33.65985
