##NAMES=Potassic-fluoro-pargasite
##RRUFFID=R110065
##IDEAL CHEMISTRY=KCa_2_(Mg_4_Al)Si_6_Al_2_O_22_F_2_
##LOCALITY=Tranomaro, Fort Dauphine area, Madagascar
##OWNER=RRUFF
##SOURCE=Renato & Adriana Pagano
##DESCRIPTION=Black blocky euhedral single-crystal, from the original find
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110065
220.3287, 313.7549
220.8108, 336.3057
221.2929, 358.1882
221.7750, 378.3677
222.2571, 397.7936
222.7393, 417.2261
223.2214, 436.6029
223.7035, 457.1191
224.1856, 481.3711
224.6677, 508.9877
225.1498, 534.8773
225.6320, 556.5254
226.1141, 575.6466
226.5962, 595.6562
227.0783, 617.8745
227.5604, 639.0608
228.0425, 656.3472
228.5247, 670.1564
229.0068, 681.1927
229.4889, 690.0133
229.9710, 696.1938
230.4531, 698.6871
230.9352, 697.2197
231.4174, 692.4802
231.8995, 683.9062
232.3816, 672.5337
232.8637, 661.0726
233.3458, 651.1459
233.8279, 642.2896
234.3101, 632.4602
234.7922, 620.8905
235.2743, 609.5149
235.7564, 599.1248
236.2385, 589.6721
236.7206, 581.1517
237.2028, 574.4215
237.6849, 568.7228
238.1670, 560.5669
238.6491, 548.7319
239.1312, 535.8929
239.6133, 523.3378
240.0955, 510.6877
240.5776, 497.0114
241.0597, 481.5941
241.5418, 464.8030
242.0239, 448.7712
242.5060, 433.8455
242.9882, 419.3230
243.4703, 404.5303
243.9524, 389.8644
244.4345, 375.9586
244.9166, 363.2457
245.3987, 351.5311
245.8809, 340.1644
246.3630, 329.3024
246.8451, 318.6379
247.3272, 308.1206
247.8093, 297.8687
248.2914, 287.9410
248.7736, 278.2454
249.2557, 268.8702
249.7378, 260.4014
250.2199, 253.3267
250.7020, 246.6809
251.1841, 241.0823
251.6663, 235.5680
252.1484, 228.8577
252.6305, 220.2697
253.1126, 210.7159
253.5947, 202.7791
254.0768, 198.2305
254.5590, 193.0383
255.0411, 186.5415
255.5232, 179.4648
256.0053, 172.7506
256.4874, 166.8113
256.9695, 160.9895
257.4517, 153.6088
257.9338, 142.2043
258.4159, 132.1619
258.8980, 123.8064
259.3801, 116.9437
259.8622, 111.4850
260.3444, 107.2566
260.8265, 103.6394
261.3086, 99.57483
261.7907, 95.29272
262.2728, 90.38318
262.7549, 84.25623
263.2371, 77.58557
263.7192, 70.89050
264.2013, 64.47131
264.6834, 58.97021
265.1655, 55.34778
265.6476, 54.30237
266.1298, 53.42297
266.6119, 53.00806
267.0940, 52.70789
267.5761, 52.00305
268.0582, 50.80811
268.5403, 49.59985
269.0225, 48.82703
269.5046, 48.47583
269.9867, 48.89502
270.4688, 51.05615
270.9509, 53.25586
271.4330, 53.82654
271.9152, 52.63586
272.3973, 51.08203
272.8794, 50.43311
273.3615, 50.78796
273.8436, 51.24597
274.3257, 51.55786
274.8079, 52.12866
275.2900, 53.53735
275.7721, 55.73535
276.2542, 57.75732
276.7363, 58.99133
277.2184, 59.33252
277.7006, 59.05005
278.1827, 57.46875
278.6648, 55.79272
279.1469, 55.01794
279.6290, 55.03638
280.1111, 54.97937
280.5933, 54.60681
281.0754, 53.59448
281.5575, 51.26086
282.0396, 46.43274
282.5217, 41.73706
283.0038, 39.07935
283.4860, 38.10608
283.9681, 36.89502
284.4502, 34.51111
284.9323, 31.41992
285.4144, 28.72778
