##NAMES=Metazeunerite
##RRUFFID=R060301
##IDEAL CHEMISTRY=Cu^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Green blocky dipyramidal single crystals associated with yellow walpurgite, R050573
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060301
198.0810, 0.7483500
198.5631, 1.000805
199.0452, 1.073566
199.5273, 1.044012
200.0095, 0.8435380
200.4916, 0.5581210
200.9737, 0.3172110
201.4558, 0.1707820
201.9379, 0.1180130
202.4200, 0.1766510
202.9022, 0.4496190
203.3843, 0.6377200
203.8664, 0.5532880
204.3485, 0.2906700
204.8306, 0.1108800
205.3127, 0.1327670
205.7949, 0.3020950
206.2770, 0.4983560
206.7591, 0.7728650
207.2412, 0.9702070
207.7233, 0.9817810
208.2054, 0.8269080
208.6876, 0.6059300
209.1697, 0.2633190
209.6518, 4.4011999E-02
210.1339, 8.3434999E-02
210.6160, 0.2251630
211.0981, 0.5968690
211.5803, 0.8245640
212.0624, 0.9081040
212.5445, 0.9033620
213.0266, 0.7370170
213.5087, 0.5468900
213.9908, 0.4729860
214.4730, 0.5508040
214.9551, 0.6646370
215.4372, 0.6771870
215.9193, 0.5682490
216.4014, 0.4851090
216.8836, 0.4842740
217.3657, 0.5165580
217.8478, 0.5682350
218.3299, 0.6360020
218.8120, 0.6886560
219.2941, 0.6737040
219.7763, 0.5769180
220.2584, 0.5063950
220.7405, 0.4051800
221.2226, 0.3469830
221.7047, 0.3969800
222.1868, 0.5662500
222.6690, 0.7732320
223.1511, 0.8837470
223.6332, 0.8207240
224.1153, 0.8271830
224.5974, 0.9914720
225.0795, 1.180851
225.5617, 1.288366
226.0438, 1.288164
226.5259, 1.246792
227.0080, 1.293049
227.4901, 1.546926
227.9722, 1.661217
228.4544, 1.523659
228.9365, 1.325491
229.4186, 1.227823
229.9007, 1.270929
230.3828, 1.366297
230.8649, 1.349970
231.3471, 1.023653
231.8292, 0.9023570
232.3113, 1.228552
232.7934, 1.602442
233.2755, 1.651613
233.7576, 1.287437
234.2398, 0.7446420
234.7219, 0.4079060
235.2040, 0.3346350
235.6861, 0.4118630
236.1682, 0.8048840
236.6503, 1.244783
237.1325, 1.483292
237.6146, 1.457527
238.0967, 1.322626
238.5788, 1.325708
239.0609, 1.572708
239.5430, 1.710529
240.0252, 1.652067
240.5073, 1.516308
240.9894, 1.430815
241.4715, 1.425291
241.9536, 1.423080
242.4357, 1.305670
242.9179, 1.033304
243.4000, 0.8270020
243.8821, 0.6908450
244.3642, 0.6390800
244.8463, 0.7417980
245.3284, 1.022921
245.8106, 1.291601
246.2927, 1.268927
246.7748, 0.9383490
247.2569, 0.7421440
247.7390, 0.8609940
248.2211, 1.097946
248.7033, 1.232399
249.1854, 1.231848
249.6675, 1.126245
250.1496, 0.8502710
250.6317, 0.4432430
251.1138, 0.2291680
251.5960, 0.4156510
252.0781, 0.7656560
252.5602, 0.9612770
253.0423, 0.9536250
253.5244, 0.9081400
254.0065, 0.9729560
254.4887, 1.113911
254.9708, 1.239750
255.4529, 1.355532
255.9350, 1.432028
256.4171, 1.405626
256.8992, 1.254087
257.3813, 1.094795
257.8635, 1.008484
258.3456, 0.9705890
258.8277, 0.9475020
259.3098, 0.9398080
259.7919, 0.9364400
260.2740, 0.9237960
260.7562, 0.9022290
261.2383, 0.8704190
261.7204, 0.7865510
262.2025, 0.7049870
262.6846, 0.6981110
263.1667, 0.8449190
263.6489, 1.035532
264.1310, 1.116222
264.6131, 1.077578
265.0952, 0.9689580
265.5773, 0.6558630
266.0594, 0.3469050
266.5416, 0.2760200
267.0237, 0.5506340
267.5058, 0.9609620
267.9879, 1.269346
268.4700, 1.493658
268.9521, 1.542749
269.4343, 1.160532
269.9164, 0.7053030
270.3985, 0.4664460
270.8806, 0.5232770
271.3627, 0.6939140
271.8448, 0.7680720
272.3270, 0.7355160
272.8091, 0.6716920
273.2912, 0.4919850
273.7733, 0.3519020
274.2554, 0.4114380
274.7375, 0.6925830
275.2197, 0.9593850
275.7018, 0.9060420
276.1839, 0.4828550
276.6660, 0.1344810
277.1481, 0.2315140
277.6302, 0.3790380
278.1124, 1.2148000E-02
278.5945, 0.8734090
279.0766, 1.671982
279.5587, 1.782686
280.0408, 1.104155
280.5229, 0.6644800
281.0051, 0.7788030
281.4872, 0.9166450
281.9693, 0.8127610
282.4514, 0.5188620
282.9335, 0.2677920
283.4156, 0.2894540
283.8978, 0.5915220
284.3799, 0.8037110
284.8620, 0.9069350
285.3441, 0.9256650
285.8262, 0.8411460
286.3083, 0.6959040
286.7905, 0.5058020
287.2726, 0.2750380
287.7547, 2.9031999E-02
288.2368, 7.0203997E-02
288.7189, 8.0214001E-02
289.2010, 0.2708590
289.6832, 0.5164090
290.1653, 0.7486080
290.6474, 0.8603970
291.1295, 0.7742580
291.6116, 0.5488970
292.0938, 0.4170190
292.5759, 0.3730030
293.0580, 0.4531000
293.5401, 0.7696970
294.0222, 1.163271
294.5043, 1.468189
294.9865, 1.627237
295.4686, 1.655756
295.9507, 1.578815
296.4328, 1.339224
296.9149, 1.088877
297.3970, 0.7059690
297.8792, 0.3969170
298.3613, 0.4233570
298.8434, 0.8413660
299.3255, 1.368900
299.8076, 1.507902
300.2897, 1.019886
300.7719, 0.6767750
301.2540, 0.6039850
301.7361, 0.5984190
302.2182, 0.5175110
302.7003, 0.3468090
303.1824, 0.1812250
303.6646, 0.1394690
304.1467, 0.2539940
304.6288, 0.3792690
305.1109, 0.5690440
305.5930, 0.7234080
306.0751, 0.8087620
306.5573, 0.8165070
307.0394, 0.7357790
307.5215, 0.5298020
308.0036, 0.1791610
308.4857, 2.5206000E-02
308.9678, 3.1906001E-02
309.4500, 0.1289620
309.9321, 0.2493530
310.4142, 0.3615550
310.8963, 0.4109630
311.3784, 0.3465980
311.8605, 0.1720830
312.3427, 0.1507380
312.8248, 0.5356620
313.3069, 0.7834870
313.7890, 0.6854840
314.2711, 0.4309290
314.7532, 0.2978710
315.2354, 0.4003750
315.7175, 0.6101360
316.1996, 0.6916500
316.6817, 0.5698240
317.1638, 0.4381480
317.6459, 0.3001670
318.1281, 0.1733300
318.6102, 3.5960998E-02
319.0923, 0.1096360
319.5744, 0.1741290
320.0565, 3.0800000E-02
320.5386, 0.6981240
321.0208, 1.186840
321.5029, 1.471329
321.9850, 1.601460
322.4671, 1.560316
322.9492, 1.372622
323.4313, 1.132359
323.9135, 0.9271600
324.3956, 0.7500320
324.8777, 0.6487750
325.3598, 0.7427230
325.8419, 0.8016820
326.3240, 0.7021640
326.8062, 0.4850250
327.2883, 0.2796690
327.7704, 0.1926820
328.2525, 0.2154010
328.7346, 0.1849400
329.2167, 2.0790000E-03
329.6989, 0.1204530
330.1810, 8.0247998E-02
330.6631, 4.0633999E-02
331.1452, 0.1082230
331.6273, 4.1804999E-02
332.1094, 9.4965003E-02
332.5916, 9.3376003E-02
333.0737, 0.1572110
333.5558, 0.3610320
334.0379, 0.4560050
334.5200, 0.4926680
335.0021, 0.4845680
335.4843, 0.4459920
335.9664, 0.4529720
336.4485, 0.5877860
336.9306, 0.9164640
337.4127, 1.134825
337.8948, 1.161486
338.3770, 1.115896
338.8591, 1.034998
339.3412, 0.9378300
339.8233, 0.8629400
340.3055, 0.8604530
340.7876, 0.9335350
341.2697, 0.9920600
341.7518, 1.149813
342.2339, 1.168545
342.7160, 0.7935850
343.1982, 0.1964470
343.6803, 0.2093770
344.1624, 7.6035000E-02
344.6445, 0.4624040
345.1266, 0.7143990
345.6087, 0.4912430
346.0909, 0.2745060
346.5730, 0.2069190
347.0551, 0.2473910
347.5372, 0.3752420
348.0193, 0.6070920
348.5014, 0.8400730
348.9836, 0.8708130
349.4657, 0.6430070
349.9478, 0.4008100
350.4299, 0.1124130
350.9120, 0.1081600
351.3941, 0.1243630
351.8763, 8.2952000E-02
352.3584, 0.3175430
352.8405, 0.3554630
353.3226, 0.1899760
353.8047, 7.5562000E-02
354.2868, 6.0671002E-02
354.7690, 9.2634000E-02
355.2511, 0.1349560
355.7332, 0.1905540
356.2153, 0.2766380
356.6974, 0.4360750
357.1795, 0.6402760
357.6617, 0.7665600
358.1438, 0.7750640
358.6259, 0.7897130
359.1080, 0.9445740
359.5901, 1.140860
360.0722, 1.199406
360.5544, 0.9956550
361.0365, 0.6965120
361.5186, 0.5323180
362.0007, 0.5158410
362.4828, 0.5518570
362.9649, 0.6544970
363.4471, 0.7600730
363.9292, 0.7764910
364.4113, 0.6691950
364.8934, 0.5875170
365.3755, 0.7148130
365.8576, 0.9953350
366.3398, 1.114223
366.8219, 0.9664100
367.3040, 0.6902690
367.7861, 0.3572580
368.2682, 1.8646000E-02
368.7503, 0.2058850
369.2325, 6.0045000E-02
369.7146, 0.5220240
370.1967, 0.7347720
370.6788, 0.6420000
371.1609, 0.4133970
371.6430, 5.1360998E-02
372.1252, 0.3499160
372.6073, 0.4689410
373.0894, 1.6488999E-02
373.5715, 0.5805990
374.0536, 0.8084580
374.5357, 0.7417640
375.0179, 0.5838380
375.5000, 0.3739430
375.9821, 0.1887990
376.4642, 0.2229190
376.9463, 0.5798970
377.4284, 0.8677690
377.9106, 0.8970930
378.3927, 0.7818980
378.8748, 0.7498170
379.3569, 0.8719390
379.8390, 1.005169
380.3211, 0.9303860
380.8033, 0.5843240
381.2854, 0.4172940
381.7675, 0.6448480
382.2496, 0.9316370
382.7317, 0.9840970
383.2138, 0.8082030
383.6960, 0.6269510
384.1781, 0.6086240
384.6602, 0.7414420
385.1423, 0.8411730
385.6244, 0.9100280
386.1065, 0.9518620
386.5887, 0.9324700
387.0708, 0.8882750
387.5529, 0.9046960
388.0350, 1.035650
388.5171, 1.205540
388.9992, 1.232565
389.4814, 1.021793
389.9635, 0.7835520
390.4456, 0.4089950
390.9277, 0.1021100
391.4098, 8.4395997E-02
391.8919, 0.3426340
392.3741, 0.6020450
392.8562, 0.5493890
393.3383, 0.1130910
393.8204, 8.2451001E-02
394.3025, 0.1264310
394.7846, 0.3873900
395.2668, 0.6919020
395.7489, 0.9497890
396.2310, 0.9776290
396.7131, 0.6399750
397.1952, 0.1013450
397.6773, 4.6195999E-02
398.1595, 0.5020960
398.6416, 0.9496150
399.1237, 1.143829
399.6058, 1.237320
400.0879, 1.393877
400.5700, 1.638470
401.0522, 1.819613
401.5343, 1.685730
402.0164, 1.189098
402.4985, 0.8429810
402.9806, 0.7147220
403.4627, 0.6851390
403.9449, 0.7947410
404.4270, 0.9679090
404.9091, 1.020079
405.3912, 0.7713300
405.8733, 0.3513370
406.3554, 0.1959530
406.8376, 0.4189320
407.3197, 0.6206700
407.8018, 0.6223450
408.2839, 0.5302300
408.7660, 0.4165760
409.2481, 0.2958490
409.7303, 0.2465570
410.2124, 0.3975770
410.6945, 0.7259220
411.1766, 0.8741700
411.6587, 0.6640170
412.1408, 0.3824940
412.6230, 0.3327670
413.1051, 0.4800170
413.5872, 0.5655120
414.0693, 0.4215890
414.5514, 0.1716350
415.0335, 5.0639999E-03
415.5157, 9.9708997E-02
415.9978, 0.1070040
416.4799, 2.0678001E-02
416.9620, 0.2351760
417.4441, 0.3802340
417.9262, 0.4076790
418.4084, 0.4216580
418.8905, 0.5088880
419.3726, 0.6293640
419.8547, 0.6604980
420.3368, 0.5426640
420.8189, 0.3797070
421.3011, 0.3495240
421.7832, 0.4891910
422.2653, 0.5953370
422.7474, 0.6375660
423.2295, 0.6438560
423.7116, 0.6132510
424.1938, 0.5590290
424.6759, 0.5428890
425.1580, 0.6214290
425.6401, 0.7869010
426.1222, 0.8978730
426.6043, 0.8930030
427.0865, 0.9262370
427.5686, 1.120430
428.0507, 1.323162
428.5328, 1.285820
429.0149, 0.9183120
429.4970, 0.4057670
429.9792, 4.1382000E-02
430.4613, 0.1532170
430.9434, 0.1366690
431.4255, 0.2609160
431.9076, 0.6354140
432.3897, 0.6925510
432.8719, 0.5035950
433.3540, 0.3831390
433.8361, 0.6191790
434.3182, 1.130442
434.8003, 1.296410
435.2824, 0.8312800
435.7646, 0.4483090
436.2467, 0.3153380
436.7288, 0.3476300
437.2109, 0.5123520
437.6930, 0.8022350
438.1751, 1.047850
438.6573, 0.9618150
439.1394, 0.5070740
439.6215, 0.2497560
440.1036, 0.3715170
440.5857, 0.5983010
441.0678, 0.8060870
441.5500, 0.9728370
442.0321, 1.033491
442.5142, 0.8503130
442.9963, 0.5820470
443.4784, 0.5608620
443.9605, 0.8243790
444.4427, 1.042374
444.9248, 1.036707
445.4069, 0.8859140
445.8890, 0.7178270
446.3711, 0.5001050
446.8532, 0.3686640
447.3354, 0.4710350
447.8175, 0.7060810
448.2996, 0.8401010
448.7817, 0.8098680
449.2638, 0.7441540
449.7459, 0.7956700
450.2281, 0.9727880
450.7102, 1.062412
451.1923, 0.9652980
451.6744, 0.8541240
452.1565, 0.8695050
452.6386, 0.9732170
453.1208, 1.046183
453.6029, 1.023516
