##NAMES=Symplesite
##RRUFFID=R120074
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Saubachbruch, Muldenberg, Vogtland, Sachsen, Germany
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregate of black bladed crystals,  2-fold twin around [1 -1 0]
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120074
254.2455, 6.422592
254.7277, 6.416334
255.2098, 6.560495
255.6919, 6.542519
256.1740, 6.252523
256.6561, 5.938206
257.1382, 5.861765
257.6204, 6.151741
258.1025, 6.367790
258.5846, 6.434769
259.0667, 6.355671
259.5488, 6.151859
260.0309, 5.744713
260.5131, 5.335428
260.9952, 5.116665
261.4773, 5.137970
261.9594, 5.194098
262.4415, 5.297861
262.9236, 5.438894
263.4058, 5.487717
263.8879, 5.412743
264.3700, 5.317226
264.8521, 5.261250
265.3342, 5.236036
265.8163, 5.263947
266.2985, 5.387325
266.7806, 5.585314
267.2627, 5.687618
267.7448, 5.634447
268.2269, 5.576784
268.7090, 5.639553
269.1912, 5.863079
269.6733, 6.030054
270.1554, 6.111509
270.6375, 6.131809
271.1196, 6.178114
271.6017, 6.247570
272.0839, 6.315208
272.5660, 6.368555
273.0481, 6.414331
273.5302, 6.435192
274.0123, 6.436626
274.4944, 6.410603
274.9766, 6.301960
275.4587, 6.079626
275.9408, 5.913397
276.4229, 5.970577
276.9050, 6.279671
277.3871, 6.388971
277.8693, 6.207779
278.3514, 5.865324
278.8335, 5.640018
279.3156, 5.549557
279.7977, 5.480625
280.2798, 5.362106
280.7620, 5.194044
281.2441, 5.067337
281.7262, 4.997477
282.2083, 4.945910
282.6904, 4.832359
283.1725, 4.651220
283.6547, 4.493338
284.1368, 4.419212
284.6189, 4.421579
285.1010, 4.400795
285.5831, 4.358156
286.0652, 4.285519
286.5474, 4.152830
287.0295, 3.960560
287.5116, 3.778601
287.9937, 3.639410
288.4758, 3.537296
288.9579, 3.444447
289.4401, 3.359329
289.9222, 3.288849
290.4043, 3.244619
290.8864, 3.225613
291.3685, 3.216736
291.8506, 3.230757
292.3328, 3.249096
292.8149, 3.214891
293.2970, 3.127686
293.7791, 3.003027
294.2612, 2.817043
294.7433, 2.596729
295.2255, 2.457602
295.7076, 2.496956
296.1897, 2.609053
296.6718, 2.557457
297.1539, 2.347088
297.6360, 2.144148
298.1182, 2.115889
298.6003, 2.206213
299.0824, 2.275461
299.5645, 2.290741
300.0466, 2.261755
300.5287, 2.204432
301.0109, 2.117933
301.4930, 1.989855
301.9751, 1.711760
302.4572, 1.404768
302.9393, 1.309839
303.4214, 1.565439
303.9036, 1.884275
304.3857, 1.946722
304.8678, 1.804108
305.3499, 1.642792
305.8320, 1.612051
306.3141, 1.613762
306.7963, 1.515429
307.2784, 1.262003
307.7605, 1.001278
308.2426, 0.8382550
308.7247, 0.7604810
309.2068, 0.7383670
309.6890, 0.8035600
310.1711, 0.8901540
310.6532, 0.9426840
311.1353, 0.9526120
311.6174, 0.9386180
312.0995, 0.8969060
312.5817, 0.8412320
313.0638, 0.7930320
313.5459, 0.7506980
314.0280, 0.7254540
314.5101, 0.7348140
314.9922, 0.7829210
315.4744, 0.8176610
315.9565, 0.8320900
316.4386, 0.8142510
316.9207, 0.7511750
317.4028, 0.5695590
317.8849, 0.4057980
318.3671, 0.3299520
318.8492, 0.3378510
319.3313, 0.3377440
319.8134, 0.3114620
320.2955, 0.2580070
320.7776, 0.1774540
321.2598, 2.1589000E-02
321.7419, 0.1523610
322.2240, 0.1071760
322.7061, 6.9494002E-02
323.1882, 0.1458570
323.6703, 4.2236000E-02
324.1525, 0.2610420
324.6346, 0.3807850
325.1167, 0.3381420
325.5988, 0.2665140
326.0809, 0.1236270
326.5630, 4.5423999E-02
327.0452, 0.1168400
327.5273, 4.3086998E-02
328.0094, 0.1928060
328.4915, 0.2438390
328.9736, 0.1431730
329.4557, 5.9262998E-02
329.9379, 1.2516000E-02
330.4200, 6.6191003E-02
330.9021, 9.2179999E-02
331.3842, 9.0080000E-02
331.8663, 5.9824001E-02
332.3484, 1.1724000E-02
332.8306, 0.1356950
333.3127, 0.2221890
333.7948, 0.2830870
334.2769, 0.2961410
334.7590, 0.2197020
335.2411, 1.5211000E-02
335.7233, 0.1848160
336.2054, 0.2272450
336.6875, 0.1514800
337.1696, 9.5187999E-02
337.6517, 5.7914998E-02
338.1339, 4.1700002E-02
338.6160, 4.5208000E-02
339.0981, 6.4272001E-02
339.5802, 0.1266710
340.0623, 0.2462440
340.5444, 0.4077000
341.0266, 0.5739420
341.5087, 0.7625850
341.9908, 0.8814600
342.4729, 0.8349800
342.9550, 0.6245800
343.4371, 0.4687500
343.9193, 0.3795530
344.4014, 0.3634450
344.8835, 0.4625240
345.3656, 0.6759470
345.8477, 0.8900240
346.3298, 1.084759
346.8120, 1.242594
347.2941, 1.240898
347.7762, 1.051212
348.2583, 0.8430610
348.7404, 0.8640770
349.2225, 1.057514
349.7047, 1.176786
350.1868, 1.018864
350.6689, 0.7765960
351.1510, 0.8470100
351.6331, 1.224003
352.1152, 1.605145
352.5974, 1.709379
353.0795, 1.643082
353.5616, 1.604496
354.0437, 1.663601
354.5258, 1.751682
355.0079, 1.812290
355.4901, 1.844486
355.9722, 1.852436
356.4543, 1.786234
356.9364, 1.721649
357.4185, 1.746704
357.9006, 1.908072
358.3828, 2.102085
358.8649, 2.263783
359.3470, 2.398079
359.8291, 2.532578
360.3112, 2.706635
360.7933, 2.868755
361.2755, 2.997833
361.7576, 3.096560
362.2397, 3.153969
362.7218, 3.056314
363.2039, 2.951038
363.6860, 3.003138
364.1682, 3.481535
364.6503, 3.900194
365.1324, 4.077291
365.6145, 4.024429
366.0966, 3.970289
366.5787, 3.985828
367.0609, 3.989412
367.5430, 3.927383
368.0251, 3.570293
368.5072, 3.409336
368.9893, 3.622549
369.4714, 4.081032
369.9536, 4.357708
370.4357, 4.345850
370.9178, 4.264132
371.3999, 4.187757
371.8820, 4.094830
372.3641, 4.065989
372.8463, 4.128983
373.3284, 4.238043
373.8105, 4.333103
374.2926, 4.436951
374.7747, 4.470825
375.2568, 4.384205
375.7390, 4.174047
376.2211, 4.059921
376.7032, 4.075949
377.1853, 4.116837
377.6674, 4.062859
378.1495, 3.896820
378.6317, 3.790215
379.1138, 3.799955
379.5959, 3.865124
380.0780, 3.770779
380.5601, 3.507141
381.0422, 3.281815
381.5244, 3.268322
382.0065, 3.420368
382.4886, 3.525070
382.9707, 3.581444
383.4528, 3.570259
383.9349, 3.430132
384.4171, 3.184725
384.8992, 2.950670
385.3813, 2.747076
385.8634, 2.587915
386.3455, 2.524914
386.8276, 2.572819
387.3098, 2.635990
387.7919, 2.626711
388.2740, 2.574389
388.7561, 2.535152
389.2382, 2.560799
389.7203, 2.570734
390.2025, 2.492008
390.6846, 2.330872
391.1667, 2.134666
391.6488, 1.830023
392.1309, 1.562094
392.6130, 1.482536
393.0952, 1.730021
393.5773, 1.946589
394.0594, 1.966766
394.5415, 1.845200
395.0236, 1.689802
395.5057, 1.423218
395.9879, 1.227530
396.4700, 1.194715
396.9521, 1.354023
397.4342, 1.533350
397.9163, 1.820446
398.3984, 2.062544
398.8806, 2.119171
399.3627, 1.757204
399.8448, 1.463327
400.3269, 1.305235
400.8090, 1.266787
401.2911, 1.236052
401.7733, 1.215263
402.2554, 1.200369
402.7375, 1.190849
403.2196, 1.187757
403.7017, 1.188894
404.1838, 1.200745
404.6660, 1.210836
405.1481, 1.194412
405.6302, 1.145721
406.1123, 1.090551
406.5944, 1.035673
407.0765, 0.9821360
407.5587, 0.9556120
408.0408, 0.9702280
408.5229, 0.9566290
409.0050, 0.7999780
409.4871, 0.5163630
409.9692, 0.3366240
410.4514, 0.3498840
410.9335, 0.4499780
411.4156, 0.3849980
411.8977, 0.1720010
412.3798, 4.3429998E-03
412.8619, 9.9440001E-02
413.3441, 0.3156280
413.8262, 0.3638380
414.3083, 0.1923790
414.7904, 4.9293999E-02
415.2725, 0.2828540
415.7546, 0.4774190
416.2368, 0.5743430
416.7189, 0.4801690
417.2010, 0.3238680
417.6831, 0.1801570
418.1652, 5.5140998E-02
418.6473, 1.4261000E-02
419.1295, 3.5914999E-02
419.6116, 0.1299100
420.0937, 0.2013570
420.5758, 0.2378770
421.0579, 0.2459950
421.5400, 0.2000830
422.0222, 0.1267190
422.5043, 9.0111002E-02
422.9864, 0.1447320
423.4685, 0.2040040
423.9506, 0.2420500
424.4327, 0.2640650
424.9149, 0.2380660
425.3970, 0.1342090
425.8791, 1.2680000E-03
426.3612, 0.1299530
426.8433, 0.2954060
427.3254, 0.3738650
427.8076, 0.2786220
428.2897, 5.7222001E-02
428.7718, 8.5244998E-02
429.2539, 0.4763530
429.7360, 0.8834920
430.2181, 1.082369
430.7003, 1.038916
431.1824, 1.003157
431.6645, 0.9730660
432.1466, 0.9749300
432.6287, 1.085203
433.1108, 1.306059
433.5930, 1.478254
434.0751, 1.490646
434.5572, 1.414745
435.0393, 1.515768
435.5214, 1.797337
436.0035, 2.098721
436.4857, 2.288671
436.9678, 2.386127
437.4499, 2.431807
437.9320, 2.412807
438.4141, 2.388649
438.8962, 2.412931
439.3784, 2.483633
439.8605, 2.595032
440.3426, 2.773058
440.8247, 2.971516
441.3068, 3.183023
441.7889, 3.413132
442.2711, 3.546112
442.7532, 3.395025
443.2353, 3.168585
443.7174, 3.083549
444.1995, 3.297787
444.6816, 3.558958
445.1638, 3.868446
445.6459, 4.188454
446.1280, 4.364815
446.6101, 4.267986
447.0922, 4.111153
447.5743, 3.979036
448.0565, 3.874531
448.5386, 3.793428
449.0207, 3.735029
449.5028, 3.701134
449.9849, 3.697975
450.4670, 3.738243
450.9492, 3.779158
451.4313, 3.801926
451.9134, 3.815060
452.3955, 3.890467
452.8776, 4.043003
453.3597, 4.202595
453.8419, 4.330952
454.3240, 4.427029
454.8061, 4.479946
455.2882, 4.490023
455.7703, 4.452091
456.2524, 4.328882
456.7346, 4.133696
457.2167, 3.967884
457.6988, 3.862291
458.1809, 3.814955
458.6630, 3.824104
459.1451, 3.888861
459.6273, 3.999144
460.1094, 4.232740
460.5915, 4.476231
461.0736, 4.565716
461.5557, 4.406269
462.0378, 4.220467
462.5200, 4.120625
463.0021, 4.099304
463.4842, 4.144596
463.9663, 4.265835
464.4484, 4.441196
464.9305, 4.683483
465.4127, 4.998077
465.8948, 5.271767
466.3769, 5.537416
466.8590, 5.718519
467.3411, 5.758009
467.8232, 5.503052
468.3054, 5.300558
468.7875, 5.139942
469.2696, 5.043262
469.7517, 5.085749
470.2338, 5.356829
470.7159, 5.601015
471.1981, 5.733442
471.6802, 5.752359
472.1623, 5.671810
472.6444, 5.446791
473.1265, 5.230871
473.6086, 5.226316
474.0908, 5.433052
474.5729, 5.573820
475.0550, 5.578197
475.5371, 5.526415
476.0192, 5.568357
476.5013, 5.693150
476.9835, 5.833315
477.4656, 6.006817
477.9477, 6.153242
478.4298, 6.109756
478.9119, 5.863855
479.3940, 5.705782
479.8762, 6.022356
480.3583, 6.512367
480.8404, 6.766508
481.3225, 6.511673
481.8046, 6.213022
482.2867, 6.091770
482.7689, 6.112980
483.2510, 6.184101
483.7331, 6.320276
484.2152, 6.456831
484.6973, 6.570654
485.1794, 6.661886
485.6616, 6.725983
486.1437, 6.720644
486.6258, 6.713539
487.1079, 6.761271
487.5900, 6.924314
488.0721, 7.031631
488.5543, 7.040739
489.0364, 6.992542
489.5185, 7.018248
490.0006, 7.150427
490.4827, 7.250706
490.9648, 7.244326
491.4470, 7.137281
491.9291, 7.051928
492.4112, 6.988529
492.8933, 6.948696
493.3754, 6.926044
