##NAMES=Ludlamite
##RRUFFID=R090071
##IDEAL CHEMISTRY=Fe^2+^_3_(PO_4_)_2_&#183;4H_2_O
##LOCALITY=Cigana Mine (ex-Jocão Mine), Galiléia, Minas Gerais  Brazil
##OWNER=RRUFF
##SOURCE=Royal Ontario Museum 
##DESCRIPTION=Groups of colorless tabular crystals on reddish-brown reddingite R090069, associated with pink hureaulite R090070.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R090071
166.5552, 28.43580
167.0373, 28.49079
167.5195, 29.05308
168.0016, 29.81306
168.4837, 29.94479
168.9658, 28.78169
169.4479, 26.57090
169.9300, 24.81036
170.4122, 23.80703
170.8943, 22.82598
171.3764, 21.80085
171.8585, 20.62643
172.3406, 18.71885
172.8227, 15.25718
173.3049, 10.60139
173.7870, 7.561829
174.2691, 6.899239
174.7512, 7.288254
175.2333, 7.881599
175.7154, 8.671585
176.1976, 9.408066
176.6797, 10.09986
177.1618, 10.59609
177.6439, 10.46233
178.1260, 8.733269
178.6081, 6.640625
179.0903, 6.203751
179.5724, 7.934929
180.0545, 9.837608
180.5366, 10.65468
181.0187, 10.80373
181.5008, 10.87032
181.9830, 11.04171
182.4651, 11.33220
182.9472, 11.73071
183.4293, 11.96656
183.9114, 12.81304
184.3935, 14.57880
184.8757, 17.06178
185.3578, 20.00399
185.8399, 23.48313
186.3220, 27.37084
186.8041, 30.24187
187.2862, 32.07291
187.7684, 32.72168
188.2505, 30.71818
188.7326, 27.48359
189.2147, 25.76148
189.6968, 27.98380
190.1789, 34.34734
190.6611, 39.44741
191.1432, 43.17366
191.6253, 45.80805
192.1074, 46.85416
192.5895, 46.75028
193.0716, 46.48100
193.5538, 46.92880
194.0359, 48.23338
194.5180, 49.08213
195.0001, 49.62963
195.4822, 49.71777
195.9643, 49.20824
196.4465, 48.14497
196.9286, 46.65906
197.4107, 44.78738
197.8928, 42.43919
198.3749, 40.62545
198.8570, 39.60897
199.3392, 38.86683
199.8213, 38.26678
200.3034, 37.73120
200.7855, 36.85598
201.2676, 35.10258
201.7497, 32.41727
202.2319, 30.28312
202.7140, 29.67693
203.1961, 29.10670
203.6782, 26.73117
204.1603, 22.25538
204.6424, 17.95798
205.1246, 16.25930
205.6067, 16.61667
206.0888, 16.59726
206.5709, 15.35430
207.0530, 13.62019
207.5351, 12.51273
208.0173, 12.28812
208.4994, 11.97362
208.9815, 10.50747
209.4636, 8.361305
209.9457, 6.497402
210.4278, 5.441608
210.9100, 4.881092
211.3921, 4.031830
211.8742, 2.624184
212.3563, 1.516388
212.8384, 1.556145
213.3205, 2.204590
213.8027, 2.455326
214.2848, 1.505230
214.7669, 0.2252850
215.2490, 1.109337
215.7311, 0.4783250
216.2132, 2.7378000E-02
216.6954, 0.7836230
217.1775, 2.160843
217.6596, 3.114483
218.1417, 2.859669
218.6238, 1.661114
219.1059, 1.125301
219.5881, 1.936066
220.0702, 2.599819
220.5523, 2.602432
221.0344, 2.173115
221.5165, 1.698299
221.9986, 1.425903
222.4808, 1.333595
222.9629, 1.221230
223.4450, 1.279896
223.9271, 1.092644
224.4092, 0.3119740
224.8913, 0.7508470
225.3735, 1.541222
225.8556, 1.650902
226.3377, 1.170437
226.8198, 1.143616
227.3019, 2.306862
227.7840, 3.163483
228.2662, 3.124767
228.7483, 2.571171
229.2304, 2.211056
229.7125, 2.519939
230.1946, 3.418510
230.6767, 4.035168
231.1589, 4.410202
231.6410, 4.492592
232.1231, 3.828766
232.6052, 2.871559
233.0873, 2.539173
233.5694, 3.463364
234.0516, 5.411976
234.5337, 6.686855
235.0158, 7.069656
235.4979, 7.184158
235.9800, 7.018177
236.4621, 6.715229
236.9443, 6.593418
237.4264, 6.873058
237.9085, 7.420540
238.3906, 7.609756
238.8727, 6.979271
239.3548, 6.575848
239.8370, 6.966633
240.3191, 7.872101
240.8012, 8.593307
241.2833, 8.755119
241.7654, 8.541443
242.2475, 8.487309
242.7297, 8.503189
243.2118, 8.772141
243.6939, 9.601421
244.1760, 10.78785
244.6581, 11.84015
245.1402, 12.80585
245.6224, 13.16451
246.1045, 11.72376
246.5866, 7.679775
247.0687, 4.234406
247.5508, 3.257286
248.0329, 4.264248
248.5151, 5.629333
248.9972, 7.159126
249.4793, 8.381393
249.9614, 8.521950
250.4435, 7.404755
250.9256, 6.434799
251.4078, 6.446686
251.8899, 7.281132
252.3720, 8.315254
252.8541, 9.681946
253.3362, 10.80250
253.8183, 11.04881
254.3005, 10.58416
254.7826, 9.995331
255.2647, 8.992722
255.7468, 7.995720
256.2289, 8.429543
256.7110, 11.77272
257.1931, 14.95036
257.6753, 15.11524
258.1574, 12.69654
258.6395, 10.39391
259.1216, 10.24492
259.6037, 11.80700
260.0858, 12.52481
260.5680, 11.52738
261.0501, 10.53902
261.5322, 10.90330
262.0143, 12.27532
262.4964, 13.34355
262.9785, 12.86178
263.4607, 11.24884
263.9428, 10.56134
264.4249, 11.34302
264.9070, 12.33989
265.3891, 12.73756
265.8712, 12.86767
266.3534, 13.50374
266.8355, 15.63834
267.3176, 18.58625
267.7997, 19.14511
268.2818, 15.31622
268.7639, 12.08607
269.2461, 11.37519
269.7282, 12.30472
270.2103, 13.73676
270.6924, 15.31696
271.1745, 16.73864
271.6566, 16.74844
272.1388, 13.95016
272.6209, 12.08282
273.1030, 13.09729
273.5851, 15.17001
274.0672, 15.83205
274.5493, 13.75024
275.0315, 10.32314
275.5136, 9.372765
275.9957, 12.93421
276.4778, 15.46066
276.9599, 15.39401
277.4420, 14.17965
277.9242, 13.10747
278.4063, 12.67721
278.8884, 12.73344
279.3705, 13.00092
279.8526, 13.64637
280.3347, 14.08246
280.8169, 14.13548
281.2990, 14.06285
281.7811, 14.10086
282.2632, 14.33084
282.7453, 14.60955
283.2274, 14.71146
283.7096, 14.69300
284.1917, 14.26771
284.6738, 13.20697
285.1559, 11.99392
285.6380, 10.72821
286.1201, 9.521324
286.6023, 8.606911
287.0844, 8.346497
287.5665, 9.006584
288.0486, 9.295048
288.5307, 8.527328
289.0128, 8.018642
289.4950, 8.812603
289.9771, 10.55145
290.4592, 11.86357
290.9413, 11.32341
291.4234, 8.702946
291.9055, 7.407677
292.3877, 9.026722
292.8698, 10.35784
293.3519, 10.08573
293.8340, 8.697281
294.3161, 7.381031
294.7982, 6.979103
295.2804, 7.424679
295.7625, 7.879967
296.2446, 8.573429
296.7267, 9.024441
297.2088, 9.123623
297.6909, 8.924614
298.1731, 8.426430
298.6552, 7.607929
299.1373, 6.632267
299.6194, 6.139477
300.1015, 6.971306
300.5836, 7.271694
301.0658, 6.383018
301.5479, 5.104393
302.0300, 4.305897
302.5121, 4.329533
302.9942, 4.869469
303.4763, 5.306107
303.9585, 5.604286
304.4406, 5.831127
304.9227, 5.920162
305.4048, 5.979877
305.8869, 6.177826
306.3690, 6.517811
306.8512, 6.772675
307.3333, 6.566895
307.8154, 5.478878
308.2975, 5.084976
308.7796, 6.333572
309.2617, 7.399151
309.7439, 7.103149
310.2260, 5.454037
310.7081, 3.116413
311.1902, 0.5382920
311.6723, 2.626413
312.1544, 3.466053
312.6366, 9.3285002E-02
313.1187, 3.575882
313.6008, 5.447670
314.0829, 5.790939
314.5650, 5.164429
315.0471, 3.873585
315.5293, 2.006725
316.0114, 0.7418100
316.4935, 0.3073430
316.9756, 0.2139050
317.4577, 0.8017880
317.9398, 1.587006
318.4220, 1.665825
318.9041, 0.5310710
319.3862, 1.141829
319.8683, 1.170200
320.3504, 3.104408
320.8326, 5.691610
321.3147, 5.330791
321.7968, 3.653952
322.2789, 2.093729
322.7610, 1.168686
323.2431, 0.6894570
323.7253, 0.3690380
324.2074, 0.3307880
324.6895, 0.2841360
325.1716, 2.1462999E-02
325.6537, 0.1953320
326.1358, 0.1213800
326.6180, 0.9019890
327.1001, 1.793371
327.5822, 2.416601
328.0643, 2.691900
328.5464, 3.139765
329.0285, 4.184212
329.5107, 4.984661
329.9928, 5.135883
330.4749, 4.737812
330.9570, 4.036715
331.4391, 3.128183
331.9212, 2.070145
332.4034, 1.842501
332.8855, 3.548569
333.3676, 4.925634
333.8497, 5.433796
334.3318, 5.375355
334.8139, 5.272404
335.2961, 5.396847
335.7782, 5.495922
336.2603, 4.751957
336.7424, 1.870283
337.2245, 0.1106510
337.7066, 0.3505400
338.1888, 1.338217
338.6709, 2.006813
339.1530, 2.060013
339.6351, 1.869551
340.1172, 1.920065
340.5993, 2.067707
341.0815, 2.841616
341.5636, 5.522972
342.0457, 7.693552
342.5278, 7.412634
343.0099, 5.104311
343.4920, 2.950102
343.9742, 3.211533
344.4563, 6.112036
344.9384, 7.846064
345.4205, 7.017344
345.9026, 6.208036
346.3847, 6.308161
346.8669, 6.915901
347.3490, 7.055237
347.8311, 6.049149
348.3132, 4.314882
348.7953, 3.559706
349.2774, 4.338043
349.7596, 5.064589
350.2417, 5.265221
350.7238, 5.364294
351.2059, 5.927029
351.6880, 7.135578
