##NAMES=Quadridavyne
##RRUFFID=R141084
##IDEAL CHEMISTRY=Na_6_Ca_2_Si_6_Al_6_O_24_Cl_4_
##LOCALITY=Mt Vesuvius, Naples Province, Campania, Italy
##OWNER=RRUFF
##SOURCE=Ch. and H. Schäfer
##DESCRIPTION=Short hexagonal prismatic white crystals, associated with sodalite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R141084
160.5026, 2.474701
160.9847, 2.562332
161.4668, 2.679504
161.9489, 2.820938
162.4310, 2.864716
162.9131, 2.685593
163.3953, 2.517242
163.8774, 2.577301
164.3595, 2.829941
164.8416, 2.947403
165.3237, 2.563919
165.8058, 1.967606
166.2880, 1.821327
166.7701, 2.524422
167.2522, 3.455811
167.7343, 3.889305
168.2164, 3.762611
168.6985, 3.503944
169.1807, 3.244804
169.6628, 3.004463
170.1449, 2.778000
170.6270, 2.529366
171.1091, 2.305557
171.5912, 2.266006
172.0734, 2.559441
172.5555, 2.753723
173.0376, 2.633041
173.5197, 2.343803
174.0018, 2.082611
174.4839, 1.977821
174.9661, 1.989571
175.4482, 1.884666
175.9303, 1.505394
176.4124, 1.191574
176.8945, 1.080132
177.3766, 1.092331
177.8588, 1.088577
178.3409, 0.9585950
178.8230, 0.6889270
179.3051, 0.4213790
179.7872, 5.1849000E-02
180.2693, 0.2048800
180.7515, 1.9226000E-02
181.2336, 0.3468930
181.7157, 0.7006380
182.1978, 0.8765410
182.6799, 0.8561630
183.1620, 0.7812580
183.6441, 0.6410980
184.1263, 0.4726640
184.6084, 0.2284770
185.0905, 6.2224999E-02
185.5726, 0.2484820
186.0547, 0.1972810
186.5368, 0.1285020
187.0190, 0.5352480
187.5011, 1.271454
187.9832, 1.919411
188.4653, 2.104263
188.9474, 1.797890
189.4296, 1.341621
189.9117, 1.024017
190.3938, 0.8500600
190.8759, 0.7586360
191.3580, 0.7553330
191.8401, 0.8242650
192.3223, 0.9659580
192.8044, 1.202118
193.2865, 1.461411
193.7686, 1.717003
194.2507, 1.949265
194.7328, 2.040306
195.2150, 1.810814
195.6971, 1.439537
196.1792, 1.288208
196.6613, 1.441315
197.1434, 1.694016
197.6255, 1.922630
198.1077, 2.126404
198.5898, 2.301117
199.0719, 2.489044
199.5540, 2.655640
200.0361, 2.609589
200.5182, 2.115410
201.0004, 1.724167
201.4825, 1.781815
201.9646, 2.174706
202.4467, 2.659874
202.9288, 3.076599
203.4109, 3.334724
203.8930, 3.360497
204.3752, 2.885948
204.8573, 2.456406
205.3394, 2.366692
205.8215, 2.525131
206.3036, 2.680511
206.7857, 2.611511
207.2679, 2.292816
207.7500, 2.091423
208.2321, 1.967163
208.7142, 1.993904
209.1963, 2.317581
209.6784, 2.848091
210.1606, 3.363846
210.6427, 3.647659
211.1248, 3.660912
211.6069, 3.656517
212.0890, 3.766479
212.5711, 3.741272
213.0533, 3.293968
213.5354, 2.582024
214.0175, 2.089745
214.4996, 2.289307
214.9817, 3.323814
215.4638, 3.970459
215.9460, 4.034729
216.4281, 3.934174
216.9102, 3.813110
217.3923, 3.731819
217.8744, 3.735985
218.3565, 3.889893
218.8387, 4.223473
219.3208, 4.411415
219.8029, 4.312111
220.2850, 4.200226
220.7671, 4.273979
221.2492, 4.521194
221.7314, 4.766830
222.2135, 4.882332
222.6956, 4.847824
223.1777, 4.690651
223.6598, 4.256302
224.1419, 3.810242
224.6240, 3.553543
225.1062, 3.492546
225.5883, 3.535156
226.0704, 3.642906
226.5525, 3.803093
227.0346, 3.913132
227.5167, 3.978889
227.9989, 3.984985
228.4810, 3.840584
228.9631, 3.532639
229.4452, 3.358002
229.9273, 3.675354
230.4094, 4.299065
230.8916, 4.711807
231.3737, 4.820076
231.8558, 4.682137
232.3379, 4.257675
232.8200, 3.492378
233.3021, 2.828278
233.7843, 2.586525
234.2664, 2.625221
234.7485, 2.774246
235.2306, 3.094803
235.7127, 3.419502
236.1948, 3.445465
236.6770, 3.075089
237.1591, 2.845169
237.6412, 3.344131
238.1233, 3.999588
238.6054, 4.159668
239.0875, 3.415199
239.5697, 2.372612
240.0518, 2.072510
240.5339, 2.745483
241.0160, 3.405548
241.4981, 3.609779
241.9802, 3.638741
242.4624, 3.788116
242.9445, 4.199097
243.4266, 4.618828
243.9087, 4.565590
244.3908, 3.848633
244.8729, 3.225601
245.3550, 2.888138
245.8372, 2.730591
246.3193, 2.718369
246.8014, 2.846611
247.2835, 2.997643
247.7656, 2.929001
248.2477, 2.469292
248.7299, 2.215645
249.2120, 2.537521
249.6941, 2.928787
250.1762, 2.964752
250.6583, 2.522987
251.1404, 1.855995
251.6226, 1.378761
252.1047, 1.176315
252.5868, 0.9832760
253.0689, 0.7308580
253.5510, 0.4983220
254.0331, 0.3511430
254.5153, 0.3069840
254.9974, 0.3243790
255.4795, 0.3396840
255.9616, 0.3482210
256.4437, 0.3658600
256.9258, 0.3437810
257.4080, 0.3626400
257.8901, 0.5662990
258.3722, 0.9310150
258.8543, 1.213165
259.3364, 1.001366
259.8185, 0.1974640
260.3007, 0.5864640
260.7828, 0.5109100
261.2649, 1.714981
261.7470, 2.160324
262.2291, 1.773315
262.7112, 1.036659
263.1934, 0.4856800
263.6755, 0.1562810
264.1576, 8.8050999E-02
264.6397, 0.2438960
265.1218, 0.3429410
265.6039, 0.3674240
266.0861, 0.3363340
266.5682, 0.3159870
267.0503, 0.3830180
267.5324, 0.5705260
268.0145, 0.6058730
268.4966, 0.4206470
268.9788, 0.1838300
269.4609, 0.1068500
269.9430, 0.3969650
270.4251, 0.5368880
270.9072, 0.3772890
271.3893, 9.8885000E-02
271.8715, 0.4310460
272.3536, 0.6695100
272.8357, 0.7367780
273.3178, 0.5272520
273.7999, 0.1165540
274.2820, 0.3142850
274.7642, 0.6509480
275.2463, 0.8975680
275.7284, 1.088562
276.2105, 1.216255
276.6926, 1.314461
277.1747, 1.300522
277.6568, 1.261490
278.1389, 1.431046
278.6211, 1.981728
279.1032, 2.773972
279.5853, 3.186501
280.0674, 2.745842
280.5495, 2.556831
281.0316, 3.133034
281.5138, 4.117294
281.9959, 4.877693
282.4780, 5.135704
282.9601, 5.047150
283.4422, 4.985229
283.9243, 4.982452
284.4065, 4.943886
284.8886, 4.839836
285.3707, 4.691010
285.8528, 4.522903
286.3349, 4.341286
286.8170, 4.152435
287.2992, 3.973122
287.7813, 3.824158
288.2634, 3.628616
288.7455, 3.390663
289.2276, 3.091019
289.7097, 2.686638
290.1919, 2.163383
290.6740, 1.596992
291.1561, 1.043480
291.6382, 0.4890590
292.1203, 0.1146550
292.6024, 8.0833003E-02
293.0846, 0.1561200
293.5667, 7.8621000E-02
294.0488, 0.1829990
294.5309, 0.4019470
295.0130, 0.3253630
295.4951, 5.3734001E-02
295.9773, 0.2797470
296.4594, 0.2078480
296.9415, 6.2919997E-02
297.4236, 2.4826000E-02
297.9057, 9.5985003E-02
298.3878, 0.1687850
298.8700, 0.1396180
299.3521, 4.0123001E-02
299.8342, 6.6628002E-02
300.3163, 0.2908940
300.7984, 0.5733640
301.2805, 0.8967360
301.7627, 1.229607
302.2448, 1.432121
302.7269, 1.392052
303.2090, 1.202568
303.6911, 1.148308
304.1732, 1.285522
304.6554, 1.451546
305.1375, 1.642792
305.6196, 1.812378
306.1017, 1.784332
306.5838, 1.414574
307.0659, 0.9694670
307.5481, 1.006432
308.0302, 1.598785
308.5123, 2.215927
308.9944, 2.734734
309.4765, 3.157082
309.9586, 3.469627
310.4408, 3.657974
310.9229, 3.769707
311.4050, 3.847130
311.8871, 3.889938
312.3692, 3.950142
312.8513, 4.022995
313.3335, 4.127426
313.8156, 4.291718
314.2977, 4.520386
314.7798, 4.790565
315.2619, 5.133110
315.7440, 5.535683
316.2262, 5.774063
316.7083, 5.551575
317.1904, 5.341553
317.6725, 5.585701
318.1546, 6.282089
318.6367, 7.023010
319.1188, 7.441154
319.6010, 7.570358
320.0831, 7.726357
320.5652, 7.901001
321.0473, 8.101128
321.5294, 8.311432
322.0115, 8.542847
322.4937, 8.885178
322.9758, 9.443184
323.4579, 10.06705
323.9400, 10.32931
324.4221, 10.06866
324.9042, 9.863670
325.3864, 9.993080
325.8685, 10.30946
326.3506, 10.51848
326.8327, 10.51267
327.3148, 10.43442
327.7969, 10.49155
328.2791, 10.68475
328.7612, 10.90733
