##NAMES=Brianyoungite
##RRUFFID=R060431
##IDEAL CHEMISTRY=Zn^2+^_3_CO_3_(OH)_4_
##LOCALITY=Brownley Hill mine, Nenthead, Cumbria, England
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Sprays of white bladed crystals, associated with colorless tabular or prismatic gypsum.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060431
##MEASURED CHEMISTRY=EDS analysis shows the presence of Zn, with trace S.
218.3299, 66.55835
218.8120, 63.37476
219.2941, 60.28223
219.7763, 56.90527
220.2584, 54.94556
220.7405, 56.48340
221.2226, 58.25366
221.7047, 57.70483
222.1868, 54.16040
222.6690, 49.68433
223.1511, 47.80054
223.6332, 50.06104
224.1153, 51.40137
224.5974, 50.99194
225.0795, 49.89551
225.5617, 49.13232
226.0438, 48.91650
226.5259, 48.33008
227.0080, 45.41113
227.4901, 37.34473
227.9722, 32.26807
228.4544, 32.82788
228.9365, 34.63330
229.4186, 34.19922
229.9007, 30.60718
230.3828, 25.46460
230.8649, 21.49878
231.3471, 18.70459
231.8292, 17.34985
232.3113, 18.39526
232.7934, 20.15869
233.2755, 21.38159
233.7576, 21.68604
234.2398, 21.34180
234.7219, 20.80249
235.2040, 19.94946
235.6861, 19.02661
236.1682, 17.94580
236.6503, 16.78809
237.1325, 15.34961
237.6146, 13.51367
238.0967, 11.98120
238.5788, 12.07446
239.0609, 15.16040
239.5430, 17.09009
240.0252, 17.12646
240.5073, 16.03345
240.9894, 13.97144
241.4715, 10.92603
241.9536, 8.325439
242.4357, 8.956787
242.9179, 13.87695
243.4000, 17.12134
243.8821, 17.16504
244.3642, 15.68433
244.8463, 14.45557
245.3284, 13.82104
245.8106, 13.14380
246.2927, 11.34253
246.7748, 8.333740
247.2569, 6.615234
247.7390, 7.279785
248.2211, 9.114746
248.7033, 11.01245
249.1854, 12.92505
249.6675, 14.01099
250.1496, 12.64429
250.6317, 9.260986
251.1138, 7.022217
