##NAMES=Chestermanite
##RRUFFID=R070351
##IDEAL CHEMISTRY=Mg_2_(Fe^3+^,Mg,Al,Sb^5+^)O_2_BO_3_
##LOCALITY=Twin Lakes region, Kaiser Peak quadrangle, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bladed associated with calcite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070351
230.6575, 376.4692
231.1396, 344.2959
231.6217, 315.2095
232.1038, 296.8225
232.5859, 290.2471
233.0681, 286.5300
233.5502, 289.8809
234.0323, 293.5010
234.5144, 286.0312
234.9965, 259.4426
235.4786, 234.1248
235.9608, 216.9026
236.4429, 210.2935
236.9250, 203.2104
237.4071, 194.4956
237.8892, 185.2637
238.3713, 178.3708
238.8535, 177.0291
239.3356, 172.8845
239.8177, 162.2131
240.2998, 142.1130
240.7819, 127.7686
241.2640, 123.2375
241.7462, 122.4917
242.2283, 113.4897
242.7104, 88.55347
243.1925, 64.14575
243.6746, 45.15405
244.1567, 30.49048
244.6389, 28.29468
245.1210, 46.95630
245.6031, 72.54370
246.0852, 79.71387
246.5673, 59.82837
247.0494, 37.10425
247.5316, 17.94116
248.0137, 0.8693850
248.4958, 5.905762
248.9779, 10.95093
249.4600, 37.11353
249.9421, 48.83716
250.4243, 41.99536
250.9064, 28.43994
251.3885, 10.72363
251.8706, 14.58862
252.3527, 32.89258
252.8348, 43.86523
253.3170, 47.94946
253.7991, 44.21313
254.2812, 27.00342
254.7633, 13.24927
255.2454, 10.85864
255.7275, 24.56689
256.2097, 31.37573
256.6918, 27.86377
257.1739, 19.70996
257.6560, 17.98730
258.1381, 26.00635
258.6202, 33.65503
259.1024, 37.26172
259.5845, 36.27417
260.0666, 32.50684
260.5487, 22.70557
261.0308, 12.63232
261.5129, 15.49707
261.9951, 39.74146
262.4772, 56.63867
262.9593, 50.69971
263.4414, 13.64185
263.9235, 6.007324
264.4056, 2.567139
264.8878, 12.86938
265.3699, 21.48071
265.8520, 21.64404
266.3341, 16.50830
266.8162, 7.764160
267.2983, 5.010010
267.7805, 15.00854
268.2626, 22.88843
268.7447, 27.75122
269.2268, 25.82617
269.7089, 14.02026
270.1910, 8.108398
270.6732, 17.68604
271.1553, 45.00195
271.6374, 55.83105
272.1195, 44.19629
272.6016, 24.99316
273.0837, 25.79102
273.5659, 51.77490
274.0480, 72.03516
274.5301, 70.23779
275.0122, 45.30664
275.4943, 35.54297
275.9764, 45.40015
276.4586, 62.04321
276.9407, 65.05566
277.4228, 52.75366
277.9049, 41.24683
278.3870, 37.55762
278.8691, 41.27295
279.3513, 42.77197
279.8334, 41.60156
280.3155, 39.40918
280.7976, 37.71997
281.2798, 36.46680
281.7619, 37.52710
282.2440, 42.99512
282.7261, 51.99438
283.2082, 57.27710
283.6903, 58.15283
