##NAMES=Uranophane-beta
##RRUFFID=R120075
##IDEAL CHEMISTRY=Ca(U^6+^O_2_)_2_(SiO_3_OH)_2_&#183;5H_2_O
##LOCALITY=Capoeira pegmatite,  Parelhas, Borborema mineral province, Rio Grande do Norte, Brazil
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Yellow prismatic crystals on albite, associated with a yellow fibrous unknown mineral
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120075
267.4290, 37.18555
267.9111, 52.75586
268.3932, 69.98242
268.8754, 81.60156
269.3575, 85.50977
269.8396, 86.98047
270.3217, 92.62305
270.8038, 103.4062
271.2859, 112.4766
271.7681, 114.6484
272.2502, 109.8203
272.7323, 115.9004
273.2144, 135.5059
273.6965, 158.7227
274.1786, 174.5898
274.6608, 182.8770
275.1429, 191.3242
275.6250, 200.2344
276.1071, 210.4668
276.5892, 219.4805
277.0714, 228.0742
277.5535, 232.9219
278.0356, 227.4297
278.5177, 209.7734
278.9998, 200.5547
279.4819, 207.6797
279.9641, 225.6309
280.4462, 228.3594
280.9283, 213.6914
281.4104, 192.8887
281.8925, 175.6523
282.3746, 162.2070
282.8568, 144.4180
283.3389, 120.2461
283.8210, 92.42383
284.3031, 67.64258
284.7852, 46.60742
285.2673, 28.55859
285.7495, 12.15820
286.2316, 1.984375
286.7137, 9.005859
287.1958, 6.003906
287.6779, 2.474609
288.1600, 6.394531
288.6422, 5.296875
289.1243, 3.748047
289.6064, 2.417969
290.0885, 2.083984
290.5706, 6.816406
291.0527, 18.43945
291.5349, 31.35547
292.0170, 36.37305
292.4991, 33.65039
292.9812, 29.73242
293.4633, 23.69531
293.9454, 18.39648
294.4276, 25.55859
294.9097, 47.87109
295.3918, 74.11719
295.8739, 91.72461
296.3560, 101.0977
296.8381, 105.2598
297.3203, 101.6328
297.8024, 94.04883
298.2845, 92.03711
298.7666, 96.74609
299.2487, 101.2051
299.7308, 95.54688
300.2130, 83.78320
300.6951, 77.05078
301.1772, 82.57617
301.6593, 94.10156
302.1414, 102.3281
302.6235, 107.0176
303.1057, 114.2012
303.5878, 136.0469
304.0699, 163.1367
304.5520, 176.4707
305.0341, 160.9902
305.5162, 137.5176
305.9984, 127.1465
306.4805, 128.7168
306.9626, 134.4160
307.4447, 141.1934
307.9268, 148.5410
308.4089, 153.6484
308.8911, 153.5547
309.3732, 152.5742
309.8553, 156.1445
310.3374, 162.1602
310.8195, 163.9531
311.3016, 152.7441
311.7838, 136.9883
312.2659, 124.5938
312.7480, 118.4551
313.2301, 115.2520
313.7122, 111.6504
314.1943, 108.4570
314.6765, 107.5137
315.1586, 115.4609
315.6407, 123.3672
316.1228, 123.6523
316.6049, 111.6699
317.0870, 105.1348
317.5692, 120.9336
318.0513, 144.9551
318.5334, 157.1328
319.0155, 141.5176
319.4976, 120.9531
319.9797, 102.7520
320.4619, 87.04297
320.9440, 76.99609
321.4261, 78.08984
321.9082, 82.79492
322.3903, 83.96289
322.8724, 78.93750
323.3546, 70.83984
323.8367, 56.34961
324.3188, 36.00977
324.8009, 25.03320
325.2830, 38.34766
325.7651, 54.31445
326.2473, 58.97461
326.7294, 42.20312
327.2115, 25.41016
