##NAMES=Mercallite
##RRUFFID=R070072
##IDEAL CHEMISTRY=KHS^6+^O_4_
##LOCALITY=crater of Mount Vesuvius, Campagnano di Roma, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Globular aggregate of white grains, similar in appearance to a snowball
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070072
605.2999, 882.4492
605.7820, 934.3203
606.2642, 972.8438
606.7463, 1005.434
607.2284, 1030.547
607.7105, 1056.961
608.1926, 1101.703
608.6747, 1154.609
609.1569, 1196.809
609.6390, 1197.641
610.1211, 1206.059
610.6032, 1257.680
611.0853, 1351.012
611.5674, 1409.055
612.0496, 1382.355
612.5317, 1351.781
613.0138, 1358.242
613.4959, 1413.547
613.9780, 1459.387
614.4601, 1499.711
614.9423, 1523.070
615.4244, 1507.152
615.9065, 1450.500
616.3886, 1413.184
616.8707, 1417.035
617.3528, 1427.578
617.8350, 1377.797
618.3171, 1284.027
618.7992, 1206.832
619.2813, 1199.656
619.7634, 1206.418
620.2455, 1175.027
620.7277, 1107.918
621.2098, 1041.680
621.6919, 992.1445
622.1740, 947.9180
622.6561, 900.4609
623.1382, 841.4062
623.6204, 800.2500
624.1025, 791.8594
624.5846, 790.4961
625.0667, 767.3945
625.5488, 711.9297
626.0309, 675.6758
626.5131, 672.9492
626.9952, 683.2656
627.4773, 658.5703
627.9594, 601.1406
628.4415, 551.3008
628.9236, 522.1641
629.4058, 513.7266
629.8879, 542.0000
630.3700, 599.4609
630.8521, 637.2773
631.3342, 600.8984
631.8163, 548.4883
632.2985, 528.9648
632.7806, 553.4414
633.2627, 579.9961
633.7448, 599.9336
634.2269, 615.7969
634.7090, 629.4180
635.1912, 629.5195
635.6733, 647.0586
636.1554, 694.1406
636.6375, 750.4727
637.1196, 777.5039
637.6017, 773.4766
638.0839, 754.2422
638.5660, 710.6719
639.0481, 665.3008
639.5302, 694.4062
640.0123, 785.8320
640.4944, 855.6992
640.9766, 836.8945
641.4587, 777.4844
641.9408, 724.2422
642.4229, 680.5586
642.9050, 649.1953
643.3871, 657.4961
643.8693, 663.1992
644.3514, 628.0938
644.8335, 487.3398
645.3156, 416.5352
645.7977, 465.3047
646.2798, 560.2617
646.7620, 611.0508
647.2441, 602.7930
647.7262, 597.2266
648.2083, 608.7930
648.6904, 625.7891
649.1725, 618.4062
649.6547, 587.6719
650.1368, 552.4453
650.6189, 512.9922
651.1010, 479.1016
651.5831, 475.4648
652.0652, 497.5898
652.5474, 510.1484
653.0295, 480.5703
653.5116, 440.6406
653.9937, 411.2539
654.4758, 393.3008
654.9579, 394.6758
655.4401, 440.4414
655.9222, 491.7734
656.4043, 517.8164
656.8864, 516.2266
657.3685, 490.4648
657.8506, 425.8320
658.3328, 354.8750
658.8149, 343.4062
659.2970, 390.5547
659.7791, 405.8594
660.2612, 343.4961
660.7433, 258.0039
661.2255, 255.5508
661.7076, 319.5273
662.1897, 378.1523
662.6718, 407.4141
663.1539, 402.5156
663.6360, 338.8555
664.1181, 219.5547
664.6002, 133.0781
665.0823, 143.0117
665.5645, 168.7227
666.0466, 157.3984
666.5287, 84.08984
667.0108, 49.02344
667.4929, 64.44141
667.9750, 102.8242
668.4572, 142.8555
668.9393, 186.3867
669.4214, 208.6875
669.9035, 206.3672
670.3856, 181.2891
670.8677, 115.2109
671.3499, 27.71094
671.8320, 20.42969
672.3141, 28.83203
672.7962, 93.54297
673.2783, 87.88281
673.7604, 33.29297
674.2426, 2.382813
674.7247, 36.25781
675.2068, 89.89844
675.6889, 160.5156
676.1710, 247.9531
676.6531, 287.1211
677.1353, 262.4062
677.6174, 212.0625
678.0995, 146.3359
678.5816, 59.67969
679.0637, 14.03516
679.5458, 12.28516
680.0280, 35.82812
680.5101, 82.87500
680.9922, 139.3555
681.4743, 160.2773
681.9564, 125.8789
682.4385, 90.95703
682.9207, 124.1367
683.4028, 181.9570
683.8849, 199.5430
684.3670, 92.70312
684.8491, 13.85547
685.3312, 31.71875
685.8134, 110.6875
686.2955, 141.1211
686.7776, 90.13672
687.2597, 51.06250
687.7418, 56.67578
688.2239, 95.80078
688.7061, 105.2266
689.1882, 82.57031
689.6703, 57.19141
690.1524, 52.05469
690.6345, 56.12109
691.1166, 36.07031
691.5988, 4.558594
692.0809, 26.13281
692.5630, 15.67578
693.0451, 80.93750
693.5272, 136.0469
694.0093, 178.7031
694.4915, 200.5117
694.9736, 199.1172
695.4557, 176.2656
695.9378, 129.9180
696.4199, 33.02344
696.9020, 21.78125
697.3842, 14.64062
697.8663, 21.62891
698.3484, 28.32812
698.8305, 7.144531
699.3126, 9.175781
699.7947, 10.91797
700.2769, 2.367188
700.7590, 15.43750
701.2411, 39.07031
701.7232, 57.91797
702.2053, 48.53906
702.6874, 48.35547
703.1696, 99.28125
703.6517, 193.0352
704.1338, 246.0781
704.6159, 219.1250
705.0980, 170.0000
705.5801, 106.3320
706.0623, 23.20703
706.5444, 7.722656
707.0265, 78.88672
707.5086, 159.1602
707.9907, 188.7109
708.4728, 175.3125
708.9550, 142.8242
709.4371, 90.34375
709.9192, 45.32812
710.4013, 37.00391
710.8834, 49.12109
711.3655, 60.40625
711.8477, 67.23828
712.3298, 68.61328
712.8119, 53.17578
713.2940, 35.43750
713.7761, 39.25391
714.2582, 104.7695
714.7404, 123.9766
715.2225, 62.56641
715.7046, 37.98438
716.1867, 81.84375
716.6688, 65.78125
717.1509, 32.00781
717.6331, 8.472656
718.1152, 53.38281
718.5973, 108.1211
719.0794, 165.9961
719.5615, 197.5742
720.0436, 171.7617
720.5258, 130.2812
721.0079, 98.66406
721.4900, 78.68359
721.9721, 69.29688
722.4542, 72.71094
722.9363, 84.92578
723.4185, 107.9492
723.9006, 145.2500
724.3827, 166.8594
724.8648, 174.2344
725.3469, 162.7578
725.8290, 115.2227
726.3112, 41.14453
726.7933, 6.789063
727.2754, 24.46094
727.7575, 11.93750
728.2396, 75.10156
728.7217, 177.3477
729.2039, 198.9688
729.6859, 74.84766
730.1680, 32.09375
730.6501, 54.94141
731.1323, 26.51953
731.6144, 13.29297
732.0965, 87.66797
732.5786, 125.9609
733.0607, 107.9844
733.5428, 61.36719
734.0250, 42.76172
734.5071, 52.96875
734.9892, 60.18750
735.4713, 55.42969
735.9534, 43.67188
736.4355, 25.95312
736.9177, 6.425781
737.3998, 1.800781
737.8819, 13.11328
738.3640, 36.55078
738.8461, 65.46875
739.3282, 97.45703
739.8104, 118.7461
740.2925, 125.8633
740.7746, 122.4023
741.2567, 104.9453
741.7388, 74.50781
742.2209, 58.43359
742.7031, 59.42578
743.1852, 62.16797
743.6673, 48.58203
744.1494, 28.58203
744.6315, 45.42578
745.1136, 100.0977
745.5958, 139.1367
746.0779, 108.0781
746.5600, 49.95703
747.0421, 0.1367190
747.5242, 42.96094
748.0063, 52.39453
748.4885, 18.08203
748.9706, 96.41406
749.4527, 123.6562
749.9348, 72.83203
750.4169, 57.76953
750.8990, 84.20312
