##NAMES=Belendorffite
##RRUFFID=R070346
##IDEAL CHEMISTRY=Cu_7_Hg_6_
##LOCALITY=Landsberg Mountain (Moschellandsberg Mountain), Obermoschel, Rhineland-Palatinate, Germany
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Fragment of a yellowish-brown hexagonal crystal, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070346
274.0480, 13.02673
274.5301, 12.37720
275.0122, 9.474609
275.4943, 8.954651
275.9764, 11.28461
276.4586, 14.93170
276.9407, 17.91705
277.4228, 20.23145
277.9049, 21.76685
278.3870, 22.37970
278.8691, 22.09955
279.3513, 20.93878
279.8334, 18.35876
280.3155, 16.56213
280.7976, 19.34393
281.2798, 26.92847
281.7619, 33.29590
282.2440, 36.00848
282.7261, 35.42023
283.2082, 33.75873
283.6903, 30.67761
284.1725, 27.79620
284.6546, 28.20331
285.1367, 31.70239
285.6188, 32.91663
286.1009, 27.90479
286.5830, 19.01666
287.0652, 17.26727
287.5473, 23.66913
288.0294, 30.53998
288.5115, 26.87659
288.9936, 14.26355
289.4757, 6.006836
289.9579, 8.211060
290.4400, 17.21014
290.9221, 24.38226
291.4042, 30.39795
291.8863, 34.00848
292.3684, 30.99573
292.8506, 23.35590
293.3327, 20.11700
293.8148, 28.24329
294.2969, 40.98676
294.7790, 42.83765
295.2611, 33.65863
295.7433, 22.95874
296.2254, 20.56805
296.7075, 25.18420
297.1896, 29.92322
297.6717, 32.77509
298.1538, 34.55188
298.6360, 37.30988
299.1181, 41.63708
299.6002, 44.03552
300.0823, 40.35004
300.5644, 32.87579
301.0465, 24.47327
301.5287, 13.47833
302.0108, 4.792480
302.4929, 6.574341
302.9750, 17.16193
303.4571, 26.90314
303.9392, 29.41266
304.4214, 27.13177
304.9035, 22.74567
305.3856, 15.04773
305.8677, 8.780334
306.3498, 9.694458
306.8319, 16.04803
307.3141, 21.62543
307.7962, 22.69177
308.2783, 21.72577
308.7604, 20.08032
309.2425, 16.81567
309.7246, 15.56525
310.2068, 22.64392
310.6889, 34.09332
311.1710, 39.83148
311.6531, 27.03430
312.1352, 11.95691
312.6173, 7.984070
313.0995, 22.49255
313.5816, 33.77478
314.0637, 25.40283
314.5458, 7.106689
315.0279, 2.912048
315.5100, 11.22656
315.9922, 28.92175
316.4743, 39.01270
316.9564, 38.75330
317.4385, 36.54071
317.9206, 34.12579
318.4027, 32.49030
318.8849, 30.62421
319.3670, 27.28705
319.8491, 24.39160
320.3312, 23.09418
320.8133, 23.94952
321.2954, 23.58209
321.7776, 19.01544
322.2597, 13.85815
322.7418, 11.99072
323.2239, 17.79388
323.7060, 22.42944
324.1881, 23.60297
324.6703, 21.13690
325.1524, 19.45581
325.6345, 20.00446
326.1166, 20.42102
326.5987, 18.78204
327.0808, 10.98010
327.5630, 6.244995
328.0451, 6.404419
328.5272, 11.20795
329.0093, 15.94318
329.4914, 21.29504
329.9735, 25.97980
330.4557, 29.45636
330.9378, 32.12408
331.4199, 31.17084
331.9020, 25.03937
332.3841, 15.38000
332.8662, 10.54956
333.3484, 12.60699
333.8305, 16.57837
334.3126, 20.08649
334.7947, 23.51965
335.2768, 25.05042
335.7589, 24.30255
336.2411, 21.57983
336.7232, 16.63470
337.2053, 7.325378
337.6874, 2.239441
338.1695, 8.513611
338.6516, 27.22882
339.1338, 40.66864
339.6159, 48.30280
340.0980, 51.42218
340.5801, 50.91522
341.0622, 46.44556
341.5443, 41.81201
342.0265, 39.33197
342.5086, 38.47815
342.9907, 32.40839
343.4728, 19.57690
343.9549, 7.713562
344.4370, 8.728271
344.9192, 21.26050
345.4013, 32.35675
345.8834, 37.80353
346.3655, 38.30945
346.8476, 33.23676
347.3297, 22.32635
347.8119, 13.19305
348.2940, 15.44965
348.7761, 25.57806
349.2582, 33.17017
349.7403, 35.42224
350.2225, 33.77679
350.7046, 28.66016
351.1867, 20.56628
351.6688, 13.54480
352.1509, 10.49353
352.6331, 10.28827
353.1152, 11.38922
353.5973, 13.72064
354.0794, 16.72485
354.5615, 22.99817
355.0436, 30.19995
355.5258, 31.21124
356.0079, 12.14984
356.4900, 9.277832
356.9721, 15.91443
357.4542, 1.163574
357.9363, 14.93323
358.4185, 22.19891
358.9006, 23.07037
359.3827, 21.79309
359.8648, 18.03723
360.3469, 14.17761
360.8290, 11.18158
361.3112, 9.003052
361.7933, 8.256165
362.2754, 11.03558
362.7575, 14.59814
363.2396, 15.96545
363.7217, 8.740540
364.2039, 4.978455
364.6860, 10.04126
365.1681, 24.09393
365.6502, 34.54712
366.1323, 40.40729
366.6144, 42.05432
367.0966, 39.67694
367.5787, 29.96820
368.0608, 20.32623
368.5429, 9.135193
369.0250, 2.343811
369.5071, 7.045349
369.9893, 0.8208010
370.4714, 7.227417
370.9535, 12.85864
371.4356, 14.53961
371.9177, 17.01337
372.3998, 21.03058
372.8820, 25.15869
373.3641, 27.66302
373.8462, 28.49561
374.3283, 26.57806
374.8104, 19.79608
375.2925, 7.142273
375.7747, 1.859497
376.2568, 5.898254
376.7389, 13.34454
377.2210, 16.29449
377.7031, 14.50171
378.1852, 11.71887
378.6674, 8.553223
