##NAMES=Plancheite
##RRUFFID=R070233
##IDEAL CHEMISTRY=Cu^2+^_8_(Si_4_O_11_)_2_(OH)_4_&#183;H_2_O
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light blue radial fibrous, chatoyant crystals with drusy malachite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070233
573.0910, 19.77075
573.5731, 23.39404
574.0552, 25.16333
574.5374, 22.18799
575.0195, 17.76904
575.5016, 14.98047
575.9837, 15.48828
576.4658, 16.22729
576.9479, 17.01880
577.4301, 17.70142
577.9122, 17.97119
578.3943, 17.45923
578.8764, 16.92871
579.3585, 16.16553
579.8406, 15.38599
580.3228, 17.17847
580.8049, 22.08545
581.2870, 25.90796
581.7691, 24.77832
582.2512, 20.12939
582.7333, 17.94678
583.2155, 18.87549
583.6975, 19.81616
584.1796, 17.08179
584.6617, 12.65967
585.1439, 9.524414
585.6260, 8.562012
586.1081, 9.094238
586.5902, 12.10205
587.0723, 16.19287
587.5544, 18.62207
588.0366, 16.69067
588.5187, 14.89282
589.0008, 14.66772
589.4829, 15.92773
589.9650, 17.10718
590.4471, 17.99878
590.9293, 18.86133
591.4114, 19.99048
591.8935, 21.58203
592.3756, 21.48853
592.8577, 19.40405
593.3398, 16.53687
593.8220, 13.29883
594.3041, 10.02637
594.7862, 9.784668
595.2683, 14.11597
595.7504, 19.01611
596.2325, 18.95166
596.7147, 15.34546
597.1968, 11.86646
597.6789, 9.360596
598.1610, 8.264648
598.6431, 9.469727
599.1252, 12.58521
599.6074, 15.71411
600.0895, 20.64941
600.5716, 23.36206
601.0537, 20.63037
601.5358, 10.25732
602.0179, 4.385498
602.5001, 6.266602
602.9822, 9.563232
603.4643, 9.215820
603.9464, 3.710449
604.4285, 0.6376950
604.9106, 0.8178710
605.3928, 2.839111
605.8749, 4.823975
606.3570, 6.769043
606.8391, 8.700684
607.3212, 11.06421
607.8033, 12.82397
608.2855, 11.47021
608.7676, 7.868164
609.2497, 5.211670
609.7318, 6.167725
610.2139, 8.067139
610.6960, 8.731445
611.1782, 8.086914
611.6603, 7.750732
612.1424, 8.286133
612.6245, 9.309814
613.1066, 10.69458
613.5887, 12.95947
614.0709, 14.55957
614.5530, 16.04443
615.0351, 16.48633
615.5172, 14.26074
615.9993, 8.229492
616.4814, 5.046631
616.9636, 6.469971
617.4457, 9.970459
617.9278, 10.41260
618.4099, 8.078125
618.8920, 6.156738
619.3741, 6.440918
619.8563, 7.441895
620.3384, 7.012695
620.8205, 5.300781
621.3026, 3.180176
621.7847, 0.3464360
622.2668, 2.169189
622.7490, 3.623047
623.2311, 3.959473
623.7132, 3.168701
624.1953, 1.334717
624.6774, 5.299316
625.1595, 5.628662
625.6417, 0.2829590
626.1238, 4.558594
626.6059, 6.751465
627.0880, 7.613525
627.5701, 8.360352
628.0522, 9.149902
628.5344, 7.810547
629.0165, 3.315430
629.4986, 2.696289
629.9807, 7.566895
630.4628, 11.25000
630.9449, 13.49731
631.4271, 12.75781
631.9092, 11.39453
632.3913, 12.41479
632.8734, 15.35986
633.3555, 17.51831
633.8376, 16.28589
634.3198, 14.75293
634.8019, 14.94287
635.2840, 17.43945
635.7661, 19.48608
636.2482, 20.87158
636.7303, 21.69556
637.2125, 22.00098
637.6946, 21.72729
638.1767, 21.04639
638.6588, 19.57983
639.1409, 18.46924
639.6230, 19.85718
640.1052, 23.57715
640.5873, 26.60449
641.0694, 27.85181
641.5515, 28.63965
642.0336, 31.56421
642.5157, 35.73462
642.9979, 38.57178
643.4800, 37.08447
643.9621, 35.17969
644.4442, 35.89111
644.9263, 38.79053
645.4084, 41.16504
645.8906, 41.25293
646.3727, 41.40088
646.8548, 42.92017
647.3369, 46.09131
647.8190, 48.48682
648.3011, 49.55884
648.7833, 50.67822
649.2654, 53.28296
649.7475, 57.66870
650.2296, 59.79126
650.7117, 59.01416
651.1938, 57.60059
651.6760, 57.73438
652.1581, 59.46899
652.6402, 63.55225
653.1223, 71.79541
653.6044, 78.93237
654.0865, 78.07251
654.5687, 73.00781
655.0508, 71.04639
655.5329, 78.25586
656.0150, 85.59082
656.4971, 89.23584
656.9792, 89.95728
657.4614, 92.12744
657.9435, 97.19189
658.4256, 101.8860
658.9077, 104.7124
659.3898, 105.8113
659.8719, 109.4187
660.3541, 116.1855
660.8362, 122.6201
661.3183, 125.7078
661.8004, 126.2715
662.2825, 128.2373
662.7646, 132.1370
663.2468, 136.5420
663.7289, 139.4741
664.2110, 142.0278
664.6931, 146.0723
665.1752, 153.1221
665.6573, 159.4114
666.1395, 161.8452
666.6216, 163.2478
667.1037, 167.0420
667.5858, 176.7407
668.0679, 185.2290
668.5500, 191.8718
669.0322, 196.9712
669.5143, 201.0239
669.9964, 204.0544
670.4785, 205.8018
670.9606, 205.3789
671.4427, 204.1343
671.9249, 206.4573
672.4070, 211.9014
672.8891, 216.9666
673.3712, 219.8645
673.8533, 221.0439
674.3354, 220.2959
674.8176, 217.9387
675.2997, 216.1306
675.7818, 217.4060
676.2639, 218.4116
676.7460, 216.9512
677.2281, 212.3135
677.7103, 207.4116
678.1924, 202.8677
678.6745, 197.5435
679.1566, 190.2639
679.6387, 180.3701
680.1208, 170.8052
680.6030, 161.1677
681.0851, 153.2764
681.5672, 151.9106
682.0493, 154.9500
682.5314, 151.2759
683.0135, 135.7363
683.4957, 118.0293
683.9778, 108.3120
684.4599, 104.1050
684.9420, 100.9072
685.4241, 98.73730
685.9063, 95.30737
686.3884, 88.83521
686.8705, 80.61353
687.3526, 74.44165
687.8347, 70.94336
688.3168, 68.27100
688.7990, 66.20435
689.2811, 64.77588
689.7632, 63.23804
690.2453, 61.54028
690.7274, 59.46021
691.2095, 56.27368
691.6917, 52.67456
692.1738, 51.28345
692.6559, 52.00024
693.1380, 52.01123
693.6201, 48.20264
694.1022, 43.24536
694.5844, 39.56641
695.0665, 37.53198
695.5486, 36.32764
696.0307, 35.80688
696.5128, 35.86719
696.9949, 36.59424
697.4771, 39.46313
697.9592, 39.72827
698.4413, 36.36670
698.9234, 31.81104
699.4055, 29.16455
699.8876, 28.52148
700.3698, 27.52930
700.8519, 25.85718
701.3340, 23.77661
701.8161, 21.66284
702.2982, 19.48096
702.7803, 16.96094
703.2625, 12.57178
703.7446, 9.615723
704.2267, 12.02539
704.7088, 17.41431
705.1909, 20.53223
705.6730, 17.83643
706.1552, 14.95630
706.6373, 12.63452
707.1194, 11.04346
707.6015, 11.20679
708.0836, 13.27344
708.5657, 16.47705
709.0479, 21.09448
709.5300, 26.47144
710.0121, 30.22583
710.4942, 32.32007
710.9763, 32.47461
711.4584, 28.71387
711.9406, 23.87085
712.4227, 22.13867
712.9048, 23.61206
713.3869, 24.06763
713.8690, 20.61157
714.3511, 16.14185
714.8333, 12.21509
715.3154, 8.592773
715.7975, 7.776855
716.2796, 12.56714
716.7617, 16.90503
717.2438, 15.14844
717.7260, 6.539063
718.2081, 1.162109
718.6902, 0.1958010
719.1723, 0.3896480
719.6544, 2.974609
720.1365, 8.105225
720.6187, 10.29297
721.1008, 7.995361
721.5829, 4.305664
722.0650, 1.035645
722.5471, 1.979980
723.0292, 5.046631
723.5114, 9.559814
723.9935, 12.28027
724.4756, 11.23779
724.9577, 8.584473
725.4398, 7.965820
725.9219, 9.883301
726.4041, 12.25269
726.8862, 14.69995
727.3683, 17.21021
727.8504, 20.48633
728.3325, 24.14038
728.8146, 25.36206
729.2968, 21.05615
729.7789, 15.22144
730.2610, 11.76025
730.7431, 10.50903
731.2252, 10.91357
731.7073, 14.91626
732.1895, 18.42700
732.6716, 19.70337
733.1537, 18.73755
733.6358, 16.95166
734.1179, 13.78101
734.6000, 10.75952
735.0822, 8.401367
735.5643, 6.757568
736.0464, 6.589600
736.5285, 7.995117
737.0106, 9.407227
737.4927, 9.453125
737.9749, 8.882568
738.4570, 9.327393
738.9391, 10.81177
739.4212, 11.40894
739.9033, 9.174316
740.3854, 6.174561
740.8676, 3.708740
741.3497, 1.788574
741.8318, 0.9499510
742.3139, 1.866943
742.7960, 3.041016
743.2781, 3.167236
743.7603, 1.833740
744.2424, 2.744873
744.7245, 6.736816
745.2066, 9.995361
745.6887, 7.032959
746.1708, 0.3449710
746.6530, 3.664307
747.1351, 3.807617
747.6172, 1.626465
748.0993, 4.592529
748.5814, 11.29639
749.0635, 14.25879
749.5457, 8.801270
750.0278, 5.562500
750.5099, 6.727295
750.9920, 10.12231
751.4741, 13.53247
751.9562, 16.95776
752.4384, 20.08350
752.9205, 23.03833
753.4026, 25.02954
753.8847, 23.83374
754.3668, 20.27783
754.8489, 18.13574
755.3311, 19.05469
755.8132, 20.75366
756.2953, 21.33643
756.7774, 21.29492
757.2595, 21.49951
757.7416, 22.94897
758.2238, 23.89209
758.7059, 23.24268
759.1880, 22.09863
759.6701, 23.18945
760.1522, 28.00195
760.6343, 30.33472
761.1165, 27.96948
761.5986, 22.93579
762.0807, 20.00293
762.5628, 18.91187
763.0449, 18.02881
763.5270, 15.72314
764.0092, 14.05054
764.4913, 15.78931
764.9734, 19.84888
765.4555, 22.89355
765.9376, 22.69336
766.4197, 22.27246
766.9019, 22.57788
767.3840, 23.46899
767.8661, 24.40137
768.3482, 25.60913
768.8303, 26.96558
769.3124, 27.95361
769.7946, 28.56567
770.2767, 25.91943
770.7588, 20.54663
771.2409, 17.41357
771.7230, 21.80054
772.2051, 28.31006
772.6873, 31.74048
773.1694, 32.28369
773.6515, 32.38623
774.1336, 33.71289
774.6157, 34.03418
775.0978, 31.59668
775.5800, 26.61182
776.0621, 24.60596
776.5442, 26.69287
777.0263, 28.82007
777.5084, 27.57910
777.9905, 23.96631
778.4727, 23.58423
778.9548, 26.53467
779.4369, 30.04272
779.9190, 32.43604
780.4011, 33.90601
