##NAMES=Cobaltlotharmeyerite
##RRUFFID=R070400
##IDEAL CHEMISTRY=CaCo^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Roter Berg District, Schneeberg District, Erzgebirge, Saxony, Germany
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Aggregates of light brown fibers on quartz, associated with metazeunerite R110205
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070400
334.5971, 28.60901
335.0792, 22.79749
335.5613, 26.90637
336.0434, 51.77649
336.5255, 75.77441
337.0077, 87.74475
337.4898, 88.55164
337.9719, 84.88000
338.4540, 81.31995
338.9361, 77.86218
339.4182, 73.60291
339.9004, 64.96545
340.3825, 63.38220
340.8646, 75.46631
341.3467, 93.32080
341.8288, 107.0079
342.3109, 113.5958
342.7931, 115.5110
343.2752, 114.7822
343.7573, 110.8801
344.2394, 108.1616
344.7215, 107.7255
345.2036, 108.4054
345.6858, 107.7916
346.1679, 106.0181
346.6500, 109.0311
347.1321, 123.6842
347.6142, 145.9414
348.0963, 165.4626
348.5785, 181.8771
349.0606, 193.3998
349.5427, 194.1215
350.0248, 188.3604
350.5069, 188.7559
350.9890, 203.5667
351.4712, 220.5326
351.9533, 230.2444
352.4354, 233.6156
352.9175, 234.7076
353.3996, 234.1492
353.8817, 232.1986
354.3639, 231.1901
354.8460, 233.5106
355.3281, 235.5231
355.8102, 233.2671
356.2923, 230.2512
356.7744, 232.2866
357.2566, 239.3845
357.7387, 246.5658
358.2208, 246.2124
358.7029, 238.1824
359.1850, 221.1400
359.6671, 180.5210
360.1493, 146.6658
360.6314, 135.3998
361.1135, 141.4928
361.5956, 152.5742
362.0777, 161.7139
362.5598, 169.6937
363.0420, 175.0381
363.5241, 177.5900
364.0062, 177.1703
364.4883, 173.2633
364.9704, 167.1082
365.4525, 158.9299
365.9347, 149.1171
366.4168, 139.4225
366.8989, 130.8925
367.3810, 123.2324
367.8631, 121.3109
368.3452, 131.8428
368.8274, 140.2871
369.3095, 137.1880
369.7916, 126.4939
370.2737, 117.9397
370.7558, 117.2286
371.2379, 120.3019
371.7201, 120.5126
372.2022, 117.2712
372.6843, 114.8087
373.1664, 116.9396
373.6485, 119.6461
374.1306, 115.8418
374.6128, 102.6219
375.0949, 91.48010
375.5770, 90.09448
376.0591, 95.44458
376.5412, 101.6451
377.0233, 107.1661
377.5055, 110.5798
377.9876, 110.6370
378.4697, 106.8962
378.9518, 103.9926
379.4339, 102.3665
379.9160, 101.2476
380.3982, 101.6862
380.8803, 102.4324
381.3624, 89.28723
381.8445, 103.2094
382.3266, 110.2432
382.8087, 111.3981
383.2909, 89.04919
383.7730, 97.06287
384.2551, 92.91589
384.7372, 88.62793
385.2193, 101.4982
385.7014, 82.95544
386.1836, 94.99866
386.6657, 94.69702
387.1478, 100.0527
387.6299, 93.17383
388.1120, 90.08118
388.5941, 99.23804
389.0763, 76.88916
389.5584, 63.14172
390.0405, 53.38745
390.5226, 50.78589
391.0047, 53.31238
391.4868, 59.94446
391.9690, 71.66101
392.4511, 77.50500
392.9332, 70.46558
393.4153, 59.94531
393.8974, 55.07568
394.3795, 55.92676
394.8617, 57.31824
395.3438, 57.69043
395.8259, 56.66003
396.3080, 52.11475
396.7901, 43.54810
397.2722, 37.79260
397.7544, 41.80493
398.2365, 52.72290
398.7186, 55.43677
399.2007, 36.83252
399.6828, 24.80054
400.1649, 39.89441
400.6471, 66.40503
401.1292, 76.11060
401.6113, 59.66272
402.0934, 32.32593
402.5755, 15.78149
403.0576, 11.55469
403.5398, 15.14709
404.0219, 36.32031
404.5040, 55.19971
404.9861, 62.29614
405.4682, 58.50574
405.9503, 46.79248
406.4325, 27.50647
406.9146, 5.183716
407.3967, 2.132324
407.8788, 15.97388
408.3609, 27.69495
408.8430, 22.05933
409.3252, 11.42029
409.8073, 4.880615
410.2894, 3.937988
410.7715, 5.109619
411.2536, 4.586182
411.7357, 3.346313
412.2179, 7.663208
412.7000, 20.72729
413.1821, 32.59521
413.6642, 35.18115
414.1463, 31.71204
414.6284, 27.55542
415.1106, 19.99084
415.5927, 16.53088
416.0748, 27.17981
416.5569, 46.97278
417.0390, 59.77161
417.5211, 59.32764
418.0033, 52.70044
418.4854, 50.91333
418.9675, 57.35962
419.4496, 56.45544
419.9317, 36.66809
420.4138, 18.43262
420.8960, 20.37476
421.3781, 37.07019
421.8602, 47.78040
422.3423, 38.25464
422.8244, 14.23486
423.3065, 0.8062740
423.7887, 5.729370
424.2708, 9.529419
424.7529, 9.975586
425.2350, 8.726563
425.7171, 6.066528
426.1992, 2.589722
426.6814, 0.6795650
427.1635, 5.084473
427.6456, 14.74121
428.1277, 15.48889
428.6098, 2.550537
429.0919, 10.15479
429.5741, 15.07007
430.0562, 15.35059
430.5383, 15.42896
431.0204, 16.77942
431.5025, 17.19568
431.9846, 13.10291
432.4668, 6.255249
432.9489, 4.347290
433.4310, 10.94592
433.9131, 17.35181
434.3952, 11.31482
434.8773, 8.984619
435.3595, 21.51624
435.8416, 19.43872
436.3237, 14.34998
436.8058, 14.45020
437.2879, 17.45667
437.7701, 14.22778
438.2522, 0.8240970
438.7343, 18.89978
439.2164, 15.69800
439.6985, 33.89551
440.1806, 59.46594
440.6628, 46.09033
441.1449, 22.76636
441.6270, 3.355225
442.1091, 9.020874
442.5912, 13.75378
443.0733, 9.240967
443.5555, 2.916504
444.0376, 17.94067
444.5197, 38.59070
445.0018, 54.38440
445.4839, 59.50293
445.9660, 58.59619
446.4482, 53.44421
446.9303, 43.04517
447.4124, 38.28284
447.8945, 50.84338
448.3766, 72.81140
448.8587, 86.39392
449.3409, 88.73547
449.8230, 90.79797
450.3051, 101.6404
450.7872, 120.3247
451.2693, 135.8677
451.7514, 148.8503
452.2336, 158.3284
452.7157, 158.8933
453.1978, 157.5543
453.6799, 164.3064
454.1620, 181.8954
454.6441, 205.7236
455.1263, 231.0577
455.6084, 259.3809
456.0905, 280.6345
456.5726, 286.5972
457.0547, 293.4735
457.5368, 306.4382
458.0190, 323.4750
458.5011, 340.3497
458.9832, 354.8389
459.4653, 370.8452
459.9474, 397.3423
460.4295, 434.5114
460.9117, 462.0636
461.3938, 471.1188
461.8759, 476.2200
462.3580, 494.0521
462.8401, 521.1407
463.3222, 538.2078
463.8044, 531.9739
464.2865, 519.9314
464.7686, 523.8960
465.2507, 537.2129
465.7328, 529.6810
466.2149, 484.8206
466.6971, 423.8362
467.1792, 389.5569
467.6613, 403.2758
468.1434, 399.0143
468.6255, 367.4939
469.1076, 326.4728
469.5898, 277.7933
470.0719, 228.9066
470.5540, 196.6133
471.0361, 193.0966
471.5182, 208.3777
472.0003, 213.3265
472.4825, 204.9030
472.9646, 194.3195
473.4467, 181.0986
473.9288, 168.4926
474.4109, 159.6100
474.8930, 154.1062
475.3752, 147.5609
475.8573, 133.0652
476.3394, 117.6610
476.8215, 115.0518
477.3036, 125.6449
477.7857, 138.3645
478.2679, 150.3394
478.7500, 158.7679
479.2321, 155.2163
479.7142, 134.2930
480.1963, 117.0420
480.6784, 105.7233
481.1606, 100.9371
481.6427, 107.8608
482.1248, 123.5787
482.6069, 134.7405
483.0890, 130.4946
483.5711, 114.3477
484.0533, 105.5918
484.5354, 105.9529
485.0175, 111.4812
485.4996, 124.7010
485.9817, 139.9465
486.4638, 154.5122
486.9460, 166.8218
487.4281, 173.8729
487.9102, 169.9661
488.3923, 159.2822
488.8744, 155.2198
489.3565, 159.0721
489.8387, 163.0498
490.3208, 161.9092
490.8029, 159.0219
491.2850, 161.6642
491.7671, 171.9077
492.2492, 182.0913
492.7314, 190.2136
493.2135, 196.1349
493.6956, 199.0912
494.1777, 199.6249
494.6598, 200.9462
495.1419, 205.6655
495.6241, 212.7780
496.1062, 220.5934
496.5883, 234.7151
497.0704, 240.2356
497.5525, 226.0989
498.0346, 209.9139
498.5168, 206.9221
498.9989, 218.5121
499.4810, 236.1953
499.9631, 257.2434
500.4452, 278.4360
500.9273, 285.1315
501.4095, 274.1311
501.8916, 262.3906
502.3737, 256.3005
502.8558, 254.5483
503.3379, 254.8759
503.8200, 257.5083
504.3022, 261.1165
504.7843, 266.0752
505.2664, 271.2505
505.7485, 275.7266
506.2306, 279.3267
506.7127, 281.4551
507.1949, 280.3469
507.6770, 277.1323
508.1591, 275.4087
508.6412, 278.0870
509.1233, 280.7062
509.6054, 281.7046
510.0876, 279.9321
510.5697, 274.3290
511.0518, 265.9404
511.5339, 257.5995
512.0161, 253.0929
512.4982, 249.8137
512.9803, 236.1151
513.4624, 208.4348
513.9445, 190.6093
514.4266, 196.3801
514.9088, 211.3613
515.3909, 216.6030
515.8730, 211.8086
516.3551, 202.4535
516.8372, 184.4076
517.3193, 166.7860
517.8015, 159.4827
518.2836, 161.3660
518.7657, 163.2289
519.2478, 159.3070
519.7299, 152.2771
520.2120, 147.1660
520.6942, 145.6196
521.1763, 142.8831
521.6584, 139.7104
522.1405, 134.7853
522.6226, 125.7004
523.1047, 114.2770
523.5869, 104.9283
524.0690, 99.85376
524.5511, 97.76941
525.0332, 98.27124
525.5153, 101.3134
525.9974, 99.15051
526.4796, 87.64014
526.9617, 74.08984
527.4438, 64.92578
527.9259, 60.03760
528.4080, 61.06860
528.8901, 74.21021
529.3723, 87.16638
529.8544, 92.46680
530.3365, 92.33740
530.8186, 91.52124
531.3007, 91.60742
531.7828, 90.39539
532.2650, 84.13757
532.7471, 71.32581
533.2292, 62.76172
533.7113, 63.19458
534.1934, 62.50891
534.6755, 54.29272
535.1577, 44.41907
535.6398, 41.21594
536.1219, 47.35974
536.6040, 57.30847
537.0861, 68.20325
537.5682, 78.82068
538.0504, 84.88306
538.5325, 85.65796
539.0146, 83.43921
539.4967, 79.09595
539.9788, 73.48682
540.4609, 69.41467
540.9431, 69.80786
541.4252, 68.07312
541.9073, 62.01587
542.3894, 53.77405
542.8715, 43.13477
543.3536, 31.62988
543.8358, 24.89978
544.3179, 28.58752
544.8000, 39.52271
545.2821, 42.75989
545.7642, 34.09192
546.2463, 29.33081
546.7285, 38.35986
547.2106, 48.35095
547.6926, 46.95789
548.1747, 35.13086
548.6569, 27.94495
549.1390, 38.01208
549.6211, 51.82605
550.1032, 55.42834
550.5853, 49.62231
551.0674, 37.19348
551.5496, 17.83142
552.0317, 0.8289790
552.5138, 5.653198
552.9959, 8.939697
553.4780, 18.48560
553.9601, 19.92627
554.4423, 20.23047
554.9244, 22.18347
555.4065, 25.01819
555.8886, 27.53796
556.3707, 29.38257
556.8528, 29.86536
557.3350, 26.96130
557.8171, 21.28943
558.2992, 18.94141
558.7813, 21.78210
559.2634, 23.79016
559.7455, 19.24878
560.2277, 11.09094
560.7098, 8.853516
561.1919, 16.70276
561.6740, 23.33862
562.1561, 26.95374
562.6382, 26.68530
563.1204, 17.70984
563.6025, 2.429321
564.0846, 6.239746
564.5667, 2.890015
565.0488, 22.58630
565.5309, 21.87891
566.0131, 12.09290
566.4952, 34.00024
566.9773, 26.34851
567.4594, 11.78101
567.9415, 1.119141
568.4236, 4.511108
568.9058, 4.656616
569.3879, 4.876221
569.8700, 16.14685
570.3521, 23.38953
570.8342, 25.89209
571.3163, 19.06311
571.7985, 0.7379150
572.2806, 19.28723
572.7627, 28.92407
573.2448, 26.97742
573.7269, 26.41516
574.2090, 33.45898
574.6912, 34.29272
575.1733, 16.39685
575.6554, 4.709229
576.1375, 9.079590
576.6196, 6.464233
577.1017, 23.89221
577.5839, 24.26904
578.0660, 13.42273
578.5481, 13.08545
579.0302, 25.16003
579.5123, 33.02771
579.9944, 26.76624
580.4766, 13.95667
580.9587, 9.681763
581.4408, 15.58252
581.9229, 21.36194
582.4050, 24.42224
582.8871, 27.46790
583.3693, 36.16919
583.8514, 46.18958
584.3335, 46.27808
584.8156, 30.90332
585.2977, 11.24817
585.7798, 7.306885
586.2620, 21.04626
586.7441, 28.16064
587.2262, 23.85742
587.7083, 18.90442
588.1904, 19.75623
588.6725, 23.95276
589.1547, 27.96643
589.6368, 32.18018
590.1189, 33.85986
590.6010, 29.82886
591.0831, 23.58875
591.5652, 19.00879
592.0474, 16.56604
592.5295, 16.01294
