##NAMES=Berzelianite
##RRUFFID=R110159
##IDEAL CHEMISTRY=Cu_2-x_Se (x &#8776; 0.12)
##LOCALITY=Facebaja, Romania
##OWNER=RRUFF
##SOURCE=Mark N Feinglos
##DESCRIPTION=Black metallic euhedral grains, associated with pale-yellow sulfur crystals.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110159
470.5472, 5.040453
471.0294, 5.523010
471.5115, 5.567154
471.9936, 5.345409
472.4757, 4.989502
472.9578, 4.568241
473.4399, 4.320868
473.9221, 4.610159
474.4042, 5.635878
474.8863, 6.020630
475.3684, 5.088257
475.8505, 4.331911
476.3326, 4.440510
476.8148, 5.046471
477.2969, 5.493622
477.7790, 5.461369
478.2611, 5.153751
478.7432, 4.997761
479.2253, 5.050028
479.7075, 5.096651
480.1896, 5.282040
480.6717, 5.315071
481.1538, 4.867584
481.6359, 4.065546
482.1180, 3.438313
482.6002, 3.447035
483.0823, 3.857918
483.5644, 3.974398
484.0465, 3.702349
484.5286, 3.481503
485.0107, 3.604488
485.4929, 3.830309
485.9750, 3.844482
486.4571, 3.570486
486.9392, 3.324001
487.4213, 3.423019
487.9034, 3.669050
488.3856, 3.543287
488.8677, 2.917820
489.3498, 2.308153
489.8319, 2.236950
490.3140, 2.644165
490.7961, 2.673737
491.2783, 1.784094
491.7604, 1.092474
492.2425, 1.311203
492.7246, 2.046381
493.2067, 2.561716
493.6888, 2.597889
494.1710, 2.378157
494.6531, 2.237837
495.1352, 2.212305
495.6173, 2.156792
496.0994, 2.058533
496.5815, 1.947510
497.0637, 1.832159
497.5458, 1.716370
498.0279, 1.605879
498.5100, 1.504368
498.9921, 1.406445
499.4742, 1.282316
499.9564, 1.086060
500.4385, 0.9832760
500.9206, 1.229853
501.4027, 1.391083
501.8848, 1.052019
502.3669, 0.3054900
502.8491, 0.2798060
503.3312, 0.1919590
503.8133, 0.3119680
504.2954, 0.5341380
504.7775, 0.4380470
505.2596, 0.2273830
505.7418, 0.1769750
506.2239, 0.5412960
506.7060, 0.4755520
507.1881, 0.1645110
507.6702, 0.7114730
508.1523, 0.7933290
508.6345, 0.5814720
509.1166, 0.2937450
509.5987, 3.7273001E-02
510.0808, 0.2653080
510.5629, 0.2316040
511.0450, 4.8560999E-02
511.5272, 0.3280510
512.0093, 0.6740890
512.4914, 0.9437790
512.9735, 1.157759
513.4556, 1.247673
513.9377, 1.041340
514.4199, 0.5257240
514.9020, 1.4309000E-02
515.3841, 0.1971000
515.8662, 4.2319998E-02
516.3483, 0.1948050
516.8304, 0.1365590
517.3126, 0.1244300
517.7947, 0.3752170
518.2768, 0.6702160
518.7589, 0.6224140
519.2410, 6.1427999E-02
519.7231, 0.5956460
520.2053, 0.6933190
520.6874, 0.1832920
521.1695, 0.2305660
521.6516, 0.4999160
522.1337, 0.5877670
522.6158, 0.3903430
523.0980, 2.3100000E-04
523.5801, 0.3089520
524.0622, 0.4507350
524.5443, 0.4577580
525.0264, 0.3150690
525.5085, 4.6137001E-02
525.9907, 0.2280390
526.4728, 0.5027940
526.9549, 0.6775890
527.4370, 0.5387650
527.9191, 4.8310002E-03
