##NAMES=Pyrochlore
##RRUFFID=R080058
##IDEAL CHEMISTRY=Ca_2_Nb_2_O_7_
##LOCALITY=Samiresy, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange octahedron, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080058
298.2173, 0.5186770
298.6995, 1.066772
299.1816, 2.870728
299.6637, 5.639160
300.1458, 9.084595
300.6279, 13.78455
301.1100, 17.74341
301.5922, 17.75378
302.0743, 14.60095
302.5564, 11.31970
303.0385, 9.012451
303.5206, 7.637939
304.0027, 7.669800
304.4849, 9.567017
304.9670, 11.31787
305.4491, 10.90527
305.9312, 8.851318
306.4133, 6.407959
306.8954, 3.295776
307.3776, 0.6248780
307.8597, 0.3452150
308.3418, 0.5460210
308.8239, 2.400635
309.3060, 5.744629
309.7881, 9.478271
310.2703, 11.76416
310.7524, 11.84436
311.2345, 10.29712
311.7166, 6.501953
312.1987, 0.6073000
312.6808, 3.984253
313.1630, 4.199951
313.6451, 2.553589
314.1272, 1.880981
314.6093, 5.437988
315.0914, 7.864746
315.5735, 5.261597
316.0557, 1.350586
316.5378, 6.601807
317.0199, 7.819214
317.5020, 7.019531
317.9841, 5.469116
318.4662, 2.153809
318.9484, 0.1376950
319.4305, 1.890015
319.9126, 5.863647
320.3947, 7.990723
320.8768, 5.480835
321.3589, 2.059937
321.8411, 0.6300050
322.3232, 2.579468
322.8053, 3.207642
323.2874, 1.311401
323.7695, 1.772705
324.2516, 3.930542
324.7338, 5.099487
325.2159, 5.044922
325.6980, 3.218506
326.1801, 1.037476
326.6622, 4.205444
327.1443, 6.469727
327.6265, 7.383545
328.1086, 6.447754
328.5907, 0.2563480
329.0728, 4.389893
329.5549, 3.280884
330.0370, 3.149658
330.5192, 6.355347
331.0013, 4.418457
331.4834, 0.9105220
331.9655, 1.774902
332.4476, 3.244873
332.9297, 4.567383
333.4119, 5.847290
333.8940, 7.037109
334.3761, 8.018188
334.8582, 9.182983
335.3403, 9.473145
335.8224, 7.924927
336.3046, 3.200439
336.7867, 0.6831050
337.2688, 1.175659
337.7509, 3.328979
338.2330, 5.040894
338.7151, 6.487427
339.1973, 6.998169
339.6794, 6.176147
340.1615, 4.008423
340.6436, 1.397339
341.1257, 1.962036
341.6078, 5.066040
342.0900, 6.739868
342.5721, 6.952881
343.0542, 5.317383
343.5363, 1.000610
344.0184, 5.224487
344.5005, 10.55786
344.9827, 15.14368
345.4648, 17.58557
345.9469, 14.72070
346.4290, 7.459229
346.9111, 3.643066
347.3932, 5.640869
347.8754, 10.52905
348.3575, 13.09399
348.8396, 13.40454
349.3217, 12.54565
349.8038, 10.94507
350.2859, 8.687012
350.7681, 5.363281
351.2502, 0.1972660
351.7323, 3.590698
352.2144, 1.9165000E-02
352.6965, 8.556274
353.1786, 14.44751
353.6608, 10.80383
354.1429, 3.925293
354.6250, 2.016602
355.1071, 5.484253
355.5892, 9.825562
356.0714, 12.07886
356.5535, 12.94604
357.0356, 13.46021
357.5177, 14.83728
357.9998, 15.31335
358.4819, 12.63416
358.9641, 7.427979
359.4462, 3.269531
359.9283, 1.327637
360.4104, 1.559692
360.8925, 4.345459
361.3746, 11.93604
361.8568, 18.28040
362.3389, 20.79980
362.8210, 20.22949
363.3031, 18.31653
363.7852, 13.36633
364.2673, 8.926392
364.7495, 6.924072
365.2316, 8.256592
365.7137, 9.427246
366.1958, 9.212646
366.6779, 8.687378
367.1600, 9.105103
367.6422, 11.72766
368.1243, 14.12280
368.6064, 16.37390
369.0885, 18.55908
369.5706, 18.25317
370.0527, 11.89441
370.5349, 5.667480
371.0170, 4.057983
371.4991, 11.41724
371.9812, 16.15613
372.4633, 16.18896
372.9454, 12.97754
373.4276, 11.95312
373.9097, 14.67603
374.3918, 16.88208
374.8739, 16.35413
375.3560, 12.18091
375.8381, 9.443481
376.3203, 8.235107
376.8024, 8.280396
377.2845, 9.581299
377.7666, 12.37256
378.2487, 14.96277
378.7308, 16.58459
379.2130, 17.44934
379.6951, 19.01672
380.1772, 21.43274
380.6593, 23.59778
381.1414, 24.50488
381.6235, 24.25232
382.1057, 23.59180
382.5878, 22.37659
383.0699, 21.22253
383.5520, 21.67529
384.0341, 23.51294
384.5162, 25.02490
384.9984, 25.84265
385.4805, 25.55676
385.9626, 22.32532
386.4447, 15.56689
386.9268, 9.713623
387.4089, 11.07996
387.8911, 16.84155
388.3732, 21.14587
388.8553, 20.28955
389.3374, 18.02454
389.8195, 18.01172
390.3016, 20.02441
390.7838, 21.60254
391.2659, 20.23413
391.7480, 18.05774
392.2301, 17.56567
392.7122, 22.28479
393.1943, 24.92065
393.6765, 18.99207
394.1586, 7.839111
394.6407, 0.9573970
395.1228, 6.189209
395.6049, 13.02161
396.0870, 16.09888
396.5692, 13.72729
397.0513, 11.07947
397.5334, 7.772217
398.0155, 5.138184
398.4976, 4.816650
398.9797, 9.988647
399.4619, 13.92029
399.9440, 14.71338
400.4261, 12.46375
400.9082, 12.11121
401.3903, 16.03918
401.8724, 19.79407
402.3546, 20.06360
402.8367, 14.39417
403.3188, 10.61780
403.8009, 9.361816
404.2830, 10.13599
404.7651, 12.09851
405.2473, 15.94836
405.7294, 19.07581
406.2115, 20.65430
406.6936, 20.71228
407.1757, 17.79651
407.6578, 10.40967
408.1400, 3.985840
408.6221, 7.104126
409.1042, 19.32178
409.5863, 26.79016
410.0684, 25.22461
410.5505, 17.87524
411.0327, 10.88342
411.5148, 4.315063
411.9969, 0.5728760
412.4790, 3.604858
412.9611, 10.68079
413.4432, 14.47192
413.9254, 13.52234
414.4075, 11.31885
414.8896, 11.97827
415.3717, 14.32385
415.8538, 15.56763
416.3359, 12.32141
416.8181, 8.708740
417.3002, 9.196899
417.7823, 13.69495
418.2644, 17.58411
418.7465, 18.36792
419.2286, 17.22534
419.7108, 15.11279
420.1929, 9.884277
420.6750, 6.894897
421.1571, 10.46399
421.6392, 17.99683
422.1213, 22.64795
422.6035, 20.61670
423.0856, 17.07019
423.5677, 13.69873
424.0498, 10.31128
424.5319, 8.441895
425.0140, 9.521973
425.4962, 11.59766
425.9783, 12.68713
426.4604, 12.19604
426.9425, 11.60217
427.4246, 10.88037
427.9067, 10.16748
428.3889, 10.53882
428.8710, 12.86572
429.3531, 14.86951
429.8352, 14.60095
430.3173, 11.13293
430.7994, 10.78442
431.2816, 15.13721
431.7637, 20.33142
432.2458, 18.97778
432.7279, 10.61414
433.2100, 3.524536
433.6921, 0.8688960
434.1743, 1.684692
434.6564, 2.549316
435.1385, 3.436890
435.6206, 4.975098
436.1027, 8.464233
436.5848, 13.08850
437.0670, 16.73682
437.5491, 19.26562
438.0312, 20.17969
438.5133, 17.41589
438.9954, 12.40125
439.4775, 9.074341
439.9597, 11.99878
440.4418, 15.89124
440.9239, 15.05627
441.4060, 9.201050
441.8881, 4.581177
442.3702, 5.883301
442.8524, 9.678467
443.3345, 12.62244
443.8166, 12.43689
444.2987, 12.95801
444.7808, 16.96130
445.2629, 22.70715
445.7451, 25.18286
446.2272, 19.90234
446.7093, 14.33899
447.1914, 11.51892
447.6735, 12.53931
448.1556, 12.87817
448.6378, 11.90930
449.1199, 10.65125
449.6020, 10.15649
450.0841, 10.82471
450.5662, 11.47241
451.0483, 11.70203
451.5305, 11.88745
452.0126, 13.85596
452.4947, 18.20422
452.9768, 21.92151
453.4589, 22.61145
453.9410, 20.11926
454.4232, 19.24658
454.9053, 20.35657
455.3874, 22.40332
455.8695, 24.72314
456.3516, 26.94250
456.8337, 27.36865
457.3159, 24.48804
457.7980, 20.62720
458.2801, 20.92480
458.7622, 24.69702
459.2443, 27.13501
459.7264, 23.01794
460.2086, 16.43481
460.6907, 12.95886
461.1728, 13.86987
461.6549, 16.13586
462.1370, 18.85669
462.6191, 20.72253
463.1013, 20.21509
463.5834, 13.41895
464.0655, 7.661621
464.5476, 7.019409
465.0297, 10.93237
465.5118, 14.33630
465.9940, 15.10742
466.4761, 15.60730
466.9582, 17.22437
467.4403, 21.18616
467.9224, 23.69336
468.4045, 23.72913
468.8867, 22.58411
469.3688, 22.15784
469.8509, 23.00427
470.3330, 23.99219
470.8151, 24.83118
471.2972, 25.33020
471.7794, 25.86328
472.2615, 26.74133
472.7436, 27.06860
473.2257, 26.03528
473.7078, 23.63428
474.1899, 21.27368
474.6721, 18.78979
475.1542, 16.76367
475.6363, 16.59790
476.1184, 18.05078
