##NAMES=Kleinite
##RRUFFID=R150103
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=Terlingua, Brewster Co., Texas, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of orange short hexagonal prismatic crystals, associated with colorless or white prismatic gypsum. Part of the type find.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R150103
212.7230, 14.83630
213.2051, 12.67957
213.6872, 7.557373
214.1693, 2.908813
214.6514, 1.217163
215.1335, 4.526611
215.6157, 5.250488
216.0978, 2.225952
216.5799, 1.348999
217.0620, 3.595337
217.5441, 4.538086
218.0262, 3.960815
218.5084, 1.015137
218.9905, 3.527100
219.4726, 5.484253
219.9547, 3.701782
220.4368, 1.392578
220.9189, 0.6275630
221.4011, 1.869995
221.8832, 3.667847
222.3653, 6.640381
222.8474, 10.14490
223.3295, 10.96960
223.8116, 7.568848
224.2938, 3.944580
224.7759, 2.816406
225.2580, 5.945679
225.7401, 7.063721
226.2222, 4.403564
226.7043, 0.6473390
227.1865, 1.821533
227.6686, 3.530884
228.1507, 8.817139
228.6328, 9.760010
229.1149, 3.400513
229.5970, 0.2156980
230.0792, 0.5020750
230.5613, 4.411011
231.0434, 7.057739
231.5255, 8.198975
232.0076, 8.245972
232.4897, 7.070313
232.9719, 2.615356
233.4540, 2.413330
233.9361, 8.922363
234.4182, 19.74475
234.9003, 26.47961
235.3824, 27.39575
235.8646, 26.63000
236.3467, 25.66895
236.8288, 22.64014
237.3109, 23.78687
237.7930, 31.27661
238.2751, 42.70581
238.7573, 50.34265
239.2394, 51.92395
239.7215, 52.95056
240.2036, 56.09387
240.6857, 62.78162
241.1678, 68.26514
241.6500, 72.06372
242.1321, 74.57336
242.6142, 76.82300
243.0963, 77.43530
243.5784, 80.35913
244.0605, 87.66138
244.5427, 102.3397
245.0248, 113.1644
245.5069, 118.8038
245.9890, 121.3876
246.4711, 125.3601
246.9532, 131.7058
247.4354, 137.7140
247.9175, 142.1071
248.3996, 144.0581
248.8817, 147.5692
249.3638, 153.5168
249.8459, 160.6196
250.3281, 166.2427
250.8102, 169.1917
251.2923, 172.4189
251.7744, 177.1219
252.2565, 183.5565
252.7386, 191.3617
253.2208, 201.6440
253.7029, 212.3717
254.1850, 220.8009
254.6671, 226.2180
255.1492, 229.8928
255.6313, 232.0316
256.1135, 232.4307
256.5956, 235.1840
257.0777, 240.7924
257.5598, 247.9226
258.0419, 255.0730
258.5240, 262.4357
259.0062, 269.2872
259.4883, 275.5631
259.9704, 281.1335
260.4525, 284.8003
260.9346, 285.3448
261.4167, 285.2158
261.8989, 287.6178
262.3810, 293.7327
262.8631, 299.5165
263.3452, 303.9514
263.8273, 307.2083
264.3094, 310.5894
264.7916, 313.9768
265.2737, 317.6165
