##NAMES=Scheelite
##RRUFFID=R150130
##IDEAL CHEMISTRY=CaW^6+^O_4_
##LOCALITY=Tsumeb mine, Tsumeb, Otjikoto Region, Namibia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Golden brown pseudo-octahedral crystals, associated with yellow disc-like siderite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150130
135.9146, 836.4160
136.3968, 721.4246
136.8789, 608.3318
137.3610, 500.6150
137.8431, 403.0652
138.3252, 316.0210
138.8073, 241.9316
139.2895, 183.5894
139.7716, 137.0254
140.2537, 98.88574
140.7358, 69.42749
141.2179, 45.33472
141.7000, 23.12817
142.1821, 2.530273
142.6643, 15.57764
143.1464, 30.75000
143.6285, 43.12207
144.1106, 53.14014
144.5927, 60.33301
145.0748, 65.52222
145.5570, 69.28345
146.0391, 71.69434
146.5212, 74.41479
147.0033, 79.29492
147.4854, 86.64258
147.9675, 93.11304
148.4497, 87.37354
148.9318, 81.44604
149.4139, 76.15210
149.8960, 71.08594
150.3781, 65.94531
150.8602, 59.70093
151.3424, 51.80029
151.8245, 43.87744
152.3066, 36.61646
152.7887, 29.15308
153.2708, 20.51343
153.7529, 10.40942
154.2351, 0.4262700
154.7172, 10.11670
155.1993, 15.86353
155.6814, 23.93018
156.1635, 36.37109
156.6456, 50.74780
157.1278, 63.94873
157.6099, 74.37012
158.0920, 82.84155
158.5741, 92.94580
159.0562, 104.6931
159.5383, 117.5789
160.0205, 131.7107
160.5026, 146.9329
160.9847, 162.9937
161.4668, 179.7600
161.9489, 197.2385
162.4310, 214.8245
162.9131, 232.6965
163.3953, 250.4375
163.8774, 267.1145
164.3595, 282.9387
164.8416, 299.7185
165.3237, 319.2107
165.8058, 340.4133
166.2880, 360.8008
166.7701, 379.4104
167.2522, 397.8003
167.7343, 417.4614
168.2164, 438.3528
168.6985, 460.6018
169.1807, 484.3921
169.6628, 509.4141
170.1449, 535.8308
170.6270, 564.0420
171.1091, 593.3635
171.5912, 622.0869
172.0734, 649.5205
172.5555, 677.6362
173.0376, 707.6257
173.5197, 738.7266
174.0018, 769.9031
174.4839, 800.0056
174.9661, 829.5935
175.4482, 861.9705
175.9303, 900.6091
176.4124, 938.4319
176.8945, 972.0754
177.3766, 1003.596
177.8588, 1036.474
178.3409, 1073.771
178.8230, 1115.646
179.3051, 1154.918
179.7872, 1187.506
180.2693, 1221.600
180.7515, 1259.759
181.2336, 1301.577
181.7157, 1345.080
182.1978, 1388.885
182.6799, 1433.130
183.1620, 1475.775
183.6441, 1514.538
184.1263, 1554.008
184.6084, 1596.318
185.0905, 1641.416
185.5726, 1688.018
186.0547, 1734.756
186.5368, 1781.643
187.0190, 1829.098
187.5011, 1875.293
187.9832, 1922.831
188.4653, 1974.161
188.9474, 2029.218
189.4296, 2085.759
189.9117, 2141.671
190.3938, 2196.843
190.8759, 2253.214
191.3580, 2310.464
191.8401, 2368.949
