##NAMES=Phillipsite-K
##RRUFFID=R140774
##IDEAL CHEMISTRY=K_6_(Si_10_Al_6_)O_32_&#183;12H_2_O
##LOCALITY=Mt Vesuvius, Somma-Vesuvius Complex, Naples Province, Campania, Italy
##OWNER=RRUFF
##SOURCE=Ch. and H. Schäfer
##DESCRIPTION=Radial aggregates of colorless prismatic crystals, associated with calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140774
232.9719, 1.379486
233.4540, 1.738617
233.9361, 2.086914
234.4182, 2.405090
234.9003, 2.614105
235.3824, 2.668549
235.8646, 2.645386
236.3467, 2.489349
236.8288, 2.124847
237.3109, 1.945953
237.7930, 2.052948
238.2751, 2.377686
238.7573, 2.681732
239.2394, 3.032379
239.7215, 3.288574
240.2036, 3.422668
240.6857, 3.310394
241.1678, 3.220154
241.6500, 3.175690
242.1321, 3.066895
242.6142, 2.878937
243.0963, 2.787872
243.5784, 2.501099
244.0605, 1.749786
244.5427, 2.2278000E-02
245.0248, 0.7868650
245.5069, 7.6599002E-02
245.9890, 1.464813
246.4711, 2.394226
246.9532, 2.429474
247.4354, 2.346313
247.9175, 2.516479
248.3996, 3.213562
248.8817, 3.268127
249.3638, 2.405426
249.8459, 1.061432
250.3281, 7.0556998E-02
250.8102, 1.356750
251.2923, 1.758362
251.7744, 0.5609130
252.2565, 2.964935
252.7386, 4.915070
253.2208, 4.702271
253.7029, 3.346954
254.1850, 2.412720
254.6671, 2.038788
255.1492, 1.806091
255.6313, 1.631073
256.1135, 1.540863
256.5956, 1.231689
257.0777, 0.4607540
257.5598, 0.3083800
258.0419, 0.3598330
258.5240, 0.6754150
259.0062, 1.573975
259.4883, 1.971985
259.9704, 1.828491
260.4525, 1.692139
260.9346, 1.555176
261.4167, 1.434692
261.8989, 1.363190
262.3810, 1.376129
262.8631, 1.358612
263.3452, 1.251831
263.8273, 1.063354
264.3094, 1.088501
264.7916, 1.426971
265.2737, 1.840942
265.7558, 2.106659
266.2379, 2.195099
266.7200, 2.238831
267.2021, 2.266327
267.6843, 2.273346
268.1664, 2.213043
268.6485, 2.059509
269.1306, 1.883057
269.6127, 1.698914
270.0948, 1.453064
270.5770, 1.408569
271.0591, 1.604645
271.5412, 2.023041
272.0233, 2.735352
272.5054, 3.910614
272.9875, 4.860718
273.4697, 4.907867
273.9518, 3.852844
274.4339, 3.223511
274.9160, 3.278198
275.3981, 3.827484
275.8802, 4.364227
276.3624, 4.906189
276.8445, 5.336151
277.3266, 5.519196
277.8087, 5.430969
278.2908, 5.485901
278.7729, 5.805237
279.2551, 6.202942
279.7372, 6.151062
280.2193, 5.572632
280.7014, 5.038422
281.1835, 4.946228
281.6656, 5.295685
282.1478, 5.368011
282.6299, 5.024719
283.1120, 4.581757
283.5941, 4.677795
284.0762, 5.351746
284.5583, 5.916992
285.0405, 5.902008
285.5226, 5.410553
286.0047, 5.447296
286.4868, 6.114685
286.9689, 6.981537
287.4510, 7.543060
287.9332, 7.804108
288.4153, 7.813354
288.8974, 7.429840
289.3795, 6.780548
289.8616, 6.409363
290.3438, 6.346680
290.8259, 6.436493
291.3080, 6.510956
291.7901, 6.569092
292.2722, 6.656708
292.7543, 6.912262
293.2365, 7.157379
293.7186, 6.815674
294.2007, 5.881134
294.6828, 4.979523
295.1649, 4.707031
295.6470, 4.936432
296.1292, 5.247192
296.6113, 5.506439
297.0934, 5.785889
297.5755, 6.376343
298.0576, 7.237213
298.5397, 7.841003
299.0219, 7.582489
299.5040, 6.817078
299.9861, 6.286407
300.4682, 6.131134
300.9503, 6.237885
301.4324, 6.647644
301.9146, 7.274628
302.3967, 7.756042
302.8788, 7.734558
303.3609, 7.518005
303.8430, 7.410126
304.3251, 7.455872
304.8073, 7.483673
305.2894, 7.174805
305.7715, 6.703217
306.2536, 6.477448
306.7357, 6.894470
307.2178, 7.602631
307.7000, 8.273468
308.1821, 8.837036
308.6642, 9.239349
309.1463, 9.524506
309.6284, 9.838501
310.1105, 10.28967
310.5927, 10.94861
311.0748, 11.50873
311.5569, 11.70514
312.0390, 11.55878
312.5211, 11.38495
313.0032, 11.32892
313.4854, 11.30020
313.9675, 11.15930
314.4496, 10.86221
314.9317, 10.61807
315.4138, 10.59991
315.8959, 10.76794
316.3781, 10.87219
316.8602, 10.59427
317.3423, 10.24619
317.8244, 10.05481
318.3065, 10.12509
318.7886, 10.31314
319.2708, 10.70581
319.7529, 11.18423
320.2350, 11.46649
320.7171, 11.08539
321.1992, 10.77026
321.6813, 10.97076
322.1635, 12.15884
322.6456, 12.91342
323.1277, 12.62949
323.6098, 11.78427
324.0919, 11.17999
324.5740, 11.19913
325.0562, 11.23810
325.5383, 11.05402
326.0204, 10.51483
326.5025, 10.25052
326.9846, 10.68723
327.4667, 11.26596
327.9489, 11.40042
328.4310, 10.65860
328.9131, 9.978607
329.3952, 9.544250
329.8773, 9.368622
330.3594, 9.110626
330.8416, 8.729431
331.3237, 8.290222
331.8058, 7.823151
332.2879, 7.226837
332.7700, 6.771637
333.2521, 6.472992
333.7343, 6.327148
334.2164, 6.370941
334.6985, 6.741150
335.1806, 7.067535
335.6627, 7.137634
336.1448, 6.863159
336.6270, 6.599365
337.1091, 6.422546
337.5912, 6.206390
338.0733, 5.602386
338.5554, 4.438019
339.0375, 3.457397
339.5197, 2.942932
340.0018, 2.901947
340.4839, 3.274292
340.9660, 4.162384
341.4481, 5.209259
341.9302, 6.032043
342.4124, 6.655548
342.8945, 6.787537
343.3766, 6.168243
343.8587, 4.996155
344.3408, 4.174469
344.8229, 3.733154
345.3051, 3.457275
345.7872, 3.132080
346.2693, 2.783234
346.7514, 2.620270
347.2335, 2.748322
347.7156, 3.006531
348.1978, 3.116211
348.6799, 3.081421
349.1620, 2.895355
349.6441, 2.505280
350.1262, 1.970184
350.6083, 1.380310
351.0905, 0.7078860
351.5726, 0.1277160
352.0547, 8.5693002E-02
352.5368, 2.7191000E-02
353.0189, 1.9196000E-02
353.5010, 0.2247310
353.9832, 0.4971620
354.4653, 0.3837590
354.9474, 0.1521910
355.4295, 0.6062620
355.9116, 0.5115050
356.3937, 9.4116002E-02
356.8759, 0.3122860
357.3580, 0.6477360
357.8401, 0.8826290
358.3222, 0.8847050
358.8043, 0.7060550
359.2864, 0.6897580
359.7686, 1.348846
360.2507, 2.073303
360.7328, 2.307434
361.2149, 1.637329
361.6970, 0.9608150
362.1791, 0.7041320
