##NAMES=Muirite
##RRUFFID=R140248
##IDEAL CHEMISTRY=Ba_10_Ca_2_Mn^2+^Ti^4+^Si_10_O_30_(OH)_10_
##LOCALITY=Esquire No. 7 Claim, Big Creek, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Scattered orange grains and aggregates associated with taramellite, walstromite and sanbornite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140248
246.3193, 18.83643
246.8014, 22.75031
247.2835, 26.59375
247.7656, 29.68542
248.2477, 31.73401
248.7299, 33.65228
249.2120, 35.46991
249.6941, 37.31244
250.1762, 39.30261
250.6583, 41.47913
251.1404, 43.75195
251.6226, 46.00189
252.1047, 48.32385
252.5868, 50.37140
253.0689, 51.73981
253.5510, 53.11462
254.0331, 55.19281
254.5153, 58.06934
254.9974, 61.05481
255.4795, 62.95160
255.9616, 62.74475
256.4437, 63.68188
256.9258, 66.04022
257.4080, 69.15533
257.8901, 72.80792
258.3722, 76.85486
258.8543, 81.05206
259.3364, 85.04285
259.8185, 88.61584
260.3007, 92.53186
260.7828, 97.09564
261.2649, 101.7222
261.7470, 106.0982
262.2291, 110.1777
262.7112, 113.9915
263.1934, 117.5508
263.6755, 120.6846
264.1576, 124.2077
264.6397, 128.6724
265.1218, 132.9781
265.6039, 136.8210
266.0861, 140.0024
266.5682, 142.1119
267.0503, 142.5557
267.5324, 140.9025
268.0145, 140.3820
268.4966, 142.0662
268.9788, 143.6804
269.4609, 144.0149
269.9430, 143.2186
270.4251, 142.2220
270.9072, 141.7687
271.3893, 141.9235
271.8715, 141.3802
272.3536, 139.3022
272.8357, 137.5452
273.3178, 136.9425
273.7999, 137.3271
274.2820, 138.2663
274.7642, 139.6325
275.2463, 141.2628
275.7284, 141.3044
276.2105, 138.3185
276.6926, 135.5929
277.1747, 134.6392
277.6568, 134.8442
278.1389, 134.7008
278.6211, 133.3734
279.1032, 131.0894
279.5853, 128.7562
280.0674, 126.3064
280.5495, 123.8964
281.0316, 121.6093
281.5138, 119.3824
281.9959, 117.2372
282.4780, 115.2747
282.9601, 113.1183
283.4422, 109.6729
283.9243, 104.0529
284.4065, 99.00769
284.8886, 95.31561
285.3707, 92.47272
285.8528, 89.87158
286.3349, 87.35626
286.8170, 84.74963
287.2992, 81.56049
287.7813, 77.40686
288.2634, 74.00806
288.7455, 71.50830
289.2276, 69.97540
289.7097, 69.72021
290.1919, 70.84094
290.6740, 72.62469
291.1561, 74.30188
291.6382, 75.86261
292.1203, 77.35413
292.6024, 78.33704
293.0846, 79.50769
293.5667, 81.77448
294.0488, 85.23218
294.5309, 88.71606
295.0130, 90.85077
295.4951, 91.74701
295.9773, 94.00623
296.4594, 98.70435
296.9415, 104.0619
297.4236, 108.8186
297.9057, 112.9726
298.3878, 117.0507
298.8700, 121.2285
299.3521, 125.5062
299.8342, 130.0787
300.3163, 135.2672
300.7984, 140.4055
301.2805, 145.4416
301.7627, 150.2227
302.2448, 154.1409
302.7269, 156.7985
303.2090, 158.4117
303.6911, 159.8997
304.1732, 162.2309
304.6554, 163.0079
305.1375, 160.5837
305.6196, 155.7577
306.1017, 150.5180
306.5838, 145.5504
307.0659, 140.6347
307.5481, 135.4523
308.0302, 130.1415
308.5123, 124.2694
308.9944, 117.3677
309.4765, 109.8915
309.9586, 102.6088
310.4408, 95.70190
310.9229, 89.17932
311.4050, 83.02533
311.8871, 77.13055
312.3692, 72.25757
312.8513, 69.35901
313.3335, 67.19434
313.8156, 64.20435
314.2977, 60.15179
314.7798, 55.86865
315.2619, 52.09448
315.7440, 48.78870
316.2262, 45.38873
316.7083, 41.32635
317.1904, 37.52124
317.6725, 34.89838
318.1546, 33.40656
318.6367, 32.18518
319.1188, 30.81830
319.6010, 29.22577
320.0831, 27.19110
320.5652, 24.32581
321.0473, 21.40985
321.5294, 18.87555
322.0115, 16.65564
322.4937, 14.34015
322.9758, 11.53998
323.4579, 8.809753
323.9400, 7.735107
324.4221, 9.028198
324.9042, 10.09857
325.3864, 10.28284
325.8685, 9.594910
326.3506, 7.693604
326.8327, 4.188599
327.3148, 0.4886470
327.7969, 0.9077760
328.2791, 0.3809200
328.7612, 1.193787
329.2433, 0.6922610
329.7254, 0.4586180
330.2075, 1.596008
330.6896, 2.606506
331.1718, 3.456116
331.6539, 4.151123
332.1360, 4.671204
332.6181, 4.800476
333.1002, 4.602905
333.5823, 3.957092
334.0645, 2.526733
334.5466, 0.4342650
335.0287, 1.572510
335.5108, 2.927307
335.9929, 3.749390
336.4750, 4.903809
336.9572, 7.012268
337.4393, 8.762085
337.9214, 9.012451
338.4035, 8.465698
338.8856, 8.994751
339.3677, 11.67145
339.8499, 15.50568
340.3320, 17.68103
340.8141, 17.53491
341.2962, 17.11737
341.7783, 16.61713
342.2604, 16.16193
342.7426, 16.12811
343.2247, 16.63879
343.7068, 16.94080
344.1889, 15.77179
344.6710, 12.09229
345.1531, 9.802490
345.6353, 9.846619
346.1174, 10.74933
346.5995, 11.49164
347.0816, 11.94672
347.5637, 12.37799
348.0458, 12.97296
348.5280, 13.70862
349.0101, 14.71320
349.4922, 15.95837
349.9743, 17.51740
350.4564, 19.41205
