##NAMES=Simpsonite
##RRUFFID=R061059
##IDEAL CHEMISTRY=Al_4_Ta^5+^_3_O_13_(OH)
##LOCALITY=Mt. Vasin-Myl'k, Voron'ya Tundra, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Subhedral off-white to pale yellowish gray crystal associated with spodumene, feldspar and quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061059
187.5722, 7120.872
188.0543, 7095.109
188.5364, 7043.515
189.0186, 6989.520
189.5007, 6966.117
189.9828, 6969.978
190.4649, 6960.479
190.9470, 6906.694
191.4291, 6822.653
191.9113, 6780.467
192.3934, 6786.899
192.8755, 6814.705
193.3576, 6828.787
193.8397, 6828.882
194.3218, 6827.354
194.8040, 6829.528
195.2861, 6835.321
195.7682, 6840.454
196.2503, 6843.937
196.7324, 6848.818
197.2145, 6862.474
197.6967, 6886.370
198.1788, 6908.285
198.6609, 6916.730
199.1430, 6910.855
199.6251, 6921.956
200.1072, 6953.777
200.5894, 7000.852
201.0715, 7052.690
201.5536, 7109.239
202.0357, 7168.914
202.5178, 7231.231
202.9999, 7296.542
203.4821, 7362.225
203.9642, 7430.083
204.4463, 7497.215
204.9284, 7553.848
205.4105, 7598.422
205.8926, 7636.506
206.3748, 7667.325
206.8569, 7686.239
207.3390, 7723.113
207.8211, 7785.340
208.3032, 7869.162
208.7854, 7949.593
209.2675, 8023.380
209.7496, 8103.034
210.2317, 8203.214
210.7138, 8332.720
211.1959, 8451.875
211.6781, 8553.359
212.1602, 8637.785
212.6423, 8712.911
213.1244, 8777.593
213.6065, 8834.912
214.0886, 8884.059
214.5708, 8916.561
215.0529, 8963.632
215.5350, 9033.576
216.0171, 9125.995
216.4992, 9222.495
216.9813, 9321.824
217.4635, 9427.345
217.9456, 9543.284
218.4277, 9675.723
218.9098, 9806.286
219.3919, 9935.631
219.8740, 10066.54
220.3562, 10162.08
220.8383, 10222.12
221.3204, 10248.63
221.8025, 10241.86
222.2846, 10194.89
222.7667, 10129.60
223.2489, 10047.86
223.7310, 9948.415
224.2131, 9849.134
224.6952, 9743.644
225.1773, 9644.005
225.6594, 9570.374
226.1416, 9524.562
226.6237, 9500.273
227.1058, 9502.444
227.5879, 9545.055
228.0700, 9556.202
228.5521, 9520.104
229.0343, 9461.877
229.5164, 9426.198
229.9985, 9426.012
230.4806, 9427.233
230.9627, 9418.501
231.4448, 9398.979
231.9270, 9371.775
232.4091, 9334.669
232.8912, 9291.015
233.3733, 9243.976
233.8554, 9174.756
234.3376, 9130.829
234.8197, 9136.288
235.3018, 9217.835
235.7839, 9281.873
236.2660, 9322.702
236.7481, 9347.155
237.2303, 9367.059
237.7124, 9364.673
238.1945, 9384.355
238.6766, 9447.504
239.1587, 9572.254
239.6408, 9700.747
240.1230, 9823.843
240.6051, 9951.803
241.0872, 10110.88
241.5693, 10301.25
242.0514, 10522.45
242.5335, 10769.31
243.0157, 11025.59
243.4978, 11349.09
243.9799, 11752.70
244.4620, 12221.28
244.9441, 12725.89
245.4262, 13295.15
245.9084, 13859.58
246.3905, 14388.76
246.8726, 14871.93
247.3547, 15339.51
247.8368, 15779.37
248.3189, 16203.27
248.8011, 16668.78
249.2832, 17188.46
249.7653, 17731.99
250.2474, 18284.74
250.7295, 18833.95
251.2116, 19411.49
251.6938, 20025.26
252.1759, 20667.02
252.6580, 21344.64
253.1401, 22114.50
253.6222, 22824.42
254.1043, 23430.45
254.5865, 24067.38
255.0686, 24268.55
255.5507, 23968.39
256.0328, 23207.09
256.5149, 22126.76
256.9970, 20598.72
257.4792, 18970.47
257.9613, 17409.35
258.4434, 15875.82
