##NAMES=Uramarsite
##RRUFFID=R061122
##IDEAL CHEMISTRY=N^3-^H_4_(U^6+^O_2_)As^5+^O_4_&#183;3H_2_O
##LOCALITY=Bota-Burum Uranium deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brownish green cleavage fragment, co-type material
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061122
203.5892, 978.7487
204.0713, 972.0281
204.5534, 961.8177
205.0355, 946.5007
205.5177, 931.6684
205.9998, 917.4921
206.4819, 903.6467
206.9640, 888.8917
207.4461, 873.3732
207.9282, 860.2892
208.4104, 854.3153
208.8925, 859.1893
209.3746, 854.9887
209.8567, 831.1993
210.3388, 806.2095
210.8209, 795.2314
211.3030, 798.6259
211.7852, 804.1684
212.2673, 800.0357
212.7494, 784.3193
213.2315, 769.3409
213.7136, 752.7297
214.1957, 738.7361
214.6779, 729.3737
215.1600, 725.0037
215.6421, 726.5413
216.1242, 736.7365
216.6063, 756.6449
217.0884, 763.3033
217.5706, 745.0403
218.0527, 726.1575
218.5348, 720.7064
219.0169, 726.6562
219.4990, 733.2365
219.9811, 732.5856
220.4633, 724.8276
220.9454, 717.6691
221.4275, 711.3149
221.9096, 705.2117
222.3917, 698.4044
222.8738, 691.5658
223.3560, 686.4246
223.8381, 684.1453
224.3202, 684.4857
224.8023, 685.5382
225.2844, 690.3664
225.7665, 692.4505
226.2487, 687.3441
226.7308, 678.2759
227.2129, 671.4174
227.6950, 670.2440
228.1771, 673.3452
228.6592, 674.9698
229.1414, 674.7021
229.6235, 673.5454
230.1056, 672.6339
230.5877, 670.6883
231.0698, 664.3693
231.5519, 651.8533
232.0341, 637.4247
232.5162, 632.2642
232.9983, 647.9233
233.4804, 658.9678
233.9625, 662.5535
234.4446, 661.8773
234.9268, 660.0632
235.4089, 658.2239
235.8910, 656.0887
236.3731, 653.0870
236.8552, 647.5959
237.3373, 643.9438
237.8195, 643.6394
238.3016, 644.2195
238.7837, 642.6010
239.2658, 638.5252
239.7479, 635.5278
240.2300, 639.0015
240.7122, 653.3780
241.1943, 662.9236
241.6764, 667.5249
242.1585, 668.2057
242.6406, 663.1487
243.1227, 653.6298
243.6049, 644.9302
244.0870, 642.8759
244.5691, 648.9570
245.0512, 654.4141
245.5333, 658.9348
246.0154, 663.2128
246.4975, 669.3196
246.9797, 675.8036
247.4618, 678.4158
247.9439, 672.9828
248.4260, 659.2331
248.9081, 648.6700
249.3902, 640.7030
249.8724, 636.6002
250.3545, 639.8091
250.8366, 647.0371
251.3187, 652.2269
251.8008, 651.1187
252.2829, 645.0093
252.7651, 642.0049
253.2472, 644.3172
253.7293, 647.4493
254.2114, 651.5200
254.6935, 655.6671
255.1756, 658.9379
255.6578, 660.8532
256.1399, 661.6658
256.6220, 662.1131
257.1041, 662.7670
257.5862, 661.9225
258.0684, 657.7150
258.5505, 653.0294
259.0326, 651.0685
259.5147, 652.7775
259.9968, 655.3315
260.4789, 653.3589
260.9611, 643.8051
261.4432, 638.6294
261.9253, 643.0079
262.4074, 649.1022
262.8895, 652.8365
263.3716, 653.3683
263.8537, 651.3956
264.3358, 646.3466
264.8180, 637.4297
265.3001, 632.1992
265.7822, 634.4905
266.2643, 637.7355
266.7464, 639.6193
267.2285, 639.8129
267.7107, 638.1976
268.1928, 633.1357
268.6749, 625.3237
269.1570, 621.3412
269.6391, 622.4694
270.1212, 626.0069
270.6034, 631.7452
271.0855, 638.4849
271.5676, 643.7617
272.0497, 645.8182
272.5318, 645.7240
273.0139, 646.3720
273.4961, 648.6788
273.9782, 649.1180
274.4603, 642.6342
274.9424, 634.2181
275.4245, 630.7250
