##NAMES=Galeite
##RRUFFID=R130025
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless hexagonal prisms with tapering pyramidal terminations, associated with gaylussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130025
1.741236e+002, 2.735628e+002
1.746057e+002, 2.720035e+002
1.750878e+002, 2.710801e+002
1.755699e+002, 2.714478e+002
1.760521e+002, 2.717671e+002
1.765342e+002, 2.717998e+002
1.770163e+002, 2.715260e+002
1.774984e+002, 2.709197e+002
1.779805e+002, 2.698997e+002
1.784626e+002, 2.684583e+002
1.789448e+002, 2.674082e+002
1.794269e+002, 2.670242e+002
1.799090e+002, 2.667538e+002
1.803911e+002, 2.664920e+002
1.808732e+002, 2.662151e+002
1.813553e+002, 2.659153e+002
1.818375e+002, 2.655702e+002
1.823196e+002, 2.651573e+002
1.828017e+002, 2.649372e+002
1.832838e+002, 2.651964e+002
1.837659e+002, 2.653508e+002
1.842480e+002, 2.650143e+002
1.847301e+002, 2.642417e+002
1.852123e+002, 2.634366e+002
1.856944e+002, 2.630056e+002
1.861765e+002, 2.630235e+002
1.866586e+002, 2.627255e+002
1.871407e+002, 2.617916e+002
1.876228e+002, 2.607842e+002
1.881050e+002, 2.601164e+002
1.885871e+002, 2.598328e+002
1.890692e+002, 2.597318e+002
1.895513e+002, 2.597405e+002
1.900334e+002, 2.598361e+002
1.905155e+002, 2.595522e+002
1.909977e+002, 2.584930e+002
1.914798e+002, 2.571903e+002
1.919619e+002, 2.562361e+002
1.924440e+002, 2.557221e+002
1.929261e+002, 2.554216e+002
1.934082e+002, 2.551889e+002
1.938904e+002, 2.550093e+002
1.943725e+002, 2.548531e+002
1.948546e+002, 2.548504e+002
1.953367e+002, 2.548430e+002
1.958188e+002, 2.544735e+002
1.963009e+002, 2.535935e+002
1.967831e+002, 2.526061e+002
1.972652e+002, 2.516791e+002
1.977473e+002, 2.508550e+002
1.982294e+002, 2.503076e+002
1.987115e+002, 2.502708e+002
1.991936e+002, 2.506191e+002
1.996758e+002, 2.507913e+002
2.001579e+002, 2.506089e+002
2.006400e+002, 2.504836e+002
2.011221e+002, 2.507662e+002
2.016042e+002, 2.512892e+002
2.020863e+002, 2.516307e+002
2.025685e+002, 2.513938e+002
2.030506e+002, 2.506230e+002
2.035327e+002, 2.500956e+002
2.040148e+002, 2.499351e+002
2.044969e+002, 2.499245e+002
2.049790e+002, 2.501970e+002
2.054612e+002, 2.505744e+002
2.059433e+002, 2.506504e+002
2.064254e+002, 2.499414e+002
2.069075e+002, 2.483724e+002
2.073896e+002, 2.474842e+002
2.078717e+002, 2.478808e+002
