##NAMES=Chistyakovaite
##RRUFFID=R070024
##IDEAL CHEMISTRY=Al(U^6+^O_2_)_2_(As^5+^O_4_)_2_F&#183;6.5H_2_O
##LOCALITY=Bota-Burum U deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Platy fragment of a pale yellow crystal, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070024
200.3769, 1156.566
200.8590, 1149.032
201.3411, 1143.387
201.8232, 1139.813
202.3053, 1136.701
202.7874, 1133.888
203.2696, 1130.994
203.7517, 1125.861
204.2338, 1117.006
204.7159, 1106.797
205.1980, 1096.351
205.6801, 1085.712
206.1623, 1078.623
206.6444, 1079.830
207.1265, 1087.073
207.6086, 1091.270
208.0907, 1091.643
208.5728, 1087.259
209.0550, 1075.126
209.5371, 1056.605
210.0192, 1041.275
210.5013, 1035.454
210.9834, 1036.891
211.4656, 1038.396
211.9477, 1038.761
212.4298, 1040.121
212.9119, 1046.119
213.3940, 1055.027
213.8761, 1060.393
214.3583, 1055.957
214.8404, 1046.127
215.3225, 1042.081
215.8046, 1046.323
216.2867, 1051.916
216.7688, 1054.457
217.2510, 1054.712
217.7331, 1054.060
218.2152, 1052.617
218.6973, 1050.716
219.1794, 1049.144
219.6615, 1048.174
220.1437, 1046.645
220.6258, 1043.603
221.1079, 1039.536
221.5900, 1034.849
222.0721, 1027.368
222.5542, 1020.980
223.0364, 1022.946
223.5185, 1035.074
224.0006, 1045.933
224.4827, 1047.655
224.9648, 1044.788
225.4469, 1043.497
225.9291, 1047.177
226.4112, 1049.883
226.8933, 1042.146
227.3754, 1022.924
227.8575, 1008.912
228.3396, 1011.373
228.8218, 1021.141
229.3039, 1026.444
229.7860, 1024.940
230.2681, 1021.436
230.7502, 1019.528
231.2323, 1019.186
231.7145, 1020.011
232.1966, 1022.734
232.6787, 1025.894
233.1608, 1028.089
233.6429, 1029.434
234.1250, 1028.975
234.6072, 1023.502
235.0893, 1014.636
235.5714, 1011.446
236.0535, 1018.383
236.5356, 1029.168
237.0177, 1037.118
237.4999, 1042.301
237.9820, 1045.657
238.4641, 1045.796
238.9462, 1044.409
239.4283, 1046.991
239.9104, 1056.428
240.3926, 1065.827
240.8747, 1067.244
241.3568, 1061.991
241.8389, 1057.311
242.3210, 1055.758
242.8031, 1056.400
243.2853, 1058.087
243.7674, 1061.030
244.2495, 1063.657
244.7316, 1064.920
245.2137, 1064.850
245.6958, 1063.103
246.1780, 1055.901
246.6601, 1049.009
247.1422, 1049.968
247.6243, 1059.301
248.1064, 1070.206
248.5885, 1080.134
249.0707, 1087.822
249.5528, 1089.916
250.0349, 1079.857
250.5170, 1069.575
250.9991, 1070.935
251.4812, 1082.038
251.9634, 1088.263
252.4455, 1079.348
252.9276, 1062.155
253.4097, 1055.818
253.8918, 1065.852
254.3739, 1077.193
254.8561, 1083.830
255.3382, 1086.129
255.8203, 1083.555
256.3024, 1073.593
256.7845, 1062.645
257.2667, 1065.755
257.7488, 1087.639
258.2309, 1104.897
258.7130, 1108.038
259.1951, 1102.961
259.6772, 1097.891
260.1594, 1094.635
260.6415, 1093.939
261.1236, 1097.505
261.6057, 1106.137
262.0878, 1114.671
262.5699, 1124.603
263.0521, 1133.017
263.5342, 1135.993
264.0163, 1133.257
264.4984, 1129.077
264.9805, 1127.074
265.4626, 1127.491
265.9448, 1130.418
266.4269, 1137.892
266.9090, 1146.044
267.3911, 1152.425
267.8732, 1157.238
268.3553, 1162.115
268.8375, 1168.238
269.3196, 1175.501
269.8017, 1181.918
270.2838, 1186.779
270.7659, 1191.765
271.2480, 1195.790
271.7302, 1200.506
272.2123, 1209.609
272.6944, 1225.401
273.1765, 1245.140
273.6586, 1260.370
274.1407, 1267.697
274.6229, 1274.417
275.1050, 1279.619
275.5871, 1284.989
276.0692, 1292.514
276.5513, 1302.810
277.0334, 1314.641
277.5156, 1326.086
277.9977, 1336.664
278.4798, 1347.767
278.9619, 1362.516
279.4440, 1375.433
279.9261, 1382.201
280.4083, 1382.825
280.8904, 1381.018
281.3725, 1381.042
281.8546, 1383.954
282.3367, 1381.702
282.8188, 1372.074
283.3010, 1359.705
283.7831, 1344.758
284.2652, 1328.307
284.7473, 1312.396
285.2294, 1298.594
285.7115, 1286.404
286.1937, 1272.224
286.6758, 1254.192
287.1579, 1236.323
287.6400, 1218.207
288.1221, 1201.097
288.6042, 1187.204
289.0864, 1177.669
289.5685, 1170.351
290.0506, 1160.262
290.5327, 1145.198
291.0148, 1132.928
291.4969, 1127.984
291.9791, 1124.155
292.4612, 1115.363
292.9433, 1100.783
293.4254, 1087.306
293.9075, 1083.876
294.3896, 1091.441
294.8718, 1097.230
295.3539, 1099.308
295.8360, 1099.721
296.3181, 1099.014
296.8002, 1097.532
297.2823, 1096.382
297.7645, 1096.056
298.2466, 1096.609
298.7287, 1098.097
299.2108, 1100.047
299.6929, 1104.006
300.1750, 1113.839
300.6572, 1125.852
301.1393, 1133.158
301.6214, 1130.955
302.1035, 1125.161
302.5856, 1122.724
303.0677, 1123.616
303.5499, 1128.475
304.0320, 1140.015
304.5141, 1154.695
304.9962, 1166.809
305.4783, 1175.532
305.9604, 1183.067
306.4426, 1191.553
306.9247, 1200.152
307.4068, 1205.184
307.8889, 1203.903
308.3710, 1201.896
308.8531, 1207.434
309.3353, 1220.226
309.8174, 1235.580
310.2995, 1256.403
310.7816, 1277.135
311.2637, 1289.502
311.7458, 1292.316
312.2280, 1293.800
312.7101, 1301.921
313.1922, 1316.928
313.6743, 1326.704
314.1564, 1326.447
314.6385, 1325.452
315.1207, 1328.919
315.6028, 1336.154
316.0849, 1344.465
316.5670, 1352.586
317.0491, 1360.218
317.5313, 1366.076
318.0134, 1376.462
318.4955, 1377.426
318.9776, 1359.831
319.4597, 1334.636
319.9418, 1315.221
320.4240, 1305.860
320.9061, 1299.775
321.3882, 1286.241
321.8703, 1261.742
322.3524, 1237.353
322.8345, 1208.373
323.3167, 1183.143
323.7988, 1170.292
324.2809, 1167.274
324.7630, 1162.733
325.2451, 1145.939
325.7272, 1117.013
326.2094, 1093.782
326.6915, 1077.967
327.1736, 1066.649
327.6557, 1059.006
328.1378, 1055.335
328.6199, 1058.239
329.1021, 1070.277
329.5842, 1084.002
330.0663, 1080.977
330.5484, 1053.800
331.0305, 1030.868
331.5126, 1020.029
331.9948, 1014.916
332.4769, 1012.005
332.9590, 1010.578
333.4411, 1010.591
333.9232, 1013.162
334.4053, 1017.919
334.8875, 1019.938
335.3696, 1017.770
335.8517, 1013.990
336.3338, 1010.905
336.8159, 1007.989
337.2980, 1003.370
337.7802, 992.7490
338.2623, 981.4431
338.7444, 979.3895
339.2265, 987.5883
339.7086, 994.3561
340.1907, 991.0104
340.6729, 982.4828
