##NAMES=Epidote
##RRUFFID=R110127
##IDEAL CHEMISTRY=Ca_2_Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Alchori, Pakistan
##OWNER=RRUFF
##SOURCE=Jack Lowell
##DESCRIPTION=Pale brown transparent prismatic crystals associated with green diopside, R110128
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110127
347.4604, 1282.512
347.9425, 1287.203
348.4246, 1292.420
348.9067, 1298.791
349.3888, 1306.649
349.8709, 1314.179
350.3531, 1319.884
350.8352, 1323.583
351.3173, 1324.610
351.7994, 1322.001
352.2815, 1316.751
352.7636, 1310.688
353.2458, 1303.798
353.7279, 1294.966
354.2100, 1282.789
354.6921, 1268.076
355.1742, 1252.302
355.6563, 1235.859
356.1385, 1218.357
356.6206, 1198.535
357.1027, 1176.818
357.5848, 1155.906
358.0669, 1137.117
358.5490, 1119.819
359.0312, 1103.450
359.5133, 1087.622
359.9954, 1072.962
360.4775, 1060.026
360.9596, 1048.457
361.4417, 1037.694
361.9239, 1027.584
362.4060, 1018.045
362.8881, 1008.878
363.3702, 999.9167
363.8523, 992.1523
364.3344, 986.6263
364.8166, 982.2167
365.2987, 977.6048
365.7808, 971.6645
366.2629, 966.4403
366.7450, 962.8012
367.2271, 960.7433
367.7093, 958.4142
368.1914, 954.9601
368.6735, 951.5549
369.1556, 948.9440
369.6377, 947.9014
370.1198, 946.7712
370.6020, 945.5090
371.0841, 944.1051
371.5662, 942.5120
372.0483, 940.4980
372.5304, 938.5807
373.0125, 936.9932
373.4947, 935.8858
373.9768, 934.6799
374.4589, 933.2784
374.9410, 931.8415
375.4231, 930.6664
375.9052, 929.8328
376.3874, 929.0505
376.8695, 928.1913
377.3516, 927.2723
377.8337, 926.8973
378.3158, 927.2508
378.7979, 927.6865
379.2801, 927.4101
379.7622, 926.3759
380.2443, 925.7397
380.7264, 925.6387
381.2085, 926.1453
381.6906, 927.7929
382.1728, 930.5929
382.6549, 933.1664
383.1370, 934.1325
383.6191, 933.9681
384.1012, 934.6006
384.5833, 936.3055
385.0655, 938.5078
385.5476, 940.5743
386.0297, 942.5184
386.5118, 944.3083
386.9939, 946.1004
387.4760, 947.6840
387.9582, 948.7820
388.4403, 949.4054
388.9224, 949.6021
389.4045, 949.1577
389.8866, 948.3987
390.3687, 947.8000
390.8509, 947.8802
391.3330, 947.8149
391.8151, 947.0878
392.2972, 945.7440
392.7793, 943.9453
393.2614, 940.8455
393.7436, 937.9191
394.2257, 936.4022
394.7078, 937.3604
395.1899, 937.6486
395.6720, 935.5486
396.1541, 932.1649
396.6363, 929.2775
397.1184, 927.9051
397.6005, 926.5378
398.0826, 924.7083
398.5647, 922.3672
399.0468, 919.7412
399.5290, 916.1827
400.0111, 912.7234
400.4932, 910.1959
400.9753, 909.4034
401.4574, 908.4708
401.9395, 907.1671
402.4217, 905.5932
402.9038, 904.2270
403.3859, 903.0807
403.8680, 902.1326
404.3501, 901.4406
404.8322, 901.1713
405.3144, 900.5278
405.7965, 899.2924
406.2786, 897.9481
406.7607, 897.3217
407.2428, 897.5140
407.7249, 897.8536
408.2071, 898.0449
408.6892, 898.1735
409.1713, 898.7242
409.6534, 899.6699
410.1355, 901.2084
410.6176, 903.5458
411.0998, 906.6428
411.5819, 910.4037
412.0640, 915.1404
412.5461, 919.9737
413.0282, 923.4583
413.5103, 925.7361
413.9925, 927.7487
414.4746, 929.7228
414.9567, 931.9100
415.4388, 934.8275
415.9209, 938.6191
416.4030, 942.4210
416.8852, 945.3036
417.3673, 947.7900
417.8494, 950.7370
418.3315, 954.7786
418.8136, 959.1783
419.2957, 963.6047
419.7779, 968.0305
420.2600, 972.5189
420.7421, 977.0675
421.2242, 981.7117
421.7063, 986.3652
422.1884, 991.1091
422.6706, 995.8632
423.1527, 1000.326
423.6348, 1004.855
424.1169, 1010.126
424.5990, 1016.902
425.0811, 1023.851
425.5633, 1030.697
426.0454, 1037.480
426.5275, 1043.743
427.0096, 1049.332
427.4917, 1054.553
427.9738, 1059.664
428.4560, 1064.642
428.9381, 1069.507
429.4202, 1074.315
429.9023, 1078.922
430.3844, 1083.116
430.8665, 1086.891
431.3487, 1090.190
431.8308, 1092.352
432.3129, 1093.194
432.7950, 1096.833
433.2771, 1103.906
433.7592, 1112.196
434.2414, 1118.644
434.7235, 1123.473
435.2056, 1129.307
435.6877, 1137.191
436.1698, 1146.429
436.6519, 1155.716
437.1341, 1165.088
437.6162, 1174.862
438.0983, 1185.695
438.5804, 1197.102
439.0625, 1208.040
439.5446, 1218.038
440.0268, 1228.582
440.5089, 1240.897
440.9910, 1254.790
441.4731, 1269.639
441.9552, 1286.922
442.4373, 1303.818
442.9195, 1318.086
443.4016, 1329.741
443.8837, 1342.100
444.3658, 1357.122
444.8479, 1373.095
445.3300, 1388.498
445.8122, 1402.680
446.2943, 1416.893
446.7764, 1432.042
447.2585, 1447.459
447.7406, 1461.443
448.2227, 1473.727
448.7049, 1484.735
449.1870, 1495.011
449.6691, 1504.856
450.1512, 1511.723
450.6333, 1515.195
451.1154, 1516.119
451.5976, 1515.189
452.0797, 1512.387
452.5618, 1507.958
453.0439, 1501.937
453.5260, 1494.371
454.0081, 1485.158
454.4903, 1474.363
454.9724, 1461.262
455.4545, 1444.517
455.9366, 1424.730
456.4187, 1405.041
456.9008, 1385.736
457.3830, 1366.224
457.8651, 1345.903
458.3472, 1325.003
458.8293, 1305.282
459.3114, 1287.075
459.7935, 1270.275
460.2757, 1254.393
460.7578, 1239.535
461.2399, 1225.920
461.7220, 1214.320
462.2041, 1203.652
462.6862, 1192.893
463.1684, 1181.716
463.6505, 1171.442
464.1326, 1163.033
464.6147, 1155.998
465.0968, 1149.564
465.5789, 1143.733
466.0611, 1138.473
466.5432, 1133.740
467.0253, 1129.569
467.5074, 1125.970
467.9895, 1122.803
468.4716, 1120.348
468.9538, 1118.840
469.4359, 1118.880
469.9180, 1118.536
470.4001, 1117.458
470.8822, 1116.209
471.3643, 1115.769
471.8465, 1116.568
472.3286, 1116.840
472.8107, 1115.938
473.2928, 1114.112
473.7749, 1112.822
474.2570, 1112.148
474.7392, 1111.592
475.2213, 1110.846
475.7034, 1109.914
476.1855, 1108.782
476.6676, 1107.408
477.1497, 1106.010
477.6319, 1104.957
478.1140, 1104.159
478.5961, 1103.322
479.0782, 1102.293
479.5603, 1101.183
480.0424, 1100.332
480.5246, 1099.643
481.0067, 1098.382
481.4888, 1094.786
481.9709, 1091.120
482.4530, 1089.740
482.9352, 1092.271
483.4173, 1094.127
483.8994, 1093.183
484.3815, 1090.478
484.8636, 1087.614
485.3457, 1084.688
485.8279, 1081.917
486.3100, 1079.824
486.7921, 1078.378
487.2742, 1075.364
487.7563, 1069.349
488.2384, 1063.217
488.7206, 1058.757
489.2027, 1056.981
489.6848, 1054.173
490.1669, 1049.927
490.6490, 1045.052
491.1311, 1040.577
491.6133, 1036.492
492.0954, 1033.195
492.5775, 1031.107
493.0596, 1029.815
493.5417, 1027.637
494.0238, 1024.560
494.5060, 1021.427
494.9881, 1018.387
495.4702, 1015.790
495.9523, 1014.610
496.4344, 1015.126
496.9165, 1016.335
497.3987, 1017.663
497.8808, 1018.931
498.3629, 1019.775
498.8450, 1019.447
499.3271, 1019.167
499.8092, 1019.818
500.2914, 1021.284
500.7735, 1022.809
501.2556, 1023.781
501.7377, 1025.015
502.2198, 1027.003
502.7019, 1029.971
503.1841, 1033.355
503.6662, 1037.618
504.1483, 1042.067
504.6304, 1045.802
505.1125, 1048.058
505.5946, 1050.802
506.0768, 1054.661
506.5589, 1059.277
507.0410, 1062.674
507.5231, 1064.197
508.0052, 1066.296
508.4873, 1070.990
