##NAMES=Skutterudite
##RRUFFID=R070528
##IDEAL CHEMISTRY=Co^3+^As_3_
##LOCALITY=Cobalt, Coleman Township, Timiskamig County, Ontario, Canada
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Silver-grey metallic massive and radiating prismatic crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070528
##MEASURED CHEMISTRY=(Co_0.82_Fe_0.12_Ni_0.09_)_Σ=1.03_(As_2.99_S_0.01_)_Σ=3.00_ ; (Note: dark phase is lollingite, (Fe_0.69_Co_0.23_Ni_0.11_)_Σ=1.03_(As_1.98_S_0.01_)_Σ=2.00_) Bright spots are native bismuth
169.1381, 71.02714
169.6203, 70.90071
170.1024, 70.36581
170.5845, 70.30873
171.0666, 70.41557
171.5487, 70.15005
172.0309, 69.54955
172.5130, 69.09544
172.9951, 69.26028
173.4772, 69.76487
173.9593, 70.17603
174.4414, 70.34022
174.9236, 70.32344
175.4057, 70.08945
175.8878, 69.63290
176.3699, 69.28849
176.8520, 69.42257
177.3341, 69.87279
177.8163, 70.29096
178.2984, 70.38436
178.7805, 70.40144
179.2626, 70.74403
179.7447, 71.42548
180.2268, 72.24036
180.7090, 73.19648
181.1911, 74.16420
181.6732, 74.71577
182.1553, 74.24035
182.6374, 73.27041
183.1195, 73.03581
183.6017, 73.64722
184.0838, 74.49062
184.5659, 74.86372
185.0480, 74.84048
185.5301, 74.81013
186.0123, 74.87608
186.4944, 75.06979
186.9765, 75.59446
187.4586, 76.54939
187.9407, 77.50366
188.4228, 77.65376
188.9050, 77.09003
189.3871, 76.79015
189.8692, 77.51791
190.3513, 79.02061
190.8334, 79.96000
191.3155, 80.14389
191.7977, 80.08135
192.2798, 80.60197
192.7619, 81.70345
193.2440, 82.89139
193.7261, 83.84009
194.2082, 84.59099
194.6904, 85.71007
195.1725, 87.28596
195.6546, 89.12193
196.1367, 90.80051
196.6188, 92.31853
197.1009, 93.83949
197.5831, 95.95000
198.0652, 98.66269
198.5473, 99.33414
199.0294, 97.45554
199.5115, 94.00420
199.9937, 90.70066
200.4758, 87.52522
200.9579, 84.83556
201.4400, 82.91519
201.9221, 81.79240
202.4042, 81.03292
202.8864, 80.69946
203.3685, 80.62454
203.8506, 80.38560
204.3327, 79.92373
204.8148, 79.54229
205.2969, 79.42210
205.7791, 79.59082
206.2612, 79.85149
206.7433, 80.29111
207.2254, 80.74315
207.7075, 80.64243
208.1896, 79.72546
208.6718, 79.02190
209.1539, 79.28315
209.6360, 80.82024
210.1181, 81.66920
210.6002, 81.48884
211.0823, 80.69179
211.5645, 80.47784
212.0466, 81.04591
212.5287, 81.72981
213.0108, 82.10748
213.4929, 82.01113
213.9750, 82.32140
214.4572, 83.27874
214.9393, 84.59421
215.4214, 85.41238
215.9035, 85.57793
216.3856, 85.56577
216.8678, 85.68829
217.3499, 86.13412
217.8320, 86.09255
218.3141, 85.45198
218.7962, 84.32221
219.2783, 82.92611
219.7605, 80.92991
220.2426, 79.29015
220.7247, 78.63559
221.2068, 79.39742
221.6889, 79.92238
222.1710, 80.15686
222.6532, 80.10619
223.1353, 79.63020
223.6174, 78.14111
224.0995, 77.20137
224.5816, 71.80662
225.0637, 75.74797
225.5459, 78.11224
226.0280, 78.98406
226.5101, 73.89361
226.9922, 76.50219
227.4743, 76.02535
227.9564, 75.42199
228.4386, 79.11424
228.9207, 74.89099
229.4028, 78.51506
229.8849, 79.00662
230.3670, 80.93186
230.8492, 78.63282
231.3313, 79.21400
231.8134, 79.57799
232.2955, 79.20954
232.7776, 77.50903
233.2597, 76.50793
233.7419, 76.43855
234.2240, 77.01443
234.7061, 77.49173
235.1882, 77.77762
235.6703, 78.10764
236.1524, 78.63023
236.6346, 79.58114
237.1167, 80.17668
237.5988, 80.36002
238.0809, 80.21627
238.5630, 79.89181
239.0451, 79.16070
239.5273, 78.58995
240.0094, 78.41463
240.4915, 78.72800
240.9736, 79.21584
241.4557, 80.01380
241.9378, 80.92667
242.4200, 81.53555
242.9021, 81.70812
243.3842, 81.78869
243.8663, 81.88991
244.3484, 81.99546
244.8306, 82.16625
245.3127, 82.38290
245.7948, 82.67278
246.2769, 83.09609
246.7590, 83.69701
247.2411, 84.35432
247.7233, 85.11232
248.2054, 86.15154
248.6875, 86.57133
249.1696, 86.04087
249.6517, 85.11241
250.1338, 84.65502
250.6160, 84.70492
251.0981, 85.17561
251.5802, 86.19222
252.0623, 87.98504
252.5444, 89.10542
253.0265, 89.15002
253.5087, 88.84647
253.9908, 89.30054
254.4729, 90.99755
254.9550, 92.46736
255.4371, 93.21339
255.9192, 93.10799
256.4014, 93.33437
256.8835, 94.23038
257.3656, 95.12264
257.8477, 95.12595
258.3298, 93.81407
258.8120, 92.55574
259.2941, 91.63390
259.7762, 91.04823
260.2583, 90.75875
260.7404, 90.72839
261.2225, 91.03355
261.7047, 91.81213
262.1868, 93.22791
262.6689, 94.68483
263.1510, 96.02173
263.6331, 97.23692
264.1152, 98.85574
264.5974, 101.1633
265.0795, 103.4166
265.5616, 104.7443
266.0437, 104.8376
266.5258, 105.2226
267.0079, 106.7589
267.4901, 109.0608
267.9722, 108.2290
268.4543, 103.2546
268.9364, 97.15378
269.4185, 92.18227
269.9006, 88.38982
270.3828, 85.56516
270.8649, 83.85709
271.3470, 83.06141
271.8291, 82.13406
272.3112, 80.92922
272.7933, 79.94328
273.2755, 79.62577
273.7576, 80.07516
274.2397, 80.47115
274.7218, 80.69434
275.2039, 80.81277
