##NAMES=Diopside
##RRUFFID=R110128
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Alchori, Pakistan
##OWNER=RRUFF
##SOURCE=Jack Lowell
##DESCRIPTION=Dark green prismatic crystals associated with pale brown epidote, R110127
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110128
232.8637, 106.8336
233.3458, 107.0705
233.8279, 107.4030
234.3101, 107.3401
234.7922, 106.6645
235.2743, 105.9293
235.7564, 105.4520
236.2385, 105.1538
236.7206, 104.8812
237.2028, 104.5904
237.6849, 104.2612
238.1670, 103.7903
238.6491, 103.1034
239.1312, 102.3746
239.6133, 101.5581
240.0955, 100.7645
240.5776, 100.1738
241.0597, 99.92406
241.5418, 99.95565
242.0239, 100.0003
242.5060, 100.1457
242.9882, 100.1713
243.4703, 99.85160
243.9524, 99.41547
244.4345, 99.24083
244.9166, 99.60636
245.3987, 100.3287
245.8809, 100.5011
246.3630, 99.44974
246.8451, 98.70609
247.3272, 98.77981
247.8093, 99.26991
248.2914, 99.65713
248.7736, 99.65711
249.2557, 99.36370
249.7378, 99.15807
250.2199, 99.10781
250.7020, 99.06970
251.1841, 99.03158
251.6663, 98.99332
252.1484, 98.97170
252.6305, 98.97620
253.1126, 98.97543
253.5947, 98.86665
254.0768, 98.52809
254.5590, 98.22156
255.0411, 97.96990
255.5232, 97.75535
256.0053, 97.58845
256.4874, 97.47298
256.9695, 97.33906
257.4517, 97.01681
257.9338, 95.99900
258.4159, 95.41561
258.8980, 95.63846
259.3801, 96.13992
259.8622, 96.38737
260.3444, 96.19503
260.8265, 95.70248
261.3086, 95.15446
261.7907, 94.26933
262.2728, 93.81065
262.7549, 94.05214
263.2371, 94.59329
263.7192, 95.14857
264.2013, 95.62611
264.6834, 95.87601
265.1655, 95.62286
265.6476, 94.51163
266.1298, 93.76089
266.6119, 93.57997
267.0940, 93.66361
267.5761, 93.78197
268.0582, 93.88171
268.5403, 93.93645
269.0225, 93.89407
269.5046, 93.71201
269.9867, 93.65591
270.4688, 94.03146
270.9509, 94.34964
271.4330, 94.05459
271.9152, 93.11534
272.3973, 92.14709
272.8794, 91.77354
273.3615, 92.05127
273.8436, 92.12173
274.3257, 91.72561
274.8079, 91.29046
275.2900, 91.15595
275.7721, 91.33294
276.2542, 91.65298
276.7363, 92.06690
277.2184, 92.52635
277.7006, 92.75762
278.1827, 92.59136
278.6648, 92.32818
279.1469, 92.13831
279.6290, 92.02625
280.1111, 91.99998
280.5933, 92.11451
281.0754, 92.30368
281.5575, 92.34073
282.0396, 92.05079
282.5217, 91.82191
283.0038, 91.98899
283.4860, 92.46965
283.9681, 92.81434
284.4502, 92.75558
284.9323, 92.49026
285.4144, 92.43032
285.8965, 92.59973
286.3787, 92.89571
286.8608, 93.33504
287.3429, 93.87154
287.8250, 94.35066
288.3071, 94.73441
288.7892, 95.01516
289.2714, 95.14478
289.7535, 95.09159
290.2356, 95.13897
290.7177, 95.48513
291.1998, 96.03399
291.6819, 96.51436
292.1641, 96.81918
292.6462, 97.14185
293.1283, 97.76043
293.6104, 98.63325
294.0925, 99.42292
294.5746, 99.86287
295.0568, 100.1493
295.5389, 100.6889
296.0210, 101.5699
296.5031, 102.5799
296.9852, 103.5956
297.4673, 104.6065
297.9495, 105.5820
298.4316, 106.3844
298.9137, 107.1909
299.3958, 108.2945
299.8779, 109.7435
300.3600, 111.2884
300.8422, 112.7609
301.3243, 114.2185
301.8064, 115.7463
302.2885, 117.4077
302.7706, 119.1238
303.2527, 120.7519
303.7349, 122.2794
304.2170, 124.0036
304.6991, 126.2189
305.1812, 128.6468
305.6633, 130.9112
306.1454, 132.9428
306.6276, 134.8516
307.1097, 136.7380
307.5918, 138.5944
308.0739, 140.3306
308.5560, 141.7629
309.0381, 143.1829
309.5203, 144.9385
310.0024, 147.0756
310.4845, 149.2337
310.9666, 151.0707
311.4487, 152.6830
311.9308, 154.5636
312.4130, 156.9148
312.8951, 159.3922
313.3772, 161.6038
313.8593, 163.6030
314.3414, 165.6896
314.8235, 168.0457
315.3057, 170.6003
315.7878, 173.2220
316.2699, 175.9166
316.7520, 178.6123
317.2341, 181.4974
317.7162, 184.3504
318.1984, 186.6190
318.6805, 187.8701
319.1626, 188.5214
319.6447, 189.3808
320.1268, 190.6233
320.6089, 191.2000
321.0911, 190.2511
321.5732, 188.3009
322.0553, 185.9566
322.5374, 183.2393
323.0195, 180.3055
323.5016, 177.4390
323.9838, 174.6281
324.4659, 171.3190
324.9480, 166.9676
325.4301, 162.2344
325.9122, 157.8897
326.3943, 153.9160
326.8765, 150.4393
327.3586, 147.7133
327.8407, 145.6164
328.3228, 143.5358
328.8049, 141.3032
329.2870, 139.0954
329.7692, 137.0116
330.2513, 135.0610
330.7334, 133.4213
331.2155, 132.2587
331.6976, 131.4681
332.1797, 130.8230
332.6619, 130.3145
333.1440, 129.9126
333.6261, 129.5676
334.1082, 129.3026
334.5903, 129.2162
335.0724, 129.4273
335.5546, 129.7896
336.0367, 130.1804
336.5188, 130.6150
337.0009, 130.8703
337.4830, 130.5518
337.9651, 130.0572
338.4473, 130.1454
338.9294, 131.1087
339.4115, 132.3348
339.8936, 133.4138
340.3757, 134.3542
340.8578, 135.1563
341.3400, 135.7180
341.8221, 136.2550
342.3042, 137.0474
342.7863, 138.0850
343.2684, 139.3868
343.7505, 141.0632
344.2327, 143.0076
344.7148, 144.9936
345.1969, 147.0057
345.6790, 148.9637
346.1611, 150.6672
346.6432, 152.1654
347.1254, 153.8789
347.6075, 156.1783
348.0896, 158.6216
348.5717, 160.5479
349.0538, 161.8925
349.5359, 163.2383
350.0181, 165.1474
350.5002, 167.4314
350.9823, 169.2437
351.4644, 170.2900
351.9465, 171.0554
352.4286, 171.9341
352.9108, 172.8461
353.3929, 173.4473
353.8750, 173.6121
354.3571, 173.2958
354.8392, 172.3965
355.3214, 170.8042
355.8035, 169.0057
356.2856, 167.1882
356.7677, 165.2828
357.2498, 163.1572
357.7319, 160.7630
358.2141, 158.1799
358.6962, 155.3797
359.1783, 152.2630
359.6604, 149.5593
360.1425, 147.5937
360.6246, 145.9142
361.1068, 144.0907
361.5889, 142.0788
362.0710, 140.1465
362.5531, 138.4658
363.0352, 137.0619
363.5173, 136.1065
363.9995, 135.7922
364.4816, 135.6810
364.9637, 135.6058
365.4458, 135.5708
365.9279, 135.5462
366.4100, 135.4640
366.8922, 135.5016
367.3743, 136.2837
367.8564, 138.5180
368.3385, 140.4412
368.8206, 141.5466
369.3027, 142.3474
369.7849, 143.3553
370.2670, 144.7224
370.7491, 146.4362
371.2312, 148.5164
371.7133, 151.1138
372.1954, 153.6015
372.6776, 155.9315
373.1597, 158.1917
373.6418, 160.2786
374.1239, 162.3091
374.6060, 164.6396
375.0881, 167.5918
375.5703, 171.1446
376.0524, 174.8961
376.5345, 178.8949
377.0166, 183.0510
377.4987, 187.2501
377.9808, 191.6376
378.4630, 196.4881
378.9451, 201.9309
379.4272, 207.7478
379.9093, 213.3797
380.3914, 218.4186
380.8735, 224.0415
381.3557, 230.6004
381.8378, 237.4601
382.3199, 244.2806
382.8020, 250.9790
383.2841, 257.5325
383.7662, 264.0016
384.2484, 270.5417
384.7305, 276.0561
385.2126, 280.6673
385.6947, 284.0618
386.1768, 286.3449
386.6589, 287.2759
387.1411, 286.4987
387.6232, 283.8322
388.1053, 279.2425
388.5874, 272.5298
389.0695, 263.0376
389.5516, 252.5374
390.0338, 241.0045
390.5159, 228.9980
390.9980, 216.8797
391.4801, 204.7373
391.9622, 192.9856
