##NAMES=Epidote
##RRUFFID=R070205
##IDEAL CHEMISTRY=Ca_2_Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Jebel Shacro, Morocco
##OWNER=RRUFF
##SOURCE=Renato and Adriana Pagano
##DESCRIPTION=Red-purple prismatic crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070205
##MEASURED CHEMISTRY=(Ca_1.96_Mn^2+^_0.04_)_Σ=2_(Fe^3+^_0.72_Al_0.22_Mn^3+^_0.06_)_Σ=1_Al_2.00_(Si_2.00_O_7_)(Si_1.00_O_4_)O(OH); OH assumed by stoichiometry, Mn2+ and  Mn3+ splitted by charge balance
147.3438, 696.7779
147.8259, 708.5045
148.3080, 720.2988
148.7901, 732.1394
149.2722, 744.0458
149.7543, 756.4856
150.2365, 769.4658
150.7186, 781.7598
151.2007, 793.1389
151.6828, 803.0525
152.1649, 809.0450
152.6470, 809.3039
153.1292, 806.5676
153.6113, 802.2054
154.0934, 796.2186
154.5755, 791.3551
155.0576, 789.6680
155.5397, 791.0146
156.0219, 794.7465
156.5040, 803.6290
156.9861, 813.4631
157.4682, 818.1490
157.9503, 816.4819
158.4324, 815.8782
158.9146, 823.4050
159.3967, 836.5414
159.8788, 849.6978
160.3609, 861.4041
160.8430, 872.3558
161.3251, 883.2181
161.8073, 893.7882
162.2894, 904.9092
162.7715, 916.4188
163.2536, 928.8182
163.7357, 943.8102
164.2178, 962.3696
164.7000, 983.7083
165.1821, 1006.865
165.6642, 1032.669
166.1463, 1057.804
166.6284, 1081.690
167.1105, 1103.495
167.5927, 1121.043
168.0748, 1130.121
168.5569, 1135.501
169.0390, 1149.797
169.5211, 1179.455
170.0032, 1203.221
170.4854, 1206.302
170.9675, 1197.268
171.4496, 1189.139
171.9317, 1189.585
172.4138, 1194.027
172.8959, 1190.647
173.3781, 1176.924
173.8602, 1159.947
174.3423, 1143.304
174.8244, 1125.730
175.3065, 1104.985
175.7886, 1077.892
176.2708, 1048.075
176.7529, 1026.045
177.2350, 1016.534
177.7171, 1006.266
178.1992, 988.6182
178.6813, 967.6072
179.1634, 948.5548
179.6456, 933.7399
180.1277, 922.6033
180.6098, 913.4715
181.0919, 907.0027
181.5740, 901.5695
182.0561, 896.9889
182.5383, 892.8228
183.0204, 888.6303
183.5025, 884.2662
183.9846, 879.6216
184.4667, 873.9464
184.9488, 865.0366
185.4310, 859.2711
185.9131, 863.2365
186.3952, 869.0790
186.8773, 866.4254
187.3594, 849.1830
187.8415, 824.3170
188.3237, 810.3214
188.8058, 812.8128
189.2879, 817.5425
189.7700, 823.7982
190.2521, 829.2868
190.7342, 831.4690
191.2164, 829.0697
191.6985, 823.5036
192.1806, 817.7795
192.6627, 810.1964
193.1448, 805.7504
