##NAMES=Metarauchite
##RRUFFID=R120114
##IDEAL CHEMISTRY=Ni^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Schweizer vein, 90 level, Eduard mine, Jachymov, Krusne Hory Mts., Czech Republic
##OWNER=RRUFF
##SOURCE=Dr Peter Kolesar
##DESCRIPTION=Aggregates of yellow play crystals, associated with green platy metazeunerite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120114
1.311371e+002, 6.270833e+003
1.316192e+002, 6.264658e+003
1.321013e+002, 6.258229e+003
1.325834e+002, 6.250635e+003
1.330656e+002, 6.244696e+003
1.335477e+002, 6.239704e+003
1.340298e+002, 6.236475e+003
1.345119e+002, 6.236446e+003
1.349940e+002, 6.239918e+003
1.354761e+002, 6.245076e+003
1.359583e+002, 6.247730e+003
1.364404e+002, 6.244158e+003
1.369225e+002, 6.242672e+003
1.374046e+002, 6.244580e+003
1.378867e+002, 6.248674e+003
1.383688e+002, 6.253463e+003
1.388510e+002, 6.258427e+003
1.393331e+002, 6.263340e+003
1.398152e+002, 6.267421e+003
1.402973e+002, 6.270751e+003
1.407794e+002, 6.273389e+003
1.412615e+002, 6.274843e+003
1.417437e+002, 6.275386e+003
1.422258e+002, 6.276231e+003
1.427079e+002, 6.277604e+003
1.431900e+002, 6.279999e+003
1.436721e+002, 6.284209e+003
1.441542e+002, 6.291553e+003
1.446364e+002, 6.299135e+003
1.451185e+002, 6.303576e+003
1.456006e+002, 6.304263e+003
1.460827e+002, 6.305503e+003
1.465648e+002, 6.309801e+003
1.470469e+002, 6.315793e+003
1.475291e+002, 6.322553e+003
1.480112e+002, 6.330276e+003
1.484933e+002, 6.338069e+003
1.489754e+002, 6.343585e+003
1.494575e+002, 6.345092e+003
1.499396e+002, 6.347393e+003
1.504218e+002, 6.351510e+003
1.509039e+002, 6.357338e+003
1.513860e+002, 6.364808e+003
1.518681e+002, 6.374025e+003
1.523502e+002, 6.384880e+003
1.528323e+002, 6.395897e+003
1.533145e+002, 6.407969e+003
1.537966e+002, 6.419271e+003
1.542787e+002, 6.430713e+003
1.547608e+002, 6.441128e+003
1.552429e+002, 6.448079e+003
1.557250e+002, 6.449046e+003
1.562072e+002, 6.443234e+003
1.566893e+002, 6.443194e+003
1.571714e+002, 6.451646e+003
1.576535e+002, 6.461993e+003
1.581356e+002, 6.472420e+003
1.586177e+002, 6.482433e+003
1.590999e+002, 6.491752e+003
1.595820e+002, 6.500038e+003
1.600641e+002, 6.507120e+003
1.605462e+002, 6.514178e+003
1.610283e+002, 6.518446e+003
1.615104e+002, 6.524464e+003
1.619926e+002, 6.537275e+003
1.624747e+002, 6.557399e+003
1.629568e+002, 6.578579e+003
1.634389e+002, 6.594750e+003
1.639210e+002, 6.606080e+003
1.644031e+002, 6.613134e+003
1.648853e+002, 6.612898e+003
1.653674e+002, 6.609307e+003
1.658495e+002, 6.608331e+003
1.663316e+002, 6.611468e+003
1.668137e+002, 6.615482e+003
1.672958e+002, 6.616817e+003
1.677780e+002, 6.616208e+003
1.682601e+002, 6.616518e+003
1.687422e+002, 6.618560e+003
1.692243e+002, 6.622491e+003
1.697064e+002, 6.629193e+003
1.701885e+002, 6.640354e+003
1.706707e+002, 6.652462e+003
1.711528e+002, 6.663419e+003
1.716349e+002, 6.673298e+003
1.721170e+002, 6.682690e+003
1.725991e+002, 6.691911e+003
1.730812e+002, 6.700943e+003
1.735634e+002, 6.710086e+003
1.740455e+002, 6.718754e+003
1.745276e+002, 6.728132e+003
1.750097e+002, 6.738340e+003
1.754918e+002, 6.749591e+003
1.759739e+002, 6.762369e+003
1.764561e+002, 6.777472e+003
1.769382e+002, 6.795954e+003
1.774203e+002, 6.813526e+003
1.779024e+002, 6.829869e+003
1.783845e+002, 6.845601e+003
1.788666e+002, 6.860667e+003
1.793488e+002, 6.875154e+003
1.798309e+002, 6.889609e+003
1.803130e+002, 6.904540e+003
1.807951e+002, 6.919935e+003
1.812772e+002, 6.935901e+003
1.817593e+002, 6.952091e+003
1.822415e+002, 6.968943e+003
1.827236e+002, 6.986998e+003
1.832057e+002, 7.006310e+003
1.836878e+002, 7.026169e+003
1.841699e+002, 7.045592e+003
1.846520e+002, 7.065106e+003
1.851342e+002, 7.082909e+003
1.856163e+002, 7.097523e+003
1.860984e+002, 7.111030e+003
1.865805e+002, 7.126039e+003
1.870626e+002, 7.143438e+003
1.875447e+002, 7.161283e+003
1.880269e+002, 7.175920e+003
1.885090e+002, 7.186674e+003
1.889911e+002, 7.197821e+003
1.894732e+002, 7.211269e+003
1.899553e+002, 7.225534e+003
1.904374e+002, 7.237694e+003
1.909196e+002, 7.246649e+003
1.914017e+002, 7.253942e+003
1.918838e+002, 7.261658e+003
1.923659e+002, 7.269637e+003
1.928480e+002, 7.278171e+003
1.933301e+002, 7.289033e+003
1.938123e+002, 7.300896e+003
1.942944e+002, 7.308729e+003
1.947765e+002, 7.309692e+003
1.952586e+002, 7.307731e+003
1.957407e+002, 7.307521e+003
1.962228e+002, 7.309095e+003
1.967050e+002, 7.310260e+003
1.971871e+002, 7.308976e+003
1.976692e+002, 7.305391e+003
1.981513e+002, 7.302665e+003
1.986334e+002, 7.302828e+003
1.991155e+002, 7.302881e+003
1.995977e+002, 7.300631e+003
2.000798e+002, 7.296039e+003
2.005619e+002, 7.290850e+003
2.010440e+002, 7.286877e+003
2.015261e+002, 7.284399e+003
2.020082e+002, 7.281374e+003
2.024904e+002, 7.278496e+003
2.029725e+002, 7.274314e+003
2.034546e+002, 7.267693e+003
2.039367e+002, 7.258632e+003
2.044188e+002, 7.248231e+003
2.049009e+002, 7.238036e+003
2.053831e+002, 7.228718e+003
2.058652e+002, 7.217440e+003
2.063473e+002, 7.206814e+003
2.068294e+002, 7.192516e+003
2.073115e+002, 7.171398e+003
2.077936e+002, 7.143287e+003
2.082758e+002, 7.110504e+003
2.087579e+002, 7.076107e+003
2.092400e+002, 7.039025e+003
2.097221e+002, 7.002704e+003
2.102042e+002, 6.966654e+003
2.106863e+002, 6.931655e+003
2.111685e+002, 6.898282e+003
2.116506e+002, 6.866560e+003
2.121327e+002, 6.835843e+003
2.126148e+002, 6.804868e+003
2.130969e+002, 6.773075e+003
2.135790e+002, 6.742953e+003
2.140612e+002, 6.715204e+003
2.145433e+002, 6.688628e+003
2.150254e+002, 6.662083e+003
2.155075e+002, 6.635468e+003
2.159896e+002, 6.608728e+003
2.164717e+002, 6.581873e+003
2.169539e+002, 6.553866e+003
2.174360e+002, 6.528349e+003
2.179181e+002, 6.506183e+003
2.184002e+002, 6.486076e+003
2.188823e+002, 6.466636e+003
2.193644e+002, 6.447591e+003
2.198466e+002, 6.429338e+003
2.203287e+002, 6.412258e+003
2.208108e+002, 6.395977e+003
2.212929e+002, 6.382531e+003
2.217750e+002, 6.375436e+003
2.222571e+002, 6.370126e+003
2.227393e+002, 6.359795e+003
2.232214e+002, 6.342360e+003
2.237035e+002, 6.324081e+003
2.241856e+002, 6.313723e+003
2.246677e+002, 6.310601e+003
2.251498e+002, 6.307653e+003
2.256320e+002, 6.302823e+003
2.261141e+002, 6.297146e+003
2.265962e+002, 6.292906e+003
2.270783e+002, 6.291292e+003
2.275604e+002, 6.288677e+003
2.280425e+002, 6.279216e+003
2.285247e+002, 6.264781e+003
2.290068e+002, 6.253245e+003
2.294889e+002, 6.250459e+003
2.299710e+002, 6.252523e+003
2.304531e+002, 6.249973e+003
2.309352e+002, 6.239708e+003
2.314174e+002, 6.229427e+003
2.318995e+002, 6.225903e+003
2.323816e+002, 6.227136e+003
2.328637e+002, 6.227909e+003
2.333458e+002, 6.225641e+003
2.338279e+002, 6.220955e+003
2.343101e+002, 6.215330e+003
2.347922e+002, 6.207140e+003
2.352743e+002, 6.201087e+003
2.357564e+002, 6.200328e+003
2.362385e+002, 6.203298e+003
2.367206e+002, 6.207000e+003
2.372028e+002, 6.210489e+003
2.376849e+002, 6.213406e+003
2.381670e+002, 6.214166e+003
2.386491e+002, 6.211888e+003
2.391312e+002, 6.208542e+003
2.396133e+002, 6.204991e+003
2.400955e+002, 6.201119e+003
2.405776e+002, 6.196248e+003
2.410597e+002, 6.188890e+003
2.415418e+002, 6.180513e+003
2.420239e+002, 6.178947e+003
2.425060e+002, 6.190701e+003
2.429882e+002, 6.200585e+003
2.434703e+002, 6.202802e+003
