##NAMES=Pyroaurite
##RRUFFID=R100053
##IDEAL CHEMISTRY=Mg_6_Fe^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale bluish-green hexagonal tablets embedded in calcite, associated with magnetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100053
127.6920, 178.6307
128.1741, 178.9553
128.6562, 179.5776
129.1383, 180.2146
129.6204, 180.5243
130.1025, 180.5537
130.5847, 180.3752
131.0668, 179.9973
131.5489, 179.4303
132.0310, 178.6473
132.5131, 177.3087
132.9952, 176.1404
133.4774, 176.0064
133.9595, 176.8980
134.4416, 177.5694
134.9237, 176.6084
135.4058, 173.6884
135.8879, 171.3953
136.3701, 170.7204
136.8522, 170.5150
137.3343, 170.2599
137.8164, 169.8071
138.2985, 169.1902
138.7806, 168.4662
139.2628, 167.6705
139.7449, 166.6693
140.2270, 165.3881
140.7091, 163.9632
141.1912, 162.5084
141.6733, 161.0815
142.1555, 159.6534
142.6376, 158.1472
143.1197, 156.3016
143.6018, 154.6673
144.0839, 153.3008
144.5660, 152.1834
145.0482, 151.3738
145.5303, 150.9832
146.0124, 150.8666
146.4945, 149.9081
146.9766, 147.5054
147.4587, 145.0626
147.9409, 143.0491
148.4230, 141.4679
148.9051, 140.2803
149.3872, 139.6263
149.8693, 139.3752
150.3514, 138.7060
150.8336, 137.3117
151.3157, 135.6766
151.7978, 134.1909
152.2799, 132.8589
152.7620, 131.6455
153.2441, 130.6347
153.7263, 129.7209
154.2084, 128.6988
154.6905, 127.3625
155.1726, 125.9003
155.6547, 124.8000
156.1368, 124.3730
156.6190, 123.7380
157.1011, 122.1193
157.5832, 119.9712
158.0653, 118.1796
158.5474, 117.5445
159.0295, 117.9432
159.5117, 117.7337
159.9938, 116.4447
160.4759, 114.9362
160.9580, 113.2895
161.4401, 111.6501
161.9222, 110.3044
162.4044, 109.6028
162.8865, 109.7146
163.3686, 109.4441
163.8507, 108.4405
164.3328, 107.3841
164.8149, 106.5813
165.2971, 106.0341
165.7792, 105.5652
166.2613, 104.9521
166.7434, 104.1006
167.2255, 103.3931
167.7076, 102.8917
168.1898, 102.4660
168.6719, 102.0987
169.1540, 101.7628
169.6361, 101.3271
170.1182, 100.5725
170.6003, 99.28960
171.0825, 98.22141
171.5646, 97.60976
172.0467, 97.15107
172.5288, 96.44131
173.0109, 95.33556
173.4930, 94.14622
