##NAMES=Brianyoungite
##RRUFFID=R060431
##IDEAL CHEMISTRY=Zn^2+^_3_CO_3_(OH)_4_
##LOCALITY=Brownley Hill mine, Nenthead, Cumbria, England
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Sprays of white bladed crystals, associated with colorless tabular or prismatic gypsum.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060431
##MEASURED CHEMISTRY=EDS analysis shows the presence of Zn, with trace S.
90.49219, 26.73843
90.97430, 28.31509
91.45642, 28.87667
91.93854, 27.53003
92.42065, 25.42720
92.90277, 24.34479
93.38489, 24.51529
93.86700, 25.10440
94.34912, 25.10012
94.83124, 24.59672
95.31335, 24.13482
95.79547, 24.08961
96.27759, 24.37375
96.75970, 24.65938
97.24182, 24.95983
97.72394, 25.16904
98.20605, 24.97203
98.68817, 24.32192
99.17029, 23.63669
99.65240, 23.21635
100.1345, 23.06840
100.6166, 23.07409
101.0988, 23.23107
101.5809, 23.52883
102.0630, 23.94284
102.5451, 24.60163
103.0272, 25.15523
103.5093, 25.18638
103.9915, 24.54609
104.4736, 23.75511
104.9557, 22.85147
105.4378, 21.72948
105.9199, 21.10525
106.4020, 21.12043
106.8842, 21.55936
107.3663, 22.10692
107.8484, 23.24940
108.3305, 23.92797
108.8126, 23.69250
109.2947, 21.56625
109.7769, 20.15156
110.2590, 19.92391
110.7411, 20.48929
111.2232, 20.62962
111.7053, 19.56136
112.1874, 18.60011
112.6696, 18.34531
113.1517, 19.94696
113.6338, 21.08050
114.1159, 21.18071
114.5980, 20.39530
115.0801, 19.79356
115.5623, 19.82923
116.0444, 20.04735
116.5265, 20.09606
117.0086, 19.48340
117.4907, 19.03711
117.9728, 19.16940
118.4550, 19.90733
118.9371, 20.63392
119.4192, 21.20846
119.9013, 21.58613
120.3834, 21.69954
120.8655, 21.26536
121.3477, 20.71898
121.8298, 20.41839
122.3119, 20.44144
122.7940, 20.42293
123.2761, 20.00607
123.7582, 19.34479
124.2404, 18.78187
124.7225, 17.87912
125.2046, 17.39265
125.6867, 18.56658
126.1688, 22.13399
126.6509, 26.03218
127.1331, 27.79867
127.6152, 27.78059
128.0973, 27.70365
128.5794, 28.35538
129.0615, 29.81377
129.5436, 32.37579
130.0258, 36.46233
130.5079, 41.29543
130.9900, 45.33757
131.4721, 48.55510
131.9542, 52.25761
132.4363, 57.71036
132.9185, 64.74216
133.4006, 72.14242
133.8827, 79.46798
134.3648, 86.88517
134.8469, 95.55317
135.3290, 105.5454
135.8112, 116.5159
136.2933, 127.8595
136.7754, 139.5873
137.2575, 152.2666
137.7396, 166.3641
138.2217, 181.6101
138.7039, 197.0091
139.1860, 212.3819
139.6681, 228.2348
140.1502, 245.9699
140.6323, 265.9573
141.1144, 286.0168
141.5966, 305.6368
142.0787, 324.9823
142.5608, 342.7131
143.0429, 358.9323
143.5250, 373.4597
144.0071, 385.4932
144.4893, 393.8305
144.9714, 401.4552
145.4535, 409.2574
145.9356, 415.9048
146.4177, 425.5252
146.8998, 438.0067
147.3820, 453.4695
147.8641, 473.1896
148.3462, 498.8087
148.8283, 526.8834
149.3104, 556.1461
149.7925, 591.2753
150.2747, 621.2875
150.7568, 646.0563
151.2389, 665.4561
