##NAMES=Corundum
##RRUFFID=X080003
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted yellow sapphire gemstone, 4.70 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080003
433.1936, 27.65577
433.6757, 24.45779
434.1578, 21.64382
434.6399, 19.21448
435.1220, 17.19069
435.6042, 15.75899
436.0863, 14.60994
436.5684, 13.62679
437.0505, 12.81039
437.5326, 12.21416
438.0147, 11.95035
438.4969, 11.91728
438.9790, 11.72663
439.4611, 11.27631
439.9432, 10.92832
440.4253, 10.97388
440.9074, 11.13362
441.3896, 11.07878
441.8717, 10.70121
442.3538, 10.33866
442.8359, 10.31826
443.3180, 10.59120
443.8001, 10.87297
444.2823, 11.11825
444.7644, 11.34697
445.2465, 11.53208
445.7286, 11.69869
446.2107, 11.98776
446.6928, 12.43150
447.1750, 13.01913
447.6571, 13.86269
448.1392, 14.91246
448.6213, 15.78283
449.1034, 16.30734
449.5855, 16.47506
450.0677, 16.22631
450.5498, 15.48446
451.0319, 14.59273
451.5140, 13.48002
451.9961, 12.33544
452.4782, 11.37050
452.9604, 10.62911
453.4425, 10.10201
453.9246, 9.814560
454.4067, 9.803198
454.8888, 9.644200
455.3709, 9.105350
455.8531, 8.697051
456.3352, 8.692324
456.8173, 8.926205
457.2994, 9.117420
457.7815, 9.135553
458.2636, 9.048289
458.7458, 9.005782
459.2279, 9.082952
459.7100, 9.042443
460.1921, 8.740649
460.6742, 8.450109
461.1563, 8.333428
461.6385, 8.380333
462.1206, 8.490984
462.6027, 8.605831
463.0848, 8.717180
463.5669, 8.775678
464.0491, 8.739124
464.5312, 8.735375
465.0133, 8.952894
465.4954, 9.149858
465.9775, 9.008480
466.4597, 8.430799
466.9418, 7.848043
467.4239, 7.686931
467.9060, 7.894255
468.3881, 8.118508
468.8702, 8.332190
469.3524, 8.511807
469.8345, 8.638409
470.3166, 8.717153
470.7987, 8.747813
471.2808, 8.756018
471.7629, 8.696601
472.2451, 8.461495
472.7272, 8.096080
473.2093, 7.829947
473.6914, 7.758452
474.1735, 7.836825
474.6556, 8.015623
475.1378, 8.349689
475.6199, 8.585363
476.1020, 8.703991
476.5841, 8.697144
477.0662, 8.484731
477.5483, 8.106780
478.0305, 7.758698
478.5126, 7.588247
478.9947, 7.582179
479.4768, 7.630796
479.9589, 7.770921
480.4410, 7.923018
480.9232, 8.109360
481.4053, 8.286279
481.8874, 8.403174
482.3695, 8.451239
482.8516, 8.465699
483.3337, 8.487357
483.8159, 8.517722
484.2980, 8.544497
484.7801, 8.611440
485.2622, 8.620840
485.7443, 8.454116
486.2264, 8.229396
486.7086, 8.150151
487.1907, 8.323668
487.6728, 8.592685
488.1549, 8.732054
488.6370, 8.734488
489.1191, 8.725224
489.6013, 8.761806
490.0834, 8.756675
490.5655, 8.567715
491.0476, 8.236448
491.5297, 8.054037
492.0118, 8.246020
492.4940, 8.588664
492.9761, 8.834213
493.4582, 8.974893
493.9403, 8.986265
494.4224, 8.817317
494.9045, 8.545142
495.3867, 8.365077
495.8688, 8.282998
496.3509, 8.251426
496.8330, 8.320398
497.3151, 8.399712
497.7972, 8.351542
498.2794, 8.183479
498.7615, 8.072873
499.2436, 8.193536
499.7257, 8.524260
500.2078, 8.682725
500.6899, 8.468516
501.1721, 8.323994
501.6542, 8.320591
502.1363, 8.421247
502.6184, 8.665128
503.1005, 9.027262
503.5826, 9.283081
504.0648, 9.045743
504.5469, 8.223611
505.0290, 7.852140
505.5111, 8.345484
505.9932, 8.785203
506.4753, 8.729380
506.9575, 8.408912
507.4396, 8.203481
507.9217, 8.268146
508.4038, 8.434686
508.8859, 8.535424
509.3680, 8.568052
509.8502, 8.468433
510.3323, 8.141543
510.8144, 7.807767
511.2965, 7.665968
511.7786, 7.698104
512.2607, 7.855966
512.7429, 8.258692
513.2250, 8.678236
513.7071, 8.967588
514.1892, 9.113485
514.6713, 9.046212
515.1534, 8.688206
515.6356, 8.236976
516.1177, 8.099398
516.5998, 8.495066
517.0819, 8.713472
517.5640, 8.548208
518.0461, 8.354658
518.5283, 8.439282
519.0104, 8.728967
519.4925, 8.914405
519.9746, 8.778610
520.4567, 8.423403
520.9388, 8.227697
521.4210, 8.251754
521.9031, 8.330736
522.3852, 8.512532
522.8673, 8.684240
523.3494, 8.751033
523.8315, 8.719096
524.3137, 8.675166
524.7958, 8.707017
525.2779, 8.776244
525.7600, 8.719159
526.2421, 8.485063
526.7242, 8.318168
527.2064, 8.400641
527.6885, 8.570077
528.1706, 8.604239
528.6527, 8.459318
529.1348, 8.340024
529.6169, 8.364383
530.0991, 8.476541
530.5812, 8.626817
531.0633, 8.805786
531.5454, 8.874048
532.0275, 8.687703
532.5096, 8.301654
532.9918, 8.104570
533.4739, 8.201443
533.9560, 8.319698
534.4381, 8.427268
534.9202, 8.516285
535.4023, 8.606282
535.8845, 8.685596
536.3666, 8.666149
536.8487, 8.418494
537.3308, 7.943375
537.8129, 7.754448
538.2951, 8.084233
538.7772, 8.409177
539.2593, 8.672620
539.7415, 8.839084
540.2236, 8.820992
540.7057, 8.604741
541.1878, 8.401344
541.6699, 8.487926
542.1520, 8.807137
542.6342, 8.941935
543.1163, 8.813272
543.5984, 8.621763
544.0805, 8.445309
544.5626, 8.305721
545.0447, 8.252774
545.5269, 8.313448
546.0090, 8.423635
546.4911, 8.602060
546.9732, 8.792313
547.4553, 8.856519
547.9374, 8.764804
548.4196, 8.667500
548.9017, 8.724215
549.3838, 8.940756
549.8659, 9.037821
550.3480, 8.830211
550.8301, 8.745267
551.3123, 9.036056
551.7944, 9.453767
552.2765, 9.687298
552.7586, 9.657407
553.2407, 9.508986
553.7228, 9.401800
554.2050, 9.336903
554.6871, 9.297229
555.1692, 9.317292
555.6513, 9.312714
556.1334, 9.221852
556.6155, 9.104532
557.0977, 9.035868
557.5798, 9.036727
558.0619, 9.079367
558.5440, 9.183654
559.0261, 9.314760
559.5082, 9.309535
559.9904, 9.107852
560.4725, 8.944133
560.9546, 9.037839
561.4367, 9.330069
561.9188, 9.497635
562.4009, 9.482104
562.8831, 9.411017
563.3652, 9.231861
563.8473, 9.065892
564.3294, 9.160048
564.8115, 9.532333
565.2936, 9.847711
565.7758, 9.730585
566.2579, 9.178121
566.7400, 8.950577
567.2221, 9.354755
567.7042, 9.730547
568.1863, 9.957013
568.6685, 10.10885
569.1506, 10.24412
569.6327, 10.38309
570.1148, 10.55451
570.5969, 10.78026
571.0790, 11.06057
571.5612, 11.40321
572.0433, 11.82495
572.5254, 12.25906
573.0075, 12.58208
573.4896, 12.93953
573.9717, 13.54441
574.4539, 14.42007
574.9360, 15.51137
575.4181, 16.93043
575.9002, 18.48629
576.3823, 20.07909
576.8644, 21.64133
577.3466, 22.72076
577.8287, 23.00788
578.3108, 22.54531
578.7929, 21.53533
579.2750, 19.46872
579.7571, 17.49968
580.2393, 15.57252
580.7214, 13.85608
581.2035, 12.48046
581.6856, 11.45136
582.1677, 10.68115
582.6498, 10.13634
583.1320, 9.776852
583.6141, 9.465112
584.0962, 9.174546
584.5783, 9.024053
585.0604, 9.182890
585.5425, 9.389293
586.0247, 9.401796
586.5068, 9.229281
586.9889, 9.076171
587.4710, 9.075474
587.9531, 9.111250
588.4352, 9.025647
588.9174, 8.840432
589.3995, 8.697793
589.8816, 8.662828
590.3637, 8.691051
590.8458, 8.708452
591.3279, 8.714224
591.8101, 8.708951
592.2922, 8.692805
592.7743, 8.665692
593.2564, 8.629546
593.7385, 8.582088
594.2206, 8.488237
594.7028, 8.330674
595.1849, 8.219095
595.6670, 8.420753
596.1491, 9.020144
596.6312, 9.284171
597.1133, 8.937982
597.5955, 8.543398
598.0776, 8.429568
598.5597, 8.481163
599.0418, 8.467313
599.5239, 8.281751
600.0060, 8.122280
600.4882, 8.191439
600.9703, 8.401583
601.4524, 8.533877
601.9345, 8.544488
602.4166, 8.516585
602.8987, 8.509876
603.3809, 8.526578
603.8630, 8.602555
604.3451, 8.857631
604.8272, 9.010448
605.3093, 8.914163
605.7914, 8.750166
606.2736, 8.687296
606.7557, 8.750933
607.2378, 8.880461
607.7199, 9.047771
608.2020, 9.228392
608.6841, 9.291071
609.1663, 9.203215
609.6484, 9.090181
610.1305, 8.936617
610.6126, 8.811988
611.0947, 8.826946
611.5768, 8.970989
612.0590, 9.005360
612.5411, 8.648742
613.0232, 8.254210
613.5053, 8.279488
613.9874, 8.651938
614.4695, 8.980631
614.9517, 9.102075
615.4338, 9.124434
615.9159, 9.241456
616.3980, 9.539755
616.8801, 9.621284
617.3622, 9.162976
617.8444, 8.855986
618.3265, 9.179623
618.8086, 9.789858
619.2907, 10.11145
619.7728, 9.938903
620.2549, 9.586992
620.7371, 9.430623
621.2192, 9.465020
621.7013, 9.581955
622.1834, 9.813357
622.6655, 10.04368
623.1476, 10.23812
623.6298, 10.37626
624.1119, 10.38949
624.5940, 10.19782
625.0761, 10.11081
625.5582, 10.35722
626.0403, 10.73839
626.5225, 11.00818
627.0046, 11.15176
627.4867, 11.27080
627.9688, 11.43287
628.4509, 11.61787
628.9330, 11.76104
629.4152, 11.82677
629.8973, 11.91438
630.3794, 12.00930
630.8615, 12.14018
631.3436, 12.28964
631.8257, 12.49036
632.3079, 12.82691
632.7900, 13.36945
633.2721, 13.99055
633.7542, 14.54603
634.2363, 15.03164
634.7184, 15.33741
635.2006, 15.34445
635.6827, 15.45919
636.1648, 16.06417
636.6469, 17.12115
637.1291, 18.17682
637.6112, 19.24960
638.0933, 20.28978
638.5754, 21.14170
639.0576, 22.01879
639.5397, 23.18679
640.0218, 24.66600
640.5039, 26.26614
640.9860, 27.81647
641.4681, 29.39870
641.9503, 31.51361
642.4324, 34.46960
642.9145, 37.18105
643.3966, 39.47020
643.8787, 41.39423
644.3608, 43.08880
644.8430, 44.47835
645.3251, 45.20810
645.8072, 45.07336
