##NAMES=Cryolite
##RRUFFID=R120026
##IDEAL CHEMISTRY=Na_3_AlF_6_
##LOCALITY=Francon quarry, Montréal, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Colorless, pseudo-octahedral crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120026
219.2173, 251.0851
219.6994, 253.0228
220.1816, 254.0988
220.6637, 254.1964
221.1458, 253.6674
221.6279, 252.5536
222.1100, 250.3223
222.5921, 248.8983
223.0743, 248.5591
223.5564, 249.1440
224.0385, 249.9765
224.5206, 251.2574
225.0027, 252.4520
225.4848, 253.2416
225.9670, 253.5735
226.4491, 253.5729
226.9312, 252.9182
227.4133, 251.9079
227.8954, 252.1542
228.3775, 254.6082
228.8597, 256.9277
229.3418, 257.4982
229.8239, 255.2328
230.3060, 253.7821
230.7881, 253.7759
231.2702, 254.8289
231.7524, 255.0428
232.2345, 253.8173
232.7166, 252.5884
233.1987, 252.2476
233.6808, 253.2449
234.1629, 254.1277
234.6451, 254.8474
235.1272, 255.3866
235.6093, 255.6641
236.0914, 255.5292
236.5735, 255.3398
237.0556, 255.3006
237.5378, 255.4955
238.0199, 255.6712
238.5020, 255.8373
238.9841, 255.9837
239.4662, 256.0475
239.9483, 256.0054
240.4305, 255.9291
240.9126, 255.8582
241.3947, 255.8076
241.8768, 255.7461
242.3589, 255.6893
242.8410, 255.6237
243.3232, 255.4448
243.8053, 254.8805
244.2874, 254.5781
244.7695, 254.9638
245.2516, 256.6142
245.7337, 257.6310
246.2159, 257.7391
246.6980, 257.1959
247.1801, 256.8373
247.6622, 256.7706
248.1443, 256.7105
248.6264, 256.4613
249.1086, 255.7219
249.5907, 255.5261
250.0728, 256.0610
250.5549, 257.1024
251.0370, 258.1371
251.5191, 259.4815
252.0013, 260.3295
252.4834, 260.2452
252.9655, 258.8084
253.4476, 257.4926
253.9297, 256.0114
254.4118, 254.7835
254.8940, 254.9796
255.3761, 257.7667
255.8582, 259.9084
256.3403, 259.7169
256.8224, 256.0272
257.3046, 253.9394
257.7867, 254.0595
258.2688, 255.4008
258.7509, 256.0086
259.2330, 255.4427
259.7151, 255.0193
260.1973, 255.2636
260.6794, 256.2968
261.1615, 257.4954
261.6436, 259.0952
262.1257, 260.6476
262.6078, 261.2857
263.0900, 260.6411
263.5721, 259.9679
264.0542, 259.7452
264.5363, 260.0769
265.0184, 260.1711
265.5005, 259.9594
265.9827, 259.6059
266.4648, 259.2390
266.9469, 258.6850
267.4290, 258.6543
267.9111, 259.5629
268.3932, 261.4953
268.8754, 262.9188
269.3575, 263.8755
269.8396, 264.2503
270.3217, 263.6216
270.8038, 261.5943
271.2859, 260.0964
271.7681, 259.8170
272.2502, 260.7033
272.7323, 261.2771
273.2144, 261.4483
273.6965, 261.4651
274.1786, 261.5408
274.6608, 261.6531
275.1429, 261.9766
275.6250, 262.6635
276.1071, 263.6282
276.5892, 264.1898
277.0714, 264.2477
277.5535, 264.1649
278.0356, 264.3107
278.5177, 264.7189
278.9998, 264.9828
279.4819, 264.9808
279.9641, 264.7776
280.4462, 264.6557
280.9283, 264.6252
281.4104, 264.6268
281.8925, 264.7121
282.3746, 264.8892
282.8568, 264.6676
283.3389, 263.8075
283.8210, 262.6352
284.3031, 261.9512
284.7852, 261.7479
285.2673, 262.1476
285.7495, 263.8137
286.2316, 266.5726
286.7137, 267.9024
287.1958, 267.1512
287.6779, 265.3283
288.1600, 264.4436
288.6422, 264.5056
289.1243, 264.8433
289.6064, 265.2112
290.0885, 265.5492
290.5706, 265.3454
291.0527, 264.3114
291.5349, 263.3024
292.0170, 264.0793
292.4991, 266.4600
292.9812, 268.5292
293.4633, 268.9342
293.9454, 268.1675
294.4276, 267.7630
294.9097, 267.8308
295.3918, 268.1544
295.8739, 268.5648
296.3560, 269.0323
296.8381, 269.4289
297.3203, 269.6476
297.8024, 269.7603
298.2845, 269.8710
298.7666, 269.9716
299.2487, 270.1934
299.7308, 270.8087
300.2130, 271.6781
300.6951, 272.3907
301.1772, 272.7320
301.6593, 272.8464
302.1414, 272.8220
302.6235, 272.6653
303.1057, 272.7025
303.5878, 273.1957
304.0699, 274.0763
304.5520, 275.2576
305.0341, 277.1924
305.5162, 278.9688
305.9984, 279.3251
306.4805, 278.4584
306.9626, 277.7351
307.4447, 278.0478
307.9268, 279.0750
308.4089, 280.4405
308.8911, 282.1944
309.3732, 284.0332
309.8553, 286.0815
310.3374, 288.1061
310.8195, 289.3469
311.3016, 288.5471
311.7838, 287.1763
312.2659, 286.5546
312.7480, 287.0962
313.2301, 288.0365
313.7122, 289.2753
314.1943, 290.5908
314.6765, 291.4874
315.1586, 291.2035
315.6407, 290.8110
316.1228, 291.0702
316.6049, 292.2415
317.0870, 293.3568
317.5692, 293.8911
318.0513, 294.1265
318.5334, 294.4527
319.0155, 294.8049
319.4976, 295.4386
319.9797, 296.5063
320.4619, 298.0382
320.9440, 299.7389
321.4261, 301.7525
321.9082, 303.7764
322.3903, 305.5152
322.8724, 306.7225
323.3546, 307.8162
323.8367, 308.9761
324.3188, 310.1894
324.8009, 311.0730
325.2830, 310.1512
325.7651, 309.7442
326.2473, 311.3599
326.7294, 318.1574
327.2115, 323.5080
327.6936, 325.9160
328.1757, 326.0542
328.6578, 327.3892
329.1400, 330.8578
329.6221, 334.7938
330.1042, 338.5261
330.5863, 341.7987
331.0684, 345.3173
331.5505, 349.1298
332.0327, 353.1542
332.5148, 357.1288
332.9969, 360.6042
333.4790, 364.6418
333.9611, 369.9129
334.4432, 377.0249
334.9254, 382.8445
335.4075, 386.8428
335.8896, 389.9091
336.3717, 393.0956
336.8538, 396.0725
337.3359, 399.9315
337.8180, 405.2877
338.3001, 412.0811
338.7823, 417.9662
339.2644, 422.9100
339.7465, 426.9165
340.2286, 429.9407
340.7107, 431.9334
341.1928, 433.1069
341.6750, 433.3029
342.1571, 432.7653
342.6392, 432.7149
343.1213, 433.4235
343.6034, 433.2074
344.0855, 430.4390
344.5677, 425.2484
345.0498, 420.1658
345.5319, 415.5104
346.0140, 411.1218
346.4961, 407.1043
346.9782, 403.4282
347.4604, 398.7477
347.9425, 391.4077
348.4246, 382.3046
348.9067, 375.2724
349.3888, 370.8100
349.8709, 366.9220
350.3531, 360.4959
350.8352, 352.3794
351.3173, 345.7489
351.7994, 342.9466
352.2815, 342.1033
352.7636, 340.2872
353.2458, 337.4910
353.7279, 333.9801
354.2100, 329.1332
354.6921, 323.8429
355.1742, 319.7390
355.6563, 317.9896
356.1385, 316.8542
356.6206, 314.4825
357.1027, 311.1418
357.5848, 308.2342
358.0669, 306.8758
358.5490, 306.1786
359.0312, 305.2917
359.5133, 303.9277
359.9954, 302.6125
360.4775, 301.9268
360.9596, 301.5101
361.4417, 300.6099
361.9239, 298.1053
362.4060, 295.6585
362.8881, 294.3522
363.3702, 294.5444
363.8523, 294.5485
364.3344, 293.3600
364.8166, 291.8539
365.2987, 291.0219
365.7808, 291.7626
366.2629, 292.5556
366.7450, 292.8777
367.2271, 292.7246
367.7093, 292.9734
368.1914, 294.5804
368.6735, 296.0793
369.1556, 296.5045
369.6377, 294.0304
370.1198, 292.7171
370.6020, 293.0917
371.0841, 294.7844
371.5662, 296.5007
372.0483, 298.3453
372.5304, 300.0574
373.0125, 301.5627
373.4947, 302.9276
373.9768, 303.7886
374.4589, 303.8115
374.9410, 303.6075
375.4231, 304.1347
375.9052, 305.4866
376.3874, 307.3488
376.8695, 309.7845
377.3516, 312.8066
377.8337, 315.3485
378.3158, 317.3298
378.7979, 319.1739
379.2801, 321.2530
379.7622, 323.5944
380.2443, 326.0183
380.7264, 328.4972
381.2085, 331.0644
381.6906, 333.7655
382.1728, 336.5800
382.6549, 339.7476
383.1370, 343.4448
383.6191, 347.6244
384.1012, 352.0047
384.5833, 356.6314
385.0655, 361.3409
385.5476, 365.6766
386.0297, 369.8504
386.5118, 374.4168
386.9939, 380.5336
387.4760, 386.8951
387.9582, 391.6208
388.4403, 394.7081
388.9224, 396.8346
389.4045, 398.0895
389.8866, 398.8428
390.3687, 399.6710
390.8509, 401.4755
391.3330, 402.6379
391.8151, 401.5558
392.2972, 398.7022
392.7793, 395.9899
393.2614, 395.0450
393.7436, 394.1772
394.2257, 392.0800
394.7078, 388.1601
395.1899, 383.9188
395.6720, 379.8018
396.1541, 375.7075
396.6363, 371.4751
397.1184, 366.6140
397.6005, 362.0240
398.0826, 358.0281
398.5647, 354.6811
399.0468, 351.5858
399.5290, 349.1416
400.0111, 346.6912
400.4932, 343.6885
400.9753, 339.3514
401.4574, 335.5229
401.9395, 332.7247
402.4217, 330.6478
402.9038, 327.8471
403.3859, 323.9301
403.8680, 319.8664
404.3501, 315.9450
404.8322, 311.9120
405.3144, 309.1807
405.7965, 308.2755
406.2786, 308.0829
406.7607, 306.7572
407.2428, 304.0913
407.7249, 301.3933
408.2071, 299.0322
408.6892, 297.0007
409.1713, 295.4712
409.6534, 294.5267
410.1355, 293.5558
410.6176, 291.4282
411.0998, 288.5230
411.5819, 287.3832
412.0640, 289.0921
412.5461, 291.7813
413.0282, 292.2623
413.5103, 290.8504
413.9925, 289.4416
414.4746, 289.6026
414.9567, 290.3084
415.4388, 289.7999
415.9209, 287.8241
416.4030, 285.6673
416.8852, 284.2380
417.3673, 283.3632
417.8494, 282.7490
418.3315, 282.3432
418.8136, 282.1073
419.2957, 282.0853
419.7779, 282.2485
420.2600, 282.3940
420.7421, 282.7221
421.2242, 282.8237
421.7063, 282.3550
422.1884, 280.9480
422.6706, 279.5559
423.1527, 278.1303
423.6348, 276.8990
424.1169, 276.2757
424.5990, 277.0330
425.0811, 277.7114
425.5633, 277.6750
426.0454, 276.7046
426.5275, 276.5367
427.0096, 277.7343
427.4917, 279.2794
427.9738, 280.3696
428.4560, 280.9529
428.9381, 281.1431
429.4202, 280.7706
429.9023, 280.0458
430.3844, 279.6893
430.8665, 279.7803
431.3487, 280.0229
431.8308, 280.3700
432.3129, 280.8440
432.7950, 281.0265
433.2771, 280.9591
433.7592, 280.4732
434.2414, 278.8221
434.7235, 276.1791
435.2056, 274.7150
435.6877, 275.6831
436.1698, 277.8657
436.6519, 278.5803
437.1341, 277.8961
437.6162, 277.0947
438.0983, 277.0986
438.5804, 277.6281
439.0625, 278.2792
439.5446, 279.0731
440.0268, 279.6828
440.5089, 279.4727
440.9910, 278.8719
441.4731, 278.7593
441.9552, 280.2541
442.4373, 281.7883
442.9195, 282.3116
443.4016, 281.8045
443.8837, 281.0901
444.3658, 280.0610
444.8479, 279.2014
445.3300, 278.9233
445.8122, 280.0789
446.2943, 280.7945
446.7764, 280.5033
447.2585, 279.5381
447.7406, 278.7504
448.2227, 277.9747
448.7049, 277.6158
449.1870, 277.9710
449.6691, 279.2619
450.1512, 279.9111
450.6333, 279.6786
451.1154, 279.0682
451.5976, 278.5373
452.0797, 278.1309
452.5618, 277.6790
453.0439, 277.1152
453.5260, 276.5193
454.0081, 276.0343
454.4903, 275.6274
454.9724, 275.5547
455.4545, 276.1388
455.9366, 277.2597
456.4187, 278.0906
456.9008, 278.5742
457.3830, 278.8932
457.8651, 279.3902
458.3472, 279.9131
458.8293, 279.8898
459.3114, 278.6861
459.7935, 277.3021
460.2757, 277.0440
460.7578, 277.7626
461.2399, 278.6941
461.7220, 279.8653
462.2041, 280.7537
462.6862, 280.5803
463.1684, 278.9035
463.6505, 277.6942
464.1326, 278.6272
464.6147, 280.4379
465.0968, 281.5032
465.5789, 280.3925
466.0611, 279.4178
466.5432, 279.5939
467.0253, 280.7762
467.5074, 281.1727
467.9895, 279.6723
468.4716, 278.0741
468.9538, 277.2054
469.4359, 277.1987
469.9180, 277.6823
470.4001, 278.9808
470.8822, 280.5454
471.3643, 281.5631
471.8465, 281.9307
472.3286, 282.0107
472.8107, 281.7563
473.2928, 281.2758
473.7749, 281.3484
474.2570, 282.1105
474.7392, 282.6925
475.2213, 282.0338
475.7034, 280.4248
476.1855, 280.0317
476.6676, 281.3029
477.1497, 283.0684
477.6319, 283.7130
478.1140, 283.5226
478.5961, 283.4085
479.0782, 283.8449
479.5603, 284.5189
480.0424, 285.1342
480.5246, 285.6867
481.0067, 286.1237
481.4888, 286.1996
481.9709, 286.2606
482.4530, 286.6238
482.9352, 287.4150
483.4173, 288.3421
483.8994, 289.7415
484.3815, 291.1057
484.8636, 291.6495
485.3457, 290.6215
485.8279, 289.3489
486.3100, 287.9053
486.7921, 286.3116
487.2742, 285.5273
487.7563, 285.9648
488.2384, 286.7946
488.7206, 287.6724
489.2027, 288.9317
489.6848, 289.2626
490.1669, 288.2745
490.6490, 286.7650
491.1311, 285.9058
491.6133, 285.7220
492.0954, 286.1126
492.5775, 287.3409
493.0596, 289.0425
493.5417, 289.8582
494.0238, 289.7771
494.5060, 289.2674
494.9881, 288.2100
495.4702, 287.0087
495.9523, 286.7888
496.4344, 287.8404
496.9165, 289.2056
497.3987, 290.1126
497.8808, 290.6353
498.3629, 290.8951
498.8450, 290.4268
499.3271, 290.1521
499.8092, 291.0329
500.2914, 292.8144
500.7735, 294.0104
501.2556, 293.2518
501.7377, 292.3509
502.2198, 292.5209
502.7019, 294.5885
503.1841, 295.9404
503.6662, 295.5208
504.1483, 294.5309
504.6304, 294.3936
505.1125, 295.8202
505.5946, 296.9449
506.0768, 297.4409
506.5589, 297.4092
507.0410, 297.3263
507.5231, 297.1212
508.0052, 297.0548
508.4873, 297.2806
508.9695, 297.7958
509.4516, 298.4251
509.9337, 299.1815
510.4158, 299.9803
510.8979, 300.6853
511.3800, 301.3383
511.8622, 302.1195
512.3443, 303.1441
512.8264, 304.2214
513.3085, 305.2743
513.7906, 306.2183
514.2728, 306.7476
514.7549, 306.0346
515.2370, 305.2633
515.7191, 305.5555
516.2012, 307.0445
516.6833, 308.6858
517.1655, 310.1379
517.6476, 311.4687
518.1297, 312.7382
518.6118, 314.0970
519.0939, 315.2275
519.5760, 315.6795
520.0582, 315.8897
520.5403, 316.9454
521.0224, 319.7334
521.5045, 322.0884
521.9866, 323.1852
522.4688, 323.0297
522.9509, 323.7280
523.4330, 325.3734
523.9151, 327.6457
524.3972, 330.6129
524.8793, 334.2871
525.3615, 337.0292
525.8436, 338.4274
526.3257, 339.6398
526.8078, 342.6345
527.2899, 347.0592
527.7720, 351.2155
528.2542, 354.3630
528.7363, 356.8839
529.2184, 358.8746
529.7005, 360.5192
530.1826, 362.9179
530.6647, 367.2325
531.1469, 372.2941
531.6290, 377.1247
532.1111, 381.4570
532.5932, 386.0988
533.0753, 391.3352
533.5574, 397.0736
534.0396, 403.1287
