##NAMES=Abramovite
##RRUFFID=R070037
##IDEAL CHEMISTRY=Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Archipelago, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Dark gray metallic twisted and distorted fibers in a radiating aggregate, co-type sample.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070037
380.2065, 2176.947
380.6886, 2165.293
381.1707, 2160.581
381.6529, 2162.497
382.1350, 2163.796
382.6171, 2160.330
383.0992, 2152.875
383.5813, 2144.690
384.0634, 2128.869
384.5456, 2121.110
385.0277, 2130.705
385.5098, 2146.716
385.9919, 2158.222
386.4740, 2162.015
386.9561, 2158.218
387.4383, 2144.708
387.9204, 2115.918
388.4025, 2105.009
388.8846, 2132.099
389.3667, 2155.521
389.8488, 2156.140
390.3310, 2141.927
390.8131, 2129.716
391.2952, 2128.993
391.7773, 2136.022
392.2594, 2142.357
392.7415, 2149.683
393.2237, 2151.654
393.7058, 2140.121
394.1879, 2127.239
394.6700, 2122.671
395.1521, 2127.142
395.6342, 2132.227
396.1163, 2130.243
396.5984, 2123.530
397.0806, 2120.723
397.5627, 2122.790
398.0448, 2127.699
398.5269, 2135.335
399.0090, 2144.793
399.4911, 2154.250
399.9733, 2170.056
400.4554, 2178.348
400.9375, 2162.731
401.4196, 2131.063
401.9017, 2107.469
402.3839, 2101.694
402.8660, 2104.011
403.3481, 2097.813
403.8302, 2076.390
404.3123, 2067.462
404.7944, 2084.306
405.2766, 2104.824
405.7587, 2113.110
406.2408, 2109.780
406.7229, 2103.772
407.2050, 2101.110
407.6871, 2101.481
408.1693, 2102.928
408.6514, 2106.623
409.1335, 2109.850
409.6156, 2111.648
410.0977, 2113.228
410.5798, 2117.096
411.0620, 2123.296
411.5441, 2127.242
412.0262, 2121.862
412.5083, 2106.607
412.9904, 2096.426
413.4725, 2093.500
413.9547, 2093.499
414.4368, 2095.482
414.9189, 2098.249
415.4010, 2099.511
415.8831, 2098.681
416.3652, 2095.666
416.8474, 2086.542
417.3295, 2072.473
417.8116, 2069.686
418.2937, 2088.257
418.7758, 2114.024
419.2579, 2124.789
419.7401, 2119.421
420.2222, 2116.268
420.7043, 2125.430
421.1864, 2134.991
421.6685, 2132.238
422.1506, 2117.646
422.6328, 2099.597
423.1149, 2082.624
423.5970, 2067.913
424.0791, 2062.410
424.5612, 2073.567
425.0433, 2084.600
425.5255, 2095.226
426.0076, 2104.052
426.4897, 2109.504
426.9718, 2111.418
427.4539, 2111.401
427.9360, 2111.350
428.4182, 2111.409
428.9003, 2109.419
429.3824, 2105.802
429.8645, 2099.324
430.3466, 2083.840
430.8287, 2066.904
431.3109, 2060.908
431.7930, 2072.173
432.2751, 2090.480
432.7572, 2107.052
433.2393, 2121.523
433.7214, 2123.251
434.2036, 2103.856
434.6857, 2079.621
435.1678, 2066.160
435.6499, 2062.660
436.1320, 2067.763
436.6141, 2091.261
437.0963, 2115.789
437.5784, 2124.046
438.0605, 2118.081
438.5426, 2109.947
439.0247, 2105.458
439.5068, 2104.177
439.9890, 2105.054
440.4711, 2116.279
440.9532, 2117.301
441.4353, 2097.713
441.9174, 2074.677
442.3995, 2060.816
