##NAMES=Brianyoungite
##RRUFFID=R060431
##IDEAL CHEMISTRY=Zn^2+^_3_CO_3_(OH)_4_
##LOCALITY=Brownley Hill mine, Nenthead, Cumbria, England
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Sprays of white bladed crystals, associated with colorless tabular or prismatic gypsum.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060431
##MEASURED CHEMISTRY=EDS analysis shows the presence of Zn, with trace S.
91.53320, 3258.458
92.01532, 3242.741
92.49744, 3228.626
92.97955, 3265.423
93.46167, 3308.226
93.94379, 3318.852
94.42590, 3316.204
94.90802, 3306.171
95.39014, 3286.440
95.87225, 3255.788
96.35437, 3222.832
96.83649, 3192.565
97.31860, 3164.679
97.80072, 3138.517
98.28284, 3110.135
98.76495, 3077.552
99.24707, 3046.675
99.72919, 3016.867
100.2113, 2990.779
100.6934, 2968.701
101.1755, 2949.964
101.6577, 2933.805
102.1398, 2919.284
102.6219, 2905.994
103.1040, 2895.937
103.5861, 2889.523
104.0682, 2884.375
104.5504, 2879.055
105.0325, 2873.299
105.5146, 2867.701
105.9967, 2862.918
106.4788, 2859.351
106.9609, 2854.697
107.4431, 2847.013
107.9252, 2838.453
108.4073, 2832.216
108.8894, 2829.648
109.3715, 2828.861
109.8536, 2826.695
110.3358, 2823.079
110.8179, 2818.794
111.3000, 2813.726
111.7821, 2808.010
112.2642, 2803.073
112.7463, 2799.909
113.2285, 2797.586
113.7106, 2795.413
114.1927, 2793.521
114.6748, 2791.079
115.1569, 2786.352
115.6390, 2777.624
116.1212, 2770.969
116.6033, 2769.027
117.0854, 2769.319
117.5675, 2769.257
118.0496, 2767.344
118.5317, 2764.407
119.0139, 2764.478
119.4960, 2769.260
119.9781, 2775.671
120.4602, 2783.968
120.9423, 2793.467
121.4244, 2803.166
121.9066, 2812.321
122.3887, 2820.907
122.8708, 2829.394
123.3529, 2840.126
123.8350, 2848.876
124.3171, 2852.229
124.7993, 2850.737
125.2814, 2848.661
125.7635, 2850.204
126.2456, 2856.249
126.7277, 2862.996
127.2098, 2870.030
127.6920, 2877.875
128.1741, 2887.711
128.6562, 2900.071
129.1383, 2912.641
129.6204, 2922.141
130.1025, 2928.967
130.5847, 2935.526
131.0668, 2942.250
131.5489, 2949.347
132.0310, 2957.704
132.5131, 2968.508
132.9952, 2979.700
133.4774, 2989.448
133.9595, 2997.739
134.4416, 3005.705
134.9237, 3014.341
135.4058, 3023.801
135.8879, 3033.316
136.3701, 3041.111
136.8522, 3050.021
137.3343, 3062.135
137.8164, 3078.001
138.2985, 3095.920
138.7806, 3113.353
139.2628, 3130.608
139.7449, 3146.700
140.2270, 3162.504
140.7091, 3176.967
141.1912, 3189.434
141.6733, 3199.543
142.1555, 3207.082
142.6376, 3211.116
143.1197, 3210.696
143.6018, 3207.382
144.0839, 3199.352
144.5660, 3188.657
145.0482, 3178.080
145.5303, 3169.015
146.0124, 3161.641
146.4945, 3157.237
146.9766, 3157.415
147.4587, 3158.216
147.9409, 3159.060
148.4230, 3159.517
148.9051, 3158.190
149.3872, 3154.724
149.8693, 3148.129
150.3514, 3136.791
150.8336, 3119.898
151.3157, 3098.747
151.7978, 3074.031
152.2799, 3045.461
152.7620, 3014.423
153.2441, 2978.742
153.7263, 2941.326
154.2084, 2906.844
154.6905, 2877.198
155.1726, 2851.763
155.6547, 2829.167
156.1368, 2809.966
156.6190, 2793.124
157.1011, 2777.325
157.5832, 2762.980
158.0653, 2750.876
158.5474, 2742.395
159.0295, 2737.198
159.5117, 2730.798
159.9938, 2721.190
160.4759, 2712.266
160.9580, 2705.878
161.4401, 2701.441
161.9222, 2697.228
162.4044, 2691.346
162.8865, 2683.011
163.3686, 2677.519
163.8507, 2677.293
164.3328, 2677.554
164.8149, 2675.905
165.2971, 2672.442
165.7792, 2669.095
166.2613, 2668.271
166.7434, 2671.447
167.2255, 2672.915
167.7076, 2672.204
168.1898, 2670.432
168.6719, 2668.227
169.1540, 2665.764
169.6361, 2663.042
170.1182, 2659.923
170.6003, 2655.829
171.0825, 2653.036
171.5646, 2652.618
172.0467, 2653.200
172.5288, 2653.579
173.0109, 2653.543
173.4930, 2652.523
173.9752, 2648.926
174.4573, 2642.497
174.9394, 2636.354
175.4215, 2631.090
175.9036, 2626.732
176.3857, 2623.645
176.8679, 2622.473
177.3500, 2621.698
177.8321, 2619.273
178.3142, 2615.117
178.7963, 2610.587
179.2784, 2605.851
179.7606, 2601.067
180.2427, 2597.895
180.7248, 2597.193
181.2069, 2598.114
181.6890, 2600.619
182.1711, 2604.822
182.6533, 2608.022
183.1354, 2606.573
183.6175, 2599.629
184.0996, 2594.785
184.5817, 2595.772
185.0638, 2598.261
185.5460, 2600.289
186.0281, 2601.371
186.5102, 2601.454
186.9923, 2600.136
187.4744, 2596.533
187.9565, 2593.886
188.4387, 2592.530
188.9208, 2592.140
189.4029, 2592.709
189.8850, 2594.191
190.3671, 2596.211
190.8492, 2598.105
191.3314, 2599.725
191.8135, 2601.422
192.2956, 2603.108
192.7777, 2604.911
193.2598, 2607.414
193.7419, 2610.772
194.2241, 2613.971
194.7062, 2614.564
195.1883, 2607.770
195.6704, 2603.851
196.1525, 2604.921
196.6346, 2608.374
197.1168, 2611.244
197.5989, 2612.243
198.0810, 2611.998
198.5631, 2612.302
199.0452, 2613.974
199.5273, 2615.086
200.0095, 2614.413
200.4916, 2613.098
200.9737, 2613.322
201.4558, 2616.371
201.9379, 2620.911
202.4200, 2622.953
202.9022, 2621.206
203.3843, 2619.806
203.8664, 2620.622
204.3485, 2622.971
204.8306, 2624.990
205.3127, 2625.900
205.7949, 2625.962
206.2770, 2625.792
206.7591, 2625.176
207.2412, 2624.778
207.7233, 2625.156
208.2054, 2626.179
208.6876, 2626.996
209.1697, 2627.064
209.6518, 2626.894
210.1339, 2627.509
210.6160, 2629.451
211.0981, 2630.707
211.5803, 2628.989
212.0624, 2624.293
212.5445, 2620.281
213.0266, 2618.157
213.5087, 2617.513
213.9908, 2618.451
214.4730, 2621.294
214.9551, 2624.097
215.4372, 2624.573
215.9193, 2622.419
216.4014, 2619.882
216.8836, 2617.628
217.3657, 2615.177
217.8478, 2612.044
218.3299, 2608.120
218.8120, 2603.889
219.2941, 2599.776
219.7763, 2595.395
220.2584, 2592.456
220.7405, 2593.062
221.2226, 2593.977
221.7047, 2592.521
222.1868, 2588.054
222.6690, 2582.663
223.1511, 2579.880
223.6332, 2581.256
224.1153, 2581.715
224.5974, 2580.410
225.0795, 2578.416
225.5617, 2576.765
226.0438, 2575.669
226.5259, 2574.211
227.0080, 2570.432
227.4901, 2561.529
227.9722, 2555.638
228.4544, 2555.391
228.9365, 2556.394
229.4186, 2555.167
229.9007, 2550.789
230.3828, 2544.863
230.8649, 2540.116
231.3471, 2536.544
231.8292, 2534.415
232.3113, 2534.688
232.7934, 2535.691
233.2755, 2536.171
233.7576, 2535.746
234.2398, 2534.681
234.7219, 2533.421
235.2040, 2531.846
235.6861, 2530.207
236.1682, 2528.435
236.6503, 2526.622
237.1325, 2524.591
237.6146, 2522.349
238.0967, 2520.560
238.5788, 2520.391
239.0609, 2523.108
239.5430, 2524.472
240.0252, 2523.843
240.5073, 2522.045
240.9894, 2519.282
241.4715, 2515.608
241.9536, 2512.550
242.4357, 2512.613
242.9179, 2516.882
243.4000, 2519.438
243.8821, 2518.776
244.3642, 2516.580
244.8463, 2514.640
245.3284, 2513.317
245.8106, 2511.973
246.2927, 2509.512
246.7748, 2505.835
247.2569, 2503.430
247.7390, 2503.384
248.2211, 2504.484
248.7033, 2505.634
249.1854, 2506.788
249.6675, 2507.104
250.1496, 2504.956
250.6317, 2500.780
251.1138, 2497.748
251.5960, 2496.804
252.0781, 2497.220
252.5602, 2498.663
253.0423, 2501.439
253.5244, 2503.294
254.0065, 2500.921
254.4887, 2495.849
254.9708, 2492.309
255.4529, 2492.177
255.9350, 2493.848
256.4171, 2495.465
256.8992, 2497.150
257.3813, 2497.976
257.8635, 2496.234
258.3456, 2493.227
258.8277, 2491.132
259.3098, 2490.876
259.7919, 2491.675
260.2740, 2492.511
260.7562, 2493.386
261.2383, 2494.230
261.7204, 2495.788
262.2025, 2497.073
262.6846, 2496.416
263.1667, 2492.113
263.6489, 2487.143
264.1310, 2486.516
264.6131, 2491.514
265.0952, 2495.259
265.5773, 2492.800
266.0594, 2488.270
266.5416, 2485.548
267.0237, 2485.958
267.5058, 2487.755
267.9879, 2488.853
268.4700, 2489.289
268.9521, 2488.911
269.4343, 2486.554
269.9164, 2483.953
270.3985, 2482.539
270.8806, 2482.706
271.3627, 2483.547
271.8448, 2484.097
272.3270, 2484.392
272.8091, 2484.181
273.2912, 2482.506
273.7733, 2480.835
274.2554, 2480.133
274.7375, 2480.540
275.2197, 2481.437
275.7018, 2482.432
276.1839, 2483.686
276.6660, 2483.888
277.1481, 2481.607
277.6302, 2479.073
278.1124, 2476.924
278.5945, 2475.420
279.0766, 2475.143
279.5587, 2477.562
280.0408, 2483.276
280.5229, 2486.428
281.0051, 2484.669
281.4872, 2481.939
281.9693, 2479.126
282.4514, 2476.636
282.9335, 2475.082
283.4156, 2475.317
283.8978, 2477.393
284.3799, 2478.829
284.8620, 2479.023
285.3441, 2479.112
285.8262, 2479.539
286.3083, 2480.157
286.7905, 2480.544
287.2726, 2480.252
287.7547, 2479.416
288.2368, 2479.523
288.7189, 2482.569
289.2010, 2484.081
289.6832, 2481.111
290.1653, 2476.226
290.6474, 2473.694
291.1295, 2476.449
291.6116, 2482.594
292.0938, 2484.182
292.5759, 2477.661
293.0580, 2471.398
293.5401, 2466.633
294.0222, 2463.150
294.5043, 2461.043
294.9865, 2460.415
295.4686, 2460.372
295.9507, 2458.535
296.4328, 2453.139
296.9149, 2449.132
297.3970, 2448.116
297.8792, 2447.969
298.3613, 2446.972
298.8434, 2444.572
299.3255, 2441.226
299.8076, 2437.556
300.2897, 2433.147
300.7719, 2429.353
301.2540, 2425.776
301.7361, 2423.020
302.2182, 2422.100
302.7003, 2422.837
303.1824, 2423.481
303.6646, 2421.653
304.1467, 2416.364
304.6288, 2412.190
305.1109, 2409.915
305.5930, 2407.957
306.0751, 2405.637
306.5573, 2402.956
307.0394, 2400.249
307.5215, 2397.764
308.0036, 2395.467
308.4857, 2393.720
308.9678, 2392.919
309.4500, 2392.303
309.9321, 2391.968
310.4142, 2391.641
310.8963, 2390.757
311.3784, 2388.796
311.8605, 2386.005
312.3427, 2384.402
312.8248, 2386.015
313.3069, 2386.436
313.7890, 2383.756
314.2711, 2379.780
314.7532, 2376.923
315.2354, 2376.425
315.7175, 2377.476
316.1996, 2377.795
316.6817, 2377.311
317.1638, 2376.115
317.6459, 2373.801
318.1281, 2371.114
318.6102, 2368.478
319.0923, 2366.094
319.5744, 2364.327
320.0565, 2363.822
320.5386, 2364.865
321.0208, 2366.597
321.5029, 2370.533
321.9850, 2373.869
322.4671, 2374.454
322.9492, 2372.285
323.4313, 2369.224
323.9135, 2367.132
324.3956, 2366.027
324.8777, 2365.825
325.3598, 2367.676
325.8419, 2369.348
326.3240, 2369.601
326.8062, 2368.876
327.2883, 2368.597
327.7704, 2370.074
328.2525, 2373.146
328.7346, 2374.924
329.2167, 2374.855
329.6989, 2373.992
330.1810, 2372.161
330.6631, 2369.836
331.1452, 2367.514
331.6273, 2365.379
332.1094, 2363.708
332.5916, 2363.487
333.0737, 2365.765
333.5558, 2367.763
334.0379, 2369.562
334.5200, 2370.636
335.0021, 2369.839
335.4843, 2366.897
335.9664, 2363.829
336.4485, 2364.224
336.9306, 2369.492
337.4127, 2374.021
337.8948, 2378.485
338.3770, 2381.178
338.8591, 2380.109
339.3412, 2375.614
339.8233, 2370.544
340.3055, 2367.763
340.7876, 2367.491
341.2697, 2367.327
341.7518, 2367.142
342.2339, 2367.213
342.7160, 2368.204
343.1982, 2369.572
343.6803, 2370.024
344.1624, 2368.389
344.6445, 2365.188
345.1266, 2363.079
345.6087, 2362.686
346.0909, 2362.442
346.5730, 2362.467
347.0551, 2362.122
347.5372, 2360.367
348.0193, 2356.535
348.5014, 2351.914
348.9836, 2348.812
349.4657, 2347.556
349.9478, 2346.785
350.4299, 2347.015
350.9120, 2347.056
351.3941, 2345.672
351.8763, 2342.681
352.3584, 2339.630
352.8405, 2337.984
353.3226, 2337.747
353.8047, 2338.585
354.2868, 2342.032
354.7690, 2344.877
355.2511, 2344.052
355.7332, 2340.503
356.2153, 2338.342
356.6974, 2342.169
357.1795, 2349.848
357.6617, 2352.513
358.1438, 2348.039
358.6259, 2342.698
359.1080, 2338.961
359.5901, 2336.921
360.0722, 2337.245
360.5544, 2341.651
361.0365, 2346.792
361.5186, 2347.308
362.0007, 2342.535
362.4828, 2338.262
362.9649, 2336.824
363.4471, 2337.167
363.9292, 2338.527
364.4113, 2341.251
364.8934, 2343.077
365.3755, 2341.389
365.8576, 2336.922
366.3398, 2333.715
366.8219, 2332.689
367.3040, 2333.265
367.7861, 2335.273
368.2682, 2338.554
368.7503, 2341.344
369.2325, 2343.140
369.7146, 2343.958
370.1967, 2343.612
370.6788, 2341.956
371.1609, 2339.968
371.6430, 2338.102
372.1252, 2336.499
372.6073, 2335.665
373.0894, 2336.930
373.5715, 2337.985
374.0536, 2336.410
374.5357, 2332.683
375.0179, 2329.703
375.5000, 2329.167
375.9821, 2330.016
376.4642, 2329.782
376.9463, 2328.501
377.4284, 2326.316
377.9106, 2322.753
378.3927, 2318.438
378.8748, 2314.324
379.3569, 2310.630
379.8390, 2307.477
380.3211, 2305.195
380.8033, 2304.030
381.2854, 2302.320
381.7675, 2300.357
382.2496, 2297.535
382.7317, 2292.451
383.2138, 2285.505
383.6960, 2279.570
384.1781, 2276.977
384.6602, 2277.460
385.1423, 2276.888
385.6244, 2274.476
386.1065, 2272.065
386.5887, 2270.404
387.0708, 2269.116
387.5529, 2267.551
388.0350, 2265.420
388.5171, 2262.844
388.9992, 2260.051
389.4814, 2256.343
389.9635, 2253.580
390.4456, 2252.646
390.9277, 2252.069
391.4098, 2250.498
391.8919, 2247.865
392.3741, 2245.200
392.8562, 2243.659
393.3383, 2243.477
393.8204, 2242.652
