##NAMES=Skutterudite
##RRUFFID=R070528
##IDEAL CHEMISTRY=Co^3+^As_3_
##LOCALITY=Cobalt, Coleman Township, Timiskamig County, Ontario, Canada
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Silver-grey metallic massive and radiating prismatic crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070528
##MEASURED CHEMISTRY=(Co_0.82_Fe_0.12_Ni_0.09_)_Σ=1.03_(As_2.99_S_0.01_)_Σ=3.00_ ; (Note: dark phase is lollingite, (Fe_0.69_Co_0.23_Ni_0.11_)_Σ=1.03_(As_1.98_S_0.01_)_Σ=2.00_) Bright spots are native bismuth
173.5295, 36.56945
174.0116, 36.05096
174.4937, 35.98370
174.9758, 36.36596
175.4579, 36.87848
175.9401, 37.48512
176.4222, 38.10936
176.9043, 38.69709
177.3864, 39.28230
177.8685, 39.72959
178.3506, 39.81899
178.8328, 39.45311
179.3149, 39.07214
179.7970, 38.76786
180.2791, 38.54259
180.7612, 38.43912
181.2433, 38.49117
181.7255, 38.59823
182.2076, 38.49625
182.6897, 37.90455
183.1718, 37.64273
183.6539, 38.09239
184.1360, 38.80927
184.6181, 39.34037
185.1003, 39.46311
185.5824, 39.28154
186.0645, 39.16079
186.5466, 39.12231
187.0287, 39.12851
187.5108, 39.26635
187.9930, 39.42146
188.4751, 39.41940
188.9572, 39.15144
189.4393, 38.69294
189.9214, 38.47271
190.4035, 38.80211
190.8857, 39.02442
191.3678, 38.91638
191.8499, 38.62611
192.3320, 38.40558
192.8141, 38.40190
193.2962, 38.60005
193.7784, 38.90269
194.2605, 39.34566
194.7426, 39.82477
195.2247, 40.39108
195.7068, 40.98182
196.1889, 41.42022
196.6711, 41.57242
197.1532, 41.48645
197.6353, 41.46009
198.1174, 41.68798
198.5995, 41.79519
199.0816, 41.41965
199.5638, 40.64648
200.0459, 40.06249
200.5280, 40.08167
201.0101, 40.53888
201.4922, 40.87001
201.9743, 41.08848
202.4565, 41.14587
202.9386, 40.90794
203.4207, 40.36391
203.9028, 39.89718
204.3849, 39.74031
204.8670, 39.79000
205.3492, 39.92144
205.8313, 40.16951
206.3134, 40.41850
206.7955, 40.54794
207.2776, 40.56621
207.7597, 40.42274
208.2419, 39.88029
208.7240, 39.24199
209.2061, 38.83113
209.6882, 38.80119
210.1703, 38.93731
210.6524, 38.88422
211.1346, 38.61957
211.6167, 38.21007
212.0988, 37.49125
212.5809, 36.73411
213.0630, 36.21007
213.5451, 36.04255
214.0273, 36.11074
214.5094, 36.17305
214.9915, 36.31691
215.4736, 36.27594
215.9557, 35.88988
216.4378, 35.37760
216.9200, 34.94843
217.4021, 34.69785
217.8842, 34.57430
218.3663, 34.44807
218.8484, 34.39809
219.3305, 34.21756
219.8127, 33.75341
220.2948, 33.20985
220.7769, 32.78759
221.2590, 32.57790
221.7411, 32.54792
222.2232, 32.60268
222.7054, 32.81947
223.1875, 33.03788
223.6696, 33.34783
224.1517, 33.62106
224.6338, 33.62844
225.1159, 33.26426
225.5980, 32.74430
226.0802, 32.70223
226.5623, 33.91033
227.0444, 34.68249
227.5265, 34.64668
228.0086, 34.17805
228.4907, 33.71693
228.9729, 33.44322
229.4550, 33.31914
229.9371, 33.25861
230.4192, 33.21590
230.9013, 33.29806
231.3834, 33.75608
231.8656, 34.29815
232.3477, 34.36829
232.8298, 33.67920
233.3119, 32.72898
233.7940, 32.70408
234.2761, 33.91951
234.7583, 35.03811
235.2404, 35.57655
235.7225, 35.82405
236.2046, 36.38552
236.6867, 37.57503
237.1688, 38.86060
237.6510, 39.20298
238.1331, 38.50978
238.6152, 37.82804
239.0973, 37.53750
239.5794, 37.50202
240.0615, 37.44162
240.5437, 37.28593
241.0258, 37.07435
241.5079, 36.79804
241.9900, 36.44442
242.4721, 36.26149
242.9542, 36.43651
243.4364, 36.86267
243.9185, 37.29174
244.4006, 37.72095
244.8827, 38.05406
245.3648, 38.16386
245.8469, 38.07878
246.3290, 37.97930
246.8112, 38.00305
247.2933, 38.08525
247.7754, 38.01482
248.2575, 37.71644
248.7396, 37.33728
249.2217, 36.95811
249.7039, 36.59040
250.1860, 36.28366
250.6681, 36.07078
251.1502, 35.94162
251.6323, 35.88461
252.1144, 36.00990
252.5966, 36.01626
253.0787, 35.67096
253.5608, 35.08995
254.0429, 34.52375
254.5250, 34.08776
255.0071, 33.77748
255.4893, 33.59657
255.9714, 33.65657
256.4535, 33.66698
256.9356, 33.52668
257.4177, 33.25728
257.8998, 32.86317
258.3820, 32.26017
258.8641, 31.57546
259.3462, 31.31323
259.8283, 31.83553
260.3104, 32.18559
260.7925, 31.94782
261.2747, 31.41095
261.7568, 30.92969
262.2389, 30.65746
262.7210, 30.58601
263.2031, 30.73987
263.6852, 31.40900
264.1674, 31.79055
264.6495, 31.54098
265.1316, 31.02116
265.6137, 30.61243
266.0958, 30.48178
266.5779, 30.51864
267.0601, 30.47114
267.5422, 30.33253
268.0243, 30.10813
268.5064, 29.61422
268.9885, 29.14446
269.4706, 28.99630
269.9528, 29.26791
270.4349, 29.77451
270.9170, 30.18633
271.3991, 30.53103
271.8812, 30.70042
272.3633, 30.61050
272.8455, 30.42603
273.3276, 30.22126
273.8097, 30.03408
274.2918, 29.92901
274.7739, 30.03742
275.2560, 30.55905
275.7382, 30.86259
276.2202, 30.87754
276.7024, 30.77796
277.1845, 30.66521
277.6666, 30.55664
278.1487, 30.40763
278.6308, 30.13095
279.1129, 29.60189
279.5951, 29.39760
280.0772, 29.73106
280.5593, 30.14191
281.0414, 30.43362
281.5235, 30.57773
282.0056, 30.61061
282.4878, 30.54718
282.9699, 30.35501
283.4520, 30.30809
283.9341, 30.58030
284.4162, 30.80837
284.8983, 30.81897
285.3805, 30.65529
285.8626, 30.45926
286.3447, 30.33598
286.8268, 30.28508
287.3089, 30.25695
287.7910, 30.25621
288.2732, 30.27106
288.7553, 30.30690
289.2374, 30.35573
289.7195, 30.38342
290.2016, 30.35832
290.6837, 30.31754
291.1659, 30.48186
291.6480, 31.28980
292.1301, 31.78794
292.6122, 31.61193
293.0943, 31.08385
293.5764, 30.62667
294.0586, 30.42932
294.5407, 30.45281
295.0228, 30.59280
295.5049, 31.17483
295.9870, 31.46879
296.4691, 31.23619
296.9513, 30.79469
297.4334, 30.48656
297.9155, 30.42236
298.3976, 30.46616
298.8797, 30.38157
299.3618, 29.98143
299.8440, 29.82263
300.3261, 30.08342
300.8082, 30.46869
301.2903, 30.79461
301.7724, 31.00569
302.2545, 31.06315
302.7367, 30.87946
303.2188, 30.31318
303.7009, 30.10051
304.1830, 30.57095
304.6651, 31.09150
305.1472, 31.25671
305.6294, 31.07050
306.1115, 30.77650
306.5936, 30.57155
307.0757, 30.45943
307.5578, 30.38131
308.0399, 30.34583
308.5221, 30.32849
309.0042, 30.33116
309.4863, 30.34462
309.9684, 30.34881
310.4505, 30.33045
310.9326, 30.29240
311.4148, 30.25418
311.8969, 30.16786
312.3790, 30.13545
312.8611, 30.19440
313.3432, 30.32111
313.8253, 30.49078
314.3075, 30.69581
314.7896, 30.91117
315.2717, 31.07716
315.7538, 31.35109
316.2359, 31.34355
316.7180, 30.67406
317.2001, 29.86045
317.6823, 29.53630
318.1644, 29.87306
318.6465, 30.47327
319.1286, 30.74688
319.6107, 30.52983
320.0928, 30.33446
320.5750, 30.21414
321.0571, 30.07737
321.5392, 29.76900
322.0213, 29.31523
322.5034, 28.97713
322.9855, 29.04514
323.4677, 29.60045
323.9498, 29.98927
324.4319, 30.16166
324.9140, 30.24396
325.3961, 30.32546
325.8782, 30.37778
326.3604, 30.27267
326.8425, 29.88293
327.3246, 29.25779
327.8067, 28.96059
328.2888, 29.28425
328.7709, 29.55372
329.2531, 29.55184
329.7352, 29.39129
330.2173, 29.26825
330.6994, 29.27729
331.1815, 29.36536
331.6636, 29.38874
332.1458, 29.30252
332.6279, 29.20230
333.1100, 29.03900
333.5921, 28.88895
334.0742, 28.86374
334.5563, 28.98381
335.0385, 29.12068
335.5206, 29.07306
336.0027, 28.70254
336.4848, 28.50770
336.9669, 28.61992
337.4490, 28.78252
337.9312, 28.83616
338.4133, 28.77123
338.8954, 28.65969
339.3775, 28.56226
339.8596, 28.47664
340.3417, 28.43365
340.8239, 28.59228
341.3060, 28.62600
341.7881, 28.28464
342.2702, 27.73364
342.7523, 27.29722
343.2344, 27.17279
343.7166, 27.32996
344.1987, 27.62533
344.6808, 28.38659
345.1629, 28.90789
345.6450, 29.02878
346.1271, 28.91342
346.6093, 28.69717
347.0914, 28.44079
347.5735, 28.20246
348.0556, 28.11951
348.5377, 28.41679
349.0198, 28.44976
349.5020, 28.02615
349.9841, 27.52039
350.4662, 27.16237
350.9483, 26.99058
351.4304, 26.93271
351.9125, 26.92536
352.3947, 26.98005
352.8768, 27.00821
353.3589, 26.94963
353.8410, 26.92417
354.3231, 27.00199
354.8052, 27.14579
355.2874, 27.28113
355.7695, 27.36269
356.2516, 27.38828
356.7337, 27.33794
357.2158, 27.07897
357.6979, 26.92919
358.1800, 27.01383
358.6621, 27.19987
359.1443, 27.32434
359.6264, 27.32586
360.1085, 27.30307
360.5906, 27.46471
361.0727, 27.93784
361.5548, 28.26053
362.0370, 28.40225
362.5191, 28.38058
363.0012, 28.13734
363.4833, 27.70109
363.9654, 27.22919
364.4475, 26.84398
364.9297, 26.54086
365.4118, 26.40811
365.8939, 26.59395
366.3760, 26.79777
366.8581, 26.41782
367.3402, 26.72365
367.8224, 26.30460
368.3045, 26.90560
368.7866, 27.21418
369.2687, 27.24603
369.7508, 26.17237
370.2329, 26.52625
370.7151, 26.30803
371.1972, 26.06636
371.6793, 26.62117
372.1614, 26.02107
372.6435, 26.01381
373.1256, 26.23153
373.6078, 26.70194
374.0899, 26.98518
374.5720, 26.81949
375.0541, 26.58368
375.5362, 26.57252
376.0183, 26.77508
376.5005, 26.98767
376.9826, 27.07997
377.4647, 27.07552
377.9468, 27.07475
378.4289, 27.11674
378.9110, 27.08551
379.3932, 26.80038
379.8753, 26.39549
380.3574, 26.13540
380.8395, 26.15067
381.3216, 26.30200
381.8037, 26.49277
382.2859, 26.72822
382.7680, 26.76464
383.2501, 26.35408
383.7322, 25.77113
384.2143, 25.43400
384.6964, 25.36925
385.1786, 25.49070
385.6607, 25.93144
386.1428, 26.52611
386.6249, 26.80740
387.1070, 26.61912
387.5891, 26.22923
388.0713, 25.86178
388.5534, 25.51752
389.0355, 25.35909
389.5176, 25.59716
389.9997, 25.92571
390.4818, 25.98279
390.9640, 25.76956
391.4461, 25.63617
391.9282, 25.86824
392.4103, 26.37448
392.8924, 26.64525
393.3745, 26.53893
393.8567, 26.37515
394.3388, 26.25411
394.8209, 26.16576
395.3030, 26.08223
395.7851, 25.98784
396.2672, 25.92298
396.7494, 25.97299
397.2315, 26.23108
397.7136, 26.37661
398.1957, 26.32825
398.6778, 26.20849
399.1599, 26.10951
399.6420, 26.04376
400.1241, 25.97437
400.6063, 25.85198
401.0884, 25.66940
401.5705, 25.68219
402.0526, 26.13828
402.5347, 26.48794
403.0168, 26.47729
403.4990, 26.26671
403.9811, 26.14044
404.4632, 26.23709
404.9453, 26.44101
405.4274, 26.46433
405.9095, 26.16111
406.3917, 25.91754
406.8738, 25.72982
407.3559, 25.61063
407.8380, 25.60667
408.3201, 25.69893
408.8022, 25.78278
409.2844, 25.73136
409.7665, 25.52827
410.2486, 25.46141
410.7307, 25.72685
411.2128, 25.91731
411.6949, 25.82481
412.1771, 25.59631
412.6592, 25.49243
413.1413, 25.66276
413.6234, 25.95416
414.1055, 25.98765
414.5876, 25.61230
415.0698, 25.44235
415.5519, 25.96824
416.0340, 26.51838
416.5161, 26.54667
416.9982, 26.01764
417.4803, 25.45607
417.9625, 25.33566
418.4446, 25.59228
418.9267, 25.78776
419.4088, 25.89721
419.8909, 25.93213
420.3730, 25.81219
420.8552, 25.63203
421.3373, 25.60673
421.8194, 25.93396
422.3015, 26.31635
422.7836, 26.37138
423.2657, 26.10238
423.7479, 25.79972
424.2300, 25.56967
424.7121, 25.37292
425.1942, 25.09178
425.6763, 24.66498
426.1584, 24.45904
426.6406, 24.87428
427.1227, 25.54393
427.6048, 25.76740
428.0869, 25.40101
428.5690, 24.98494
429.0511, 25.03632
429.5333, 25.56282
430.0154, 25.93427
430.4975, 26.11329
430.9796, 26.17039
431.4617, 26.07116
431.9438, 25.87774
432.4260, 25.76842
432.9081, 25.84665
433.3902, 25.98120
433.8723, 25.85120
434.3544, 25.20116
434.8365, 24.70487
435.3187, 24.42130
435.8008, 24.27417
436.2829, 24.22692
436.7650, 24.26110
437.2471, 24.35199
437.7292, 24.48726
438.2114, 24.67030
438.6935, 24.77999
439.1756, 24.72620
439.6577, 24.69887
440.1398, 24.75741
440.6219, 24.86278
441.1040, 24.97422
441.5862, 25.07387
442.0683, 25.13658
442.5504, 25.09216
443.0325, 24.87336
443.5146, 24.75502
443.9967, 24.86372
444.4789, 24.99265
444.9610, 24.98331
445.4431, 24.88203
445.9252, 24.89444
446.4073, 25.27233
446.8894, 25.86550
447.3716, 26.07300
447.8537, 25.79139
448.3358, 25.37864
448.8179, 24.82721
449.3000, 24.29711
449.7821, 23.96749
450.2643, 23.88229
450.7464, 23.96390
