##NAMES=Rheniite
##RRUFFID=R050362
##IDEAL CHEMISTRY=ReS_2_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Chain, Russia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Bright, shiney metallic crystals associated with anhydrite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R050362
174.601, 825.042
175.083, 799.822
175.565, 778.549
176.047, 766.588
176.529, 760.761
177.012, 757.182
177.494, 755.395
177.976, 754.870
178.458, 756.050
178.940, 758.846
179.422, 759.512
179.904, 754.476
180.386, 747.479
180.868, 746.085
181.350, 753.335
181.833, 759.350
182.315, 747.546
182.797, 720.367
183.279, 701.450
183.761, 701.325
184.243, 712.717
184.725, 725.929
185.207, 741.037
185.690, 752.583
186.172, 750.083
186.654, 736.062
187.136, 727.034
187.618, 734.471
188.100, 748.496
188.582, 750.547
189.064, 734.877
189.546, 717.034
190.029, 714.190
190.511, 723.437
190.993, 733.317
191.475, 744.226
191.957, 752.478
192.439, 749.205
192.921, 729.994
193.403, 709.930
193.885, 704.328
194.368, 710.235
194.850, 718.442
195.332, 728.178
195.814, 737.853
196.296, 744.981
196.778, 749.383
197.260, 751.132
197.742, 745.424
198.225, 735.428
198.707, 734.312
199.189, 754.409
199.671, 783.300
200.153, 799.777
200.635, 799.491
201.117, 796.861
201.599, 806.658
202.081, 824.516
202.564, 838.154
203.046, 839.117
203.528, 835.649
204.010, 839.706
204.492, 852.471
204.974, 870.328
205.456, 893.885
205.939, 920.783
206.421, 944.648
206.903, 958.740
207.385, 971.241
207.867, 993.381
208.349, 1026.295
208.831, 1064.654
209.313, 1119.192
209.795, 1176.991
210.277, 1202.045
210.760, 1175.178
211.242, 1117.962
211.724, 1046.781
212.206, 959.442
212.688, 881.706
213.170, 834.606
213.652, 810.512
214.134, 791.965
214.617, 777.606
215.099, 766.775
215.581, 760.620
216.063, 759.321
216.545, 756.784
217.027, 747.668
217.509, 735.214
217.991, 726.684
218.473, 721.250
218.956, 721.499
219.438, 733.256
219.920, 755.833
220.402, 774.943
220.884, 780.350
221.366, 778.443
221.848, 784.583
222.330, 803.164
222.812, 824.791
223.295, 843.627
223.777, 859.966
224.259, 875.376
224.741, 888.447
225.223, 902.833
225.705, 925.752
226.187, 960.520
226.669, 997.589
227.152, 1030.996
227.634, 1061.832
228.116, 1094.561
228.598, 1130.488
229.080, 1169.627
229.562, 1210.285
230.044, 1249.817
230.526, 1297.008
231.008, 1360.064
231.491, 1433.788
231.973, 1515.368
232.455, 1617.552
232.937, 1700.376
233.419, 1683.794
233.901, 1558.570
234.383, 1413.872
234.865, 1257.839
235.348, 1105.074
235.830, 979.275
236.312, 886.972
236.794, 822.217
237.276, 781.649
237.758, 767.157
238.240, 757.663
238.722, 750.447
239.204, 745.566
239.687, 743.858
240.169, 745.611
240.651, 748.404
241.133, 749.660
241.615, 749.241
242.097, 747.824
242.579, 744.890
243.061, 741.318
243.544, 736.707
244.026, 731.297
244.508, 728.431
244.990, 731.910
245.472, 742.901
245.954, 751.408
246.436, 753.744
246.918, 756.546
247.400, 767.705
247.883, 785.303
248.365, 797.160
248.847, 792.226
249.329, 770.552
249.811, 758.004
250.293, 761.839
250.775, 766.316
251.257, 761.894
251.740, 751.943
252.222, 746.959
252.704, 754.384
253.186, 772.072
253.668, 783.014
254.150, 782.213
254.632, 781.287
255.114, 784.219
255.596, 788.740
256.079, 790.520
256.561, 787.223
257.043, 780.654
257.525, 776.577
258.007, 773.532
258.489, 775.108
258.971, 788.753
259.453, 804.272
259.935, 807.993
260.418, 795.297
260.900, 776.362
261.382, 771.400
261.864, 797.078
262.346, 810.670
262.828, 800.839
263.310, 787.167
263.792, 785.761
264.275, 799.398
264.757, 818.108
265.239, 828.830
265.721, 828.711
266.203, 828.454
266.685, 826.597
267.167, 825.815
267.649, 826.815
268.132, 830.069
268.614, 836.458
269.096, 847.401
269.578, 863.469
270.060, 878.417
270.542, 893.717
271.024, 906.385
271.506, 911.945
271.988, 913.961
272.471, 920.172
272.953, 936.888
273.435, 962.200
273.917, 984.647
274.399, 1003.744
274.881, 1020.083
275.363, 1034.171
275.845, 1045.900
276.328, 1054.930
276.810, 1060.840
277.292, 1064.583
277.774, 1066.965
278.256, 1065.042
278.738, 1069.810
279.220, 1096.014
279.702, 1124.568
280.184, 1138.828
280.667, 1134.028
281.149, 1115.370
281.631, 1086.009
282.113, 1045.018
282.595, 1003.612
283.077, 958.992
283.559, 919.363
284.041, 892.097
284.523, 878.082
285.006, 869.509
285.488, 860.427
285.970, 851.830
286.452, 850.307
286.934, 860.869
287.416, 872.505
287.898, 874.086
288.380, 867.132
288.862, 860.652
289.345, 858.858
289.827, 859.690
290.309, 860.805
290.791, 862.647
291.273, 860.845
291.755, 846.043
292.237, 823.174
292.720, 814.549
293.202, 832.272
293.684, 858.761
294.166, 883.265
294.648, 904.816
295.130, 917.365
295.612, 914.490
296.094, 900.654
296.576, 895.118
297.059, 901.560
297.541, 911.266
298.023, 919.351
298.505, 928.276
298.987, 944.596
299.469, 972.094
299.951, 1004.942
300.433, 1029.676
300.915, 1039.165
301.398, 1053.429
301.880, 1076.160
302.362, 1103.754
302.844, 1134.989
303.326, 1168.860
303.808, 1199.965
304.290, 1221.225
304.772, 1229.441
305.254, 1236.505
305.737, 1246.424
306.219, 1252.057
306.701, 1248.350
307.183, 1236.216
307.665, 1220.599
308.147, 1206.110
308.629, 1192.698
309.111, 1172.163
309.594, 1127.959
310.076, 1093.707
310.558, 1081.911
311.040, 1084.264
311.522, 1087.480
312.004, 1084.639
312.486, 1077.834
312.968, 1071.915
313.451, 1061.278
313.933, 1063.256
314.415, 1089.965
314.897, 1123.738
315.379, 1150.219
315.861, 1165.408
316.343, 1173.086
316.825, 1175.560
317.307, 1171.807
317.789, 1172.380
318.272, 1179.684
318.754, 1191.498
319.236, 1208.193
319.718, 1228.886
320.200, 1248.553
320.682, 1269.278
321.164, 1286.944
321.647, 1283.663
322.129, 1251.497
322.611, 1213.783
323.093, 1186.486
323.575, 1165.908
324.057, 1144.384
324.539, 1121.687
325.021, 1095.683
