##NAMES=Hisingerite
##RRUFFID=R070695
##IDEAL CHEMISTRY=Fe^3+^_2_Si_2_O_5_(OH)_4_&#183;2H_2_O
##LOCALITY=Zinc Consolidated mine, Broken Hill, New South Wales, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Black to dark-brown, translucent amorphous fragments
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070695
222.4390, 741131.5
222.9211, 741217.6
223.4032, 741012.6
223.8854, 740542.1
224.3675, 740401.4
224.8496, 740993.1
225.3317, 741617.9
225.8138, 741699.1
226.2959, 741231.1
226.7781, 740694.4
227.2602, 740481.2
227.7423, 740564.2
228.2244, 740556.7
228.7065, 740216.1
229.1886, 739905.6
229.6708, 740055.0
230.1529, 740709.8
230.6350, 741384.3
231.1171, 741689.6
231.5992, 741666.7
232.0813, 741520.4
232.5635, 741063.8
233.0456, 740598.8
233.5277, 740587.9
234.0098, 741137.8
234.4919, 741665.9
234.9740, 741566.3
235.4562, 741040.2
235.9383, 740652.0
236.4204, 740628.1
236.9025, 740798.1
237.3846, 740918.8
237.8667, 740973.2
238.3489, 741001.5
238.8310, 741046.4
239.3131, 741092.8
239.7952, 741093.0
240.2773, 740941.7
240.7594, 740751.8
241.2416, 740770.1
241.7237, 741086.0
242.2058, 741397.3
242.6879, 741459.8
243.1700, 741352.8
243.6521, 741245.6
244.1343, 741208.3
244.6164, 741217.1
245.0985, 741222.6
245.5806, 741229.5
246.0627, 741215.8
246.5448, 741120.9
247.0270, 740991.9
247.5091, 740938.6
247.9912, 741144.6
248.4733, 741469.7
248.9554, 741431.3
249.4375, 740767.9
249.9197, 740235.3
250.4018, 740431.4
250.8839, 741065.2
251.3660, 741534.4
251.8481, 741402.4
252.3302, 740862.1
252.8124, 740580.1
253.2945, 740686.8
253.7766, 740852.1
254.2587, 740906.3
254.7408, 740890.2
255.2229, 740883.1
255.7051, 740964.3
256.1872, 741089.7
256.6693, 741064.0
257.1514, 740742.9
257.6335, 740501.4
258.1157, 740568.4
258.5978, 740815.4
259.0799, 740999.5
259.5620, 740935.5
260.0441, 740701.6
260.5262, 740631.6
261.0084, 740840.9
261.4905, 741035.1
261.9726, 741032.5
262.4547, 740936.0
262.9368, 740930.8
263.4189, 741166.9
263.9011, 741563.9
264.3832, 741773.2
264.8653, 741633.9
265.3474, 741554.1
265.8295, 741799.7
266.3116, 742182.7
266.7938, 742399.8
267.2759, 742255.3
267.7580, 741840.9
268.2401, 741481.8
268.7222, 741149.7
269.2043, 740942.8
269.6865, 740990.8
270.1686, 741147.9
270.6507, 741187.9
271.1328, 740948.2
271.6149, 740550.9
272.0970, 740422.4
272.5792, 740720.5
273.0613, 741043.9
273.5434, 741304.3
274.0255, 741500.4
274.5076, 741622.1
274.9897, 741652.7
275.4719, 741617.6
275.9540, 741585.8
276.4361, 741529.3
276.9182, 741522.8
277.4003, 741572.4
277.8824, 741675.7
278.3646, 741868.6
278.8467, 742199.3
279.3288, 742542.8
279.8109, 742558.4
280.2930, 742024.9
280.7751, 741586.9
281.2573, 741408.8
281.7394, 741385.8
282.2215, 741411.6
282.7036, 741442.3
283.1857, 741518.4
283.6678, 741762.4
284.1500, 742330.6
284.6321, 742713.8
285.1142, 742702.4
285.5963, 742534.4
286.0784, 742405.1
286.5605, 742380.1
287.0427, 742416.5
287.5248, 742442.4
288.0069, 742443.7
288.4890, 742459.0
288.9711, 742510.6
289.4532, 742564.9
289.9354, 742585.4
290.4175, 742562.7
290.8996, 742541.8
291.3817, 742585.6
291.8638, 742700.7
292.3459, 742872.7
292.8281, 743301.0
293.3102, 743659.6
293.7923, 743662.6
294.2744, 743273.5
294.7565, 742796.1
295.2386, 742621.4
295.7208, 742823.7
296.2029, 742984.5
296.6850, 743030.3
297.1671, 743036.1
297.6492, 742994.9
298.1313, 742922.7
298.6135, 742910.9
299.0956, 743136.7
299.5777, 743656.4
300.0598, 743899.3
300.5419, 743482.2
301.0240, 743038.1
301.5062, 742878.6
301.9883, 742994.6
302.4704, 743185.6
302.9525, 743299.7
303.4346, 743336.2
303.9167, 743326.6
304.3989, 743203.9
304.8810, 743110.3
305.3631, 743130.6
305.8452, 743243.8
306.3273, 743370.7
306.8094, 743498.4
307.2916, 743614.0
307.7737, 743551.9
308.2558, 743106.0
308.7379, 742762.9
309.2200, 742791.1
309.7021, 743077.8
310.1843, 743379.6
310.6664, 743567.5
311.1485, 743657.8
311.6306, 743689.4
312.1127, 743590.4
312.5948, 743563.4
313.0770, 743802.6
313.5591, 744146.6
314.0412, 744327.9
314.5233, 744157.6
315.0054, 743813.5
315.4875, 743693.2
315.9697, 743893.3
316.4518, 744052.0
316.9339, 743924.1
317.4160, 743697.8
317.8981, 743599.5
318.3802, 743746.9
318.8624, 743968.3
319.3445, 743997.1
319.8266, 743792.8
320.3087, 743637.8
320.7908, 743730.2
321.2729, 743885.8
321.7551, 743919.3
322.2372, 743778.1
322.7193, 743581.3
323.2014, 743404.2
323.6835, 743247.9
324.1656, 743236.1
324.6478, 743562.8
325.1299, 743929.3
325.6120, 743993.0
326.0941, 743697.3
326.5762, 743383.3
327.0583, 743309.1
327.5405, 743435.1
328.0226, 743546.4
328.5047, 743595.9
328.9868, 743611.7
329.4689, 743607.4
329.9510, 743581.3
330.4332, 743598.4
330.9153, 743741.3
331.3974, 743947.2
331.8795, 744049.8
332.3616, 743995.7
332.8438, 743904.4
333.3259, 743878.9
333.8080, 743911.0
334.2901, 743993.6
334.7722, 744135.1
335.2544, 744323.2
335.7365, 744586.2
336.2186, 744943.4
336.7007, 745221.6
337.1828, 745257.6
337.6649, 745081.3
338.1471, 744857.2
338.6292, 744498.8
339.1113, 744173.3
339.5934, 744028.8
340.0755, 744062.1
340.5576, 744196.7
341.0398, 744423.3
341.5219, 744708.6
342.0040, 744905.8
342.4861, 744890.4
342.9682, 744907.3
343.4503, 745138.6
343.9325, 745508.7
344.4146, 745783.3
344.8967, 745831.7
345.3788, 745733.2
345.8609, 745741.0
346.3430, 745936.0
346.8252, 746077.0
347.3073, 746027.7
347.7894, 745901.1
348.2715, 745896.6
348.7536, 746090.0
349.2357, 746354.4
349.7179, 746466.9
350.2000, 746377.2
350.6821, 746234.1
351.1642, 745953.0
351.6463, 745679.3
352.1284, 745570.4
352.6106, 745650.4
353.0927, 745806.8
353.5748, 745928.3
354.0569, 746058.4
354.5390, 745967.5
355.0211, 745431.8
355.5033, 744901.4
355.9854, 744659.5
356.4675, 744680.8
356.9496, 744749.9
357.4317, 744670.3
357.9138, 744433.6
358.3960, 744447.1
358.8781, 744980.8
359.3602, 745461.1
359.8423, 745673.4
360.3244, 745715.1
360.8065, 745786.4
361.2887, 746012.3
361.7708, 746328.1
362.2529, 746468.3
362.7350, 746254.2
363.2171, 746089.0
363.6992, 746051.6
364.1814, 746071.6
364.6635, 746035.6
365.1456, 745904.1
365.6277, 745810.6
366.1098, 746059.8
366.5919, 746910.8
367.0741, 747437.2
367.5562, 747354.8
368.0383, 747083.9
368.5204, 746836.3
369.0025, 746661.9
369.4846, 746559.5
369.9668, 746587.9
370.4489, 746772.1
370.9310, 746758.3
371.4131, 746330.6
371.8952, 745900.5
372.3773, 745668.4
372.8595, 745609.0
373.3416, 745606.4
373.8237, 745570.6
374.3058, 745530.4
374.7879, 745627.8
375.2701, 745950.9
375.7522, 746222.6
376.2343, 746269.3
376.7164, 746177.1
377.1985, 746073.8
377.6806, 746005.6
378.1628, 745939.8
378.6449, 745776.9
379.1270, 745498.9
379.6091, 745396.5
380.0912, 745746.4
380.5733, 746266.6
381.0555, 746525.8
381.5376, 746427.7
382.0197, 746256.1
382.5018, 746179.1
382.9839, 746177.3
383.4660, 746174.8
383.9482, 746137.8
384.4303, 746115.8
384.9124, 746196.1
385.3945, 746382.4
385.8766, 746564.3
386.3587, 746778.6
386.8409, 746941.6
387.3230, 746872.9
387.8051, 746543.1
388.2872, 746272.4
388.7693, 746421.4
389.2514, 747045.1
389.7336, 747326.4
390.2157, 746966.5
390.6978, 746534.1
391.1799, 746378.5
391.6620, 746456.3
392.1441, 746538.5
392.6263, 746475.7
393.1084, 746304.4
393.5905, 746258.7
394.0726, 746410.8
394.5547, 746594.1
395.0368, 746862.8
395.5190, 747121.0
396.0011, 747202.4
396.4832, 747048.8
396.9653, 746816.3
397.4474, 746831.6
397.9295, 747443.0
398.4117, 747662.1
398.8938, 747097.0
399.3759, 746488.2
399.8580, 746405.1
400.3401, 746850.7
400.8222, 747383.5
401.3044, 747539.6
401.7865, 747279.3
402.2686, 747121.3
402.7507, 747147.9
403.2328, 747200.5
403.7149, 747191.3
404.1971, 747168.3
404.6792, 747233.1
405.1613, 747452.9
405.6434, 747784.0
406.1255, 748115.3
406.6076, 748445.3
407.0898, 748766.2
407.5719, 749058.0
408.0540, 749339.6
408.5361, 749664.4
409.0182, 750076.1
409.5003, 750374.9
409.9825, 750213.8
410.4646, 749634.7
410.9467, 749418.0
411.4288, 750018.4
411.9109, 750720.1
412.3930, 750652.3
412.8752, 749839.6
413.3573, 749252.6
413.8394, 749563.3
414.3215, 750287.3
414.8036, 750571.6
415.2857, 750288.4
415.7679, 749921.6
416.2500, 749867.3
416.7321, 750096.5
417.2142, 750245.8
417.6963, 750138.3
418.1784, 750089.2
418.6606, 750371.2
419.1427, 750885.3
419.6248, 751318.4
420.1069, 751510.3
420.5890, 751511.1
421.0711, 751469.8
421.5533, 751258.1
422.0354, 751175.4
422.5175, 751525.1
422.9996, 751887.3
423.4817, 751666.3
423.9638, 750777.5
424.4460, 749829.0
424.9281, 749635.2
425.4102, 750472.4
425.8923, 751083.4
426.3744, 751331.0
426.8565, 751527.8
427.3387, 751898.2
427.8208, 752347.3
428.3029, 752592.8
428.7850, 752398.5
429.2671, 751870.6
429.7492, 751550.1
430.2314, 751523.1
430.7135, 751566.9
431.1956, 751663.4
431.6777, 751764.3
432.1598, 751789.1
432.6420, 751700.4
433.1241, 751629.8
433.6062, 751871.8
434.0883, 752462.3
434.5704, 752573.1
435.0526, 751587.8
435.5347, 750555.1
436.0168, 750425.9
436.4989, 751118.1
436.9810, 751721.3
437.4631, 751604.1
437.9453, 751145.1
438.4274, 751130.8
438.9095, 751688.3
439.3916, 752209.0
439.8737, 752254.3
440.3558, 751919.7
440.8380, 751615.6
441.3201, 751251.8
441.8022, 751040.8
442.2843, 751247.6
442.7664, 751710.3
443.2485, 751948.1
443.7307, 751726.1
444.2128, 751340.6
444.6949, 751397.9
445.1770, 752254.8
445.6591, 752818.8
446.1412, 752805.9
446.6234, 752626.6
447.1055, 752676.8
447.5876, 752957.5
