##NAMES=Obradovicite-KCu
##RRUFFID=R100015
##IDEAL CHEMISTRY=[K_2_(H_2_O)_17_Cu^2+^(H_2_O)_6_][Mo^6+^_8_As^5+^_2_Fe^3+^_3_O_34_(OH)_3_]
##LOCALITY=Chuquicamata, Chile
##OWNER=Colorado School of Mines
##SOURCE=Colorado School of Mines
##DESCRIPTION=Aggregates of pea-green grains associated with quartz and jarosite, type material
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100015
231.8279, 3625.505
232.3100, 3571.740
232.7922, 3523.559
233.2743, 3477.909
233.7564, 3429.952
234.2385, 3377.938
234.7206, 3327.322
235.2027, 3279.754
235.6849, 3235.690
236.1670, 3191.554
236.6491, 3145.854
237.1312, 3101.297
237.6133, 3061.510
238.0954, 3027.067
238.5776, 2995.677
239.0597, 2967.058
239.5418, 2941.793
240.0239, 2916.757
240.5060, 2891.014
240.9881, 2866.259
241.4703, 2844.668
241.9524, 2827.052
242.4345, 2811.210
242.9166, 2796.981
243.3987, 2784.490
243.8808, 2772.230
244.3630, 2759.249
244.8451, 2747.236
245.3272, 2738.419
245.8093, 2734.302
246.2914, 2730.630
246.7735, 2726.253
247.2557, 2720.965
247.7378, 2716.962
248.2199, 2714.743
248.7020, 2713.234
249.1841, 2711.352
249.6662, 2709.255
250.1484, 2706.362
250.6305, 2702.540
251.1126, 2697.803
251.5947, 2691.758
252.0768, 2683.549
252.5589, 2674.953
253.0411, 2667.890
253.5232, 2663.016
254.0053, 2658.323
254.4874, 2653.111
254.9695, 2647.333
255.4516, 2643.398
255.9338, 2641.429
256.4159, 2641.207
256.8980, 2643.605
257.3801, 2652.027
257.8622, 2654.751
258.3444, 2647.496
258.8265, 2630.854
259.3086, 2620.799
259.7907, 2621.540
260.2728, 2623.118
260.7549, 2616.037
261.2371, 2596.602
261.7192, 2578.667
262.2013, 2564.513
262.6834, 2553.865
263.1655, 2545.691
263.6476, 2540.888
264.1298, 2536.819
264.6119, 2531.159
265.0940, 2523.415
265.5761, 2515.712
266.0582, 2508.100
266.5403, 2500.769
267.0225, 2495.227
267.5046, 2492.704
267.9867, 2489.390
268.4688, 2481.742
268.9509, 2468.141
269.4330, 2456.890
269.9152, 2449.573
270.3973, 2445.159
270.8794, 2439.743
271.3615, 2432.966
271.8436, 2426.202
272.3257, 2420.674
272.8079, 2416.603
273.2900, 2411.923
273.7721, 2405.543
274.2542, 2398.997
274.7363, 2397.079
275.2184, 2400.582
275.7006, 2405.716
276.1827, 2409.433
276.6648, 2411.335
277.1469, 2417.329
277.6290, 2428.271
278.1111, 2443.036
278.5933, 2458.922
279.0754, 2475.827
279.5575, 2495.299
280.0396, 2518.837
280.5217, 2546.235
281.0038, 2574.315
281.4860, 2602.855
281.9681, 2632.065
282.4502, 2663.042
282.9323, 2695.964
283.4144, 2727.613
283.8965, 2756.184
284.3787, 2781.653
284.8608, 2807.356
285.3429, 2834.011
285.8250, 2859.072
286.3071, 2879.658
286.7892, 2895.769
287.2714, 2906.299
287.7535, 2910.773
288.2356, 2909.254
288.7177, 2902.103
289.1998, 2889.268
289.6819, 2871.263
290.1641, 2848.797
290.6462, 2821.810
291.1283, 2789.546
291.6104, 2752.276
292.0925, 2709.501
292.5746, 2660.270
293.0568, 2604.174
293.5389, 2543.927
294.0210, 2482.226
294.5031, 2418.966
294.9852, 2354.497
295.4673, 2289.800
295.9495, 2223.846
296.4316, 2154.735
296.9137, 2082.875
297.3958, 2012.290
297.8779, 1946.764
298.3600, 1885.609
298.8422, 1825.365
299.3243, 1764.342
299.8064, 1704.532
300.2885, 1648.376
300.7706, 1595.944
301.2527, 1545.735
301.7349, 1496.816
302.2170, 1449.750
302.6991, 1406.609
303.1812, 1367.518
303.6633, 1332.015
304.1454, 1300.110
304.6276, 1271.537
305.1097, 1244.650
305.5918, 1217.873
306.0739, 1192.703
306.5560, 1171.732
307.0381, 1155.757
307.5203, 1142.045
308.0024, 1128.405
308.4845, 1115.246
308.9666, 1103.533
309.4487, 1093.887
309.9308, 1085.799
310.4130, 1078.920
310.8951, 1073.187
311.3772, 1068.908
311.8593, 1066.988
312.3414, 1066.616
312.8235, 1066.467
313.3057, 1065.590
313.7878, 1065.080
314.2699, 1065.540
314.7520, 1067.000
315.2341, 1069.338
315.7162, 1073.189
316.1984, 1077.645
316.6805, 1081.641
317.1626, 1084.472
317.6447, 1087.156
318.1268, 1089.313
318.6089, 1091.130
319.0911, 1095.099
319.5732, 1104.078
320.0553, 1114.497
