##NAMES=Carnotite
##RRUFFID=R070647
##IDEAL CHEMISTRY=K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_&#183;3H_2_O
##LOCALITY=Anderson mine, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Orange blocky crystals associated with yellow platy weeksite, R050330
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070647
262.7121, 15086.51
263.1942, 14974.60
263.6763, 14863.40
264.1584, 14766.18
264.6405, 14685.20
265.1227, 14627.05
265.6048, 14606.28
266.0869, 14626.06
266.5690, 14620.60
267.0511, 14568.85
267.5332, 14504.60
268.0154, 14453.16
268.4975, 14416.67
268.9796, 14389.45
269.4617, 14372.48
269.9438, 14363.99
270.4259, 14334.48
270.9081, 14264.72
271.3902, 14186.57
271.8723, 14135.71
272.3544, 14110.77
272.8365, 14064.36
273.3186, 13950.56
273.8008, 13775.08
274.2829, 13629.79
274.7650, 13550.41
275.2471, 13476.04
275.7292, 13363.48
276.2113, 13212.95
276.6935, 13039.62
277.1756, 12846.42
277.6577, 12637.12
278.1398, 12447.33
278.6219, 12295.30
279.1040, 12147.19
279.5862, 11974.19
280.0683, 11779.49
280.5504, 11592.81
281.0325, 11432.88
281.5146, 11297.56
281.9967, 11167.46
282.4789, 11048.35
282.9610, 10928.35
283.4431, 10793.19
283.9252, 10647.02
284.4073, 10517.02
284.8894, 10422.45
285.3716, 10352.02
285.8537, 10266.62
286.3358, 10157.74
286.8179, 10045.61
287.3000, 9933.019
287.7821, 9823.797
288.2643, 9737.337
288.7464, 9686.562
289.2285, 9660.654
289.7106, 9629.077
290.1927, 9584.383
290.6748, 9547.619
291.1570, 9530.294
291.6391, 9529.134
292.1212, 9533.895
292.6033, 9539.968
293.0854, 9551.215
293.5675, 9576.354
294.0497, 9619.702
294.5318, 9663.116
295.0139, 9696.361
295.4960, 9724.446
295.9781, 9759.717
296.4602, 9807.535
