##NAMES=Segelerite
##RRUFFID=R080127
##IDEAL CHEMISTRY=CaMgFe^3+^(PO_4_)_2_(OH)&#183;4H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Thomas A. Loomis
##DESCRIPTION=Light yellow radiating acicular crystals, on a matrix of rockbridgeite and associated with leucophosphite (R080126)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080127
236.6763, 296.1974
237.1584, 297.5109
237.6405, 298.1415
238.1227, 297.5697
238.6048, 296.3708
239.0869, 296.0993
239.5690, 297.5871
240.0511, 298.5416
240.5332, 298.3848
241.0154, 297.6397
241.4975, 296.7600
241.9796, 295.9375
242.4617, 295.1678
242.9438, 294.4779
243.4259, 294.0879
243.9081, 293.4000
244.3902, 292.1656
244.8723, 290.7296
245.3544, 289.3591
245.8365, 288.1598
246.3186, 287.1675
246.8008, 286.4513
247.2829, 286.0634
247.7650, 285.9343
248.2471, 286.4436
248.7292, 286.9959
249.2113, 286.8557
249.6935, 285.8167
250.1756, 284.5146
250.6577, 284.2450
251.1398, 286.5694
251.6219, 287.6363
252.1040, 286.9232
252.5862, 285.2936
253.0683, 283.4088
253.5504, 281.4926
254.0325, 279.4793
254.5146, 277.2633
254.9967, 274.8063
255.4789, 272.1874
255.9610, 269.0795
256.4431, 266.0141
256.9252, 263.5110
257.4073, 261.6723
257.8894, 260.1251
258.3716, 258.3485
258.8537, 256.1445
259.3358, 254.2837
259.8179, 252.8533
260.3000, 251.7057
260.7821, 250.7378
261.2643, 249.9242
261.7464, 249.2468
262.2285, 248.6629
262.7106, 248.1608
263.1927, 247.9489
263.6748, 248.0548
264.1570, 248.4360
264.6391, 249.1499
265.1212, 250.1790
265.6033, 251.2797
266.0854, 252.2671
266.5675, 253.1168
267.0497, 253.7225
267.5318, 253.6971
268.0139, 253.6891
268.4960, 254.2100
268.9781, 255.2825
269.4602, 256.6964
269.9424, 258.5478
270.4245, 260.6467
270.9066, 261.9160
271.3887, 261.8048
271.8708, 261.2569
272.3529, 260.7815
272.8351, 260.4161
273.3172, 260.4628
273.7993, 261.3421
274.2814, 262.7298
274.7635, 263.5585
275.2456, 263.5243
275.7278, 263.2433
276.2099, 263.1251
276.6920, 263.1460
277.1741, 263.1285
277.6562, 263.0672
278.1383, 262.8417
278.6205, 262.2608
279.1026, 261.1588
279.5847, 260.0462
280.0668, 259.4535
280.5489, 259.2391
281.0310, 258.4993
281.5132, 256.5714
281.9953, 254.3199
282.4774, 253.0635
282.9595, 252.9705
283.4416, 252.8536
283.9237, 252.0026
284.4059, 250.5361
284.8880, 248.9057
285.3701, 247.1324
285.8522, 245.3496
286.3343, 243.6602
286.8164, 242.0623
287.2986, 240.5968
287.7807, 239.2727
288.2628, 238.0944
288.7449, 237.1834
289.2270, 236.8133
289.7091, 236.2226
290.1913, 234.3571
290.6734, 231.6329
291.1555, 229.5644
291.6376, 229.4060
292.1197, 230.3609
292.6018, 230.4918
