##NAMES=Walpurgite
##RRUFFID=R050573
##IDEAL CHEMISTRY=Bi^3+^_4_O_4_(U^6+^O_2_)(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow thin tabular crystals associated with metazeunerite, R060301
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050573
221.7547, 86.25835
222.2368, 86.01109
222.7190, 86.10287
223.2011, 86.16788
223.6832, 86.07176
224.1653, 85.83189
224.6474, 85.49366
225.1295, 84.99208
225.6117, 84.54610
226.0938, 84.30399
226.5759, 84.25282
227.0580, 84.31966
227.5401, 84.66029
228.0222, 84.95320
228.5043, 84.73277
228.9865, 83.84240
229.4686, 82.98257
229.9507, 82.89799
230.4328, 83.58077
230.9149, 83.97617
231.3970, 83.45664
231.8792, 82.73633
232.3613, 82.46713
232.8434, 82.74965
233.3255, 83.13168
233.8076, 83.12195
234.2897, 82.67547
234.7719, 82.37204
235.2540, 82.62626
235.7361, 82.87031
236.2182, 82.65945
236.7003, 81.94776
237.1824, 81.17738
237.6646, 80.87450
238.1467, 81.14121
238.6288, 81.29044
239.1109, 81.13705
239.5930, 80.89987
240.0751, 80.64365
240.5573, 80.39381
241.0394, 80.19958
241.5215, 80.14844
242.0036, 80.29499
242.4857, 80.35813
242.9678, 80.27706
243.4500, 80.14663
243.9321, 79.96694
244.4142, 79.76274
244.8963, 79.60938
245.3784, 79.63747
245.8605, 79.95877
246.3427, 80.04485
246.8248, 79.53652
247.3069, 79.10873
247.7890, 79.19918
248.2711, 79.75637
248.7532, 80.35365
249.2354, 80.50048
249.7175, 80.01244
250.1996, 79.87519
250.6817, 80.37843
251.1638, 80.92849
251.6459, 81.16662
252.1281, 81.15255
252.6102, 81.23694
253.0923, 81.79665
253.5744, 82.94498
254.0565, 83.84935
254.5386, 84.45230
255.0208, 84.91623
255.5029, 85.28992
255.9850, 85.58667
256.4671, 85.79480
256.9492, 85.87556
257.4313, 85.79308
257.9135, 86.02534
258.3956, 86.74484
258.8777, 87.53332
259.3598, 88.24412
259.8419, 88.87514
260.3240, 89.48656
260.8062, 90.13097
261.2883, 90.80823
261.7704, 91.36504
262.2525, 91.89953
262.7346, 92.25829
263.2167, 92.14272
263.6989, 91.76748
264.1810, 91.72514
264.6631, 92.45756
265.1452, 93.84422
265.6273, 94.79740
266.1094, 95.03626
266.5916, 95.24091
267.0737, 95.65580
267.5558, 96.22049
268.0379, 96.78791
268.5200, 97.28882
269.0021, 97.72095
269.4843, 98.07581
269.9664, 98.36277
270.4485, 98.58269
270.9306, 98.76570
271.4127, 98.88044
271.8948, 98.84502
272.3770, 98.60471
272.8591, 98.22617
273.3412, 97.87244
273.8233, 97.56786
274.3054, 97.23463
274.7875, 96.87698
275.2697, 96.47240
275.7518, 95.95170
276.2339, 95.26311
276.7160, 94.52013
277.1981, 93.98238
277.6802, 93.70271
278.1623, 93.32214
278.6444, 92.60791
279.1266, 91.75359
279.6087, 91.10006
280.0908, 90.75075
280.5729, 90.55473
281.0550, 90.31020
281.5371, 90.01044
282.0193, 89.78909
282.5014, 89.77659
282.9835, 89.83052
283.4656, 89.69889
283.9477, 89.30655
284.4298, 88.91907
284.9120, 88.91508
285.3941, 89.22945
285.8762, 89.35190
286.3583, 88.98785
286.8404, 88.46436
287.3225, 88.19044
287.8047, 88.21785
288.2868, 88.34107
288.7689, 88.42480
289.2510, 88.47412
289.7331, 88.50886
290.2152, 88.55289
290.6974, 88.57043
291.1795, 88.55018
291.6616, 88.49419
292.1437, 88.30873
292.6258, 87.77773
293.1079, 87.10909
293.5901, 86.80430
294.0722, 87.22002
294.5543, 87.67028
295.0364, 87.58614
295.5185, 86.98450
296.0006, 86.15551
296.4828, 85.09759
296.9649, 83.96526
297.4470, 83.03249
297.9291, 82.36358
298.4112, 81.76222
298.8933, 81.10078
299.3755, 80.39087
299.8576, 79.67397
300.3397, 78.91245
300.8218, 78.21391
301.3039, 77.74412
301.7860, 77.54105
302.2682, 77.29105
302.7503, 76.73905
303.2324, 75.98421
303.7145, 75.36858
304.1966, 74.98091
304.6787, 74.72630
305.1609, 74.51462
305.6430, 74.34148
