##NAMES=Eglestonite
##RRUFFID=R060612
##IDEAL CHEMISTRY=Hg^1+^_6_OCl_3_(OH)
##LOCALITY=Cahill mine, Poverty Peak District, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown fragments
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060612
##MEASURED CHEMISTRY=Hg^1+^_6.00_OCl_3.00_(OH) ; O,H not measured but estimated by difference and stoichiometry
2.302738e+002, 4.672209e+000
2.307560e+002, 4.673098e+000
2.312381e+002, 4.682629e+000
2.317202e+002, 4.713421e+000
2.322023e+002, 4.797500e+000
2.326844e+002, 4.824795e+000
2.331665e+002, 4.747986e+000
2.336487e+002, 4.614491e+000
2.341308e+002, 4.603818e+000
2.346129e+002, 4.815068e+000
2.350950e+002, 5.007351e+000
2.355771e+002, 5.053884e+000
2.360592e+002, 4.879246e+000
2.365414e+002, 4.720269e+000
2.370235e+002, 4.555502e+000
2.375056e+002, 4.413937e+000
2.379877e+002, 4.405039e+000
2.384698e+002, 4.635452e+000
2.389520e+002, 4.844521e+000
2.394341e+002, 4.904701e+000
2.399162e+002, 4.722937e+000
2.403983e+002, 4.605179e+000
2.408804e+002, 4.582395e+000
2.413625e+002, 4.615479e+000
2.418447e+002, 4.597089e+000
2.423268e+002, 4.472858e+000
2.428089e+002, 4.378121e+000
2.432910e+002, 4.386851e+000
2.437731e+002, 4.579960e+000
2.442552e+002, 4.661675e+000
2.447374e+002, 4.573946e+000
2.452195e+002, 4.397885e+000
2.457016e+002, 4.316566e+000
2.461837e+002, 4.376816e+000
2.466658e+002, 4.453484e+000
2.471479e+002, 4.501201e+000
2.476301e+002, 4.515667e+000
2.481122e+002, 4.515834e+000
2.485943e+002, 4.497350e+000
2.490764e+002, 4.467178e+000
2.495585e+002, 4.435061e+000
2.500406e+002, 4.389158e+000
2.505228e+002, 4.362049e+000
2.510049e+002, 4.366366e+000
2.514870e+002, 4.407426e+000
2.519691e+002, 4.460358e+000
2.524512e+002, 4.540251e+000
2.529333e+002, 4.620862e+000
2.534155e+002, 4.658414e+000
2.538976e+002, 4.631266e+000
2.543797e+002, 4.603675e+000
2.548618e+002, 4.601888e+000
2.553439e+002, 4.635488e+000
2.558260e+002, 4.622216e+000
2.563082e+002, 4.525269e+000
2.567903e+002, 4.416912e+000
2.572724e+002, 4.405460e+000
2.577545e+002, 4.540613e+000
2.582366e+002, 4.659661e+000
2.587188e+002, 4.713372e+000
2.592009e+002, 4.695948e+000
2.596830e+002, 4.689975e+000
2.601651e+002, 4.701540e+000
2.606472e+002, 4.717111e+000
2.611293e+002, 4.715724e+000
2.616115e+002, 4.681284e+000
2.620936e+002, 4.675921e+000
2.625757e+002, 4.732211e+000
2.630578e+002, 4.850091e+000
2.635399e+002, 4.890718e+000
2.640220e+002, 4.830313e+000
2.645042e+002, 4.732587e+000
2.649863e+002, 4.648150e+000
2.654684e+002, 4.566866e+000
2.659505e+002, 4.539560e+000
2.664326e+002, 4.601147e+000
2.669147e+002, 4.736109e+000
2.673969e+002, 4.785644e+000
2.678790e+002, 4.723802e+000
2.683611e+002, 4.630489e+000
2.688432e+002, 4.570766e+000
2.693253e+002, 4.549366e+000
2.698074e+002, 4.540915e+000
2.702896e+002, 4.543185e+000
2.707717e+002, 4.555133e+000
2.712538e+002, 4.576706e+000
2.717359e+002, 4.614035e+000
2.722180e+002, 4.642988e+000
2.727001e+002, 4.640090e+000
2.731823e+002, 4.598514e+000
2.736644e+002, 4.570232e+000
2.741465e+002, 4.563609e+000
2.746286e+002, 4.572865e+000
2.751107e+002, 4.582089e+000
2.755928e+002, 4.591747e+000
2.760750e+002, 4.599133e+000
2.765571e+002, 4.589629e+000
2.770392e+002, 4.558753e+000
2.775213e+002, 4.588774e+000
2.780034e+002, 4.708493e+000
2.784855e+002, 4.866717e+000
2.789677e+002, 4.936540e+000
2.794498e+002, 4.906554e+000
2.799319e+002, 4.863375e+000
2.804140e+002, 4.858455e+000
2.808961e+002, 4.890942e+000
2.813782e+002, 4.897938e+000
2.818604e+002, 4.870816e+000
2.823425e+002, 4.829761e+000
2.828246e+002, 4.813972e+000
2.833067e+002, 4.825169e+000
2.837888e+002, 4.824984e+000
