##NAMES=Brannerite
##RRUFFID=R080091
##IDEAL CHEMISTRY=U^4+^Ti^4+^_2_O_6_
##LOCALITY=Crocker's Well, South Australia, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light brown fragment from metamict sample R060613, after heating at T = 1000 C for 18 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080091
233.1316, 753.5769
233.6137, 756.8922
234.0958, 759.9319
234.5779, 763.0313
235.0600, 767.1685
235.5422, 772.9910
236.0243, 778.9921
236.5064, 784.4507
236.9885, 788.8240
237.4706, 793.8619
237.9527, 799.6137
238.4349, 805.9596
238.9170, 812.6072
239.3991, 819.8298
239.8812, 826.9406
240.3633, 833.5499
240.8454, 839.1251
241.3276, 845.5312
241.8097, 852.9593
242.2918, 861.0629
242.7739, 869.0641
243.2560, 877.0650
243.7381, 884.8057
244.2203, 892.0792
244.7024, 898.4979
245.1845, 905.5603
245.6666, 913.4217
246.1487, 921.8406
246.6308, 930.6031
247.1130, 940.0999
247.5951, 949.3300
248.0772, 957.7413
248.5593, 965.0358
249.0414, 972.8020
249.5235, 981.3824
250.0057, 990.1967
250.4878, 998.4051
250.9699, 1005.682
251.4520, 1012.956
251.9341, 1020.532
252.4162, 1028.624
252.8984, 1036.115
253.3805, 1042.825
253.8626, 1049.121
254.3447, 1055.435
254.8268, 1062.236
255.3089, 1068.298
255.7911, 1073.080
256.2732, 1076.453
256.7553, 1079.909
257.2374, 1083.665
257.7195, 1087.306
258.2017, 1090.273
258.6838, 1092.325
259.1659, 1094.348
259.6480, 1096.781
260.1301, 1099.660
260.6122, 1101.428
261.0944, 1101.819
261.5765, 1101.434
262.0586, 1100.898
262.5407, 1100.260
263.0228, 1099.364
263.5049, 1098.193
263.9871, 1096.741
264.4692, 1095.069
264.9513, 1093.170
265.4334, 1091.053
265.9155, 1088.666
266.3976, 1086.018
266.8798, 1083.233
267.3619, 1080.473
267.8440, 1077.631
268.3261, 1073.962
268.8082, 1069.230
269.2903, 1064.180
269.7725, 1059.587
270.2546, 1055.781
270.7367, 1051.122
271.2188, 1045.172
271.7009, 1038.281
272.1830, 1031.752
272.6652, 1025.660
273.1473, 1019.849
273.6294, 1014.278
274.1115, 1009.050
274.5936, 1003.409
275.0757, 997.1873
275.5579, 990.5091
276.0400, 983.8352
276.5221, 977.1046
277.0042, 970.5934
277.4863, 964.4767
277.9684, 958.7657
278.4506, 953.3132
278.9327, 948.2337
279.4148, 943.2586
279.8969, 937.7687
280.3790, 931.7111
280.8611, 925.5665
281.3433, 919.3904
281.8254, 913.1706
282.3075, 907.7852
282.7896, 903.3566
283.2717, 899.4895
283.7538, 895.6354
284.2360, 891.7992
284.7181, 887.9508
285.2002, 883.9504
285.6823, 879.8575
286.1644, 876.1777
286.6465, 872.9375
287.1287, 870.1179
287.6108, 867.7585
288.0929, 865.8444
288.5750, 864.2245
289.0571, 862.9540
289.5392, 861.9255
290.0214, 860.7590
290.5035, 859.4548
290.9856, 858.0605
291.4677, 856.4016
291.9498, 854.5883
292.4319, 853.3543
292.9141, 853.0408
293.3962, 853.3764
293.8783, 853.8411
294.3604, 854.4414
294.8425, 854.9969
295.3246, 855.3846
295.8068, 855.6203
296.2889, 855.6614
296.7710, 855.2667
297.2531, 854.9653
297.7352, 855.7661
298.2173, 857.5748
298.6995, 859.6393
299.1816, 861.4365
299.6637, 863.0799
300.1458, 864.7375
300.6279, 866.3980
301.1100, 868.1771
301.5922, 870.1635
302.0743, 872.3527
302.5564, 874.7519
303.0385, 877.4734
303.5206, 880.3610
304.0027, 883.3732
304.4849, 886.5781
304.9670, 889.4395
305.4491, 891.1799
305.9312, 892.1320
306.4133, 893.0959
306.8954, 894.1450
307.3776, 895.5976
307.8597, 898.0065
308.3418, 901.5272
308.8239, 904.9623
309.3060, 907.4053
309.7881, 909.2291
310.2703, 910.9374
310.7524, 912.4685
311.2345, 914.1965
311.7166, 916.4316
312.1987, 919.1656
312.6808, 922.0355
313.1630, 924.9418
313.6451, 927.8531
314.1272, 930.7609
314.6093, 933.7740
315.0914, 936.6148
315.5735, 938.9058
316.0557, 940.7708
316.5378, 942.8994
317.0199, 945.6174
317.5020, 948.6771
317.9841, 952.0108
318.4662, 956.0395
318.9484, 959.5822
319.4305, 961.9622
319.9126, 963.5342
320.3947, 965.2263
320.8768, 967.7355
321.3589, 970.1149
321.8411, 971.7701
322.3232, 972.1082
322.8053, 972.9576
323.2874, 974.9548
323.7695, 977.6169
324.2516, 980.1797
324.7338, 982.4377
325.2159, 984.6539
325.6980, 987.0304
326.1801, 989.7578
326.6622, 991.8323
327.1443, 992.4695
327.6265, 992.7521
328.1086, 993.7807
328.5907, 996.7115
329.0728, 999.1085
329.5549, 1000.475
330.0370, 1000.808
330.5192, 1001.174
331.0013, 1001.455
331.4834, 1001.877
331.9655, 1002.563
332.4476, 1003.245
332.9297, 1004.726
333.4119, 1007.657
333.8940, 1011.493
334.3761, 1013.690
334.8582, 1013.449
335.3403, 1012.746
335.8224, 1012.547
336.3046, 1013.006
336.7867, 1013.458
337.2688, 1013.828
337.7509, 1014.219
338.2330, 1014.925
338.7151, 1016.086
339.1973, 1017.119
339.6794, 1017.753
340.1615, 1017.965
340.6436, 1018.372
341.1257, 1019.061
341.6078, 1019.797
342.0899, 1020.245
342.5721, 1020.387
343.0542, 1020.599
343.5363, 1020.985
344.0184, 1021.544
344.5005, 1022.342
344.9826, 1023.421
345.4648, 1024.435
345.9469, 1024.979
346.4290, 1025.115
346.9111, 1025.293
347.3932, 1025.585
347.8753, 1025.948
348.3575, 1026.491
348.8396, 1027.147
349.3217, 1027.347
349.8038, 1026.166
350.2859, 1024.239
350.7680, 1023.258
351.2502, 1023.573
351.7323, 1024.206
352.2144, 1024.166
352.6965, 1023.544
353.1786, 1022.608
353.6607, 1021.486
354.1429, 1020.153
354.6250, 1018.509
355.1071, 1016.557
355.5892, 1014.591
356.0713, 1012.848
356.5534, 1011.258
357.0356, 1009.720
357.5177, 1008.751
357.9998, 1007.361
358.4819, 1004.387
358.9640, 1000.138
359.4461, 996.4069
359.9283, 994.4133
360.4104, 993.1776
360.8925, 991.9130
361.3746, 990.5016
361.8567, 988.9083
362.3388, 987.1516
362.8210, 985.1952
363.3031, 982.9288
363.7852, 980.0422
364.2673, 977.0486
364.7494, 974.2397
365.2315, 971.7698
365.7137, 969.0086
366.1958, 965.4203
366.6779, 961.6518
367.1600, 958.4307
367.6421, 956.6299
368.1242, 954.5705
368.6064, 951.7949
369.0885, 948.2479
369.5706, 944.9025
370.0527, 941.9023
370.5348, 938.9865
371.0169, 935.9666
371.4991, 933.0187
371.9812, 929.7184
372.4633, 925.7921
372.9454, 921.4954
373.4275, 917.8655
373.9096, 915.2757
374.3918, 912.6429
374.8739, 909.5043
375.3560, 905.7029
375.8381, 901.9194
376.3202, 898.1120
376.8023, 894.4241
377.2845, 891.1053
377.7666, 888.2122
378.2487, 885.4834
378.7308, 882.9045
379.2129, 880.4338
379.6950, 878.1724
380.1772, 876.1719
380.6593, 873.9879
381.1414, 870.9562
381.6235, 867.2145
382.1056, 863.7903
382.5877, 860.9274
383.0699, 858.4913
383.5520, 856.4756
384.0341, 854.8011
384.5162, 852.8342
384.9983, 849.9622
385.4804, 846.5157
385.9626, 843.1853
386.4447, 840.0560
386.9268, 836.9428
387.4089, 833.4930
387.8910, 829.8906
388.3731, 826.6340
388.8553, 824.2159
389.3374, 822.0563
389.8195, 819.6302
390.3016, 816.9726
390.7837, 814.2722
391.2658, 811.7267
391.7480, 809.2039
392.2301, 806.5604
392.7122, 803.6908
393.1943, 800.8094
393.6764, 798.0587
394.1585, 795.4003
394.6407, 792.7662
395.1228, 789.9446
395.6049, 787.2883
396.0870, 785.0450
396.5691, 783.4787
397.0512, 781.6132
397.5334, 778.7332
398.0155, 775.6130
398.4976, 773.2570
398.9797, 772.4169
399.4618, 771.6125
399.9439, 770.6891
400.4261, 769.6376
400.9082, 768.0704
401.3903, 765.4230
401.8724, 762.7733
402.3545, 760.8630
402.8366, 760.2359
403.3188, 759.1826
403.8009, 757.5145
404.2830, 755.4063
404.7651, 753.2272
405.2472, 750.9033
405.7293, 748.7919
406.2115, 747.0887
406.6936, 745.8226
407.1757, 744.5591
407.6578, 743.3008
408.1399, 742.0441
408.6220, 740.8741
409.1042, 739.7835
409.5863, 738.2471
410.0684, 735.7856
410.5505, 733.0607
411.0326, 731.7419
411.5147, 731.7860
411.9969, 731.9736
412.4790, 731.5481
412.9611, 730.6071
413.4432, 729.2596
413.9253, 727.3768
414.4074, 725.6182
414.8896, 724.8693
415.3717, 724.7981
415.8538, 724.6278
416.3359, 723.9805
416.8180, 723.0733
417.3001, 721.9854
417.7823, 720.7189
418.2644, 719.6465
418.7465, 719.0737
419.2286, 718.7196
419.7107, 718.3437
420.1928, 718.1359
420.6750, 717.5270
421.1571, 717.0679
421.6392, 717.0708
422.1213, 716.7338
422.6034, 716.0754
423.0855, 714.1325
423.5677, 713.8481
424.0498, 712.8991
424.5319, 711.9229
425.0140, 711.8719
425.4961, 710.1158
425.9782, 710.0502
426.4604, 709.3097
426.9425, 705.3611
427.4246, 704.7130
427.9067, 704.8106
428.3888, 704.5267
428.8709, 703.5993
429.3531, 702.7574
429.8352, 702.5156
430.3173, 703.0848
430.7994, 703.0824
431.2815, 702.2592
431.7636, 701.1749
432.2458, 700.8997
432.7279, 701.4918
433.2100, 701.7439
433.6921, 700.9633
434.1742, 699.5405
434.6563, 699.1514
435.1385, 699.8253
435.6206, 700.4028
436.1027, 699.5932
436.5848, 697.9040
437.0669, 696.8115
437.5490, 696.8000
438.0312, 696.9584
438.5133, 696.0942
438.9954, 694.5378
439.4775, 693.1924
439.9596, 692.8771
440.4417, 692.7733
440.9239, 692.0184
441.4060, 690.5685
441.8881, 689.2970
442.3702, 688.8269
442.8523, 688.7364
443.3344, 688.6249
443.8166, 688.7015
444.2987, 688.3617
444.7808, 686.8953
445.2629, 684.7904
445.7450, 683.4807
446.2271, 684.1164
446.7093, 684.8635
447.1914, 685.1003
447.6735, 684.8060
448.1556, 683.9000
448.6377, 681.7322
449.1198, 679.3953
449.6020, 678.0809
450.0841, 678.5049
450.5662, 678.5147
451.0483, 677.7563
451.5304, 676.3404
452.0125, 674.7015
452.4947, 672.7133
452.9768, 670.8509
453.4589, 669.4050
453.9410, 668.3720
454.4231, 667.4036
454.9052, 666.5514
455.3874, 665.4990
455.8695, 663.5760
456.3516, 660.9193
456.8337, 658.6550
457.3158, 657.3273
457.7979, 656.4211
458.2801, 654.9470
458.7622, 652.9896
459.2443, 651.0703
459.7264, 649.5232
460.2085, 648.2646
460.6906, 647.3147
461.1728, 646.7859
461.6549, 646.0966
462.1370, 644.6815
462.6191, 642.8905
463.1012, 641.2637
463.5833, 640.0284
464.0655, 638.9697
464.5476, 637.8333
465.0297, 636.6935
465.5118, 636.1719
465.9939, 637.0764
466.4760, 638.1774
466.9582, 638.7970
467.4403, 638.6453
467.9224, 638.4193
468.4045, 638.0046
468.8866, 637.5779
469.3687, 637.4051
469.8509, 637.6360
470.3330, 637.8575
470.8151, 637.9323
471.2972, 637.9001
471.7793, 638.1461
472.2614, 638.7234
472.7436, 639.4594
473.2257, 640.2245
473.7078, 641.0223
474.1899, 641.9785
474.6720, 643.1016
475.1541, 644.3973
475.6363, 646.0800
476.1184, 648.0430
476.6005, 649.5964
477.0826, 650.1642
477.5647, 650.3298
478.0468, 651.0527
478.5290, 652.3014
479.0111, 653.7894
479.4932, 655.3858
479.9753, 657.0792
480.4574, 658.8718
480.9395, 660.7893
481.4217, 662.7422
481.9038, 664.7114
482.3859, 666.6417
482.8680, 668.4257
483.3501, 670.8660
483.8322, 672.3307
484.3144, 671.7839
484.7965, 669.3613
485.2786, 667.2138
485.7607, 665.4146
486.2428, 664.1744
486.7249, 663.7087
487.2071, 664.8575
487.6892, 664.9574
488.1713, 663.6046
488.6534, 661.4966
489.1355, 659.6556
489.6176, 658.2774
490.0998, 656.5850
490.5819, 654.2946
491.0640, 651.5365
491.5461, 648.9648
492.0282, 646.5765
492.5103, 644.3660
492.9925, 642.5932
493.4746, 641.0704
493.9567, 638.8820
494.4388, 635.8499
494.9209, 632.5656
495.4030, 629.5573
495.8852, 626.7898
