##NAMES=Tausonite
##RRUFFID=X090004
##IDEAL CHEMISTRY=SrTi^4+^O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless stone, cell parameters indicate a disordered structure
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090004
401.8958, 840.6198
402.3779, 838.9498
402.8600, 836.8072
403.3422, 833.9928
403.8243, 830.9379
404.3064, 827.6596
404.7885, 824.3020
405.2706, 821.1331
405.7527, 818.3553
406.2349, 815.9520
406.7170, 813.9980
407.1991, 813.1193
407.6812, 811.7908
408.1633, 809.5788
408.6454, 806.8164
409.1276, 803.7980
409.6097, 800.6310
410.0918, 797.4430
410.5739, 794.3426
411.0560, 791.2956
411.5381, 788.6055
412.0203, 786.7791
412.5024, 784.9644
412.9845, 782.8621
413.4666, 780.3949
413.9487, 777.3795
414.4308, 773.2590
414.9130, 768.4459
415.3951, 764.5920
415.8772, 762.0155
416.3593, 759.6213
416.8414, 756.9572
417.3235, 754.0602
417.8057, 750.8976
418.2878, 747.3195
418.7699, 743.7540
419.2520, 740.8304
419.7341, 738.4348
420.2162, 735.3576
420.6984, 730.8614
421.1805, 726.0435
421.6626, 722.4074
422.1447, 719.9095
422.6268, 717.4661
423.1089, 714.5994
423.5911, 711.5989
424.0732, 708.9248
424.5553, 706.6404
425.0374, 704.2881
425.5195, 701.6320
426.0016, 698.5999
426.4838, 695.0237
426.9659, 690.6990
427.4480, 686.0745
427.9301, 680.9550
428.4122, 675.7217
428.8943, 671.2821
429.3765, 668.0037
429.8586, 665.3762
430.3407, 662.5065
430.8228, 659.1237
431.3049, 656.1238
431.7870, 653.8613
432.2692, 651.7439
432.7513, 649.6295
433.2334, 647.3337
433.7155, 644.2515
434.1976, 639.7482
434.6797, 633.9971
435.1619, 629.4500
435.6440, 626.9679
436.1261, 624.7295
436.6082, 622.7415
437.0903, 620.7216
437.5724, 618.4146
438.0546, 615.7242
438.5367, 612.6160
439.0188, 609.0418
439.5009, 605.0024
439.9830, 600.4802
440.4651, 594.0052
440.9473, 588.3275
441.4294, 585.1050
441.9115, 583.8320
442.3936, 582.9807
442.8757, 581.7960
443.3578, 580.1328
443.8400, 577.4025
444.3221, 573.1783
444.8042, 568.9235
445.2863, 564.9803
445.7684, 561.3359
446.2505, 558.1953
446.7327, 555.6449
447.2148, 553.0100
447.6969, 549.5558
448.1790, 545.4596
448.6611, 541.6887
449.1432, 538.5031
