##NAMES=Ferronigerite-2N1S
##RRUFFID=R120083
##IDEAL CHEMISTRY=(Al,Fe^3+^,Zn^2+^)_2_(Al,Sn^4+^)_6_O_11_(OH)
##LOCALITY=Seixoso quarry, Lixa, Portugal
##OWNER=RRUFF
##SOURCE=Robert Jenkins
##DESCRIPTION=Dark reddish-brown hexagonal tablets, frozen in matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120083
1.750097e+002, 1.237758e+003
1.754918e+002, 1.241233e+003
1.759739e+002, 1.245406e+003
1.764561e+002, 1.249490e+003
1.769382e+002, 1.253608e+003
1.774203e+002, 1.257275e+003
1.779024e+002, 1.259262e+003
1.783845e+002, 1.261771e+003
1.788666e+002, 1.266449e+003
1.793488e+002, 1.273213e+003
1.798309e+002, 1.280518e+003
1.803130e+002, 1.286133e+003
1.807951e+002, 1.289047e+003
1.812772e+002, 1.292420e+003
1.817593e+002, 1.295702e+003
1.822415e+002, 1.299694e+003
1.827236e+002, 1.305407e+003
1.832057e+002, 1.312941e+003
1.836878e+002, 1.321022e+003
1.841699e+002, 1.327665e+003
1.846520e+002, 1.331662e+003
1.851342e+002, 1.336595e+003
1.856163e+002, 1.343095e+003
1.860984e+002, 1.350311e+003
1.865805e+002, 1.357199e+003
1.870626e+002, 1.363415e+003
1.875447e+002, 1.369710e+003
1.880269e+002, 1.377657e+003
1.885090e+002, 1.387779e+003
1.889911e+002, 1.397185e+003
1.894732e+002, 1.403915e+003
1.899553e+002, 1.409702e+003
1.904374e+002, 1.417830e+003
1.909196e+002, 1.429936e+003
1.914017e+002, 1.443321e+003
1.918838e+002, 1.453884e+003
1.923659e+002, 1.461396e+003
1.928480e+002, 1.469392e+003
1.933301e+002, 1.479884e+003
1.938123e+002, 1.492248e+003
1.942944e+002, 1.504371e+003
1.947765e+002, 1.515940e+003
1.952586e+002, 1.526696e+003
1.957407e+002, 1.536329e+003
1.962228e+002, 1.544794e+003
1.967050e+002, 1.553279e+003
1.971871e+002, 1.563009e+003
1.976692e+002, 1.573893e+003
1.981513e+002, 1.583779e+003
1.986334e+002, 1.591433e+003
1.991155e+002, 1.598611e+003
1.995977e+002, 1.606557e+003
2.000798e+002, 1.615344e+003
