##NAMES=Glaucophane
##RRUFFID=R120002
##IDEAL CHEMISTRY=[box]Na_2_(Mg_3_Al_2_)Si_8_O_22_(OH)_2_
##LOCALITY=Cape Marmari, Grammata Bay, Syros Island, Aegean Sea, Greece
##OWNER=RRUFF
##SOURCE=Gunnar Farber
##DESCRIPTION=Dark green bladed, associated with colorless quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120002
1.203834e+002, 9.982193e+001
1.208655e+002, 9.968785e+001
1.213477e+002, 9.972492e+001
1.218298e+002, 1.002644e+002
1.223119e+002, 1.006729e+002
1.227940e+002, 1.002147e+002
1.232761e+002, 9.777778e+001
1.237582e+002, 9.519035e+001
1.242404e+002, 9.428207e+001
1.247225e+002, 9.492532e+001
1.252046e+002, 9.554410e+001
1.256867e+002, 9.480223e+001
1.261688e+002, 9.319692e+001
1.266509e+002, 9.163195e+001
1.271331e+002, 9.053952e+001
1.276152e+002, 8.966134e+001
1.280973e+002, 8.842097e+001
1.285794e+002, 8.675947e+001
1.290615e+002, 8.545089e+001
1.295436e+002, 8.568443e+001
1.300258e+002, 8.712820e+001
1.305079e+002, 8.831809e+001
1.309900e+002, 8.837766e+001
1.314721e+002, 8.764952e+001
1.319542e+002, 8.726469e+001
1.324363e+002, 8.735756e+001
1.329185e+002, 8.748875e+001
1.334006e+002, 8.696689e+001
1.338827e+002, 8.578449e+001
1.343648e+002, 8.442693e+001
1.348469e+002, 8.292155e+001
1.353290e+002, 8.131363e+001
1.358112e+002, 8.032642e+001
1.362933e+002, 8.015376e+001
1.367754e+002, 8.046764e+001
1.372575e+002, 8.056829e+001
1.377396e+002, 8.043945e+001
1.382217e+002, 8.016441e+001
1.387039e+002, 7.985139e+001
1.391860e+002, 7.954471e+001
1.396681e+002, 7.876012e+001
1.401502e+002, 7.709119e+001
1.406323e+002, 7.495708e+001
1.411144e+002, 7.432317e+001
1.415966e+002, 7.579870e+001
1.420787e+002, 7.761555e+001
1.425608e+002, 7.839544e+001
1.430429e+002, 7.779488e+001
1.435250e+002, 7.711858e+001
1.440071e+002, 7.651452e+001
1.444893e+002, 7.598803e+001
1.449714e+002, 7.556011e+001
1.454535e+002, 7.531429e+001
1.459356e+002, 7.508755e+001
1.464177e+002, 7.471223e+001
1.468998e+002, 7.395959e+001
1.473820e+002, 7.341315e+001
1.478641e+002, 7.325432e+001
1.483462e+002, 7.356834e+001
1.488283e+002, 7.367024e+001
1.493104e+002, 7.329310e+001
1.497925e+002, 7.282915e+001
