##NAMES=Mottramite
##RRUFFID=R120112
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^V^5+^O_4_(OH)
##LOCALITY=Copperopolis, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Ruiz
##DESCRIPTION=Radial sprays of yellow transparent needles, variety duhamelite; associated with goethite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120112
1.412615e+002, 1.029242e+003
1.417437e+002, 1.026005e+003
1.422258e+002, 1.023025e+003
1.427079e+002, 1.020135e+003
1.431900e+002, 1.017128e+003
1.436721e+002, 1.013664e+003
1.441542e+002, 1.009644e+003
1.446364e+002, 1.005246e+003
1.451185e+002, 1.000629e+003
1.456006e+002, 9.957997e+002
1.460827e+002, 9.907100e+002
1.465648e+002, 9.848787e+002
1.470469e+002, 9.788857e+002
1.475291e+002, 9.733341e+002
1.480112e+002, 9.684828e+002
1.484933e+002, 9.641502e+002
1.489754e+002, 9.599403e+002
1.494575e+002, 9.557887e+002
1.499396e+002, 9.518722e+002
1.504218e+002, 9.483635e+002
1.509039e+002, 9.450336e+002
1.513860e+002, 9.415751e+002
1.518681e+002, 9.377523e+002
1.523502e+002, 9.336181e+002
1.528323e+002, 9.298618e+002
1.533145e+002, 9.269647e+002
1.537966e+002, 9.239938e+002
1.542787e+002, 9.206864e+002
1.547608e+002, 9.171390e+002
1.552429e+002, 9.135201e+002
1.557250e+002, 9.099001e+002
1.562072e+002, 9.062501e+002
1.566893e+002, 9.031592e+002
1.571714e+002, 9.007151e+002
1.576535e+002, 8.985930e+002
1.581356e+002, 8.967146e+002
1.586177e+002, 8.950447e+002
1.590999e+002, 8.935759e+002
1.595820e+002, 8.924258e+002
1.600641e+002, 8.917051e+002
1.605462e+002, 8.899442e+002
1.610283e+002, 8.860306e+002
1.615104e+002, 8.818967e+002
1.619926e+002, 8.791198e+002
1.624747e+002, 8.779051e+002
1.629568e+002, 8.771982e+002
1.634389e+002, 8.761530e+002
1.639210e+002, 8.747607e+002
1.644031e+002, 8.726398e+002
1.648853e+002, 8.688324e+002
1.653674e+002, 8.645143e+002
1.658495e+002, 8.615969e+002
1.663316e+002, 8.606179e+002
1.668137e+002, 8.602946e+002
1.672958e+002, 8.595354e+002
1.677780e+002, 8.584223e+002
1.682601e+002, 8.571738e+002
1.687422e+002, 8.560191e+002
1.692243e+002, 8.548459e+002
1.697064e+002, 8.532111e+002
1.701885e+002, 8.509741e+002
1.706707e+002, 8.483249e+002
1.711528e+002, 8.450707e+002
1.716349e+002, 8.414314e+002
1.721170e+002, 8.382421e+002
1.725991e+002, 8.362468e+002
1.730812e+002, 8.354905e+002
1.735634e+002, 8.349705e+002
1.740455e+002, 8.349573e+002
1.745276e+002, 8.349298e+002
1.750097e+002, 8.347706e+002
1.754918e+002, 8.344222e+002
1.759739e+002, 8.337960e+002
1.764561e+002, 8.327840e+002
1.769382e+002, 8.313157e+002
1.774203e+002, 8.296339e+002
1.779024e+002, 8.275486e+002
1.783845e+002, 8.254211e+002
1.788666e+002, 8.234116e+002
1.793488e+002, 8.215649e+002
1.798309e+002, 8.198356e+002
1.803130e+002, 8.181662e+002
1.807951e+002, 8.164016e+002
1.812772e+002, 8.151276e+002
1.817593e+002, 8.147802e+002
1.822415e+002, 8.145815e+002
1.827236e+002, 8.137523e+002
1.832057e+002, 8.121794e+002
1.836878e+002, 8.106364e+002
1.841699e+002, 8.103881e+002
1.846520e+002, 8.127194e+002
1.851342e+002, 8.137823e+002
1.856163e+002, 8.128158e+002
1.860984e+002, 8.108516e+002
1.865805e+002, 8.089268e+002
1.870626e+002, 8.073465e+002
1.875447e+002, 8.058768e+002
1.880269e+002, 8.040101e+002
1.885090e+002, 8.015102e+002
1.889911e+002, 7.995665e+002
1.894732e+002, 7.984703e+002
1.899553e+002, 7.980986e+002
1.904374e+002, 7.983616e+002
1.909196e+002, 7.993839e+002
1.914017e+002, 8.007091e+002
1.918838e+002, 8.019117e+002
1.923659e+002, 8.031017e+002
1.928480e+002, 8.034772e+002
1.933301e+002, 8.022272e+002
1.938123e+002, 7.997444e+002
1.942944e+002, 7.974861e+002
1.947765e+002, 7.958877e+002
1.952586e+002, 7.945534e+002
1.957407e+002, 7.928945e+002
1.962228e+002, 7.909021e+002
1.967050e+002, 7.892513e+002
1.971871e+002, 7.885801e+002
1.976692e+002, 7.888472e+002
1.981513e+002, 7.891510e+002
1.986334e+002, 7.900295e+002
1.991155e+002, 7.902131e+002
1.995977e+002, 7.882606e+002
2.000798e+002, 7.842543e+002
2.005619e+002, 7.804590e+002
2.010440e+002, 7.796086e+002
2.015261e+002, 7.823548e+002
2.020082e+002, 7.836813e+002
2.024904e+002, 7.809092e+002
2.029725e+002, 7.780155e+002
2.034546e+002, 7.770308e+002
2.039367e+002, 7.781652e+002
2.044188e+002, 7.802786e+002
2.049009e+002, 7.822793e+002
2.053831e+002, 7.846177e+002
2.058652e+002, 7.853409e+002
2.063473e+002, 7.831572e+002
2.068294e+002, 7.804212e+002
2.073115e+002, 7.783304e+002
2.077936e+002, 7.771437e+002
2.082758e+002, 7.764959e+002
2.087579e+002, 7.759064e+002
2.092400e+002, 7.753343e+002
2.097221e+002, 7.749301e+002
2.102042e+002, 7.748741e+002
2.106863e+002, 7.748305e+002
2.111685e+002, 7.747206e+002
2.116506e+002, 7.744633e+002
2.121327e+002, 7.738033e+002
2.126148e+002, 7.722361e+002
2.130969e+002, 7.686104e+002
