##NAMES=Wagnerite
##RRUFFID=R050519
##IDEAL CHEMISTRY=Mg_2_PO_4_F
##LOCALITY=Kjorrestad, near Bamle, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Pale yellow lamellar fragments, associated with isokite, R070526.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R050519
##MEASURED CHEMISTRY=Mg_2.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_ ; = gray phase, and the light phase is isokite: Ca_1.00_Mg_1.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_
127.5669, 96.49934
128.0491, 101.7282
128.5312, 107.1514
129.0133, 112.8912
129.4954, 118.8706
129.9775, 124.8581
130.4596, 131.0414
130.9418, 137.1494
131.4239, 142.2500
131.9060, 145.8691
132.3881, 148.6683
132.8702, 152.3531
133.3523, 157.0338
133.8345, 161.3825
134.3166, 164.1414
134.7987, 165.3358
135.2808, 166.1736
135.7629, 166.7428
136.2450, 167.1876
136.7272, 168.2049
137.2093, 169.8449
137.6914, 171.9119
138.1735, 174.3713
138.6556, 177.3403
139.1377, 180.0141
139.6199, 182.2129
140.1020, 183.9195
140.5841, 185.2603
141.0662, 185.9275
141.5483, 186.6198
142.0304, 188.1929
142.5126, 190.6972
142.9947, 193.8866
143.4768, 197.2653
143.9589, 200.6414
144.4410, 203.3123
144.9231, 205.0383
145.4053, 206.2742
145.8874, 207.7611
146.3695, 209.7363
146.8516, 211.6253
147.3337, 213.2404
147.8158, 214.6192
148.2980, 215.7285
148.7801, 216.3833
149.2622, 216.8154
149.7443, 217.4687
150.2264, 218.4466
150.7085, 219.5601
151.1907, 220.7747
151.6728, 222.5169
152.1549, 223.7015
152.6370, 223.7694
153.1191, 223.2390
153.6012, 223.3956
154.0834, 224.8980
154.5655, 226.6497
155.0476, 228.2242
155.5297, 229.6807
156.0118, 230.7693
156.4939, 231.1802
156.9761, 231.1370
157.4582, 231.3734
157.9403, 231.8499
158.4224, 232.7717
158.9045, 234.2681
159.3866, 236.5201
159.8688, 239.1322
160.3509, 242.0774
160.8330, 245.3161
161.3151, 248.6628
161.7972, 251.5566
162.2793, 254.7869
162.7615, 258.9597
163.2436, 264.8376
163.7257, 271.1148
164.2078, 278.1519
164.6899, 285.6373
165.1720, 291.2927
165.6541, 293.6927
166.1363, 293.8686
166.6184, 292.8366
167.1005, 290.9145
167.5826, 287.9197
168.0647, 283.3828
168.5468, 277.3968
169.0290, 271.1323
169.5111, 264.6411
169.9932, 258.4567
170.4753, 253.2657
170.9574, 249.9992
171.4395, 247.4649
171.9217, 244.7879
172.4038, 241.9606
172.8859, 238.9322
173.3680, 235.3475
173.8501, 231.5742
174.3322, 228.1903
174.8144, 225.3308
175.2965, 223.0177
175.7786, 221.4627
176.2607, 220.6614
176.7428, 220.1582
177.2249, 219.3890
177.7071, 218.5831
178.1892, 218.2874
178.6713, 219.2310
179.1534, 220.7016
179.6355, 221.4421
180.1176, 221.3609
180.5998, 221.1077
181.0819, 221.2395
181.5640, 221.7385
182.0461, 222.5570
182.5282, 223.9897
183.0103, 225.6916
183.4925, 226.7841
183.9746, 227.1564
184.4567, 227.2952
184.9388, 227.6878
185.4209, 228.3362
185.9030, 229.2258
186.3852, 230.4167
186.8673, 231.8531
187.3494, 233.4683
187.8315, 235.3312
188.3136, 237.1117
188.7957, 238.2293
189.2779, 238.7344
189.7600, 239.4418
190.2421, 240.8935
190.7242, 242.9457
191.2063, 244.8125
191.6884, 246.4204
192.1706, 247.9086
192.6527, 249.5225
193.1348, 251.2528
193.6169, 253.0589
194.0990, 254.9936
194.5811, 257.0305
195.0633, 258.8926
195.5454, 260.4798
