##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y^3+^,Ca,Ce^3+^,U^4+^,Th^4+^)(Nb^5+^,Ta^5+^,Ti^4+^)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
188.7602, 8961.996
189.2424, 8998.859
189.7245, 9035.362
190.2066, 9073.705
190.6887, 9114.411
191.1708, 9155.284
191.6530, 9195.172
192.1351, 9235.015
192.6172, 9275.865
193.0993, 9318.044
193.5814, 9360.798
194.0635, 9401.678
194.5457, 9438.020
195.0278, 9477.939
195.5099, 9527.393
195.9920, 9578.685
196.4741, 9623.533
196.9562, 9658.000
197.4384, 9685.970
197.9205, 9719.224
198.4026, 9763.558
198.8847, 9805.318
199.3668, 9841.778
199.8489, 9875.244
200.3311, 9908.944
200.8132, 9944.611
201.2953, 9980.725
201.7774, 10010.82
202.2595, 10031.62
202.7416, 10049.55
203.2238, 10064.36
203.7059, 10076.91
204.1880, 10089.01
204.6701, 10101.79
205.1522, 10113.95
205.6343, 10119.27
206.1165, 10115.54
206.5986, 10108.49
207.0807, 10098.74
207.5628, 10086.49
208.0449, 10072.87
208.5270, 10059.31
209.0092, 10043.60
209.4913, 10016.45
209.9734, 9972.707
210.4555, 9926.654
210.9376, 9882.714
211.4197, 9840.369
211.9019, 9797.782
212.3840, 9754.603
212.8661, 9710.657
213.3482, 9665.834
213.8303, 9620.810
214.3124, 9574.417
214.7946, 9526.170
215.2767, 9476.110
215.7588, 9425.679
216.2409, 9375.372
216.7230, 9324.909
217.2052, 9272.946
217.6873, 9219.014
218.1694, 9165.218
218.6515, 9113.837
219.1336, 9064.552
219.6157, 9014.335
220.0979, 8960.890
220.5800, 8906.330
221.0621, 8852.737
221.5442, 8800.282
222.0263, 8749.029
222.5084, 8699.480
222.9906, 8651.580
223.4727, 8603.634
223.9548, 8556.183
224.4369, 8507.957
224.9190, 8458.012
