##NAMES=Diamond
##RRUFFID=R050204
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050204
286.6660, 4647.000
288.0320, 4638.000
289.3970, 4683.000
290.7620, 4690.000
292.1270, 4625.000
293.4920, 4719.000
294.8570, 4700.000
296.2210, 4644.000
297.5850, 4806.000
298.9490, 4686.000
300.3120, 4717.000
301.6760, 4653.000
303.0390, 4759.000
304.4020, 4697.000
305.7650, 4655.000
307.1270, 4701.000
308.4890, 4692.000
309.8510, 4736.000
311.2130, 4761.000
312.5750, 4736.000
313.9360, 4738.000
315.2970, 4717.000
316.6580, 4706.000
318.0190, 4721.000
319.3790, 4727.000
320.7400, 4689.000
322.1000, 4679.000
323.4600, 4739.000
324.8190, 4678.000
326.1780, 4760.000
327.5380, 4727.000
328.8970, 4724.000
330.2550, 4794.000
331.6140, 4742.000
332.9720, 4790.000
334.3300, 4768.000
335.6880, 4760.000
337.0450, 4718.000
338.4030, 4710.000
339.7600, 4817.000
341.1170, 4650.000
342.4730, 4787.000
343.8300, 4773.000
345.1860, 4779.000
346.5420, 4878.000
347.8980, 4760.000
349.2530, 4831.000
350.6090, 4772.000
351.9640, 4873.000
353.3190, 4760.000
354.6730, 4790.000
356.0280, 4858.000
357.3820, 4773.000
358.7360, 4874.000
360.0900, 4840.000
361.4430, 4776.000
362.7970, 4879.000
364.1500, 4840.000
365.5030, 4839.000
366.8560, 4809.000
368.2080, 4909.000
369.5600, 4858.000
370.9120, 4846.000
372.2640, 4895.000
373.6160, 4849.000
374.9670, 4935.000
376.3180, 4818.000
377.6690, 4844.000
379.0200, 4829.000
380.3700, 4854.000
381.7200, 4915.000
383.0700, 4879.000
384.4200, 4889.000
385.7700, 4985.000
387.1190, 4822.000
388.4680, 4992.000
389.8170, 4919.000
391.1660, 4926.000
392.5140, 4983.000
393.8630, 4900.000
395.2110, 5006.000
396.5580, 4849.000
397.9060, 5011.000
399.2530, 4861.000
400.6000, 5015.000
401.9470, 4971.000
403.2940, 4886.000
404.6410, 5043.000
405.9870, 4960.000
407.3330, 4922.000
408.6790, 5021.000
410.0240, 4885.000
411.3700, 5024.000
412.7150, 4950.000
414.0600, 5033.000
415.4050, 4920.000
416.7490, 4965.000
418.0930, 5057.000
