##NAMES=Hydrocerussite
##RRUFFID=R070059
##IDEAL CHEMISTRY=Pb^2+^_3_(CO_3_)_2_(OH)_2_
##LOCALITY=Wanlockhead, Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of colorless thin hexagonal plates, likely a pseudomorph after plumbonacrite
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070059
##MEASURED CHEMISTRY=Pb_3_(CO_3_)_2_(OH)_2_ ; Pb confirmed by EPMA, CO_2_ and H_2_O not analyzed but confirmed by Raman spectroscopy
138.6109, 21480.70
139.0930, 21633.57
139.5751, 21756.71
140.0572, 21866.47
140.5393, 21975.16
141.0214, 22082.86
141.5036, 22191.43
141.9857, 22299.98
142.4678, 22406.08
142.9499, 22529.52
143.4320, 22676.22
143.9141, 22833.91
144.3963, 22978.93
144.8784, 23093.82
145.3605, 23223.04
145.8426, 23383.95
146.3247, 23589.05
146.8068, 23793.06
147.2890, 23999.92
147.7711, 24204.55
148.2532, 24393.66
148.7353, 24541.33
149.2174, 24695.74
149.6995, 24874.37
150.1817, 25120.39
150.6638, 25342.62
151.1459, 25548.57
151.6280, 25733.86
152.1101, 25872.89
152.5922, 25934.63
153.0744, 25967.50
153.5565, 26000.71
154.0386, 26035.63
154.5207, 26072.44
155.0028, 26114.18
155.4849, 26160.86
155.9671, 26200.24
156.4492, 26233.79
156.9313, 26257.46
157.4134, 26267.43
157.8955, 26257.29
158.3777, 26238.27
158.8598, 26208.78
159.3419, 26165.10
159.8240, 26134.31
160.3061, 26136.54
160.7882, 26154.65
161.2704, 26164.37
161.7525, 26140.49
162.2346, 26117.66
162.7167, 26117.49
163.1988, 26150.22
163.6809, 26184.43
164.1631, 26205.88
164.6452, 26217.78
165.1273, 26227.49
165.6094, 26250.04
166.0915, 26265.74
166.5736, 26254.84
167.0558, 26195.45
167.5379, 26137.22
168.0200, 26124.08
168.5021, 26144.74
168.9842, 26154.23
169.4663, 26106.56
169.9485, 26038.81
170.4306, 25996.57
170.9127, 26024.69
171.3948, 26055.54
171.8769, 26013.08
172.3590, 25904.17
172.8412, 25803.18
173.3233, 25783.13
173.8054, 25807.67
174.2875, 25815.97
174.7696, 25766.64
175.2517, 25696.57
175.7339, 25656.58
176.2160, 25647.99
176.6981, 25638.54
177.1802, 25591.59
177.6623, 25518.75
178.1444, 25452.65
178.6266, 25414.48
179.1087, 25390.65
179.5908, 25355.35
180.0729, 25305.77
180.5550, 25254.47
181.0371, 25213.32
181.5193, 25182.26
182.0014, 25163.02
182.4835, 25168.54
182.9656, 25186.79
183.4477, 25184.84
183.9298, 25157.23
184.4120, 25114.35
184.8941, 25064.37
185.3762, 25008.12
185.8583, 24961.54
186.3404, 24944.92
186.8225, 24949.75
187.3047, 24933.96
187.7868, 24884.28
188.2689, 24820.27
188.7510, 24786.03
189.2331, 24782.47
189.7152, 24779.66
190.1974, 24756.50
190.6795, 24714.06
191.1616, 24657.80
191.6437, 24581.48
192.1258, 24496.00
192.6080, 24437.32
193.0901, 24406.49
193.5722, 24389.10
194.0543, 24377.85
194.5364, 24372.69
195.0185, 24356.82
195.5007, 24325.35
195.9828, 24279.45
196.4649, 24220.41
196.9470, 24141.17
197.4291, 24069.91
197.9112, 24047.93
198.3934, 24080.86
198.8755, 24099.46
199.3576, 24069.83
199.8397, 23997.16
200.3218, 23981.64
200.8039, 24042.27
201.2861, 24120.02
201.7682, 24126.10
202.2503, 24045.60
202.7324, 23973.78
203.2145, 23950.75
203.6966, 23980.76
204.1788, 23990.65
204.6609, 23975.34
205.1430, 23946.83
205.6251, 23926.69
206.1072, 23919.20
206.5893, 23904.95
207.0715, 23869.28
207.5536, 23804.42
208.0357, 23766.69
208.5178, 23764.39
208.9999, 23782.39
209.4820, 23787.35
209.9642, 23773.86
210.4463, 23761.50
210.9284, 23765.79
211.4105, 23798.42
211.8926, 23797.38
212.3747, 23746.78
212.8569, 23667.15
213.3390, 23613.89
213.8211, 23590.10
214.3032, 23587.17
214.7853, 23606.31
215.2674, 23659.19
215.7496, 23696.46
216.2317, 23714.68
216.7138, 23714.76
217.1959, 23697.07
217.6780, 23649.48
218.1601, 23604.67
218.6423, 23588.06
219.1244, 23617.57
219.6065, 23625.68
220.0886, 23595.34
220.5707, 23535.14
221.0528, 23507.08
221.5350, 23526.62
222.0171, 23555.06
222.4992, 23565.40
222.9813, 23553.61
223.4634, 23531.90
223.9455, 23496.31
224.4277, 23448.62
224.9098, 23417.61
225.3919, 23405.66
225.8740, 23406.61
226.3561, 23416.92
226.8382, 23441.80
227.3204, 23465.61
227.8025, 23489.73
228.2846, 23513.84
228.7667, 23517.00
229.2488, 23491.85
229.7310, 23453.79
230.2131, 23411.19
230.6952, 23343.29
231.1773, 23313.66
231.6594, 23350.60
232.1415, 23459.13
232.6237, 23514.50
233.1058, 23484.42
233.5879, 23431.85
234.0700, 23425.09
234.5521, 23496.51
235.0342, 23553.58
235.5164, 23572.96
235.9985, 23550.44
236.4806, 23534.36
236.9627, 23530.74
237.4448, 23528.56
237.9269, 23511.60
238.4091, 23458.35
238.8912, 23428.89
239.3733, 23445.21
239.8554, 23516.42
240.3375, 23566.36
240.8196, 23589.50
241.3018, 23595.60
241.7839, 23596.03
242.2660, 23587.79
242.7481, 23579.01
243.2302, 23570.01
243.7123, 23558.98
244.1945, 23559.25
244.6766, 23576.94
245.1587, 23601.39
245.6408, 23618.54
246.1229, 23626.53
246.6050, 23630.33
247.0872, 23629.77
247.5693, 23622.74
248.0514, 23621.39
248.5335, 23624.62
249.0156, 23634.34
249.4977, 23654.96
249.9799, 23693.80
250.4620, 23729.83
250.9441, 23757.30
251.4262, 23775.92
251.9083, 23786.24
252.3904, 23783.37
252.8726, 23775.58
253.3547, 23775.59
253.8368, 23783.53
254.3189, 23799.52
254.8010, 23830.23
255.2831, 23886.83
255.7653, 23902.39
256.2474, 23848.64
256.7295, 23774.82
257.2116, 23771.31
257.6937, 23877.16
258.1758, 23970.50
258.6580, 24000.38
259.1401, 23946.81
259.6222, 23930.18
260.1043, 23963.51
260.5864, 24023.55
261.0685, 24068.85
261.5507, 24091.43
262.0328, 24118.02
262.5149, 24162.04
262.9970, 24230.51
263.4791, 24279.64
263.9612, 24304.73
264.4434, 24315.38
264.9255, 24326.50
265.4076, 24336.85
265.8897, 24351.13
266.3718, 24373.33
266.8539, 24405.63
267.3361, 24431.03
267.8182, 24450.12
268.3003, 24461.37
268.7824, 24457.70
269.2645, 24430.93
269.7466, 24415.13
270.2288, 24424.10
270.7109, 24459.99
271.1930, 24503.39
271.6751, 24558.42
272.1572, 24616.15
272.6393, 24664.92
273.1215, 24706.16
273.6036, 24731.91
274.0857, 24731.64
274.5678, 24702.91
275.0499, 24697.45
275.5320, 24724.05
276.0142, 24759.24
276.4963, 24760.50
276.9784, 24720.76
277.4605, 24690.13
277.9426, 24692.51
278.4247, 24727.42
278.9069, 24754.74
279.3890, 24774.29
279.8711, 24786.15
280.3532, 24786.56
280.8354, 24774.17
281.3175, 24766.47
281.7996, 24766.89
282.2817, 24776.18
282.7638, 24812.67
283.2459, 24885.27
283.7281, 24958.73
284.2102, 24976.44
284.6923, 24938.17
285.1744, 24907.32
285.6565, 24918.57
286.1386, 24961.75
286.6208, 24972.90
287.1029, 24945.45
287.5850, 24912.76
288.0671, 24919.49
288.5492, 24962.50
289.0313, 25004.94
289.5135, 25034.33
289.9956, 25052.09
290.4777, 25059.34
290.9598, 25054.13
291.4419, 25052.64
291.9240, 25075.69
292.4062, 25120.10
292.8883, 25166.82
293.3704, 25206.71
293.8525, 25244.69
294.3346, 25299.46
294.8167, 25372.08
295.2989, 25439.30
295.7810, 25473.15
296.2631, 25480.98
296.7452, 25487.99
297.2273, 25499.82
297.7094, 25517.68
298.1916, 25551.69
298.6737, 25601.41
299.1558, 25640.64
299.6379, 25627.31
300.1200, 25585.82
300.6021, 25571.81
301.0843, 25618.04
301.5664, 25690.81
302.0485, 25747.17
302.5306, 25788.91
303.0127, 25832.57
303.4948, 25905.53
303.9770, 25986.54
304.4591, 26040.29
304.9412, 26030.49
305.4233, 26013.46
305.9054, 26051.00
306.3875, 26135.46
306.8697, 26219.80
307.3518, 26269.01
307.8339, 26301.17
308.3160, 26338.02
308.7981, 26393.08
309.2802, 26444.93
309.7624, 26466.92
310.2445, 26467.48
310.7266, 26481.32
311.2087, 26542.52
311.6908, 26618.58
312.1729, 26678.27
312.6551, 26703.74
313.1372, 26729.79
313.6193, 26780.44
314.1014, 26847.82
314.5835, 26907.70
315.0656, 26943.35
315.5478, 26972.34
316.0299, 27007.07
316.5120, 27052.82
316.9941, 27098.89
317.4762, 27144.85
317.9583, 27187.95
318.4405, 27222.44
318.9226, 27245.50
319.4047, 27259.79
319.8868, 27264.27
320.3689, 27251.83
320.8510, 27246.65
321.3332, 27261.75
321.8153, 27286.74
322.2974, 27303.67
322.7795, 27289.81
323.2616, 27284.10
323.7437, 27305.07
324.2259, 27368.28
324.7080, 27414.83
325.1901, 27417.10
325.6722, 27405.10
326.1543, 27420.47
326.6364, 27517.10
327.1186, 27590.11
327.6007, 27604.51
328.0828, 27540.18
328.5649, 27512.59
329.0470, 27561.96
329.5291, 27626.84
330.0113, 27640.89
330.4934, 27561.49
330.9755, 27492.36
331.4576, 27458.13
331.9397, 27461.19
332.4218, 27445.04
332.9040, 27390.94
333.3861, 27336.53
333.8682, 27316.98
334.3503, 27346.79
334.8324, 27378.16
335.3145, 27406.32
335.7967, 27430.70
336.2788, 27445.32
336.7609, 27448.56
337.2430, 27445.42
337.7251, 27439.21
338.2072, 27429.63
338.6894, 27417.57
339.1715, 27401.32
339.6536, 27383.38
340.1357, 27371.96
340.6178, 27366.91
341.0999, 27368.62
341.5821, 27382.51
342.0642, 27408.39
342.5463, 27421.66
343.0284, 27418.93
343.5105, 27404.01
343.9926, 27379.38
344.4748, 27345.04
344.9569, 27316.21
345.4390, 27310.32
345.9211, 27319.98
346.4032, 27303.88
346.8853, 27252.95
347.3675, 27200.71
347.8496, 27195.91
348.3317, 27232.32
348.8138, 27278.80
349.2959, 27325.20
349.7780, 27369.81
350.2602, 27419.26
350.7423, 27476.15
351.2244, 27508.75
351.7065, 27455.40
352.1887, 27353.17
352.6708, 27287.11
353.1529, 27323.80
353.6350, 27396.02
354.1171, 27425.86
354.5992, 27416.07
355.0814, 27414.45
355.5635, 27477.59
356.0456, 27562.63
356.5277, 27612.72
357.0098, 27575.03
357.4919, 27531.63
357.9741, 27547.13
358.4562, 27608.51
358.9383, 27652.21
359.4204, 27620.18
359.9025, 27571.18
360.3846, 27552.90
360.8668, 27589.04
361.3489, 27637.40
361.8310, 27687.70
362.3131, 27738.57
362.7952, 27786.13
363.2773, 27831.62
363.7595, 27871.11
364.2416, 27899.92
364.7237, 27907.41
365.2058, 27927.95
365.6879, 27974.43
366.1700, 28035.84
366.6522, 28094.12
367.1343, 28146.15
367.6164, 28196.20
368.0985, 28246.14
368.5806, 28296.64
369.0627, 28344.06
369.5449, 28388.60
370.0270, 28429.76
370.5091, 28466.77
370.9912, 28488.26
371.4733, 28524.78
371.9554, 28588.81
372.4376, 28679.38
372.9197, 28748.39
373.4018, 28786.69
373.8839, 28815.82
374.3660, 28852.51
374.8481, 28897.52
375.3303, 28945.53
375.8124, 28995.10
376.2945, 29047.32
376.7766, 29104.41
377.2587, 29162.93
377.7408, 29239.53
378.2230, 29364.22
378.7051, 29534.72
379.1872, 29652.29
379.6693, 29699.80
380.1514, 29708.05
380.6335, 29713.37
381.1157, 29717.20
381.5978, 29751.59
382.0799, 29853.50
382.5620, 29999.60
383.0441, 30112.85
383.5262, 30187.92
384.0084, 30258.60
384.4905, 30370.41
384.9726, 30510.32
385.4547, 30638.17
385.9368, 30745.07
386.4189, 30830.15
386.9011, 30882.19
387.3832, 30903.86
387.8653, 30929.80
388.3474, 30982.52
388.8295, 31055.53
389.3116, 31141.46
389.7938, 31248.13
390.2759, 31352.61
390.7580, 31434.38
391.2401, 31500.15
391.7222, 31575.82
392.2043, 31698.75
392.6865, 31819.12
393.1686, 31900.64
393.6507, 31916.17
394.1328, 31935.46
394.6149, 31978.33
395.0970, 32039.38
395.5792, 32109.12
396.0613, 32205.81
396.5434, 32292.18
397.0255, 32352.98
397.5076, 32378.92
397.9897, 32410.81
398.4719, 32441.93
398.9540, 32484.64
399.4361, 32551.59
399.9182, 32662.14
400.4003, 32771.17
400.8824, 32876.00
401.3646, 32976.28
401.8467, 33056.97
402.3288, 33109.75
402.8109, 33154.53
403.2930, 33201.48
403.7751, 33246.36
404.2573, 33310.35
404.7394, 33402.91
405.2215, 33511.03
405.7036, 33601.88
406.1857, 33675.83
406.6678, 33729.36
407.1500, 33744.71
407.6321, 33725.33
408.1142, 33750.68
408.5963, 33829.51
409.0784, 33930.33
409.5605, 34015.17
410.0427, 34084.88
410.5248, 34148.60
411.0069, 34209.71
411.4890, 34267.95
411.9711, 34323.78
412.4532, 34377.34
412.9354, 34422.69
413.4175, 34440.46
413.8996, 34448.15
414.3817, 34481.40
414.8638, 34578.35
415.3459, 34663.25
415.8281, 34643.78
416.3102, 34547.56
416.7923, 34468.66
417.2744, 34474.43
417.7565, 34510.69
418.2386, 34540.39
418.7208, 34562.74
419.2029, 34563.11
419.6850, 34519.02
420.1671, 34452.77
420.6492, 34396.73
421.1313, 34361.96
421.6135, 34337.86
422.0956, 34327.93
422.5777, 34335.11
423.0598, 34322.03
423.5420, 34268.13
424.0241, 34201.89
424.5062, 34144.13
424.9883, 34091.34
425.4704, 34054.16
425.9525, 34048.95
426.4347, 34062.06
426.9168, 34031.34
427.3989, 33940.31
427.8810, 33831.16
428.3631, 33717.11
428.8452, 33588.76
429.3274, 33501.29
429.8095, 33471.16
430.2916, 33462.30
430.7737, 33419.18
431.2558, 33340.59
431.7379, 33241.85
432.2201, 33113.38
432.7022, 32968.12
433.1843, 32880.50
433.6664, 32856.49
434.1485, 32837.26
434.6306, 32756.83
435.1128, 32634.08
435.5949, 32534.54
436.0770, 32482.59
436.5591, 32447.43
437.0412, 32385.44
437.5233, 32303.18
438.0055, 32229.37
438.4876, 32196.45
438.9697, 32173.76
439.4518, 32123.16
439.9339, 32032.96
440.4160, 31948.11
440.8982, 31904.43
441.3803, 31882.43
441.8624, 31852.57
442.3445, 31789.28
442.8266, 31729.82
443.3087, 31694.81
443.7909, 31683.97
444.2730, 31665.87
444.7551, 31623.42
445.2372, 31577.16
445.7193, 31540.21
446.2014, 31532.54
446.6836, 31510.61
447.1657, 31457.47
447.6478, 31389.59
448.1299, 31353.82
448.6120, 31376.83
449.0941, 31393.05
449.5763, 31373.46
450.0584, 31308.72
450.5405, 31269.73
451.0226, 31266.33
451.5047, 31272.39
451.9868, 31250.25
452.4690, 31193.57
452.9511, 31161.86
453.4332, 31179.13
453.9153, 31226.62
454.3974, 31238.67
454.8795, 31214.15
455.3617, 31191.02
455.8438, 31201.69
456.3259, 31235.76
456.8080, 31262.95
457.2901, 31278.62
457.7722, 31287.57
458.2544, 31299.36
458.7365, 31308.98
459.2186, 31303.30
459.7007, 31255.89
460.1828, 31203.42
460.6649, 31181.28
461.1471, 31190.00
461.6292, 31203.49
462.1113, 31213.08
462.5934, 31218.28
463.0755, 31217.78
463.5576, 31188.98
464.0398, 31182.16
464.5219, 31237.60
465.0040, 31329.08
465.4861, 31380.19
465.9682, 31335.99
466.4503, 31287.56
466.9325, 31268.74
467.4146, 31290.33
467.8967, 31305.71
468.3788, 31310.18
468.8609, 31312.06
469.3430, 31322.02
469.8252, 31346.60
470.3073, 31360.53
470.7894, 31349.96
471.2715, 31325.72
471.7536, 31348.81
472.2357, 31430.89
472.7179, 31507.04
473.2000, 31526.72
473.6821, 31495.97
474.1642, 31473.92
474.6463, 31462.81
475.1284, 31468.64
475.6106, 31521.40
476.0927, 31605.38
476.5748, 31654.45
477.0569, 31609.41
477.5390, 31530.61
478.0211, 31492.71
478.5033, 31494.43
478.9854, 31520.71
479.4675, 31591.38
479.9496, 31667.21
480.4317, 31703.57
480.9138, 31667.66
481.3960, 31634.82
481.8781, 31647.24
482.3602, 31686.04
482.8423, 31713.22
483.3244, 31702.86
483.8065, 31693.91
484.2887, 31702.34
484.7708, 31732.32
485.2529, 31756.65
485.7350, 31774.33
486.2171, 31786.39
486.6992, 31792.47
487.1814, 31785.85
487.6635, 31786.54
488.1456, 31795.18
488.6277, 31812.72
489.1098, 31846.17
489.5919, 31901.96
490.0741, 31949.78
490.5562, 31968.22
491.0383, 31960.15
491.5204, 31985.77
492.0026, 32053.92
492.4847, 32112.32
492.9668, 32081.82
493.4489, 31988.39
493.9310, 31929.07
494.4131, 31939.83
494.8953, 31985.39
495.3774, 32023.60
495.8595, 32057.69
496.3416, 32098.54
496.8237, 32175.75
497.3058, 32249.41
497.7880, 32278.40
498.2701, 32250.62
498.7522, 32222.44
499.2343, 32212.23
499.7164, 32219.46
500.1985, 32243.72
500.6807, 32315.92
501.1628, 32371.15
501.6449, 32379.76
502.1270, 32351.35
502.6091, 32355.22
503.0912, 32438.61
503.5734, 32506.18
504.0555, 32508.37
504.5376, 32412.99
505.0197, 32368.82
505.5018, 32391.06
505.9839, 32446.07
506.4661, 32492.90
506.9482, 32531.46
507.4303, 32566.33
507.9124, 32602.15
508.3945, 32633.18
508.8766, 32632.34
509.3588, 32600.28
509.8409, 32576.90
510.3230, 32601.12
510.8051, 32652.49
511.2872, 32683.98
511.7693, 32688.63
512.2515, 32686.04
512.7336, 32690.37
513.2157, 32700.37
513.6978, 32713.89
514.1799, 32734.64
514.6620, 32754.65
515.1442, 32767.86
515.6263, 32775.68
516.1084, 32785.73
516.5905, 32801.02
517.0726, 32818.98
517.5547, 32839.40
518.0369, 32867.73
518.5190, 32885.57
519.0011, 32880.35
519.4832, 32870.78
519.9653, 32876.99
520.4474, 32892.66
520.9296, 32941.27
521.4117, 33049.15
521.8938, 33193.78
522.3759, 33249.19
522.8580, 33196.59
523.3401, 33134.18
523.8223, 33122.61
524.3044, 33156.51
524.7865, 33192.19
525.2686, 33227.18
525.7507, 33263.79
526.2328, 33314.22
526.7150, 33369.05
527.1971, 33401.72
527.6792, 33385.81
528.1613, 33361.01
528.6434, 33368.42
529.1255, 33401.91
529.6077, 33436.86
530.0898, 33473.93
530.5719, 33498.47
531.0540, 33492.64
531.5361, 33441.58
532.0182, 33413.54
532.5004, 33436.26
532.9825, 33486.23
533.4646, 33538.77
533.9467, 33594.92
534.4288, 33651.23
534.9109, 33718.95
535.3931, 33787.31
535.8752, 33809.92
536.3573, 33764.83
536.8394, 33724.16
537.3215, 33721.54
537.8036, 33757.93
538.2858, 33800.29
538.7679, 33852.08
539.2500, 33897.47
539.7321, 33908.99
540.2142, 33895.89
540.6964, 33904.40
541.1785, 33952.50
541.6606, 34013.97
542.1427, 34060.04
542.6248, 34090.96
543.1069, 34107.61
543.5891, 34095.30
544.0712, 34079.45
544.5533, 34084.59
545.0354, 34112.70
545.5175, 34133.29
545.9996, 34117.18
546.4818, 34097.96
546.9639, 34102.35
547.4460, 34157.64
547.9281, 34206.77
548.4102, 34241.02
548.8923, 34267.66
549.3745, 34300.62
549.8566, 34344.48
550.3387, 34386.43
550.8208, 34424.23
551.3029, 34457.66
551.7850, 34482.06
552.2672, 34497.37
552.7493, 34504.68
553.2314, 34497.89
553.7135, 34480.90
554.1956, 34480.82
554.6777, 34502.59
555.1599, 34533.69
555.6420, 34559.04
556.1241, 34581.35
556.6062, 34607.43
557.0883, 34651.71
557.5704, 34690.72
558.0526, 34697.25
558.5347, 34678.58
559.0168, 34668.25
559.4989, 34690.40
559.9810, 34718.93
560.4631, 34736.46
560.9453, 34733.51
561.4274, 34745.22
561.9095, 34789.89
562.3916, 34843.70
562.8737, 34885.10
563.3558, 34908.71
563.8380, 34929.05
564.3201, 34947.25
564.8022, 34963.45
565.2843, 34972.97
565.7664, 34971.15
566.2485, 34989.95
566.7307, 35070.53
567.2128, 35189.04
567.6949, 35214.03
568.1770, 35141.77
568.6591, 35060.25
569.1412, 35043.57
569.6234, 35071.93
570.1055, 35113.64
570.5876, 35169.62
571.0697, 35217.18
571.5518, 35232.21
572.0339, 35228.27
572.5161, 35228.40
572.9982, 35227.42
573.4803, 35245.17
573.9624, 35306.09
574.4445, 35405.63
574.9266, 35468.17
575.4088, 35450.45
575.8909, 35431.73
576.3730, 35452.54
576.8551, 35533.18
577.3372, 35573.61
577.8193, 35557.02
578.3015, 35525.86
578.7836, 35534.79
579.2657, 35585.61
579.7478, 35623.88
580.2299, 35635.43
580.7120, 35632.76
581.1942, 35635.88
581.6763, 35644.84
582.1584, 35659.96
582.6405, 35676.41
583.1226, 35701.76
583.6047, 35755.91
584.0869, 35837.54
584.5690, 35899.30
585.0511, 35892.84
585.5332, 35868.11
586.0153, 35866.86
586.4974, 35912.12
586.9796, 35951.63
587.4617, 35975.30
587.9438, 35988.25
588.4259, 35998.20
588.9080, 36005.32
589.3901, 36008.12
589.8723, 36001.34
590.3544, 35990.13
590.8365, 35999.46
591.3186, 36031.27
591.8007, 36073.77
592.2828, 36133.46
592.7650, 36202.11
593.2471, 36223.69
593.7292, 36193.13
594.2113, 36164.49
594.6934, 36196.42
595.1755, 36263.48
595.6577, 36324.34
596.1398, 36374.60
596.6219, 36404.26
597.1040, 36389.78
597.5862, 36352.08
598.0683, 36329.05
598.5504, 36329.16
599.0325, 36350.15
599.5146, 36406.45
599.9968, 36494.18
600.4789, 36548.18
600.9610, 36545.31
601.4431, 36536.27
601.9252, 36548.50
602.4073, 36589.59
602.8895, 36598.11
603.3716, 36562.38
603.8537, 36523.33
604.3358, 36528.14
604.8179, 36572.51
605.3000, 36622.99
605.7822, 36678.13
606.2643, 36726.07
606.7464, 36746.07
