##NAMES=Abelsonite
##RRUFFID=R070007
##IDEAL CHEMISTRY=Ni^2+^C_31_H_32_N_4_
##LOCALITY=Green River Formation, Utah, USA
##OWNER=RRUFF
##SOURCE=Geophysical Laboratory, Carnegie Institution of Washington
##DESCRIPTION=Purple platy crystals embedded in drill core
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070007
##MEASURED CHEMISTRY=(Ni_0.92_Fe^2+^_0.05_Cr_0.02_)C_31_H_32_N_4_ ; C, H and N not measured but estimated by stoichiometry
181.5743, 43103.94
182.0564, 43259.41
182.5385, 43448.53
183.0207, 43638.74
183.5028, 43810.48
183.9849, 43964.47
184.4670, 44106.01
184.9491, 44233.55
185.4312, 44351.38
185.9134, 44471.08
186.3955, 44592.18
186.8776, 44716.15
187.3597, 44851.99
187.8418, 44996.98
188.3239, 45126.04
188.8061, 45224.61
189.2882, 45300.54
189.7703, 45371.21
190.2524, 45431.47
190.7345, 45498.31
191.2166, 45583.00
191.6988, 45685.32
192.1809, 45802.84
192.6630, 45947.61
193.1451, 46097.43
193.6272, 46217.26
194.1093, 46299.09
194.5915, 46371.40
195.0736, 46456.17
195.5557, 46550.73
196.0378, 46632.88
196.5199, 46679.78
197.0020, 46724.80
197.4842, 46814.85
197.9663, 46959.84
198.4484, 47105.06
198.9305, 47211.68
199.4126, 47284.12
199.8947, 47347.60
200.3769, 47404.37
200.8590, 47459.41
201.3411, 47518.18
201.8232, 47580.21
202.3053, 47647.04
202.7874, 47741.37
203.2696, 47849.70
203.7517, 47893.70
204.2338, 47819.40
204.7159, 47719.66
205.1980, 47690.33
205.6801, 47729.78
206.1623, 47776.71
206.6444, 47803.48
207.1265, 47810.32
207.6086, 47792.86
208.0907, 47730.37
208.5728, 47673.65
209.0550, 47665.95
209.5371, 47702.18
210.0192, 47756.67
210.5013, 47837.47
210.9834, 47928.09
211.4656, 47969.06
211.9477, 47928.02
212.4298, 47884.85
212.9119, 47911.60
213.3940, 47990.65
213.8761, 48062.94
214.3583, 48080.32
214.8404, 48073.25
215.3225, 48124.51
215.8046, 48262.45
216.2867, 48403.45
216.7688, 48490.49
217.2510, 48537.55
217.7331, 48570.79
218.2152, 48585.18
218.6973, 48595.95
219.1794, 48636.88
219.6615, 48717.66
220.1437, 48797.44
220.6258, 48839.06
221.1079, 48864.20
221.5900, 48908.02
222.0721, 48988.04
222.5542, 49087.38
223.0364, 49192.20
223.5185, 49308.87
224.0006, 49396.41
224.4827, 49395.01
224.9648, 49361.00
225.4469, 49372.05
225.9291, 49464.02
226.4112, 49579.28
226.8933, 49648.44
227.3754, 49668.14
227.8575, 49697.94
228.3396, 49773.74
228.8218, 49868.88
229.3039, 49949.87
229.7860, 50011.96
230.2681, 50061.75
230.7502, 50099.16
231.2323, 50125.09
231.7145, 50155.26
232.1966, 50189.13
232.6787, 50236.04
233.1608, 50310.70
233.6429, 50419.77
234.1250, 50522.67
234.6072, 50586.25
235.0893, 50617.16
235.5714, 50649.00
236.0535, 50690.17
236.5356, 50734.64
237.0177, 50771.55
237.4999, 50800.40
237.9820, 50840.70
238.4641, 50919.14
238.9462, 51017.33
239.4283, 51076.63
239.9104, 51070.63
240.3926, 51059.73
240.8747, 51113.39
241.3568, 51220.70
241.8389, 51320.17
242.3210, 51406.07
242.8031, 51466.23
243.2853, 51471.09
243.7674, 51408.73
244.2495, 51330.47
244.7316, 51279.89
245.2137, 51249.00
245.6958, 51210.52
246.1780, 51126.71
246.6601, 51049.98
247.1422, 51063.89
247.6243, 51175.86
248.1064, 51261.64
248.5885, 51213.83
249.0707, 51074.71
249.5528, 50991.05
250.0349, 51020.20
250.5170, 51067.18
250.9991, 51051.81
251.4812, 50983.25
251.9634, 50930.05
252.4455, 50935.32
252.9276, 50975.06
253.4097, 50980.00
253.8918, 50923.97
254.3739, 50876.84
254.8561, 50879.83
255.3382, 50919.35
255.8203, 50959.09
256.3024, 50986.31
256.7845, 51005.14
257.2667, 51024.02
257.7488, 51045.39
258.2309, 51060.27
258.7130, 51040.02
259.1951, 51018.18
259.6772, 51067.91
260.1594, 51217.42
260.6415, 51375.46
261.1236, 51398.63
261.6057, 51248.88
262.0878, 51167.04
262.5699, 51232.02
263.0521, 51347.35
263.5342, 51426.79
264.0163, 51457.45
264.4984, 51457.46
264.9805, 51436.66
265.4626, 51390.72
265.9448, 51375.69
266.4269, 51406.59
266.9090, 51453.93
267.3911, 51515.02
267.8732, 51580.84
268.3553, 51619.25
268.8375, 51599.83
269.3196, 51529.83
269.8017, 51516.46
270.2838, 51627.49
270.7659, 51708.42
271.2480, 51680.99
271.7302, 51590.71
272.2123, 51528.71
272.6944, 51542.52
273.1765, 51605.80
273.6586, 51635.64
274.1407, 51588.92
274.6229, 51560.69
275.1050, 51563.94
275.5871, 51586.16
276.0692, 51623.42
276.5513, 51672.49
277.0334, 51712.49
277.5156, 51704.64
277.9977, 51599.75
278.4798, 51547.00
278.9619, 51566.67
279.4440, 51616.41
279.9261, 51681.34
280.4083, 51752.21
280.8904, 51812.82
281.3725, 51844.49
281.8546, 51842.30
282.3367, 51841.57
282.8188, 51831.23
283.3010, 51832.89
283.7831, 51869.14
284.2652, 51924.82
284.7473, 51963.79
285.2294, 51957.68
285.7115, 51914.22
286.1937, 51893.60
286.6758, 51912.66
287.1579, 51934.81
287.6400, 51944.79
288.1221, 51955.65
288.6042, 51990.82
289.0864, 52063.34
289.5685, 52145.08
290.0506, 52171.03
290.5327, 52113.76
291.0148, 52067.99
291.4969, 52056.29
291.9791, 52057.94
292.4612, 52063.86
292.9433, 52070.83
293.4254, 52068.95
293.9075, 52033.17
294.3896, 51957.13
294.8718, 51929.68
295.3539, 52007.80
295.8360, 52092.38
296.3181, 52123.50
296.8002, 52107.82
297.2823, 52085.46
297.7645, 52081.40
