##NAMES=Serpierite
##RRUFFID=R060475
##IDEAL CHEMISTRY=Ca(Cu^2+^,Zn^2+^)_4_(S^6+^O_4_)_2_(OH)_6_&#183;3H_2_O
##LOCALITY=Oh mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Divergent sprays of blue bladed crystals associated with ktenasite, R090002
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060475
290.0885, 5497.909
290.5706, 5500.377
291.0527, 5504.479
291.5349, 5509.783
292.0170, 5516.034
292.4991, 5523.015
292.9812, 5529.847
293.4633, 5536.660
293.9454, 5542.921
294.4276, 5546.215
294.9097, 5545.836
295.3918, 5545.021
295.8739, 5548.384
296.3560, 5555.150
296.8381, 5561.705
297.3203, 5565.239
297.8024, 5567.561
298.2845, 5573.167
298.7666, 5582.511
299.2487, 5591.829
299.7308, 5596.452
300.2130, 5597.938
300.6951, 5600.689
301.1772, 5607.414
301.6593, 5615.902
302.1414, 5623.474
302.6235, 5630.040
303.1057, 5635.462
303.5878, 5638.700
304.0699, 5640.748
304.5520, 5643.366
305.0341, 5647.071
305.5162, 5651.667
305.9984, 5657.429
306.4805, 5664.154
306.9626, 5670.776
307.4447, 5676.076
307.9268, 5680.952
308.4089, 5686.475
308.8911, 5693.017
309.3732, 5700.166
309.8553, 5707.291
310.3374, 5714.636
310.8195, 5723.194
311.3016, 5733.736
311.7838, 5745.482
312.2659, 5758.304
312.7480, 5773.139
313.2301, 5786.458
313.7122, 5793.916
314.1943, 5798.424
314.6765, 5805.972
315.1586, 5821.916
315.6407, 5839.848
316.1228, 5855.958
316.6049, 5869.358
317.0870, 5882.417
317.5692, 5896.412
318.0513, 5910.578
318.5334, 5923.749
319.0155, 5935.790
319.4976, 5946.592
319.9797, 5955.114
320.4619, 5960.982
320.9440, 5968.665
321.4261, 5981.283
321.9082, 5995.412
322.3903, 6007.752
322.8724, 6016.894
323.3546, 6024.755
323.8367, 6031.319
324.3188, 6036.641
324.8009, 6042.216
325.2830, 6052.081
325.7651, 6059.971
326.2473, 6061.828
326.7294, 6050.875
327.2115, 6041.547
327.6936, 6034.837
328.1757, 6030.903
328.6578, 6029.749
329.1400, 6035.264
329.6221, 6040.531
330.1042, 6042.570
330.5863, 6038.642
331.0684, 6036.098
331.5505, 6035.475
332.0327, 6036.036
332.5148, 6036.145
332.9969, 6034.819
333.4790, 6033.916
333.9611, 6033.745
334.4432, 6033.904
334.9254, 6035.913
335.4075, 6041.530
335.8896, 6047.162
336.3717, 6047.393
336.8538, 6040.001
337.3359, 6032.212
337.8180, 6025.212
338.3001, 6019.080
338.7823, 6018.102
339.2644, 6025.226
339.7465, 6032.025
340.2286, 6029.334
340.7107, 6015.663
341.1928, 6002.261
341.6750, 5991.453
342.1571, 5982.736
342.6392, 5974.698
343.1213, 5967.337
343.6034, 5960.629
344.0855, 5954.533
344.5677, 5949.108
345.0498, 5943.890
345.5319, 5938.531
346.0140, 5933.939
346.4961, 5932.800
346.9782, 5934.952
347.4604, 5936.256
347.9425, 5933.363
348.4246, 5927.552
348.9067, 5923.753
349.3888, 5922.452
349.8709, 5922.032
350.3531, 5920.515
350.8352, 5918.186
351.3173, 5916.138
351.7994, 5913.787
352.2815, 5912.282
352.7636, 5914.055
353.2458, 5919.040
353.7279, 5924.710
354.2100, 5929.778
354.6921, 5933.866
355.1742, 5936.427
355.6563, 5937.814
356.1385, 5936.984
356.6206, 5930.796
357.1027, 5920.518
357.5848, 5912.714
358.0669, 5914.060
358.5490, 5918.299
359.0312, 5919.290
359.5133, 5914.690
359.9954, 5909.483
360.4775, 5905.802
360.9596, 5903.688
361.4417, 5903.201
361.9239, 5906.704
362.4060, 5910.146
362.8881, 5911.150
363.3702, 5909.132
363.8523, 5906.681
364.3344, 5904.360
364.8166, 5902.167
365.2987, 5900.081
365.7808, 5896.651
366.2629, 5894.854
366.7450, 5896.005
367.2271, 5900.086
367.7093, 5904.133
368.1914, 5908.916
368.6735, 5912.771
369.1556, 5914.580
369.6377, 5911.086
370.1198, 5909.388
370.6020, 5909.882
371.0841, 5912.292
371.5662, 5916.031
372.0483, 5923.780
372.5304, 5929.408
373.0125, 5929.473
373.4947, 5920.257
373.9768, 5916.276
374.4589, 5919.348
374.9410, 5926.138
375.4231, 5931.380
375.9052, 5934.729
376.3874, 5937.974
376.8695, 5942.248
377.3516, 5947.601
377.8337, 5949.492
378.3158, 5947.092
378.7979, 5944.050
379.2801, 5944.055
379.7622, 5947.272
380.2443, 5950.938
380.7264, 5954.123
381.2085, 5957.800
381.6906, 5965.842
382.1728, 5978.269
382.6549, 5989.446
383.1370, 5993.156
383.6191, 5991.745
384.1012, 5995.377
384.5833, 6006.061
385.0655, 6018.183
385.5476, 6023.250
386.0297, 6023.033
386.5118, 6023.912
386.9939, 6030.321
387.4760, 6039.156
387.9582, 6046.143
388.4403, 6051.289
388.9224, 6055.440
389.4045, 6058.615
389.8866, 6061.482
390.3687, 6064.990
390.8509, 6069.528
391.3330, 6074.855
391.8151, 6081.729
392.2972, 6089.628
392.7793, 6096.387
393.2614, 6100.123
393.7436, 6102.811
394.2257, 6105.315
394.7078, 6106.194
395.1899, 6110.695
395.6720, 6122.763
396.1541, 6139.171
396.6363, 6154.775
397.1184, 6168.700
397.6005, 6181.190
398.0826, 6191.851
398.5647, 6200.399
399.0468, 6209.393
399.5290, 6218.724
400.0111, 6228.789
400.4932, 6239.889
400.9753, 6251.472
401.4574, 6264.983
401.9395, 6281.306
402.4217, 6299.826
402.9038, 6317.161
403.3859, 6332.401
403.8680, 6347.851
404.3501, 6364.822
404.8322, 6383.717
405.3144, 6402.027
405.7965, 6418.821
406.2786, 6435.860
406.7607, 6455.570
407.2428, 6477.873
407.7249, 6503.452
408.2071, 6533.476
408.6892, 6567.063
409.1713, 6596.767
409.6534, 6621.772
410.1355, 6648.193
410.6176, 6683.617
411.0998, 6726.359
411.5819, 6765.490
412.0640, 6797.936
412.5461, 6827.467
413.0282, 6861.078
413.5103, 6898.039
413.9925, 6934.809
414.4746, 6968.172
414.9567, 7000.796
415.4388, 7036.607
415.9209, 7076.442
416.4030, 7117.458
416.8852, 7161.702
417.3673, 7205.276
417.8494, 7242.014
418.3315, 7263.245
418.8136, 7282.567
419.2957, 7309.881
419.7779, 7343.910
420.2600, 7377.249
420.7421, 7408.723
421.2242, 7436.907
421.7063, 7459.709
422.1884, 7475.143
422.6706, 7489.386
423.1527, 7508.692
423.6348, 7527.434
424.1169, 7535.189
424.5990, 7522.117
425.0811, 7505.824
425.5633, 7491.140
426.0454, 7478.406
426.5275, 7464.867
427.0096, 7452.985
427.4917, 7437.926
427.9738, 7415.151
428.4560, 7380.928
428.9381, 7346.769
429.4202, 7314.912
429.9023, 7284.146
430.3844, 7247.638
430.8665, 7203.407
431.3487, 7159.660
431.8308, 7120.243
432.3129, 7085.412
432.7950, 7053.315
433.2771, 7024.107
433.7592, 6997.747
434.2414, 6973.969
434.7235, 6952.771
435.2056, 6933.616
435.6877, 6916.624
436.1698, 6901.552
436.6519, 6887.559
437.1341, 6874.718
437.6162, 6863.456
438.0983, 6854.956
438.5804, 6847.952
439.0625, 6839.931
439.5446, 6830.000
440.0268, 6820.693
440.5089, 6814.325
440.9910, 6810.201
441.4731, 6807.010
441.9552, 6805.321
442.4373, 6803.317
442.9195, 6799.176
443.4016, 6792.877
443.8837, 6787.432
444.3658, 6785.324
444.8479, 6783.688
445.3300, 6780.241
445.8122, 6771.936
446.2943, 6764.967
446.7764, 6760.711
447.2585, 6758.453
447.7406, 6756.442
448.2227, 6758.681
448.7049, 6756.992
449.1870, 6747.653
449.6691, 6728.907
450.1512, 6714.016
450.6333, 6704.636
451.1154, 6697.670
451.5976, 6690.533
452.0797, 6683.623
452.5618, 6675.730
453.0439, 6666.074
453.5260, 6655.832
454.0081, 6648.428
454.4903, 6644.331
454.9724, 6640.114
455.4545, 6631.814
455.9366, 6620.754
456.4187, 6617.047
456.9008, 6621.797
457.3830, 6629.337
457.8651, 6633.162
458.3472, 6634.197
458.8293, 6635.374
459.3114, 6637.481
459.7935, 6640.171
460.2757, 6643.982
460.7578, 6648.346
461.2399, 6650.810
461.7220, 6647.890
462.2041, 6643.420
462.6862, 6641.011
463.1684, 6641.377
463.6505, 6643.210
464.1326, 6649.536
464.6147, 6655.972
465.0968, 6656.867
465.5789, 6642.632
466.0611, 6630.855
466.5432, 6628.607
467.0253, 6635.095
467.5074, 6639.117
467.9895, 6637.308
468.4716, 6634.548
468.9538, 6632.926
469.4359, 6631.938
469.9180, 6633.308
470.4001, 6638.428
470.8822, 6644.819
471.3643, 6648.455
471.8465, 6647.967
472.3286, 6648.490
472.8107, 6651.788
473.2928, 6657.121
473.7749, 6660.339
474.2570, 6661.024
474.7392, 6661.440
475.2213, 6663.130
475.7034, 6666.008
476.1855, 6670.037
476.6676, 6675.818
477.1497, 6680.892
477.6319, 6680.618
478.1140, 6676.629
478.5961, 6674.124
479.0782, 6675.956
479.5603, 6680.139
480.0424, 6685.333
480.5246, 6691.294
481.0067, 6695.937
481.4888, 6697.377
481.9709, 6697.186
482.4530, 6696.776
482.9352, 6696.654
483.4173, 6695.568
483.8994, 6691.495
484.3815, 6686.378
484.8636, 6683.243
485.3457, 6682.688
485.8279, 6684.190
486.3100, 6689.176
486.7921, 6697.646
487.2742, 6702.469
487.7563, 6701.576
488.2384, 6699.407
488.7206, 6698.917
489.2027, 6702.590
489.6848, 6701.089
490.1669, 6692.029
490.6490, 6680.376
491.1311, 6674.675
491.6133, 6676.076
492.0954, 6675.665
492.5775, 6669.472
493.0596, 6659.634
493.5417, 6654.563
494.0238, 6654.251
494.5060, 6654.754
494.9881, 6654.117
495.4702, 6651.857
495.9523, 6646.058
496.4344, 6635.673
496.9165, 6625.104
497.3987, 6620.821
497.8808, 6619.281
498.3629, 6613.922
498.8450, 6597.234
499.3271, 6579.945
499.8092, 6570.242
500.2914, 6566.758
500.7735, 6562.326
501.2556, 6553.906
501.7377, 6543.905
502.2198, 6533.627
502.7019, 6522.946
503.1841, 6512.777
503.6662, 6502.979
504.1483, 6493.954
504.6304, 6486.380
505.1125, 6482.008
505.5946, 6476.285
506.0768, 6467.279
506.5589, 6456.178
507.0410, 6449.479
507.5231, 6448.712
508.0052, 6447.854
508.4873, 6443.180
508.9695, 6434.658
509.4516, 6427.110
509.9337, 6420.346
510.4158, 6415.196
510.8979, 6414.807
511.3800, 6417.513
511.8622, 6415.393
512.3443, 6404.068
512.8264, 6390.290
513.3085, 6382.791
513.7906, 6380.495
514.2728, 6379.497
514.7549, 6378.474
515.2370, 6377.313
515.7191, 6376.680
516.2012, 6376.803
516.6833, 6374.385
517.1655, 6364.636
517.6476, 6353.508
518.1297, 6346.120
518.6118, 6346.966
519.0939, 6347.400
