##NAMES=Enstatite
##RRUFFID=R120174
##IDEAL CHEMISTRY=MgSiO_3_
##LOCALITY=Nuestra Señora del Carmen Mines, La Celia, Jumilla, Murcia, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Transparent, pale greenish-brown bladed crystals associated with R120173 pseudobrookite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120174
1.326616e+002, 1.411608e+002
1.331437e+002, 1.396404e+002
1.336258e+002, 1.383970e+002
1.341079e+002, 1.374908e+002
1.345901e+002, 1.364372e+002
1.350722e+002, 1.350266e+002
1.355543e+002, 1.336610e+002
1.360364e+002, 1.325874e+002
1.365185e+002, 1.318228e+002
1.370006e+002, 1.312223e+002
1.374828e+002, 1.306800e+002
1.379649e+002, 1.302326e+002
1.384470e+002, 1.295750e+002
1.389291e+002, 1.285666e+002
1.394112e+002, 1.273865e+002
1.398933e+002, 1.261873e+002
1.403755e+002, 1.249736e+002
1.408576e+002, 1.238752e+002
1.413397e+002, 1.232243e+002
1.418218e+002, 1.229876e+002
1.423039e+002, 1.225204e+002
1.427860e+002, 1.212559e+002
1.432681e+002, 1.194763e+002
1.437503e+002, 1.182424e+002
1.442324e+002, 1.180782e+002
1.447145e+002, 1.182247e+002
1.451966e+002, 1.180706e+002
1.456787e+002, 1.176013e+002
1.461608e+002, 1.168363e+002
1.466430e+002, 1.156604e+002
1.471251e+002, 1.140107e+002
1.476072e+002, 1.125470e+002
1.480893e+002, 1.113668e+002
1.485714e+002, 1.104300e+002
1.490535e+002, 1.097833e+002
1.495357e+002, 1.094289e+002
1.500178e+002, 1.092481e+002
1.504999e+002, 1.091245e+002
1.509820e+002, 1.092277e+002
1.514641e+002, 1.089826e+002
1.519462e+002, 1.081316e+002
1.524284e+002, 1.071016e+002
1.529105e+002, 1.061821e+002
1.533926e+002, 1.054925e+002
1.538747e+002, 1.050032e+002
1.543568e+002, 1.046529e+002
1.548389e+002, 1.047416e+002
1.553211e+002, 1.046052e+002
1.558032e+002, 1.040074e+002
1.562853e+002, 1.032300e+002
1.567674e+002, 1.026246e+002
1.572495e+002, 1.023723e+002
1.577316e+002, 1.023831e+002
1.582138e+002, 1.022791e+002
1.586959e+002, 1.019867e+002
1.591780e+002, 1.016811e+002
1.596601e+002, 1.014228e+002
1.601422e+002, 1.011846e+002
1.606243e+002, 1.008963e+002
1.611065e+002, 1.005113e+002
1.615886e+002, 1.000491e+002
1.620707e+002, 9.961895e+001
1.625528e+002, 9.922563e+001
1.630349e+002, 9.885757e+001
1.635170e+002, 9.854340e+001
1.639991e+002, 9.827315e+001
1.644813e+002, 9.794776e+001
1.649634e+002, 9.746800e+001
1.654455e+002, 9.689571e+001
1.659276e+002, 9.637457e+001
1.664097e+002, 9.589158e+001
1.668918e+002, 9.548496e+001
1.673740e+002, 9.523867e+001
1.678561e+002, 9.519064e+001
1.683382e+002, 9.512398e+001
1.688203e+002, 9.491666e+001
1.693024e+002, 9.461597e+001
1.697845e+002, 9.424561e+001
1.702667e+002, 9.373633e+001
1.707488e+002, 9.320982e+001
1.712309e+002, 9.298990e+001
1.717130e+002, 9.328300e+001
1.721951e+002, 9.350840e+001
1.726772e+002, 9.349980e+001
1.731594e+002, 9.328602e+001
1.736415e+002, 9.286879e+001
1.741236e+002, 9.217408e+001
1.746057e+002, 9.128693e+001
1.750878e+002, 9.074574e+001
1.755699e+002, 9.087679e+001
1.760521e+002, 9.101882e+001
1.765342e+002, 9.104499e+001
1.770163e+002, 9.095330e+001
1.774984e+002, 9.074577e+001
1.779805e+002, 9.039551e+001
1.784626e+002, 8.989939e+001
1.789448e+002, 8.961825e+001
1.794269e+002, 8.976986e+001
1.799090e+002, 8.991995e+001
1.803911e+002, 8.996462e+001
1.808732e+002, 8.990095e+001
1.813553e+002, 8.975752e+001
1.818375e+002, 8.955019e+001
1.823196e+002, 8.926842e+001
1.828017e+002, 8.902390e+001
1.832838e+002, 8.885874e+001
1.837659e+002, 8.868400e+001
1.842480e+002, 8.838058e+001
1.847301e+002, 8.798972e+001
1.852123e+002, 8.773605e+001
1.856944e+002, 8.789379e+001
1.861765e+002, 8.855119e+001
1.866586e+002, 8.872317e+001
1.871407e+002, 8.807578e+001
1.876228e+002, 8.720351e+001
1.881050e+002, 8.648811e+001
1.885871e+002, 8.598066e+001
1.890692e+002, 8.560896e+001
1.895513e+002, 8.532792e+001
1.900334e+002, 8.514071e+001
1.905155e+002, 8.500386e+001
1.909977e+002, 8.506509e+001
1.914798e+002, 8.510655e+001
1.919619e+002, 8.480431e+001
1.924440e+002, 8.406087e+001
1.929261e+002, 8.329454e+001
1.934082e+002, 8.295747e+001
1.938904e+002, 8.293545e+001
1.943725e+002, 8.293938e+001
1.948546e+002, 8.291346e+001
1.953367e+002, 8.284963e+001
1.958188e+002, 8.274348e+001
1.963009e+002, 8.261718e+001
1.967831e+002, 8.239072e+001
1.972652e+002, 8.190273e+001
1.977473e+002, 8.125790e+001
1.982294e+002, 8.074358e+001
1.987115e+002, 8.058316e+001
1.991936e+002, 8.069224e+001
1.996758e+002, 8.070058e+001
2.001579e+002, 8.051695e+001
2.006400e+002, 8.034658e+001
2.011221e+002, 8.034122e+001
2.016042e+002, 8.043970e+001
2.020863e+002, 8.049027e+001
2.025685e+002, 8.037953e+001
2.030506e+002, 8.011532e+001
2.035327e+002, 7.982933e+001
2.040148e+002, 7.945776e+001
2.044969e+002, 7.913536e+001
2.049790e+002, 7.890541e+001
2.054612e+002, 7.876472e+001
2.059433e+002, 7.870158e+001
2.064254e+002, 7.873696e+001
2.069075e+002, 7.888194e+001
2.073896e+002, 7.890544e+001
2.078717e+002, 7.854604e+001
2.083539e+002, 7.829978e+001
2.088360e+002, 7.835813e+001
2.093181e+002, 7.867680e+001
2.098002e+002, 7.911600e+001
2.102823e+002, 7.958891e+001
2.107644e+002, 8.012886e+001
2.112466e+002, 8.037097e+001
2.117287e+002, 7.990405e+001
2.122108e+002, 7.954935e+001
2.126929e+002, 7.974509e+001
2.131750e+002, 8.038513e+001
2.136571e+002, 8.103392e+001
2.141393e+002, 8.126788e+001
2.146214e+002, 8.098648e+001
2.151035e+002, 8.101270e+001
2.155856e+002, 8.151763e+001
2.160677e+002, 8.210283e+001
2.165498e+002, 8.255894e+001
2.170320e+002, 8.289712e+001
2.175141e+002, 8.326156e+001
2.179962e+002, 8.376744e+001
2.184783e+002, 8.442449e+001
2.189604e+002, 8.526975e+001
2.194425e+002, 8.662013e+001
2.199247e+002, 8.788521e+001
2.204068e+002, 8.853537e+001
2.208889e+002, 8.863502e+001
2.213710e+002, 8.884679e+001
2.218531e+002, 8.980113e+001
2.223352e+002, 9.155846e+001
2.228174e+002, 9.298463e+001
2.232995e+002, 9.384551e+001
2.237816e+002, 9.455424e+001
2.242637e+002, 9.538131e+001
2.247458e+002, 9.634738e+001
2.252279e+002, 9.738824e+001
2.257100e+002, 9.849435e+001
2.261922e+002, 9.964156e+001
2.266743e+002, 1.006930e+002
2.271564e+002, 1.015923e+002
2.276385e+002, 1.024200e+002
2.281206e+002, 1.033195e+002
2.286027e+002, 1.043062e+002
2.290849e+002, 1.050524e+002
2.295670e+002, 1.051919e+002
2.300491e+002, 1.048886e+002
2.305312e+002, 1.046078e+002
2.310133e+002, 1.046231e+002
2.314954e+002, 1.045822e+002
2.319776e+002, 1.040376e+002
2.324597e+002, 1.029386e+002
2.329418e+002, 1.016953e+002
2.334239e+002, 1.006027e+002
2.339060e+002, 9.951682e+001
2.343881e+002, 9.818150e+001
2.348703e+002, 9.639687e+001
2.353524e+002, 9.444963e+001
2.358345e+002, 9.275597e+001
2.363166e+002, 9.137985e+001
2.367987e+002, 8.994939e+001
2.372808e+002, 8.818441e+001
2.377630e+002, 8.627721e+001
2.382451e+002, 8.436054e+001
2.387272e+002, 8.234524e+001
2.392093e+002, 8.052616e+001
