##NAMES=Creaseyite
##RRUFFID=R140557
##IDEAL CHEMISTRY=Cu^2+^_2_Pb^2+^_2_Fe^3+^_2_Si_5_O_17_&#183;6H_2_O
##LOCALITY=Evening Star mine, Tiger Wash, Belmont Mountain, Tonopah, Osborn District, Big Horn Mts, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Radiating aggregate of acicular pale-green crystals, associated with prismatic yellow hedyphane.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140557
2.093481e+002, 1.367500e+004
2.098303e+002, 1.338470e+004
2.103124e+002, 1.314548e+004
2.107945e+002, 1.295950e+004
2.112766e+002, 1.282498e+004
2.117587e+002, 1.273074e+004
2.122408e+002, 1.268351e+004
2.127230e+002, 1.266250e+004
2.132051e+002, 1.265963e+004
2.136872e+002, 1.268437e+004
2.141693e+002, 1.269533e+004
2.146514e+002, 1.269202e+004
2.151335e+002, 1.267101e+004
2.156156e+002, 1.261692e+004
2.160978e+002, 1.252475e+004
2.165799e+002, 1.240711e+004
2.170620e+002, 1.226756e+004
2.175441e+002, 1.209741e+004
2.180262e+002, 1.192801e+004
2.185083e+002, 1.175819e+004
2.189905e+002, 1.158908e+004
2.194726e+002, 1.143504e+004
2.199547e+002, 1.129429e+004
2.204368e+002, 1.116760e+004
2.209189e+002, 1.105695e+004
2.214010e+002, 1.096204e+004
2.218832e+002, 1.088216e+004
2.223653e+002, 1.081716e+004
2.228474e+002, 1.076721e+004
2.233295e+002, 1.073000e+004
2.238116e+002, 1.070635e+004
2.242937e+002, 1.069540e+004
2.247759e+002, 1.069577e+004
2.252580e+002, 1.070341e+004
2.257401e+002, 1.073270e+004
2.262222e+002, 1.078907e+004
2.267043e+002, 1.086763e+004
2.271864e+002, 1.095064e+004
2.276686e+002, 1.103187e+004
2.281507e+002, 1.112412e+004
2.286328e+002, 1.123429e+004
2.291149e+002, 1.136605e+004
2.295970e+002, 1.150627e+004
2.300791e+002, 1.165264e+004
2.305613e+002, 1.180701e+004
2.310434e+002, 1.197131e+004
2.315255e+002, 1.214227e+004
2.320076e+002, 1.232509e+004
2.324897e+002, 1.252314e+004
2.329718e+002, 1.274766e+004
2.334540e+002, 1.296244e+004
2.339361e+002, 1.317083e+004
2.344182e+002, 1.336949e+004
2.349003e+002, 1.355154e+004
2.353824e+002, 1.372524e+004
2.358645e+002, 1.387064e+004
2.363467e+002, 1.397798e+004
2.368288e+002, 1.404450e+004
2.373109e+002, 1.407825e+004
2.377930e+002, 1.407753e+004
2.382751e+002, 1.404414e+004
2.387572e+002, 1.398257e+004
2.392394e+002, 1.388438e+004
