##NAMES=Fredrikssonite
##RRUFFID=R130112
##IDEAL CHEMISTRY=Mg_2_Mn^3+^O_2_(BO_3_)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Opaque reddish black striated prismatic crystals, associated with calcite and granular hausmannite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130112
1.317879e+002, 2.728235e+001
1.322700e+002, 2.735648e+001
1.327521e+002, 2.750271e+001
1.332343e+002, 2.778169e+001
1.337164e+002, 2.799578e+001
1.341985e+002, 2.764387e+001
1.346806e+002, 2.667622e+001
1.351627e+002, 2.579763e+001
1.356448e+002, 2.559212e+001
1.361270e+002, 2.607100e+001
1.366091e+002, 2.631146e+001
1.370912e+002, 2.614952e+001
1.375733e+002, 2.569926e+001
1.380554e+002, 2.532509e+001
1.385375e+002, 2.503895e+001
1.390197e+002, 2.479176e+001
1.395018e+002, 2.453591e+001
1.399839e+002, 2.426141e+001
1.404660e+002, 2.403784e+001
1.409481e+002, 2.390285e+001
1.414302e+002, 2.384467e+001
1.419124e+002, 2.368067e+001
1.423945e+002, 2.333814e+001
1.428766e+002, 2.299097e+001
1.433587e+002, 2.283437e+001
1.438408e+002, 2.299410e+001
1.443229e+002, 2.309015e+001
1.448051e+002, 2.303744e+001
1.452872e+002, 2.281869e+001
1.457693e+002, 2.256141e+001
1.462514e+002, 2.219625e+001
1.467335e+002, 2.183231e+001
1.472156e+002, 2.160989e+001
1.476978e+002, 2.164644e+001
1.481799e+002, 2.168373e+001
1.486620e+002, 2.167943e+001
1.491441e+002, 2.168107e+001
1.496262e+002, 2.150564e+001
1.501083e+002, 2.090622e+001
1.505905e+002, 2.017165e+001
1.510726e+002, 1.981020e+001
1.515547e+002, 2.036254e+001
1.520368e+002, 2.082386e+001
1.525189e+002, 2.086550e+001
1.530010e+002, 2.015299e+001
1.534832e+002, 1.958875e+001
1.539653e+002, 1.922356e+001
1.544474e+002, 1.904453e+001
1.549295e+002, 1.902062e+001
1.554116e+002, 1.947098e+001
1.558937e+002, 1.984227e+001
1.563759e+002, 1.986127e+001
1.568580e+002, 1.911836e+001
1.573401e+002, 1.852369e+001
1.578222e+002, 1.830215e+001
1.583043e+002, 1.838024e+001
1.587864e+002, 1.848691e+001
1.592686e+002, 1.863955e+001
1.597507e+002, 1.874496e+001
1.602328e+002, 1.874346e+001
1.607149e+002, 1.858355e+001
1.611970e+002, 1.835258e+001
1.616791e+002, 1.801901e+001
1.621613e+002, 1.761031e+001
1.626434e+002, 1.727623e+001
1.631255e+002, 1.707098e+001
1.636076e+002, 1.697393e+001
1.640897e+002, 1.696672e+001
1.645718e+002, 1.719960e+001
1.650540e+002, 1.739195e+001
1.655361e+002, 1.736099e+001
1.660182e+002, 1.711464e+001
1.665003e+002, 1.688283e+001
1.669824e+002, 1.681374e+001
1.674645e+002, 1.682203e+001
1.679467e+002, 1.680309e+001
1.684288e+002, 1.674355e+001
1.689109e+002, 1.662449e+001
1.693930e+002, 1.635166e+001
1.698751e+002, 1.590983e+001
1.703572e+002, 1.561404e+001
1.708394e+002, 1.586477e+001
1.713215e+002, 1.639003e+001
1.718036e+002, 1.672701e+001
1.722857e+002, 1.645860e+001
1.727678e+002, 1.601981e+001
1.732499e+002, 1.583305e+001
1.737321e+002, 1.593732e+001
1.742142e+002, 1.619634e+001
1.746963e+002, 1.656361e+001
1.751784e+002, 1.700459e+001
1.756605e+002, 1.743931e+001
1.761426e+002, 1.785440e+001
1.766248e+002, 1.822632e+001
1.771069e+002, 1.849753e+001
1.775890e+002, 1.864395e+001
1.780711e+002, 1.877557e+001
1.785532e+002, 1.896622e+001
1.790353e+002, 1.923004e+001
1.795175e+002, 1.960941e+001
1.799996e+002, 2.025265e+001
1.804817e+002, 2.101165e+001
1.809638e+002, 2.159237e+001
1.814459e+002, 2.192773e+001
1.819280e+002, 2.216999e+001
1.824102e+002, 2.249036e+001
1.828923e+002, 2.288472e+001
1.833744e+002, 2.336625e+001
1.838565e+002, 2.403192e+001
1.843386e+002, 2.479910e+001
1.848207e+002, 2.540429e+001
1.853029e+002, 2.580260e+001
1.857850e+002, 2.605441e+001
1.862671e+002, 2.621413e+001
1.867492e+002, 2.628692e+001
1.872313e+002, 2.639420e+001
1.877134e+002, 2.659961e+001
1.881956e+002, 2.690593e+001
1.886777e+002, 2.735182e+001
1.891598e+002, 2.802980e+001
1.896419e+002, 2.875518e+001
1.901240e+002, 2.903890e+001
1.906061e+002, 2.886187e+001
1.910883e+002, 2.872552e+001
1.915704e+002, 2.909614e+001
1.920525e+002, 2.991932e+001
1.925346e+002, 3.059880e+001
1.930167e+002, 3.095860e+001
1.934988e+002, 3.113656e+001
1.939810e+002, 3.150656e+001
1.944631e+002, 3.206834e+001
1.949452e+002, 3.267841e+001
1.954273e+002, 3.307741e+001
1.959094e+002, 3.327221e+001
1.963915e+002, 3.350479e+001
1.968737e+002, 3.382953e+001
1.973558e+002, 3.421936e+001
1.978379e+002, 3.462108e+001
1.983200e+002, 3.505730e+001
1.988021e+002, 3.540704e+001
1.992842e+002, 3.547327e+001
1.997664e+002, 3.523295e+001
2.002485e+002, 3.521018e+001
2.007306e+002, 3.561231e+001
2.012127e+002, 3.632162e+001
2.016948e+002, 3.664584e+001
2.021769e+002, 3.651160e+001
2.026591e+002, 3.624362e+001
2.031412e+002, 3.614595e+001
2.036233e+002, 3.623589e+001
2.041054e+002, 3.635299e+001
2.045875e+002, 3.650035e+001
2.050696e+002, 3.665944e+001
2.055518e+002, 3.656356e+001
2.060339e+002, 3.605957e+001
2.065160e+002, 3.564014e+001
2.069981e+002, 3.598978e+001
2.074802e+002, 3.735966e+001
2.079623e+002, 3.827998e+001
2.084445e+002, 3.824543e+001
2.089266e+002, 3.731136e+001
2.094087e+002, 3.687522e+001
2.098908e+002, 3.708543e+001
2.103729e+002, 3.750454e+001
2.108550e+002, 3.764494e+001
2.113372e+002, 3.742409e+001
2.118193e+002, 3.721116e+001
2.123014e+002, 3.706202e+001
2.127835e+002, 3.697596e+001
2.132656e+002, 3.710152e+001
2.137477e+002, 3.753687e+001
2.142299e+002, 3.804474e+001
2.147120e+002, 3.832619e+001
2.151941e+002, 3.830595e+001
2.156762e+002, 3.828084e+001
2.161583e+002, 3.833818e+001
2.166404e+002, 3.848524e+001
2.171226e+002, 3.855613e+001
2.176047e+002, 3.852742e+001
2.180868e+002, 3.845080e+001
2.185689e+002, 3.837125e+001
2.190510e+002, 3.824760e+001
2.195331e+002, 3.821957e+001
2.200153e+002, 3.834253e+001
2.204974e+002, 3.863380e+001
2.209795e+002, 3.891484e+001
2.214616e+002, 3.926754e+001
2.219437e+002, 3.953172e+001
2.224258e+002, 3.946013e+001
2.229080e+002, 3.884393e+001
2.233901e+002, 3.834279e+001
2.238722e+002, 3.814873e+001
2.243543e+002, 3.828625e+001
2.248364e+002, 3.848995e+001
2.253185e+002, 3.881919e+001
2.258007e+002, 3.915588e+001
2.262828e+002, 3.933866e+001
2.267649e+002, 3.927497e+001
2.272470e+002, 3.923635e+001
2.277291e+002, 3.931165e+001
2.282112e+002, 3.952646e+001
2.286934e+002, 3.965972e+001
2.291755e+002, 3.969938e+001
2.296576e+002, 3.966856e+001
2.301397e+002, 3.958435e+001
