##NAMES=Osmium
##RRUFFID=R080088
##IDEAL CHEMISTRY=Os
##LOCALITY=Goodnews Bay, Bethel Borough, Alaska, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Navy blue, fine powder
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080088
156.6449, 12.45139
157.1271, 12.21841
157.6092, 12.19004
158.0913, 12.64940
158.5734, 12.96039
159.0555, 12.83695
159.5376, 12.41019
160.0198, 12.01524
160.5019, 11.82298
160.9840, 11.82010
161.4661, 11.89515
161.9482, 12.17395
162.4303, 12.39935
162.9125, 12.34053
163.3946, 12.01024
163.8767, 11.70837
164.3588, 11.63769
164.8409, 11.70648
165.3230, 11.75692
165.8052, 11.75222
166.2873, 11.72934
166.7694, 11.75983
167.2515, 11.88143
167.7336, 11.92386
168.2157, 11.71192
168.6979, 11.40207
169.1800, 11.17996
169.6621, 11.14731
170.1442, 11.23613
170.6263, 11.24156
171.1084, 11.05999
171.5906, 10.96577
172.0727, 11.09729
172.5548, 11.34681
173.0369, 11.57072
173.5190, 11.68727
174.0011, 11.70122
174.4833, 11.65149
174.9654, 11.43786
175.4475, 11.25630
175.9296, 11.17554
176.4117, 11.15721
176.8938, 11.11394
177.3760, 10.96650
177.8581, 10.70757
178.3402, 10.63904
178.8223, 10.95167
179.3044, 11.24508
179.7865, 11.38675
180.2687, 11.38576
180.7508, 11.30896
181.2329, 11.20828
181.7150, 11.08147
182.1971, 10.93472
182.6792, 10.62138
183.1614, 10.40778
183.6435, 10.54271
184.1256, 10.99750
184.6077, 11.43845
185.0898, 11.55714
185.5719, 11.32161
186.0541, 11.12645
186.5362, 10.98282
187.0183, 10.88014
187.5004, 10.82430
187.9825, 10.81833
188.4646, 10.81201
188.9468, 10.70751
189.4289, 10.54730
189.9110, 10.52508
190.3931, 10.88209
190.8752, 11.34370
191.3573, 11.42593
191.8395, 10.97175
192.3216, 10.48366
192.8037, 10.41211
193.2858, 10.60841
193.7679, 10.74488
194.2500, 10.56668
194.7322, 10.20442
195.2143, 10.10874
195.6964, 10.46154
196.1785, 10.81849
196.6606, 10.94704
197.1427, 10.89852
197.6249, 10.77684
198.1070, 10.58862
198.5891, 10.35564
199.0712, 10.31471
199.5533, 10.69537
200.0354, 11.02159
200.5176, 11.04755
200.9997, 10.87148
201.4818, 10.73502
201.9639, 10.87392
202.4460, 11.30206
202.9281, 11.46293
203.4103, 10.93360
203.8924, 10.50864
204.3745, 10.52442
204.8566, 10.86612
205.3387, 11.20075
205.8208, 11.22823
206.3030, 10.90783
206.7851, 10.65674
207.2672, 10.47724
207.7493, 10.35435
208.2314, 10.31369
208.7135, 10.33445
209.1957, 10.35726
209.6778, 10.32049
210.1599, 10.20467
210.6420, 10.19575
211.1241, 10.37376
211.6062, 10.56624
212.0884, 10.71088
212.5705, 10.79311
213.0526, 10.79714
213.5347, 10.68751
214.0168, 10.44415
214.4989, 10.32232
214.9811, 10.42838
215.4632, 10.56184
215.9453, 10.60360
216.4274, 10.54405
216.9095, 10.41757
217.3916, 10.22696
217.8737, 9.975214
218.3559, 9.814220
218.8380, 9.731936
219.3201, 9.749223
219.8022, 9.953076
220.2843, 10.34937
220.7664, 10.69270
221.2486, 10.74975
221.7307, 10.57618
222.2128, 10.42081
222.6949, 10.29827
223.1770, 10.21976
223.6591, 10.21883
224.1413, 10.30760
224.6234, 10.39339
225.1055, 10.40678
225.5876, 10.36933
226.0697, 10.31309
226.5518, 10.24188
227.0340, 10.15866
227.5161, 10.03334
227.9982, 9.822064
228.4803, 9.724932
228.9624, 10.01268
229.4445, 10.13034
229.9267, 10.52695
230.4088, 10.74994
230.8909, 10.80864
231.3730, 10.21098
231.8551, 10.46087
232.3372, 10.37111
232.8194, 10.26741
233.3015, 10.63660
233.7836, 10.13441
234.2657, 10.49609
234.7478, 10.51293
235.2299, 10.68759
235.7121, 10.52050
236.1942, 10.45897
236.6763, 10.73930
237.1584, 10.83034
237.6405, 10.62391
238.1227, 10.80861
238.6048, 9.958186
239.0869, 9.807756
239.5690, 10.28288
240.0511, 10.60872
240.5332, 10.55687
241.0154, 10.34443
241.4975, 10.17241
241.9796, 10.12621
242.4617, 10.17386
242.9438, 10.24079
243.4259, 10.34910
243.9081, 10.44222
244.3902, 10.52249
244.8723, 10.58251
245.3544, 10.60055
245.8365, 10.57026
246.3186, 10.52775
246.8008, 10.56330
247.2829, 10.81126
247.7650, 10.93669
248.2471, 10.85486
248.7292, 10.68958
