##NAMES=Omphacite
##RRUFFID=R061129
##IDEAL CHEMISTRY=(Ca,Na)(Mg,Fe^2+^,Al)Si_2_O_6_
##LOCALITY=near Occidental, Sonoma County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Green granular massive associated with brown grossular and clinochlore
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061129
##MEASURED CHEMISTRY=(Ca_0.51_Na_0.48_)_Σ=0.99_(Mg_0.44_Al_0.44_Fe^2+^_0.14_Fe^3+^_0.02_)_Σ=1.04_Si_2.00_O_6_ ; (darker phase) : (Mg_2.52_Al_0.32_Fe^2+^_2.13_Mn_0.03_)_Σ=5_Al_0.94_(Si_3.00_Al_1.17_)O_10_(OH)_8_ ( lighter, secondary phase = clinochlore)
174.3428, 3175.593
174.8249, 3202.803
175.3070, 3242.926
175.7892, 3290.634
176.2713, 3332.828
176.7534, 3357.331
177.2355, 3362.036
177.7176, 3368.924
178.1997, 3376.908
178.6819, 3387.616
179.1640, 3404.135
179.6461, 3424.598
180.1282, 3443.808
180.6103, 3457.368
181.0924, 3465.017
181.5745, 3469.689
182.0567, 3467.442
182.5388, 3466.579
183.0209, 3471.621
183.5030, 3481.499
183.9851, 3491.498
184.4672, 3497.027
184.9494, 3497.515
185.4315, 3508.588
185.9136, 3541.414
186.3957, 3571.665
186.8778, 3586.207
187.3599, 3588.556
187.8421, 3591.839
188.3242, 3606.579
188.8063, 3632.683
189.2884, 3648.648
189.7705, 3649.136
190.2526, 3647.302
190.7348, 3647.049
191.2169, 3648.752
191.6990, 3653.068
192.1811, 3661.611
192.6632, 3673.510
193.1453, 3674.386
193.6275, 3660.620
194.1096, 3642.332
194.5917, 3618.032
195.0738, 3591.664
195.5559, 3572.861
196.0380, 3568.419
196.5202, 3576.384
197.0023, 3580.767
197.4844, 3588.170
197.9665, 3586.170
198.4486, 3562.362
198.9307, 3525.337
199.4129, 3495.563
199.8950, 3484.889
200.3771, 3489.397
200.8592, 3489.847
201.3413, 3484.148
201.8234, 3477.801
202.3056, 3472.374
202.7877, 3467.463
203.2698, 3462.045
203.7519, 3455.532
204.2340, 3448.397
204.7161, 3442.420
205.1983, 3436.155
205.6804, 3432.521
206.1625, 3436.413
206.6446, 3442.890
207.1267, 3442.304
207.6088, 3429.791
208.0910, 3410.487
208.5731, 3397.399
209.0552, 3390.848
209.5373, 3388.585
210.0194, 3393.768
210.5015, 3402.204
210.9837, 3407.807
211.4658, 3408.392
211.9479, 3405.355
212.4300, 3400.717
212.9121, 3392.390
213.3942, 3387.183
213.8764, 3387.373
214.3585, 3390.792
214.8406, 3395.616
215.3227, 3401.524
215.8048, 3406.516
216.2869, 3406.972
216.7691, 3400.717
217.2512, 3396.464
217.7333, 3398.927
218.2154, 3401.865
218.6975, 3397.094
219.1796, 3382.874
219.6618, 3366.375
220.1439, 3355.387
220.6260, 3349.995
221.1081, 3352.670
221.5902, 3374.436
222.0723, 3397.729
222.5545, 3406.837
223.0366, 3399.927
223.5187, 3384.419
224.0008, 3365.274
224.4829, 3340.459
224.9650, 3330.645
225.4472, 3348.655
225.9293, 3371.471
226.4114, 3384.118
226.8935, 3385.747
227.3756, 3381.646
227.8577, 3374.879
228.3399, 3365.402
228.8220, 3361.551
229.3041, 3366.304
229.7862, 3373.421
230.2683, 3381.064
230.7504, 3388.503
231.2325, 3394.194
231.7147, 3397.057
232.1968, 3397.163
232.6789, 3395.922
233.1610, 3388.884
233.6431, 3385.336
234.1252, 3391.985
234.6074, 3404.942
235.0895, 3414.866
235.5716, 3416.386
236.0537, 3411.392
236.5358, 3408.308
237.0179, 3414.493
237.5001, 3413.808
237.9822, 3396.927
238.4643, 3372.092
238.9464, 3352.985
239.4285, 3345.762
239.9106, 3345.153
240.3928, 3337.588
240.8749, 3307.519
241.3570, 3291.989
241.8391, 3309.531
242.3212, 3336.326
242.8033, 3344.564
243.2855, 3325.654
243.7676, 3292.200
244.2497, 3264.151
244.7318, 3237.968
245.2139, 3226.120
245.6960, 3246.892
246.1782, 3270.158
246.6603, 3267.550
247.1424, 3235.980
247.6245, 3196.958
248.1066, 3176.697
248.5887, 3182.040
249.0709, 3184.140
249.5530, 3180.705
250.0351, 3176.414
250.5172, 3173.472
250.9993, 3172.196
251.4814, 3172.215
251.9636, 3173.251
252.4457, 3175.337
252.9278, 3178.024
253.4099, 3187.535
253.8920, 3191.463
254.3741, 3180.051
254.8563, 3159.183
255.3384, 3142.373
255.8205, 3139.310
256.3026, 3148.278
256.7847, 3152.465
257.2668, 3144.723
257.7490, 3139.837
258.2311, 3141.247
258.7132, 3146.726
259.1953, 3154.688
259.6774, 3164.758
260.1595, 3173.401
260.6417, 3169.488
261.1238, 3141.706
261.6059, 3117.355
262.0880, 3095.147
262.5701, 3079.265
263.0522, 3076.483
263.5344, 3088.162
264.0165, 3105.439
264.4986, 3112.363
264.9807, 3102.220
265.4628, 3097.591
265.9449, 3104.769
266.4271, 3113.334
266.9092, 3117.050
267.3913, 3115.077
267.8734, 3110.282
268.3555, 3104.875
268.8376, 3098.225
269.3198, 3094.668
269.8019, 3097.383
270.2840, 3100.725
270.7661, 3104.530
271.2482, 3107.481
271.7303, 3106.462
272.2125, 3097.000
272.6946, 3080.617
273.1767, 3070.965
273.6588, 3067.068
274.1409, 3072.550
274.6230, 3099.884
275.1052, 3134.352
275.5873, 3151.607
276.0694, 3135.383
276.5515, 3099.692
277.0336, 3075.552
277.5157, 3063.865
