##NAMES=Richelsdorfite
##RRUFFID=R130552
##IDEAL CHEMISTRY=Ca_2_Cu^2+^_5_Sb^5+^(As^5+^O_4_)_4_(OH)_6_Cl&#183;6H_2_O
##LOCALITY=Silberberg, Brixlegg, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Platy blue crystals, with a 2-fold twin around [110]
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130552
1.732499e+002, 7.300639e+001
1.737321e+002, 7.318433e+001
1.742142e+002, 7.320188e+001
1.746963e+002, 7.411054e+001
1.751784e+002, 7.565278e+001
1.756605e+002, 7.722529e+001
1.761426e+002, 7.819549e+001
1.766248e+002, 7.910957e+001
1.771069e+002, 8.077959e+001
1.775890e+002, 8.337740e+001
1.780711e+002, 8.634490e+001
1.785532e+002, 8.915283e+001
1.790353e+002, 9.186232e+001
1.795175e+002, 9.458211e+001
1.799996e+002, 9.720013e+001
1.804817e+002, 9.990723e+001
1.809638e+002, 1.031985e+002
1.814459e+002, 1.072495e+002
1.819280e+002, 1.116008e+002
1.824102e+002, 1.158603e+002
1.828923e+002, 1.199471e+002
1.833744e+002, 1.238596e+002
1.838565e+002, 1.273621e+002
1.843386e+002, 1.306452e+002
1.848207e+002, 1.341675e+002
1.853029e+002, 1.380863e+002
1.857850e+002, 1.421556e+002
1.862671e+002, 1.462584e+002
1.867492e+002, 1.503521e+002
1.872313e+002, 1.539613e+002
1.877134e+002, 1.563596e+002
1.881956e+002, 1.578643e+002
1.886777e+002, 1.599165e+002
1.891598e+002, 1.629080e+002
1.896419e+002, 1.664108e+002
1.901240e+002, 1.695658e+002
1.906061e+002, 1.724044e+002
1.910883e+002, 1.750584e+002
1.915704e+002, 1.776135e+002
1.920525e+002, 1.800991e+002
1.925346e+002, 1.825394e+002
1.930167e+002, 1.848206e+002
1.934988e+002, 1.870110e+002
1.939810e+002, 1.889456e+002
1.944631e+002, 1.904295e+002
1.949452e+002, 1.924100e+002
1.954273e+002, 1.950412e+002
1.959094e+002, 1.983002e+002
1.963915e+002, 2.015685e+002
1.968737e+002, 2.048414e+002
1.973558e+002, 2.079945e+002
1.978379e+002, 2.104939e+002
1.983200e+002, 2.122108e+002
1.988021e+002, 2.138662e+002
1.992842e+002, 2.161324e+002
1.997664e+002, 2.190508e+002
2.002485e+002, 2.219206e+002
2.007306e+002, 2.246990e+002
2.012127e+002, 2.273456e+002
2.016948e+002, 2.296526e+002
2.021769e+002, 2.316162e+002
2.026591e+002, 2.333164e+002
2.031412e+002, 2.347458e+002
2.036233e+002, 2.358787e+002
2.041054e+002, 2.370345e+002
2.045875e+002, 2.382997e+002
2.050696e+002, 2.396566e+002
2.055518e+002, 2.409275e+002
2.060339e+002, 2.420746e+002
2.065160e+002, 2.432153e+002
2.069981e+002, 2.445205e+002
2.074802e+002, 2.460422e+002
2.079623e+002, 2.474121e+002
2.084445e+002, 2.484989e+002
2.089266e+002, 2.493198e+002
2.094087e+002, 2.502042e+002
2.098908e+002, 2.511329e+002
2.103729e+002, 2.521574e+002
2.108550e+002, 2.533436e+002
2.113372e+002, 2.546922e+002
2.118193e+002, 2.561555e+002
2.123014e+002, 2.577798e+002
2.127835e+002, 2.595522e+002
2.132656e+002, 2.611775e+002
2.137477e+002, 2.627010e+002
2.142299e+002, 2.640236e+002
2.147120e+002, 2.649346e+002
2.151941e+002, 2.652447e+002
2.156762e+002, 2.656901e+002
2.161583e+002, 2.664728e+002
2.166404e+002, 2.675958e+002
2.171226e+002, 2.687855e+002
2.176047e+002, 2.700455e+002
2.180868e+002, 2.713644e+002
2.185689e+002, 2.728029e+002
2.190510e+002, 2.745390e+002
2.195331e+002, 2.759880e+002
2.200153e+002, 2.769493e+002
2.204974e+002, 2.773695e+002
2.209795e+002, 2.779883e+002
2.214616e+002, 2.789127e+002
2.219437e+002, 2.799374e+002
2.224258e+002, 2.808574e+002
2.229080e+002, 2.817432e+002
2.233901e+002, 2.823611e+002
2.238722e+002, 2.825305e+002
2.243543e+002, 2.821576e+002
2.248364e+002, 2.821942e+002
2.253185e+002, 2.828322e+002
2.258007e+002, 2.836887e+002
2.262828e+002, 2.842963e+002
2.267649e+002, 2.845812e+002
2.272470e+002, 2.847386e+002
2.277291e+002, 2.848439e+002
2.282112e+002, 2.849293e+002
2.286934e+002, 2.847144e+002
2.291755e+002, 2.842573e+002
2.296576e+002, 2.834511e+002
2.301397e+002, 2.820817e+002
2.306218e+002, 2.796794e+002
2.311039e+002, 2.775530e+002
2.315861e+002, 2.761157e+002
2.320682e+002, 2.754541e+002
2.325503e+002, 2.747828e+002
2.330324e+002, 2.742136e+002
2.335145e+002, 2.735604e+002
2.339966e+002, 2.724840e+002
2.344788e+002, 2.704942e+002
2.349609e+002, 2.689911e+002
2.354430e+002, 2.684649e+002
2.359251e+002, 2.690948e+002
2.364072e+002, 2.694187e+002
2.368893e+002, 2.692296e+002
2.373715e+002, 2.689018e+002
2.378536e+002, 2.689184e+002
2.383357e+002, 2.694748e+002
2.388178e+002, 2.700202e+002
2.392999e+002, 2.703916e+002
2.397820e+002, 2.705439e+002
2.402642e+002, 2.708177e+002
2.407463e+002, 2.713019e+002
2.412284e+002, 2.718218e+002
2.417105e+002, 2.721588e+002
2.421926e+002, 2.722294e+002
2.426747e+002, 2.722577e+002
2.431569e+002, 2.723036e+002
2.436390e+002, 2.723785e+002
2.441211e+002, 2.723584e+002
2.446032e+002, 2.722258e+002
2.450853e+002, 2.720140e+002
2.455674e+002, 2.717442e+002
2.460496e+002, 2.713367e+002
2.465317e+002, 2.710193e+002
2.470138e+002, 2.708053e+002
2.474959e+002, 2.706811e+002
2.479780e+002, 2.709227e+002
2.484601e+002, 2.718622e+002
2.489423e+002, 2.728544e+002
2.494244e+002, 2.730886e+002
2.499065e+002, 2.719682e+002
2.503886e+002, 2.712976e+002
2.508707e+002, 2.716168e+002
2.513528e+002, 2.729809e+002
2.518350e+002, 2.740023e+002
2.523171e+002, 2.744761e+002
2.527992e+002, 2.748177e+002
2.532813e+002, 2.754073e+002
2.537634e+002, 2.761617e+002
2.542455e+002, 2.773465e+002
2.547277e+002, 2.792402e+002
2.552098e+002, 2.818700e+002
2.556919e+002, 2.836745e+002
2.561740e+002, 2.843637e+002
2.566561e+002, 2.845822e+002
2.571382e+002, 2.849178e+002
2.576204e+002, 2.854443e+002
2.581025e+002, 2.859052e+002
2.585846e+002, 2.862397e+002
2.590667e+002, 2.864539e+002
2.595488e+002, 2.866617e+002
2.600309e+002, 2.869015e+002
2.605131e+002, 2.870782e+002
2.609952e+002, 2.871790e+002
2.614773e+002, 2.873796e+002
2.619594e+002, 2.869983e+002
2.624415e+002, 2.857413e+002
2.629236e+002, 2.837145e+002
2.634058e+002, 2.821005e+002
